"","SNI.Open","SNI.High","SNI.Low","SNI.Close","SNI.Volume","SNI.Adjusted"
"1",44.27,45.060001,44.27,44.98,707900,42.949931
"2",44.540001,45.27,44.23,45.209999,870800,43.16955
"3",45.380001,45.689999,44.959999,45.009998,694900,42.978576
"4",45.25,46.110001,45.150002,45.77,777000,43.704277
"5",45.509998,45.709999,45.099998,45.18,805000,43.140905
"6",45.369999,45.599998,44.869999,45.529999,441600,43.475107
"7",45.720001,45.720001,45.189999,45.32,583200,43.274586
"8",45.830002,46.200001,44.68,44.919998,586000,42.892638
"9",44.970001,45.290001,43.860001,43.900002,678900,41.918676
"10",44,44.130001,43.360001,43.77,491800,41.794542
"11",43.669998,43.709999,42.18,42.369999,695300,40.457727
"12",42.439999,43.349998,41.919998,43.299999,1413000,41.345754
"13",43.48,43.650002,43.07,43.09,546800,41.145232
"14",42.610001,42.73,41.040001,41.27,614500,39.407374
"15",41.060001,41.290001,40.240002,40.34,751800,38.519347
"16",40.23,40.529999,39.369999,40.43,653000,38.605285
"17",40.709999,41.290001,40.349998,40.959999,770900,39.111364
"18",41.439999,41.630001,40.400002,40.84,678700,38.996781
"19",41.029999,41.919998,40.709999,41.880001,472900,39.989844
"20",42.240002,42.560001,41.59,42.049999,386500,40.152169
"21",42.049999,42.099998,41.330002,41.610001,564600,39.732029
"22",41.5,41.84,41.220001,41.43,351200,39.560153
"23",41.759998,42.299999,41.439999,42.130001,425900,40.228561
"24",41.939999,42.240002,41.59,41.900002,349000,40.008941
"25",41.82,41.82,41,41.5,387800,39.626993
"26",41.23,41.290001,40.169998,40.41,560000,38.586188
"27",40.509998,40.950001,40.279999,40.759998,408800,38.92039
"28",40.419998,41.349998,40,41.330002,363800,39.464667
"29",41.380001,41.43,40.209999,40.41,431900,38.586188
"30",40.709999,41.400002,40.700001,41.09,798900,39.235498
"31",40.93,41.27,40.560001,41,1530500,39.149559
"32",41.900002,43.43,41.790001,42.959999,1009400,41.021098
"33",43.07,43.07,41.900002,42.240002,680700,40.333596
"34",42.060001,42.25,41.619999,42.060001,457400,40.16172
"35",42.369999,42.77,42.02,42.52,711300,40.600958
"36",42.130001,42.82,41.869999,42.630001,425100,40.705994
"37",43.200001,43.869999,43.200001,43.759998,404100,41.784992
"38",43.709999,44.5,43.619999,43.91,981900,41.928223
"39",44.18,44.509998,44.029999,44.439999,558900,42.434302
"40",44.209999,44.869999,44.099998,44.810001,660000,42.787605
"41",44.34,44.849998,44.029999,44.82,948800,42.797152
"42",43.560001,45.580002,42.709999,44.439999,1166900,42.434302
"43",43.990002,44.34,43.75,44.09,831000,42.1001
"44",43.59,43.619999,43.09,43.259998,811100,41.307558
"45",42.580002,42.84,42.09,42.369999,672300,40.457727
"46",42.259998,42.259998,41.450001,41.939999,971800,40.047133
"47",41.68,42.32,41.360001,42,606600,40.104427
"48",42.32,43.029999,42.240002,42.52,532200,40.600958
"49",42.57,43.150002,42.189999,42.540001,468300,40.620056
"50",42.25,42.32,41.32,41.610001,732500,39.732029
"51",41.27,41.610001,40.419998,41.330002,905600,39.464667
"52",41.549999,41.689999,40.599998,40.740002,344200,38.901296
"53",40.169998,40.32,39.360001,40.07,853600,38.261533
"54",39.849998,40.130001,39.380001,40.09,1370000,38.28063
"55",40.189999,40.66,40.009998,40.049999,1157500,38.242435
"56",40.110001,40.82,39.66,40.759998,323400,38.99341
"57",40.57,41.200001,40.380001,40.380001,918400,38.629883
"58",40.240002,40.549999,39.950001,40.18,917900,38.43855
"59",40.619999,41.91,40.619999,41.810001,674900,39.997905
"60",41.970001,42.330002,41.810001,42.330002,377400,40.495368
"61",42.599998,43.23,42.43,43.18,427000,41.308526
"62",43,43,42.27,42.400002,347500,40.562334
"63",42.610001,42.82,42.450001,42.560001,654400,40.715399
"64",43.060001,43.16,42.720001,43.049999,441800,41.18416
"65",43.09,43.830002,42.919998,43.720001,423500,41.825123
"66",44.080002,44.610001,44,44.200001,610900,42.284319
