"","SWN.Open","SWN.High","SWN.Low","SWN.Close","SWN.Volume","SWN.Adjusted"
"1",42.799999,44.02,42.799999,44.009998,4653100,44.009998
"2",43.439999,44.380001,43.18,43.91,3929500,43.91
"3",44.759998,44.84,43.209999,43.540001,5941100,43.540001
"4",43.82,45.040001,43.77,44.990002,4866400,44.990002
"5",44.880001,45.099998,44.150002,44.68,4001900,44.68
"6",44.849998,45.25,44.049999,44.57,4021000,44.57
"7",44.150002,44.290001,43.07,44.080002,6061700,44.080002
"8",45.009998,45.25,43.400002,43.759998,4022300,43.759998
"9",43.529999,43.77,41.759998,42.060001,5186800,42.060001
"10",42,42.509998,41.669998,42.119999,3607200,42.119999
"11",41.889999,42.389999,40.639999,40.91,4458400,40.91
"12",41.139999,41.93,40.860001,41.549999,4285200,41.549999
"13",41.799999,41.84,40.529999,41.049999,3318700,41.049999
"14",40.25,40.290001,38.700001,39.02,4549400,39.02
"15",38.82,39.759998,38.5,38.639999,3825500,38.639999
"16",38.880001,39.32,37.470001,38.830002,5157600,38.830002
"17",37.959999,39.18,37.150002,37.75,6008000,37.75
"18",38.389999,38.84,37.279999,37.66,5180400,37.66
"19",37.709999,38.32,37.490002,38.240002,7595600,38.240002
"20",38.830002,39.029999,37.509998,38.669998,5143000,38.669998
"21",38.639999,38.720001,38.049999,38.41,2297600,38.41
"22",38.25,39.18,38.16,38.369999,3301200,38.369999
"23",38.970001,39.07,38.209999,38.360001,3367900,38.360001
"24",38.220001,39.139999,37.779999,38.759998,3341000,38.759998
"25",38.779999,38.950001,37.700001,38.810001,3243500,38.810001
"26",38.389999,38.43,37.240002,37.41,4647900,37.41
"27",37.900002,37.900002,36.18,36.360001,5631700,36.360001
"28",35.869999,36.98,35.75,36.860001,7512600,36.860001
"29",37.259998,37.790001,36.720001,37.369999,5781700,37.369999
"30",37.889999,38.599998,37.669998,37.860001,4524600,37.860001
"31",37.639999,38.02,37.18,37.75,2905000,37.75
"32",37.75,37.970001,37.400002,37.580002,3315000,37.580002
"33",37.68,37.830002,36.43,37.34,5508500,37.34
"34",37.330002,37.799999,36.889999,37.029999,4334900,37.029999
"35",37.25,37.57,36.259998,36.73,5341800,36.73
"36",36.41,37.07,36.310001,36.450001,5824400,36.450001
"37",37.150002,37.369999,36.880001,37.130001,5867400,37.130001
"38",37.009998,37.669998,36.529999,37.279999,6462500,37.279999
"39",37.419998,38.189999,37.150002,38.139999,4728300,38.139999
"40",37.880001,38.650002,37.450001,38.459999,6306900,38.459999
"41",38,38.310001,37.060001,37.450001,6673000,37.450001
"42",37.73,37.810001,37.049999,37.619999,2628200,37.619999
"43",37.009998,37.349998,36.849998,37.07,5006900,37.07
"44",36.459999,36.48,34.869999,34.93,8074200,34.93
"45",34.380001,35,34.299999,34.66,5214200,34.66
"46",34.32,35.16,34.27,34.470001,4036800,34.470001
"47",34.23,34.23,33.25,33.529999,6917300,33.529999
"48",33.98,35.02,33.939999,34.959999,6911900,34.959999
"49",34.900002,34.93,34.34,34.790001,5780100,34.790001
"50",34.509998,34.790001,34.18,34.32,5006800,34.32
"51",33.959999,34.189999,33.400002,33.709999,3698500,33.709999
"52",33.900002,34.18,33.689999,33.880001,2395000,33.880001
"53",33.439999,33.540001,32.720001,32.810001,5205600,32.810001
"54",32.529999,33.009998,31.959999,32.91,5507600,32.91
"55",33.080002,33.360001,32.220001,32.41,3874000,32.41
"56",32.639999,33.5,31.889999,33.349998,3906600,33.349998
"57",33.310001,33.919998,33.110001,33.169998,3055800,33.169998
"58",33,33.41,32.5,32.720001,4388900,32.720001
"59",33.200001,34.150002,32.959999,33.549999,4532300,33.549999
"60",33.549999,33.84,33.139999,33.779999,2716700,33.779999
"61",34.049999,34.599998,33.91,34.07,3754800,34.07
"62",33.709999,33.91,32.919998,33.040001,4429500,33.040001
"63",33.150002,33.470001,32.75,33.220001,3354900,33.220001
"64",33.669998,33.700001,32.720001,32.939999,3008400,32.939999
"65",33.080002,33.389999,32.889999,33.369999,2741900,33.369999
"66",33.84,33.990002,32.82,33.060001,4106100,33.060001
"67",33.060001,33.360001,32.740002,32.880001,3557000,32.880001
"68",32.619999,32.740002,32.09,32.52,4514800,32.52
"69",32.34,32.77,31.780001,31.91,6349000,31.91
"70",31.93,32,30.610001,31.440001,9221000,31.440001
"71",31.709999,32,30.959999,31.940001,4183600,31.940001
"72",31.870001,32.41,31.5,32.09,5592700,32.09
"73",32.02,32.599998,31.950001,32.200001,4896700,32.200001
"74",31.790001,32.57,31.57,32.279999,5246200,32.279999
"75",32.560001,33.209999,32.23,33.049999,4520400,33.049999
"76",33.049999,33.389999,32.459999,32.48,3561900,32.48
"77",32.459999,32.849998,32,32.75,4078700,32.75
"78",32.509998,33.830002,32.279999,33.639999,5429600,33.639999
"79",33.93,34,32.75,33.439999,4698200,33.439999
"80",33.900002,33.970001,33.299999,33.459999,4159700,33.459999
"81",33.25,33.549999,32.529999,32.73,3126600,32.73
"82",33.110001,33.529999,32.77,33.27,3988600,33.27
"83",33.43,33.91,33.25,33.889999,3623400,33.889999
"84",34.139999,34.23,33.150002,33.279999,3677900,33.279999
"85",33.400002,34.049999,33.049999,33.869999,3981300,33.869999
"86",33.869999,34.450001,33.639999,33.700001,2583500,33.700001
"87",33.540001,33.73,32.799999,33.599998,3935200,33.599998
"88",33.93,34.860001,33.82,34.669998,6027800,34.669998
"89",34.639999,34.889999,34.150002,34.490002,4327800,34.490002
"90",34.830002,34.959999,34.299999,34.619999,6321200,34.619999
"91",34.740002,34.970001,34.360001,34.900002,2598400,34.900002
"92",34.360001,34.59,33.77,34.040001,4516000,34.040001
"93",34.09,34.900002,34.040001,34.540001,3606400,34.540001
"94",34.650002,35.150002,33.93,34.330002,5377600,34.330002
"95",34.439999,34.549999,33.68,33.91,2767900,33.91
"96",34.220001,34.560001,33.75,33.959999,3004000,33.959999
"97",33.799999,33.91,33.130001,33.279999,4185000,33.279999
"98",32.98,33.419998,32.439999,33.389999,4457800,33.389999
"99",33.720001,33.950001,33.02,33.639999,3769200,33.639999
"100",32.869999,34.34,32.82,33.84,7928500,33.84
"101",34.57,35.779999,34.419998,34.560001,7932200,34.560001
"102",35,35.16,34.299999,34.919998,4006400,34.919998
"103",35.169998,35.549999,34.82,35.529999,5642700,35.529999
"104",36.040001,36.619999,35.84,36.470001,4716300,36.470001
"105",36.580002,36.669998,35.82,36.09,2945000,36.09
"106",35.970001,37.25,35.630001,37.240002,4503000,37.240002
"107",38.459999,39.360001,37.639999,37.810001,7515200,37.810001
"108",37.98,38.25,37.369999,38.139999,4013000,38.139999
"109",37.759998,38.490002,37.759998,38.450001,3398900,38.450001
"110",38.18,38.419998,37.59,37.889999,5073600,37.889999
"111",38.16,38.369999,37.810001,38.009998,4368000,38.009998
"112",37.529999,37.580002,36.73,37.18,5528100,37.18
"113",37.389999,38.139999,37.240002,37.439999,4130300,37.439999
"114",37.599998,38.32,37.599998,38.130001,2734800,38.130001
"115",37.779999,38.540001,37.560001,38.419998,3952400,38.419998
"116",38.279999,38.369999,37.110001,38.139999,4410200,38.139999
"117",37.48,37.48,36.32,36.369999,7459700,36.369999
"118",36.669998,36.939999,36.27,36.720001,5580000,36.720001
"119",36.57,36.650002,36.27,36.310001,2062600,36.310001
"120",36.23,36.66,36.130001,36.490002,5898700,36.490002
"121",36.130001,36.73,36,36.200001,5744800,36.200001
"122",36.939999,37.25,36.630001,36.880001,4975100,36.880001
"123",36.959999,37.84,36.880001,37.720001,4719300,37.720001
"124",37.560001,38.02,37.209999,37.91,6061000,37.91
"125",37.900002,37.900002,37.200001,37.360001,5203000,37.360001
"126",37.959999,38.18,36.77,36.919998,5895000,36.919998
"127",36.939999,37.139999,35.98,36.220001,7284700,36.220001
"128",36.360001,36.52,35.619999,36.099998,4168500,36.099998
"129",36.060001,36.080002,35.580002,35.650002,6274700,35.650002
"130",35.84,36.540001,35.720001,36.23,4880200,36.23
"131",36.18,36.220001,35.119999,35.310001,5489000,35.310001
"132",35.150002,35.5,34.939999,35.110001,4950000,35.110001
"133",35.150002,35.759998,35.110001,35.68,5243000,35.68
"134",35.610001,36.459999,35.490002,35.77,7715700,35.77
"135",35.5,35.77,34.73,35.509998,6006300,35.509998
"136",35.59,35.959999,35.080002,35.5,5391700,35.5
"137",35.66,35.990002,35.400002,35.93,2856600,35.93
"138",35.790001,36.470001,35.560001,36.189999,3802100,36.189999
"139",36.119999,36.259998,35.799999,36.189999,1672900,36.189999
"140",36.209999,36.68,35.959999,36.549999,2891600,36.549999
"141",36.689999,37.130001,36.549999,37.009998,2735100,37.009998
"142",37.23,37.580002,36.889999,37.23,2738600,37.23
"143",37.23,37.599998,36.91,37.43,2643400,37.43
"144",37.810001,38.25,37.580002,38.07,4261300,38.07
"145",38.549999,38.610001,37.119999,37.580002,5918600,37.580002
"146",37.349998,37.529999,37.07,37.330002,3265300,37.330002
"147",37.919998,38.029999,37.34,37.75,4205200,37.75
"148",37.82,38.220001,37.509998,38.150002,4472500,38.150002
"149",38.009998,38.290001,37.610001,38.09,4017800,38.09
"150",38.389999,38.48,38,38.27,3744100,38.27
"151",38.189999,38.990002,37.860001,38.91,5656700,38.91
"152",38.889999,39.279999,38.610001,39.259998,5373800,39.259998
"153",39.330002,39.439999,39.040001,39.380001,5654400,39.380001
"154",39.099998,39.380001,38.77,38.950001,5771100,38.950001
"155",38.990002,39.130001,38.700001,38.939999,5145000,38.939999
"156",38.599998,38.75,37.860001,38,7132500,38
"157",38.41,38.450001,37.950001,38.169998,4039000,38.169998
"158",37.68,39.299999,37.509998,39.049999,6295600,39.049999
"159",38.830002,39.23,38.119999,38.48,5346300,38.48
"160",38.580002,39.91,38.470001,39.82,4854800,39.82
"161",39.939999,39.939999,39.040001,39.27,4952200,39.27
"162",39.23,39.490002,38.700001,38.790001,3847200,38.790001
"163",38.900002,39.790001,38.849998,39.5,5575100,39.5
"164",39.630001,39.970001,39.279999,39.439999,6829200,39.439999
"165",38.970001,39.34,38.700001,39.029999,5822600,39.029999
"166",39.009998,39.34,38.77,39.310001,2794900,39.310001
"167",39.400002,39.650002,39,39.34,2425300,39.34
"168",39.389999,40.16,39.360001,39.459999,4110300,39.459999
"169",39.52,39.73,38.470001,38.830002,4710000,38.830002
"170",38.68,38.68,37.110001,37.380001,6544500,37.380001
"171",37.27,37.369999,36.490002,37.049999,6937200,37.049999
"172",36.959999,37.150002,36.5,36.91,4231000,36.91
"173",36.849998,37.82,36.669998,37.459999,4793400,37.459999
"174",37.470001,37.66,36.700001,36.950001,4032100,36.950001
"175",36.950001,37.439999,36.75,37,4072600,37
"176",35.73,36.849998,35.59,36.189999,6895000,36.189999
"177",36.27,36.57,36.220001,36.450001,6978800,36.450001
"178",36.98,36.990002,36.060001,36.360001,7000400,36.360001
"179",36.279999,38.400002,36.279999,37.990002,8907900,37.990002
"180",37.93,38.080002,37.169998,37.610001,6557500,37.610001
"181",37.43,38.950001,37.330002,38.869999,6651300,38.869999
"182",39.560001,39.639999,38.860001,39.48,6650500,39.48
"183",39,39.099998,37.66,37.900002,7574200,37.900002
"184",38.099998,38.25,37.549999,37.830002,4753400,37.830002
"185",38.18,38.259998,37.509998,37.970001,4163600,37.970001
"186",38.060001,38.169998,37.290001,37.849998,4416800,37.849998
"187",38.02,38.220001,37.360001,37.91,4279400,37.91
"188",37.91,37.91,37.290001,37.34,3385300,37.34
"189",37.32,37.52,37.099998,37.32,4139400,37.32
"190",36.91,37.029999,36.029999,36.119999,6874200,36.119999
"191",35.77,37.189999,35.720001,36.900002,3589700,36.900002
"192",37.43,38.48,36.900002,38.380001,6875300,38.380001
"193",37.240002,39.279999,36.639999,38.75,10061000,38.75
"194",38.849998,40.849998,38.650002,40.02,13234500,40.02
"195",40.470001,41.470001,40.330002,40.900002,12497700,40.900002
"196",41.400002,41.400002,40.740002,41.119999,9465300,41.119999
"197",41.560001,42.119999,41.389999,41.610001,4739000,41.610001
"198",41.540001,42.459999,41.52,42.029999,4635700,42.029999
"199",42.119999,42.650002,41.93,42.509998,4161000,42.509998
"200",42.720001,43.560001,42.349998,43.060001,5518200,43.060001
"201",43.419998,43.700001,43,43.490002,4765600,43.490002
"202",43.310001,43.439999,42.52,42.549999,4196800,42.549999
"203",42.400002,42.849998,41.82,42.5,4597500,42.5
"204",43,43.959999,42.919998,43.240002,4768100,43.240002
"205",43.279999,43.84,42.580002,42.970001,4006300,42.970001
"206",43.369999,43.529999,42.779999,42.869999,4072100,42.869999
"207",42.389999,42.959999,42.130001,42.619999,4014000,42.619999
"208",42.400002,42.82,42.27,42.389999,3418800,42.389999
"209",42.549999,42.720001,41.189999,41.400002,4688100,41.400002
"210",41.18,41.5,40.400002,41.040001,6355200,41.040001
"211",40.959999,41.25,40.200001,40.549999,5204000,40.549999
"212",40.330002,40.549999,39.349998,39.599998,5987900,39.599998
"213",39.07,39.220001,37.900002,38.02,7019900,38.02
"214",38.549999,38.84,38.259998,38.41,5160700,38.41
"215",38.279999,39.07,38.25,39.009998,5890800,39.009998
"216",38.880001,39.970001,38.810001,39.959999,6245900,39.959999
"217",39.360001,40.150002,38.860001,39.970001,6490000,39.970001
"218",39.990002,40.119999,39.540001,39.919998,4104700,39.919998
"219",40.360001,40.93,40.16,40.790001,4783800,40.790001
"220",40.830002,41,40.119999,40.540001,3409900,40.540001
"221",40.799999,40.880001,40.220001,40.52,2883800,40.52
"222",40.66,41.240002,40.419998,41.209999,3300000,41.209999
"223",41.310001,42.299999,40.73,42.25,5732900,42.25
"224",42.110001,43.07,41.709999,42.720001,6971400,42.720001
"225",43.790001,44.360001,42.810001,43.860001,7372200,43.860001
"226",43.98,44.689999,43.490002,43.75,5594700,43.75
"227",43.310001,43.740002,42.77,43.130001,5328600,43.130001
"228",42.990002,43,42.060001,42.23,4681900,42.23
"229",41.900002,42.84,41.369999,41.810001,5823100,41.810001
"230",42.43,43.400002,41.279999,41.91,5129700,41.91
"231",42.169998,42.82,41.93,42.610001,2877800,42.610001
"232",42.57,43.189999,42.34,43.009998,3204900,43.009998
"233",42.869999,42.869999,41.119999,41.610001,4483000,41.610001
"234",41.490002,41.700001,40.59,41.41,4589000,41.41
"235",41.490002,41.599998,40.630001,41.200001,3312100,41.200001
"236",41.099998,42.259998,40.970001,41.23,3150900,41.23
"237",41.099998,41.98,41.049999,41.849998,6442100,41.849998
"238",42.09,42.889999,41.990002,42.209999,3273700,42.209999
"239",42.450001,42.59,41.459999,41.869999,3441900,41.869999
"240",41.799999,43.18,41.380001,42.869999,5203300,42.869999
"241",42.240002,42.869999,41.990002,42.669998,4076100,42.669998
"242",42.880001,43.619999,42.650002,42.84,3087200,42.84
"243",42.669998,43.73,42.669998,43.439999,3895900,43.439999
"244",43.150002,43.509998,42.759998,43.18,4620400,43.18
"245",43.549999,43.900002,43.09,43.369999,3237500,43.369999
"246",43.900002,44.23,42.73,43.77,4466100,43.77
"247",43.540001,43.740002,41.73,41.93,6374200,41.93
"248",42.23,42.759998,41.869999,42.220001,4927400,42.220001
"249",41.740002,43.889999,41.439999,43.73,7705000,43.73
"250",43.470001,43.869999,42.799999,43,5257600,43
"251",43.200001,43.830002,42.610001,43.25,5240300,43.25
"252",43.450001,44.23,43.18,43.66,3386500,43.66
"253",43.84,43.91,42.990002,43.16,4412800,43.16
"254",42.950001,43.060001,42.110001,42.220001,4537800,42.220001
"255",42.200001,42.5,40.860001,41.23,3654100,41.23
"256",41.709999,42.23,41.580002,41.799999,3284400,41.799999
"257",41.389999,41.970001,40.869999,41.380001,5005500,41.380001
"258",41.369999,41.689999,40.709999,41.32,4662200,41.32
"259",41.709999,41.82,40.889999,41.16,3668700,41.16
"260",40.919998,41.599998,40.779999,41.259998,2910900,41.259998
"261",41.540001,42.32,41.52,42.200001,2716000,42.200001
