"","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted"
"1",25.200001,25.52,25.18,25.440001,33073200,19.359758
"2",25.209999,25.34,25.030001,25.290001,23740200,19.245609
"3",25.370001,25.549999,25.15,25.17,24880400,19.154288
"4",25.34,25.540001,25.209999,25.540001,20988600,19.435858
"5",25.450001,25.530001,25.32,25.52,19946600,19.420638
"6",25.549999,25.57,25.120001,25.57,23737000,19.458687
"7",25.620001,25.66,25.23,25.43,40557800,19.352148
"8",25.58,25.610001,25.35,25.440001,16788000,19.359758
"9",25.43,25.6,25.290001,25.360001,25787100,19.298878
"10",25.4,25.6,25.35,25.440001,25835100,19.359758
"11",25.35,25.52,25,25.049999,27449600,19.062968
"12",25.129999,25.15,24.68,24.790001,51771200,18.86511
"13",24.879999,25.18,24.85,24.950001,21838100,18.98687
"14",24.860001,24.9,24.27,24.459999,52848900,18.61398
"15",24.35,24.440001,24.110001,24.190001,37193800,18.408512
"16",24.26,24.4,24,24.34,51182800,18.522661
"17",24.42,24.43,24.1,24.290001,23201000,18.484612
"18",24.469999,24.5,24.190001,24.41,35997200,18.575931
"19",24.01,24.4,23.879999,24.33,31799800,18.8392
"20",24.389999,24.58,24.200001,24.57,23429800,19.025036
"21",24.6,24.879999,24.549999,24.83,19636200,19.22636
"22",24.75,24.860001,24.610001,24.84,17332700,19.234103
"23",24.93,25.18,24.91,24.950001,26169600,19.319279
"24",24.860001,25.110001,24.790001,24.959999,21052100,19.327021
"25",24.99,25.049999,24.75,25,37460800,19.357994
"26",24.969999,25.1,24.65,24.690001,33275000,19.117955
"27",24.809999,24.959999,24.75,24.879999,18947500,19.265075
"28",24.690001,24.799999,24.5,24.790001,24054900,19.195388
"29",24.889999,25.17,24.73,24.92,28987100,19.296049
"30",25.389999,25.83,25.360001,25.51,47961300,19.752897
"31",25.84,25.92,25.450001,25.540001,32688000,19.776128
"32",25.73,26.09,25.67,25.959999,26246700,20.10134
"33",26.02,26.41,26.02,26.15,26093700,20.248462
"34",26.24,26.35,26.02,26.200001,33573700,20.287179
"35",26.34,26.4,25.91,26.02,32620400,20.147801
"36",25.799999,26.1,25.790001,25.940001,25601700,20.085855
"37",26.5,26.690001,26.34,26.59,35123700,20.589163
"38",26.6,26.889999,26.58,26.690001,24421300,20.666595
"39",26.620001,26.75,26.389999,26.639999,26163600,20.627878
"40",26.51,26.9,26.51,26.74,23511100,20.70531
"41",26.530001,26.65,26.23,26.540001,26401300,20.550447
"42",26.67,26.959999,26.59,26.860001,22439000,20.798229
"43",26.709999,27.08,26.66,27.01,26646100,20.914377
"44",26.66,26.790001,26.51,26.549999,29114200,20.558189
"45",26.459999,26.950001,26.4,26.66,30528000,20.643365
"46",26.620001,26.879999,26.540001,26.719999,23741500,20.689824
"47",26.629999,26.709999,26.48,26.65,19872000,20.635622
"48",26.700001,27.1,26.700001,26.969999,27517200,20.883404
"49",26.950001,27.389999,26.85,27.280001,29739100,21.123444
"50",27.200001,27.299999,26.799999,26.969999,26642500,20.883404
"51",26.799999,26.879999,26.33,26.450001,35585200,20.480758
"52",26.59,26.790001,26.48,26.49,33930100,20.51173
"53",26.280001,26.85,26.200001,26.719999,34139000,20.689824
"54",26.58,26.99,26.440001,26.889999,38078500,20.821458
"55",26.969999,27,26.639999,26.700001,25908100,20.674338
"56",26.73,27,26.610001,26.940001,21234400,20.860175
"57",26.85,26.93,26.629999,26.629999,15827400,20.620135
"58",26.540001,27.030001,26.5,27.030001,32853800,20.929864
"59",27.24,27.49,27.1,27.35,28502000,21.177646
"60",27.360001,27.48,27.200001,27.4,17358000,21.216361
"61",27.309999,27.49,27.059999,27.440001,23177900,21.247335
"62",27.4,27.450001,27.139999,27.27,18243800,21.1157
"63",27.309999,27.469999,27.24,27.389999,15103400,21.208618
"64",27.540001,27.959999,27.52,27.809999,27423800,21.533832
"65",27.879999,27.92,27.629999,27.83,19745400,21.549319
"66",27.99,28.08,27.799999,27.93,19478200,21.626751
"67",27.940001,28.120001,27.879999,27.93,20344700,21.626751
"68",27.91,28.15,27.780001,28.01,19246200,21.688697
"69",28,28.16,27.799999,28.110001,21137400,21.766129
"70",28.24,28.32,28,28.17,31116800,21.812588
"71",28.41,28.629999,28.219999,28.540001,28505700,22.099087
"72",28.58,28.879999,28.309999,28.610001,30443300,22.153289
"73",28.700001,28.92,28.559999,28.59,30553100,22.137802
"74",28.530001,28.75,28.450001,28.51,23838600,22.075857
"75",28.700001,28.799999,28.5,28.58,26628900,22.130059
"76",28.6,29.15,28.52,28.870001,31028200,22.354612
"77",28.969999,29.030001,28.67,28.92,27445800,22.393328
"78",28.91,28.98,28.610001,28.709999,27235200,22.23072
