"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"1",43.610001,44.16,43.529999,43.93,1205200,38.544585
"2",43.549999,43.68,43.150002,43.68,1377400,38.325232
"3",43.869999,44.220001,43.740002,44.009998,1113900,38.614776
"4",44.150002,44.349998,43.889999,44.34,1361400,38.904322
"5",44.23,44.540001,44.16,44.369999,794200,38.930643
"6",44.41,44.450001,44.02,44.349998,655400,38.913095
"7",44.450001,44.700001,44.200001,44.549999,1148800,39.088577
"8",44.900002,44.950001,43.77,43.990002,927200,38.59723
"9",43.98,44.700001,43.98,44.130001,1036900,38.720067
"10",44.09,44.25,43.610001,44.16,949800,38.746388
"11",44.060001,44.279999,43.700001,43.889999,887600,38.509488
"12",43.810001,43.889999,43.139999,43.400002,1377600,38.079559
"13",43.380001,43.790001,43.130001,43.610001,1195300,38.263814
"14",43.290001,43.66,42.549999,42.82,1271800,37.57066
"15",42.82,43.02,42.25,42.360001,1073400,37.167053
"16",42.490002,42.82,41.880001,42.689999,1281700,37.456596
"17",42.689999,42.77,42.099998,42.18,993900,37.009119
"18",42.689999,43,42.119999,42.529999,980400,37.316211
"19",42.73,43.540001,42.68,43.509998,1160800,38.176071
"20",43.759998,44.009998,43.580002,43.950001,985600,38.562133
"21",44.02,44.419998,43.98,44.16,628200,38.746388
"22",44.150002,44.470001,44.080002,44.34,563400,38.904322
"23",44.619999,44.91,44.529999,44.810001,659500,39.316706
"24",44.639999,45,44.459999,44.549999,1306100,39.088577
"25",44.57,44.779999,44.169998,44.73,940100,39.246511
"26",44.669998,44.689999,43.889999,43.970001,967500,38.579682
"27",44.099998,45.02,43.880001,44.509998,682600,39.05348
"28",44.139999,44.860001,43.950001,44.84,674500,39.343027
"29",44.889999,45.299999,44.669998,44.889999,1284600,39.386897
"30",45.25,46.02,45.18,45.91,1329000,40.281854
"31",45.700001,46.259998,45.689999,46.240002,595300,40.571401
"32",46.23,46.529999,46.040001,46.48,695900,40.781977
"33",46.709999,46.950001,46.41,46.549999,974400,40.843396
"34",46.389999,46.439999,45.419998,45.459999,1110300,39.88702
"35",45.549999,45.759998,44.52,44.860001,1383000,39.360575
"36",44.419998,45.240002,44.27,45.009998,1319000,39.492185
"37",45.43,46.169998,45.43,46,1537700,40.360821
"38",45.740002,46.889999,45.540001,46.759998,1384100,41.027651
"39",46.43,47.130001,46.07,47.09,1134400,41.317197
"40",46.950001,46.98,46.459999,46.75,875900,41.018878
"41",46.41,46.41,45.080002,45.68,1245600,40.080051
"42",45.860001,46.119999,45.779999,46.009998,988900,40.369594
"43",45.830002,46.419998,45.59,46.18,749300,40.518755
"44",45.68,45.869999,45.220001,45.619999,852800,40.027405
"45",45.34,45.779999,44.970001,45.77,810400,40.159018
"46",45.549999,45.889999,45.43,45.619999,856500,40.027405
"47",45.580002,45.810001,45.07,45.66,717600,40.062502
"48",45.810001,46.880001,45.779999,46.41,969100,40.720559
"49",46.380001,46.610001,45.98,46.540001,808200,40.834623
"50",46.43,46.43,45.57,46.040001,602300,40.395919
"51",45.700001,46.16,45.470001,45.919998,717600,40.290627
"52",46.18,46.18,45.689999,45.75,484700,40.141469
"53",45.299999,45.68,45.02,45.099998,857300,39.571152
"54",44.93,44.950001,44.459999,44.619999,2745300,39.149996
"55",44.75,44.889999,43.93,44.110001,986400,38.702519
"56",44.16,44.290001,43.400002,43.810001,1219800,38.684859
"57",43.700001,44.029999,43.32,43.349998,848700,38.278669
"58",43.27,43.790001,43.099998,43.560001,947500,38.464105
"59",43.810001,44.84,43.720001,44.73,1191600,39.49723
"60",44.759998,44.82,44.549999,44.75,1026100,39.514891
"61",44.990002,45.060001,44.439999,44.59,918800,39.373609
"62",44.580002,44.599998,44.380001,44.380001,1149800,39.188177
"63",44.490002,44.950001,44.490002,44.759998,1030000,39.52372
"64",45.130001,45.209999,44.34,44.400002,606400,39.205837
"65",44.509998,44.509998,44.040001,44.080002,839100,38.923273
"66",44.259998,44.419998,44.189999,44.360001,707800,39.170516
"67",44.25,44.849998,44.200001,44.66,977400,39.435419
