"","TEG.Open","TEG.High","TEG.Low","TEG.Close","TEG.Volume","TEG.Adjusted"
"1",43.880001,44.580002,43.880001,44.549999,758100,34.969324
"2",44.259998,44.720001,44.029999,44.68,632300,35.071367
"3",45,45.009998,44.470001,44.549999,492400,34.969324
"4",44.830002,45.73,44.75,45.73,660200,35.89556
"5",45.619999,46.459999,45.369999,46.16,707400,36.233086
"6",46.380001,46.950001,46.049999,46.919998,749400,36.829644
"7",47,47,46.459999,46.759998,641200,36.704052
"8",47.049999,47.450001,46.150002,46.439999,639700,36.45287
"9",46.639999,46.66,45.27,45.43,487700,35.660076
"10",45.380001,45.380001,44.18,44.509998,727300,34.937925
"11",44.450001,44.939999,44.310001,44.529999,538900,34.953624
"12",44.650002,44.939999,44.099998,44.68,964100,35.071367
"13",44.57,45.220001,44.349998,44.959999,332900,35.291151
"14",44.509998,44.509998,43.669998,43.84,741900,34.412013
"15",43.639999,44.720001,43.560001,43.740002,835900,34.33352
"16",43.619999,43.720001,42.919998,43.369999,887400,34.043088
"17",43.450001,44.040001,43.419998,43.610001,523100,34.231476
"18",43.799999,44.580002,43.580002,44.119999,703400,34.631797
"19",43.990002,45.799999,43.990002,45.799999,867600,35.950505
"20",45.950001,46.200001,45.630001,46.169998,632700,36.240934
"21",46.040001,46.43,45.810001,46.41,539500,36.429323
"22",46.150002,46.759998,45.98,46.59,461700,36.570613
"23",46.790001,47.330002,46.720001,46.919998,561500,36.829644
"24",46.869999,46.959999,46.380001,46.959999,690200,36.861042
"25",46.889999,47.119999,46.41,47.02,387800,36.90814
"26",46.84,46.84,45.540001,45.599998,454800,35.793516
"27",45.689999,46.240002,45.540001,46.110001,519800,36.19384
"28",45.580002,46.970001,45.540001,46.959999,658000,36.861042
"29",47,47,45.869999,46.060001,626800,36.154593
"30",46.560001,47.41,46.459999,47.32,478400,37.143623
"31",47.25,47.790001,46.900002,47.73,458900,37.465451
"32",47.740002,48.400002,47.73,48.400002,399200,37.991366
"33",48.599998,49.259998,48.459999,49.139999,769000,38.572224
"34",49.110001,49.110001,48.610001,48.77,415200,38.281795
"35",49.110001,49.209999,47.669998,48.02,638400,37.693086
"36",47.619999,47.619999,46.900002,47.349998,747100,37.16717
"37",47.82,48.490002,47.82,48.34,791100,37.944268
"38",48.310001,48.759998,48.18,48.630001,589100,38.171903
"39",48.540001,48.880001,48.200001,48.799999,578600,38.305342
"40",48.68,49.630001,48.599998,49.439999,566400,38.807707
"41",49.080002,49.43,48.57,49.130001,634400,38.564376
"42",49.439999,49.860001,49.32,49.650002,591800,38.972548
"43",49.43,50.290001,49.110001,50.07,755400,39.302223
"44",49,49.389999,48.540001,48.580002,865600,38.132656
"45",48.080002,48.299999,47.700001,48.09,977700,37.748032
"46",47.959999,48.880001,47.880001,48.439999,650400,38.022761
"47",48.310001,48.779999,47.82,48.619999,513600,38.164052
"48",49.029999,49.650002,48.73,49.349998,583200,38.737062
"49",49.240002,49.310001,48.610001,49.200001,458700,38.619322
"50",49.049999,49.380001,48.290001,48.709999,438600,38.234697
"51",48.310001,49.09,48.049999,48.93,574700,38.407386
"52",49.200001,49.560001,48.759998,48.77,565300,38.281795
"53",48.490002,49.380001,48.34,49.029999,753700,38.485879
"54",48.669998,49.439999,48.509998,49.34,736100,38.729213
"55",49.459999,49.75,49.049999,49.380001,851700,38.760612
"56",49.080002,49.299999,48.419998,49.25,837200,39.198359
"57",48.91,49.299999,48.360001,48.400002,396800,38.52184
"58",48.080002,48.700001,47.959999,48.450001,651300,38.561635
"59",48.939999,50.049999,48.810001,49.970001,700600,39.771412
"60",49.919998,50.049999,49.389999,49.66,626600,39.52468
"61",49.93,50.23,49.419998,50.209999,642300,39.962428
"62",49.799999,50.349998,49.799999,50.189999,351600,39.946509
"63",50.18,50.459999,49.360001,49.360001,1100700,39.285909
"64",49.82,50.029999,49.669998,49.799999,577500,39.636107
"65",49.790001,49.950001,49.240002,49.720001,398100,39.572436
"66",50.169998,50.5,49.919998,50.32,346000,40.049978
"67",50.290001,50.889999,50.110001,50.619999,454400,40.288749
"68",50.560001,50.84,50.209999,50.75,406400,40.392218
"69",50.57,50.630001,49.970001,50.09,331800,39.86692
"70",50.360001,50.490002,49.700001,49.970001,542400,39.771412
"71",50.110001,50.93,50.110001,50.82,366900,40.447931
"72",50.84,51.130001,50.5,50.639999,524800,40.304668
"73",50.779999,51.240002,50.470001,50.73,458800,40.376299
"74",50.27,50.650002,50.02,50.119999,358800,39.890796
"75",50.68,51.400002,50.57,51.400002,456800,40.909558
"76",51.349998,52,51.150002,51.810001,431100,41.235879
"77",51.799999,52.389999,51.560001,52.27,729700,41.601995
"78",52.110001,52.349998,51.779999,52.150002,540400,41.506487
"79",52.5,52.740002,51.939999,52.060001,511900,41.434855
"80",52.25,52.450001,51.950001,52.32,387100,41.64179
"81",52.110001,52.5,51.669998,52.029999,461300,41.410976
"82",52.389999,53.080002,52.25,52.970001,479400,42.15913
"83",52.720001,52.98,52.200001,52.630001,401700,41.888521
"84",52.740002,53.07,52.459999,52.720001,341600,41.960153
"85",52.799999,53.16,52.549999,53.07,288900,42.238719
"86",53.040001,53.330002,52.91,53.07,239400,42.238719
"87",52.889999,52.959999,52.43,52.580002,401700,41.848727
"88",52.630001,52.689999,52.279999,52.450001,687500,41.745258
"89",52.540001,52.709999,52.279999,52.619999,484000,41.880561
"90",52.869999,53.220001,52.709999,53.189999,416700,42.334227
"91",53,53.580002,52.98,53.310001,274800,42.429738
"92",52.970001,53.279999,52.599998,52.93,561400,42.127293
"93",53.080002,53.799999,52.869999,53.48,350000,42.56504
"94",53.599998,53.919998,52.959999,53.349998,245500,42.461572
"95",53.5,53.759998,53.040001,53.389999,273800,42.493409
"96",53.639999,53.889999,53.139999,53.18,339800,42.326269
"97",52.799999,53.080002,52.459999,52.790001,475500,42.015866
"98",52.619999,52.619999,51.77,52.529999,526000,41.808929
"99",52.869999,53.259998,52.740002,53.029999,377900,42.206882
"100",52.299999,53.220001,52.200001,53.189999,403000,42.334227
"101",53.57,53.720001,52.400002,52.84,349500,42.055661
"102",53.27,53.77,53.27,53.5,407200,42.580959
"103",53.490002,53.490002,52.759998,53.299999,471600,42.421777
"104",53.950001,54.450001,53.439999,53.700001,522300,42.74014
"105",53.73,53.970001,53.130001,53.32,396400,42.437695
"106",53.220001,53.419998,52.25,52.400002,705800,41.705464
"107",52.48,52.59,51.830002,52.09,519100,41.458732
"108",52.099998,52.099998,51.419998,51.919998,383000,41.323426
"109",51.689999,51.880001,51.52,51.700001,458100,41.148329
"110",51.540001,51.619999,50.939999,51.130001,406100,40.694663
"111",51.369999,51.810001,51.330002,51.48,471900,40.973229
"112",51.119999,51.279999,50.150002,50.529999,540700,40.217118
"113",50.310001,50.82,50.310001,50.619999,351800,40.288749
"114",51.09,51.169998,50.560001,50.59,1643900,40.264873
"115",50.459999,50.740002,50.029999,50.400002,1725800,40.113652
"116",50.389999,51.02,50.169998,50.889999,1519100,40.503644
"117",50.32,50.400002,49.799999,49.849998,797300,39.675901
"118",50.189999,50.25,49.889999,50.060001,1147700,39.843044
"119",49.139999,49.560001,48.919998,49.07,596400,39.592914
"120",48.689999,48.889999,48.02,48.650002,860200,39.254032
"121",48.310001,48.779999,48.169998,48.700001,842300,39.294374
"122",49.259998,49.330002,48.880001,49.009998,1042100,39.544501
"123",49.060001,49.110001,47.619999,47.990002,1628800,38.7215
"124",47.77,47.869999,46.73,47.810001,2398600,38.576264
"125",47.700001,48.290001,47.529999,48.029999,1206100,38.753773
"126",48.380001,49.720001,47.240002,47.779999,4774200,38.552056
"127",47.75,48.59,47.75,48.330002,1336400,38.995835
"128",48.169998,48.700001,47.869999,48.529999,828200,39.157206
"129",48.639999,49.220001,48.630001,49.189999,1010300,39.689737
"130",49.439999,49.689999,49.07,49.43,855200,39.883386
"131",49.599998,49.650002,49.23,49.400002,634800,39.859181
"132",49.419998,49.52,48.84,48.990002,882200,39.528366
"133",48.990002,49.369999,48.529999,49.34,970300,39.810768
"134",49.150002,49.639999,48.689999,49.240002,4328400,39.730083
"135",49.66,49.700001,48.810001,48.919998,1178100,39.471883
"136",49.099998,49.330002,48.799999,49.16,777900,39.665532
"137",49.220001,49.529999,49.049999,49.290001,343500,39.770425
"138",49.139999,49.490002,49.040001,49.200001,268600,39.697807
"139",49.150002,49.25,49.049999,49.130001,229300,39.641327
"140",49.119999,49.240002,48.759998,49.119999,392600,39.633257
"141",49.119999,49.209999,48.950001,49.029999,299900,39.560639
"142",49.029999,49.150002,48.619999,48.810001,352000,39.38313
"143",48.75,48.970001,48.5,48.509998,331000,39.141068
"144",48.830002,49.110001,48.509998,48.880001,448100,39.43961
"145",49.02,49.07,48.599998,48.790001,824500,39.366992
"146",48.700001,48.790001,48.23,48.25,594500,38.931284
"147",48.299999,48.34,47.66,48.209999,623900,38.899009
"148",48.369999,48.48,47.82,48.299999,1113300,38.971627
"149",48.32,48.34,47.509998,47.790001,479400,38.560126
"150",47.93,48.110001,47.68,48.110001,637100,38.818323
"151",48.34,48.470001,47.919998,48.060001,380700,38.777981
"152",48,48.09,47.619999,47.720001,446300,38.503646
"153",47.700001,48.200001,47.650002,47.970001,408100,38.705363
"154",47.91,48.32,47.900002,48.23,479100,38.915146
"155",48.27,48.400002,47.919998,48.25,422400,38.931284
"156",48.200001,48.59,48.040001,48.32,394300,38.987764
"157",48.779999,48.779999,47.84,48.009998,612200,38.737635
"158",48.07,48.380001,47.919998,48.080002,519100,38.794118
"159",48.029999,48.259998,47.77,48.169998,348300,38.866733
"160",48.25,48.400002,47.889999,48.299999,523500,38.971627
"161",48.360001,48.759998,48.049999,48.59,499700,39.205619
"162",48.709999,48.799999,47.619999,47.709999,474200,38.495576
"163",48.580002,48.580002,47.580002,47.59,650700,38.398753
"164",47.77,48.310001,47.66,48.150002,497200,38.850599
"165",48.09,48.139999,47.849998,47.970001,383700,38.705363
"166",48.060001,48.349998,47.84,48.240002,1466300,38.923217
"167",48.310001,48.360001,48.029999,48.220001,1405400,38.907079
"168",48.32,48.48,48.189999,48.48,1428700,39.116863
"169",48.509998,48.669998,48.310001,48.66,312200,39.262099
"170",48.59,48.860001,48.450001,48.740002,444500,39.32665
"171",48.740002,49.450001,48.59,49.400002,617800,39.859181
"172",49.279999,49.560001,49.130001,49.25,442800,39.73815
"173",49.27,49.310001,48.849998,49.25,562800,39.73815
"174",49.25,49.52,49.07,49.330002,393100,39.802701
"175",49.43,49.669998,48.849998,48.880001,540200,39.43961
"176",48.880001,49.279999,48.849998,49.209999,510900,39.705875
"177",49.209999,49.349998,49.029999,49.34,602100,39.810768
"178",48.990002,49.66,48.990002,49.450001,780000,39.899524
"179",49.459999,49.57,48.580002,48.630001,862700,39.237894
"180",48.18,49.07,48.18,48.419998,964700,39.622495
"181",48.619999,48.619999,48.23,48.52,391400,39.704327
"182",48.650002,49.18,48.610001,48.970001,691600,40.072567
"183",49.150002,49.400002,48.599998,48.639999,579100,39.802524
"184",48.68,49.349998,48.66,49.330002,676800,40.367158
"185",49.610001,50.23,49.5,50.16,734700,41.046353
"186",49.990002,50.189999,49.380001,49.720001,809300,40.686298
"187",49.939999,50.380001,49.790001,49.900002,461500,40.833594
"188",49.959999,50.84,49.869999,50.5,646300,41.324578
"189",50.560001,51.029999,50.150002,50.950001,541900,41.692817
"190",50.48,50.59,50.07,50.150002,535000,41.038171
"191",50.259998,50.490002,49.93,50.23,365000,41.103634
"192",49.91,50.110001,49.400002,50.049999,668500,40.956338
"193",48.959999,49.630001,48.959999,49.240002,620000,40.293511
"194",49.259998,49.41,48.259998,48.599998,895700,39.769791
"195",49.209999,49.25,48.419998,48.779999,474100,39.917086
"196",49.32,49.790001,48.889999,49.130001,674400,40.203496
"197",49.75,50.169998,49.59,49.869999,376000,40.809043
"198",49.91,50.209999,49.57,49.59,325400,40.579917
"199",49.5,49.59,49.099998,49.349998,252200,40.383522
"200",49.59,49.75,49.259998,49.630001,252200,40.61265
"201",49.720001,50.099998,49.580002,49.66,236000,40.637199
"202",49.759998,50.130001,49.509998,49.52,271800,40.522636
"203",49.5,50,49.349998,49.919998,244800,40.849957
"204",50,50.75,50,50.68,531000,41.471874
"205",50.560001,50.700001,50.380001,50.509998,309300,41.33276
"206",50.73,51.139999,50.73,50.919998,267500,41.668266
"207",51.02,51.099998,50.740002,50.869999,325300,41.627351
"208",50.91,51.060001,50.560001,50.610001,362800,41.414592
"209",50.540001,51.110001,50.540001,50.830002,451100,41.594621
"210",50.82,50.84,50.389999,50.41,325600,41.25093
"211",50.630001,50.669998,50.130001,50.419998,238600,41.259112
"212",50.369999,50.470001,49.720001,49.77,287600,40.727213
"213",49.41,49.939999,49.23,49.389999,352400,40.416255
"214",49.610001,49.919998,49.369999,49.48,338800,40.489903
"215",49.330002,49.709999,49.099998,49.619999,292800,40.604466
"216",49.779999,50.779999,49.59,50.630001,658300,41.430959
"217",50.209999,50.709999,49.700001,50.029999,552300,40.939972
"218",50.040001,50.119999,49.389999,49.68,395200,40.653565
"219",50.139999,50.490002,50.139999,50.330002,330000,41.185467
"220",50.360001,50.459999,50.130001,50.299999,169200,41.160916
"221",50.360001,50.57,50.220001,50.459999,180800,41.291845
"222",50.619999,51.07,50.57,51.07,405500,41.791013
"223",51.110001,51.68,51.060001,51.630001,449600,42.249267
"224",51.630001,52.16,51.5,52.040001,404000,42.584774
"225",52.150002,52.419998,51.830002,52.360001,387000,42.846632
"226",52.5,52.799999,52.349998,52.48,433900,42.944828
"227",52.380001,52.98,52.259998,52.860001,467600,43.255786
"228",52.93,53.09,52.560001,52.73,1007800,43.149405
"229",52.389999,52.75,51.73,51.830002,896200,42.41293
"230",52.259998,53.040001,52.25,52.849998,802200,43.247602
"231",52.779999,53.099998,52.509998,52.990002,453800,43.362167
"232",53.169998,53.709999,53.09,53.59,561800,43.853151
"233",53.560001,53.560001,52.970001,53.27,395900,43.591293
"234",53.189999,53.77,53.139999,53.740002,466000,43.975899
"235",53.82,53.98,53.310001,53.889999,492000,44.098643
"236",53.669998,54,53.16,53.200001,545000,43.534011
"237",53.110001,53.610001,53.02,53.610001,569700,43.869518
"238",53.630001,53.68,53.110001,53.560001,489500,43.828603
"239",53.75,54.02,53.43,53.880001,541800,44.090461
"240",53.779999,53.970001,53.349998,53.669998,310900,43.918614
"241",53.25,53.52,52.790001,52.830002,412100,43.231238
"242",53.029999,53.029999,52.689999,52.740002,673500,43.15759
"243",52.549999,52.720001,52.169998,52.459999,599200,42.928462
"244",51.880001,51.990002,51.52,51.889999,381700,43.019658
"245",52.099998,52.32,51.900002,51.970001,261800,43.085984
"246",52.259998,52.380001,51.990002,52.34,433100,43.392733
"247",52.290001,52.32,51.32,51.369999,494000,42.588549
"248",51.560001,51.57,50.919998,51.400002,547900,42.613423
"249",50.689999,51.23,50.439999,50.810001,606900,42.12428
"250",50.779999,50.799999,50.259998,50.349998,425600,41.742913
"251",50.540001,50.84,50.310001,50.310001,316500,41.709753
"252",50.369999,50.580002,50.18,50.450001,399000,41.82582
"253",50.450001,50.560001,50.209999,50.27,337200,41.67659
"254",50.16,50.259998,49.830002,49.900002,311800,41.36984
"255",49.939999,50.220001,49.720001,50.060001,276400,41.502489
"256",50.490002,50.709999,50.07,50.439999,324500,41.817528
"257",50.18,50.529999,49.59,49.790001,449900,41.278644
"258",49.82,50.279999,49.700001,49.91,464300,41.37813
"259",50.169998,50.700001,50.169998,50.34,497500,41.734623
"260",50.32,51.099998,50.099998,51.02,1029200,42.298381
"261",51.259998,51.52,50.970001,51.290001,293800,42.522226
"262",51.139999,51.349998,50.889999,51.139999,462100,42.397867
"263",50.48,50.75,50.16,50.720001,480000,42.049665
"264",50.810001,51.209999,50.759998,50.82,304300,42.132569
"265",50.919998,51.34,50.919998,51.27,248500,42.505645
"266",51.369999,51.68,51.27,51.540001,242400,42.72949
"267",51.630001,51.900002,51.48,51.799999,324700,42.945043
"268",52.02,52.02,51.610001,51.84,350800,42.978206
"269",51.91,52.619999,51.830002,52.560001,402500,43.575126
"270",52.369999,52.490002,52.049999,52.299999,387300,43.35957
"271",52.259998,52.650002,52.049999,52.439999,245000,43.475637
"272",52.75,52.790001,52.279999,52.700001,277700,43.691193
"273",52.25,52.639999,52.209999,52.59,274600,43.599997
"274",52.18,52.209999,51.720001,51.799999,392200,42.945043
"275",51.610001,52.360001,51.599998,52.009998,337800,43.119144
"276",52.209999,52.349998,51.630001,51.799999,408400,42.945043
"277",51.77,52.09,51.400002,51.490002,267200,42.688038
"278",51.650002,51.869999,51.279999,51.73,428500,42.887009
"279",51.540001,51.639999,50.900002,51.060001,252500,42.331544
"280",51.189999,51.41,50.799999,51.389999,361100,42.60513
