"","UNM.Open","UNM.High","UNM.Low","UNM.Close","UNM.Volume","UNM.Adjusted"
"1",22.6,23.1,22.49,23.059999,2882500,20.980206
"2",22.74,23.34,22.58,23.290001,3242300,21.189463
"3",23.5,23.73,23.27,23.35,3647300,21.244051
"4",23.48,23.85,23.23,23.82,3367900,21.671661
"5",23.49,23.74,23.280001,23.43,2907400,21.316836
"6",23.43,23.58,23.129999,23.360001,2417100,21.25315
"7",23.440001,23.58,23.379999,23.58,2206400,21.453307
"8",23.9,24.34,23.280001,23.440001,1854600,21.325934
"9",23.389999,23.68,22.93,22.959999,2615000,20.889225
"10",22.950001,23.07,22.559999,22.74,2852700,20.689067
"11",22.59,22.719999,22.24,22.33,3382900,20.316045
"12",22.52,22.76,22.059999,22.690001,3641900,20.643577
"13",22.73,22.950001,22.6,22.790001,2743600,20.734559
"14",22.440001,22.440001,21.76,21.91,4575700,19.933925
"15",21.809999,22.209999,21.65,21.700001,4520400,19.742866
"16",21.77,21.780001,20.92,21.34,4671700,19.415334
"17",21.440001,21.59,20.98,21.26,3109200,19.34255
"18",21.530001,21.809999,20.99,21.299999,4189700,19.378941
"19",21.530001,21.99,21.309999,21.950001,5086700,19.970319
"20",22.200001,22.440001,21.92,22.4,3140400,20.379732
"21",22.459999,22.700001,22.35,22.66,2066900,20.616282
"22",22.57,22.719999,22.33,22.51,2387100,20.479811
"23",22.82,23.01,22.73,22.889999,2869100,20.825538
"24",22.719999,22.719999,22.24,22.440001,3729000,20.416125
"25",22.459999,22.530001,21.99,22.459999,3187900,20.43432
"26",22.209999,22.219999,21.639999,21.73,3989200,19.770159
"27",21.809999,21.969999,21.34,21.719999,2369000,19.761061
"28",21.290001,22.15,21.280001,22.15,3264000,20.152279
"29",22.450001,22.450001,21.73,21.799999,4497900,19.833846
"30",22.120001,22.120001,21.6,21.809999,7647800,19.842944
"31",21.709999,22.49,21.559999,22.459999,5736000,20.43432
"32",22.450001,22.610001,22.18,22.32,4177900,20.306947
"33",22.559999,23,22.530001,22.879999,4363700,20.81644
"34",22.809999,22.809999,22.379999,22.389999,2710700,20.453772
"35",22.700001,23.1,22.280001,22.74,4019100,20.773505
"36",22.43,22.99,22.32,22.82,2669200,20.846587
"37",23.17,23.57,22.84,23.24,4180800,21.230266
"38",23.129999,23.16,22.309999,22.73,3274900,20.76437
"39",22.76,22.93,21.5,21.83,9574500,19.9422
"40",21.639999,21.92,21.5,21.879999,2804400,19.987875
"41",21.559999,21.870001,21.299999,21.809999,4813700,19.923929
"42",21.879999,22.34,21.73,22.309999,2742900,20.38069
"43",22.01,22.18,21.83,21.92,5489500,20.024417
"44",21.309999,21.58,20.91,20.92,3945100,19.110894
"45",20.620001,20.870001,20.6,20.780001,3021500,18.983002
"46",20.75,21.01,20.629999,20.809999,3128200,19.010406
"47",20.629999,20.85,20.540001,20.719999,2237200,18.928189
"48",20.9,21.129999,20.84,21.030001,2287200,19.211382
"49",21.040001,21.120001,20.75,21.01,1913100,19.193111
"50",20.889999,20.959999,20.26,20.43,2954600,18.663268
"51",20.24,20.459999,20.059999,20.33,2406600,18.571916
"52",20.469999,20.66,20.35,20.41,2262300,18.644997
"53",20.15,20.25,19.799999,19.809999,3203500,18.096883
"54",19.610001,19.690001,19.35,19.58,5175800,17.886774
"55",19.719999,19.77,19.309999,19.450001,3061900,17.768016
"56",19.57,20.219999,19.299999,20.209999,2331900,18.462292
"57",20.1,20.190001,19.58,19.6,1582100,17.905044
"58",19.459999,20.18,19.450001,20.049999,3453100,18.316129
"59",20.41,20.969999,20.32,20.93,3812900,19.12003
"60",20.870001,21.450001,20.75,21.450001,3576700,19.595062
"61",21.65,22.299999,21.65,22.27,3914600,20.34415
"62",22.059999,22.07,21.290001,21.290001,3046600,19.448898
"63",21.370001,21.700001,21.35,21.389999,2178000,19.540249
"64",21.75,21.92,21.5,21.67,1633500,19.796036
"65",21.700001,22.059999,21.51,21.870001,2326000,19.978741
"66",22.1,22.26,21.889999,22.24,1818000,20.316744
"67",22.219999,22.309999,21.950001,22.17,2662300,20.252797
"68",21.93,22.209999,21.85,22.15,1942100,20.234527
"69",22.09,22.129999,21.93,22.120001,1418700,20.207122
"70",22.290001,22.32,22.1,22.200001,3955200,20.280204
"71",22.25,22.709999,22.17,22.639999,1767500,20.682152
"72",22.690001,22.799999,22.4,22.52,2610400,20.572531
"73",22.450001,22.49,22.09,22.200001,4067400,20.280204
"74",21.950001,22.120001,21.799999,21.9,2800600,20.006146
"75",22.110001,22.450001,21.690001,22.4,3743500,20.462907
"76",22.34,22.370001,22.120001,22.15,2966800,20.234527
"77",22.25,22.450001,21.91,22.35,2019300,20.417232
"78",22.219999,22.389999,22.15,22.25,2279200,20.325879
"79",22.42,22.58,22.08,22.15,2701300,20.234527
"80",22.26,22.34,21.799999,22.040001,2816200,20.13404
"81",21.940001,22.110001,21.709999,21.799999,2870600,19.914793
"82",22.030001,22.549999,21.66,22.5,2595000,20.55426
"83",22.49,22.57,22.370001,22.450001,1791600,20.508584
"84",22.610001,22.74,22.200001,22.34,2149400,20.408096
"85",22.309999,22.42,22.01,22.370001,2318200,20.435503
"86",22.41,22.51,22.26,22.299999,1464000,20.371555
"87",22.200001,22.33,21.93,22.25,3128200,20.325879
"88",22.389999,22.860001,22.32,22.549999,3047200,20.599935
"89",22.49,22.959999,22.309999,22.52,2700500,20.572531
"90",22.709999,22.870001,22.33,22.52,2756800,20.572531
"91",22.51,22.860001,22.42,22.84,1546400,20.864858
"92",22.48,22.889999,22.190001,22.27,4442100,20.34415
