"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"1",59.799999,61,59.5,60.84,6315700,52.741411
"2",60.43,61.349998,60.139999,61.200001,4411200,53.053491
"3",61.700001,62.509998,61.029999,61.080002,3873300,52.949465
"4",61.599998,62.759998,61.400002,62.66,4834900,54.319145
"5",62.32,63.490002,62.200001,62.41,8791700,54.102423
"6",62.919998,62.919998,61.389999,62.200001,5598500,53.920378
"7",62.259998,62.529999,62,62.5,5100000,54.180443
"8",63.029999,63.439999,61.84,62.169998,5075400,53.894369
"9",62.099998,62.290001,60.110001,60.400002,6483100,52.359982
"10",60.400002,60.889999,59.639999,60.380001,3502600,52.342644
"11",60.169998,61.02,59.779999,60.09,4603500,52.091246
"12",60.139999,60.400002,59.5,60.349998,4359700,52.316635
"13",60.349998,60.580002,59.509998,59.630001,2573100,51.692478
"14",59,59,57.029999,57.540001,6077500,49.880684
"15",57.34,58.259998,56.700001,56.889999,4703900,49.317206
"16",57.459999,58.139999,56.869999,58,6305900,50.279451
"17",57.990002,58.25,56.470001,56.759998,4630300,49.20451
"18",57.34,58.220001,56.610001,57.200001,4749400,49.585942
"19",57.279999,59.619999,57.279999,59.470001,6372400,51.553776
"20",59.830002,60.380001,59.259998,59.959999,4122500,51.978549
"21",60,60.290001,59.549999,60.060001,2700000,52.06524
"22",60.389999,60.5,59.439999,60.02,3555100,52.030564
"23",60.689999,61.650002,60.66,61.299999,5123400,53.140178
"24",61.25,62.34,61.25,61.759998,4290000,53.538945
"25",61.810001,61.849998,60.419998,61.34,3607000,53.174854
"26",60.990002,61.290001,59.450001,59.68,6274700,51.735822
"27",59.849998,60.639999,59.23,60.459999,4435000,52.411993
"28",59.860001,60.950001,59.27,60.880001,3071100,52.776087
"29",61.439999,61.439999,59.369999,60.009998,4417600,52.021893
"30",63,64.309998,62.599998,63.150002,11500700,54.743921
"31",63.360001,64,62.900002,63.669998,4716200,55.1947
"32",64.720001,65,64.169998,64.879997,4998000,56.243632
"33",65.059998,65.25,64.550003,64.660004,4474000,56.052923
"34",64.599998,65.290001,64.279999,64.800003,4010300,56.174286
"35",65.099998,65.32,64.150002,64.389999,3781200,55.818859
"36",63.950001,65.349998,63.639999,65,5191500,56.347661
"37",65.730003,66.650002,65.220001,66.599998,5489500,57.734679
"38",66.480003,66.760002,65.809998,66.599998,5170600,57.734679
"39",66.68,67.699997,66.57,67.379997,4940100,58.41085
"40",66.870003,67.720001,66.620003,67.419998,4357700,58.445526
"41",66.669998,67.489998,66,66.699997,4663600,57.821366
"42",67.080002,67.720001,66.949997,67.419998,2623300,58.445526
"43",66.989998,67.540001,66.68,67.209999,4724800,58.263481
"44",66.32,66.620003,64.790001,65.209999,5524900,56.529707
"45",63.98,64.730003,63.560001,64.480003,3950500,56.302682
"46",64.220001,64.800003,64.120003,64.440002,3299900,56.267754
"47",64.029999,64.940002,63.73,64.650002,2895800,56.451121
"48",65.110001,66.550003,65.040001,66.019997,4400400,57.647374
"49",65.93,66.599998,65.379997,66.169998,3845400,57.778353
"50",65.82,66.18,64.830002,65.419998,5560200,57.123467
