"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"1",76.169998,77.629997,75.779999,77.529999,2745600,17.453734
"2",76.980003,78.290001,76.889999,77.769997,3883600,17.507763
"3",78.279999,79.07,77.82,78.089996,2859200,17.579802
"4",78.470001,80.150002,78.059998,80.029999,3243600,18.01654
"5",79.730003,80,78.610001,79.25,4393600,17.840945
"6",79.449997,79.580002,78,78.599998,5622800,17.694615
"7",78.730003,79.709999,78.389999,79.160004,3884000,17.820685
"8",80.059998,80.169998,78.129997,78.57,3869200,17.687862
"9",78.940002,79.57,76.260002,76.370003,3460400,17.192593
"10",76.32,76.589996,75.169998,76.029999,4380800,17.116051
"11",75.75,75.779999,74.269997,74.720001,4646400,16.821141
"12",74.709999,75.43,74.07,75.330002,5861200,16.958466
"13",75.239998,76.120003,74.75,75.209999,2764000,16.93145
"14",74,74.040001,71.699997,72.239998,6198400,16.262837
"15",72,72.68,71.040001,71.18,5007600,16.024208
"16",71.050003,72.160004,69.860001,71.519997,4274400,16.100748
"17",71.610001,72.089996,70.290001,70.620003,2987600,15.89814
"18",71.300003,71.870003,69.239998,69.910004,3285600,15.738303
"19",69.959999,72.690002,69.769997,72.550003,3741600,16.332626
"20",72.889999,74.459999,72.889999,74.269997,4392400,16.719835
"21",75.07,75.07,73.839996,74.900002,3184800,16.861663
"22",74.519997,75.349998,73.919998,74.370003,3628800,16.742348
"23",75.529999,76.57,75.07,76.190002,2754800,17.152071
"24",75.790001,76.25,74.940002,76.160004,4013200,17.145318
"25",76.089996,76.459999,74.910004,76.059998,4412800,17.122804
"26",75.709999,75.849998,72.68,72.870003,4267200,16.404665
"27",73.239998,73.839996,72.099998,72.790001,2704400,16.386655
"28",71.639999,75.029999,71.559998,75,3428000,16.884175
"29",75.440002,75.639999,73.769997,73.959999,4311200,16.650048
"30",78.209999,79.470001,76.120003,78.400002,6548400,17.649591
"31",78.980003,80.769997,78.980003,79.779999,6979600,17.960259
"32",80.019997,82.110001,79.629997,81.879997,4970000,18.433016
"33",82,82.110001,79.529999,80.360001,4624000,18.090831
"34",80.019997,80.660004,78.93,79.540001,3255600,17.906231
"35",79.860001,80.220001,78.120003,79.230003,3170800,17.836443
"36",78.230003,79.470001,77.809998,79.330002,4354400,17.858955
"37",80.480003,81.459999,80.339996,80.900002,3507600,18.212397
"38",80.279999,80.580002,79.339996,79.480003,2218800,17.892724
"39",79.809998,81.25,79.739998,81.099998,2211600,18.257421
"40",80.339996,80.989998,79.739998,80.790001,2056400,18.187633
"41",80.099998,80.980003,79.510002,80.580002,2998400,18.140358
"42",81.169998,81.25,80.309998,80.5,2684400,18.122348
"43",79.949997,80.550003,78.959999,80.260002,3324800,18.068319
"44",79,79.089996,77.309998,77.860001,3332000,17.528025
"45",77.010002,77.260002,76.239998,77.110001,3323200,17.359183
"46",76.849998,77.309998,76.470001,76.510002,1950400,17.22411
"47",76.230003,76.959999,75.25,76.610001,1850400,17.246622
"48",77.349998,78.449997,76.849998,77.82,1749600,17.51902
"49",77.660004,78.239998,76.870003,77.660004,3718000,17.483001
"50",77.440002,77.440002,75.620003,75.940002,3557200,17.09579
"51",75.419998,75.730003,74.690002,75.540001,3825600,17.005741
"52",75.690002,76.690002,75.260002,75.300003,5130800,16.951712
"53",74.349998,74.940002,73.260002,74.480003,4740000,16.767112
"54",73.980003,74.75,72.949997,74.709999,3065200,16.818889
"55",74.910004,74.980003,73.080002,73.190002,3294000,16.476704
"56",73.620003,74.059998,72.5,73.879997,3996800,16.632037
"57",73.870003,74.669998,72.809998,72.809998,3125200,16.391156
"58",70.900002,71.849998,70.089996,70.57,7531600,15.886883
"59",71.639999,73.779999,71.629997,73.25,4512400,16.490211
"60",73.260002,74.529999,73.260002,74.269997,2788000,16.719835
"61",75.260002,75.660004,74.470001,75.580002,3950800,17.014746
"62",75.349998,75.639999,74.769997,74.830002,3056000,16.845905
"63",74.68,75.830002,74.410004,75.089996,3587200,17.041074
"64",75.970001,76.339996,74.830002,75.07,1797200,17.036536
"65",75.449997,75.809998,74.919998,75.510002,2014400,17.136391
"66",76.07,76.639999,75.779999,76.209999,2276400,17.29525
"67",76.110001,77.459999,76,77.190002,2600800,17.517654
"68",76.889999,78.150002,76.760002,78.040001,2550400,17.710554
"69",77.480003,77.760002,77.010002,77.599998,2429200,17.610699
"70",78.089996,78.199997,77.199997,77.480003,3213600,17.583467
"71",77.849998,79,77.790001,78.919998,2408000,17.910262
"72",79.010002,79.07,78.07,78.440002,3385600,17.801331
"73",78.709999,79.029999,77.529999,77.940002,3075600,17.68786
"74",77.339996,77.940002,77.019997,77.309998,2283200,17.544886
"75",78.330002,79.019997,78.290001,79.019997,3184800,17.932956
"76",79.239998,79.980003,78.769997,79.669998,2942400,18.080469
"77",79.68,80.879997,78.519997,80.720001,2468000,18.318759
"78",80.32,81.330002,80.050003,80.849998,2690800,18.348261
"79",81.5,81.910004,80.330002,81.019997,3076000,18.38684
"80",81.529999,81.849998,80.370003,80.82,3053200,18.341453
"81",80.82,81.559998,80.419998,80.809998,3506400,18.339183
"82",81.589996,82.889999,81.029999,82.599998,3643600,18.745409
"83",82.519997,82.760002,81.75,82.309998,2405200,18.679596
"84",82.790001,82.910004,81.970001,82.470001,2494000,18.715907
"85",82.349998,84.730003,82.099998,84.330002,2848800,19.13802
"86",84.07,85.639999,84.07,85.239998,3222800,19.344536
"87",85.040001,85.160004,83.830002,84.870003,3330800,19.260568
"88",85.5,85.660004,84.540001,84.639999,3062000,19.208371
"89",84.620003,86.110001,84.620003,85.940002,3548000,19.503396
"90",86.769997,86.769997,85.400002,85.970001,2822800,19.510204
"91",86.120003,86.760002,85.580002,86.57,2691600,19.646369
"92",85.459999,86.449997,85,85.610001,3440800,19.428505
"93",86.220001,87.690002,85.870003,87.459999,7128400,19.848347
"94",84.68,89.300003,83.559998,85.190002,9130400,19.33319
"95",85.480003,86.360001,85.120003,86,3696400,19.517012
"96",86.580002,86.580002,85.150002,85.25,3300000,19.346806
"97",84.730003,86.199997,84.480003,85.639999,4196000,19.435313
"98",84.849998,84.860001,81.589996,82.910004,7074400,18.815762
"99",83.489998,83.910004,82.410004,83.839996,5192000,19.026817
"100",83.760002,84.309998,83.050003,83.239998,4266400,18.890652
"101",83.75,84.339996,82.639999,83.269997,2124000,18.89746
"102",84.019997,84.519997,83.32,83.330002,2444000,18.911078
"103",83.620003,83.639999,81.919998,83.110001,3394800,18.86115
"104",84.209999,84.349998,83.269997,83.529999,4296000,18.956465
"105",83.690002,85.519997,83.690002,84.970001,2767200,19.283262
"106",84.75,84.769997,83.760002,84.330002,2994000,19.13802
"107",84.529999,84.529999,82.730003,83.029999,3527200,18.842994
"108",82.019997,82.080002,79.870003,80.43,8800000,18.252945
"109",79.959999,81.050003,79.760002,80.860001,5020400,18.35053
"110",80.470001,81,79.199997,79.360001,3618400,18.010117
"111",79.790001,81.080002,79.5,79.760002,3710000,18.100895
"112",79.279999,80.139999,78.209999,78.760002,3982000,17.873953
"113",78.989998,80.970001,78.980003,80.699997,3338400,18.314219
"114",81.75,82.220001,81.419998,81.510002,2715200,18.498043
"115",81.720001,82.57,80.809998,82.550003,3064000,18.734063
"116",82.290001,83.650002,81.940002,83.400002,3059200,18.926963
"117",82.620003,83.239998,82.07,82.949997,3085600,18.824838
"118",83.949997,84.449997,83.57,84.449997,2339200,19.165251
"119",83.870003,84.25,83.559998,83.82,923200,19.022279
"120",83.959999,85.110001,81.849998,83.330002,4362000,18.911078
"121",83,83.660004,82.5,82.879997,5342800,18.808953
"122",84.129997,84.779999,83.879997,83.989998,5708800,19.060858
"123",84.449997,85.839996,84.019997,85.389999,5214400,19.378577
"124",85.099998,85.360001,83.760002,84.959999,3795200,19.280992
"125",84.809998,85.800003,84.279999,85.519997,3105200,19.408079
"126",86.190002,86.910004,85.599998,85.639999,5175200,19.435313
"127",85.199997,85.379997,84.269997,85.379997,2825200,19.519903
"128",85.900002,85.910004,85.260002,85.589996,2663600,19.567913
"129",85.449997,86.169998,85.290001,86.040001,3278400,19.670795
"130",86.580002,88,86.449997,87.459999,4722800,19.995441
"131",87.110001,88.050003,86.970001,87.599998,3496800,20.027448
"132",87.379997,88.470001,87.190002,87.599998,3984400,20.027448
"133",87.980003,88.379997,87.43,88.160004,3040400,20.155478
"134",88.339996,89.5,88.199997,89.209999,4839600,20.395532
"135",89.489998,89.5,88.330002,89.32,2897600,20.420681
"136",89.459999,89.739998,88.709999,88.790001,4526800,20.299511
"137",88.650002,88.650002,86.279999,86.849998,10919200,19.85598
"138",86.949997,87.419998,86.440002,86.889999,3934000,19.865125
"139",86.809998,87.010002,86.089996,86.599998,4478400,19.798824
"140",86.949997,87.089996,86.300003,86.849998,2324800,19.85598
