"","VIAB.Open","VIAB.High","VIAB.Low","VIAB.Close","VIAB.Volume","VIAB.Adjusted"
"1",33.84,34.25,33.369999,33.959999,6241500,30.805488
"2",33.740002,34.139999,33.490002,34.080002,3341100,30.914344
"3",34.25,34.709999,33.959999,34.02,4471500,30.859916
"4",34.48,35.060001,34.130001,35.049999,5100900,31.794239
"5",34.779999,35.610001,34.650002,35.540001,5197800,32.238725
"6",35.32,35.73,35.209999,35.700001,4055000,32.521122
"7",35.98,36,35.5,35.610001,4663800,32.439136
"8",35.939999,36.34,35.529999,35.639999,4728900,32.466464
"9",35.560001,36.040001,35.110001,35.220001,4656600,32.083864
"10",35.200001,35.41,34.700001,35.27,4097100,32.129411
"11",35.110001,35.110001,33.700001,34.09,8108600,31.054483
"12",34.18,34.490002,33.639999,34.110001,5964600,31.072702
"13",34.310001,34.450001,33.759998,33.970001,2634500,30.945169
"14",33.349998,33.400002,31.780001,32.07,6937000,29.214352
"15",32.02,32.139999,31.209999,31.370001,6064600,28.576684
"16",31.24,31.879999,30.59,30.76,11514600,28.021
"17",31.08,31.16,30.24,30.77,5734400,28.03011
"18",30.809999,31.59,30.780001,31.18,5243300,28.403602
"19",31.370001,32.700001,31.17,32.650002,5661300,29.742708
"20",32.799999,33.189999,32.610001,33.040001,2869000,30.09798
"21",33.07,33.619999,33.060001,33.57,3647200,30.580785
"22",33.369999,33.810001,33.27,33.439999,1961000,30.46236
"23",33.75,34.48,33.75,34.25,2852200,31.200236
"24",34.009998,34.18,33.220001,33.669998,3493800,30.67188
"25",33.580002,33.799999,32.599998,33.099998,5088100,30.152635
"26",32.880001,32.889999,31.639999,31.790001,4986900,28.959285
"27",31.809999,32.419998,31.67,32.279999,2251700,29.405652
"28",32.02,32.509998,31.540001,32.490002,5138400,29.596955
"29",32.549999,32.709999,31.389999,31.51,4461300,28.704217
"30",31.77,33,31.77,32.900002,4946000,29.970447
"31",32.849998,33.41,32.77,33.220001,3640400,30.261952
"32",33.299999,33.700001,33.099998,33.549999,2359800,30.562566
"33",33.59,33.799999,32.830002,32.869999,4069500,29.943116
"34",32.82,33.040001,32.509998,32.880001,6694500,29.952227
"35",33.169998,33.630001,32.43,32.939999,4287800,30.006882
"36",32.82,33.240002,32.16,33.040001,3261400,30.09798
"37",33.470001,34.220001,33.470001,34.119999,3685200,31.08181
"38",34.080002,34.080002,33.349998,33.869999,2591400,30.854072
"39",34.009998,34.68,33.84,34.02,4907200,30.990716
"40",33.779999,34.18,33.099998,33.700001,7423800,30.699211
"41",33.310001,33.869999,32.939999,33.599998,3776600,30.608113
"42",33.709999,33.84,33.439999,33.669998,1609500,30.67188
"43",33.459999,34.009998,33.43,33.959999,3407600,30.936058
"44",33.330002,33.330002,32.509998,32.66,4212600,29.751816
"45",32.130001,32.759998,31.940001,32.759998,6237200,29.84291
"46",32.490002,32.799999,32.290001,32.509998,2566700,29.615171
"47",32.25,32.830002,32.080002,32.630001,2226500,29.724488
"48",32.82,33.200001,32.630001,33.009998,2101000,30.070649
"49",32.939999,33.799999,32.810001,33,2525000,30.061541
"50",32.77,33.02,31.85,32.200001,3267000,29.332777
"51",31.940001,32.02,31.620001,31.68,4238500,28.85908
"52",31.879999,32,31.27,31.469999,5330800,28.667778
"53",31.1,31.52,30.610001,31.09,5817800,28.321616
"54",30.879999,31.25,30.389999,31.09,4568700,28.321616
"55",31.049999,31.75,31.049999,31.379999,3464300,28.585792
"56",31.379999,31.889999,30.93,31.82,3142900,29.125836
"57",31.73,32,31.4,31.4,2537900,28.741397
"58",31.309999,31.620001,30.91,31.42,3983600,28.759704
"59",31.870001,32.189999,31.389999,31.82,8078700,29.125836
"60",32.119999,32.470001,31.98,32.470001,2985600,29.720803
"61",32.759998,33,32.360001,32.950001,3926300,30.160161
"62",32.700001,32.889999,32.169998,32.279999,2604800,29.546888
