"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"1",46.68,47.290001,46.290001,46.77,1522000,44.884422
"2",46.32,47.099998,46.139999,47.009998,1037500,45.114744
"3",47.43,47.98,46.77,46.900002,992500,45.009182
"4",47.419998,47.939999,46.98,47.84,2475600,45.911283
"5",47.310001,48.220001,47.009998,47.740002,1794600,45.815316
"6",47.900002,47.990002,46.470001,47.32,864200,45.412247
"7",47.380001,47.619999,47.060001,47.529999,1255700,45.61378
"8",49.169998,49.709999,48.330002,48.720001,1954400,46.755806
"9",48.68,48.970001,46.700001,46.84,1392200,44.951599
"10",46.860001,47.540001,45.900002,47.009998,987000,45.114744
"11",46.59,47.439999,45.98,46.119999,1433500,44.260626
"12",46.689999,46.779999,45.400002,46.07,1245300,44.212642
"13",46.049999,46.349998,45.59,45.77,843400,43.924738
"14",44.939999,44.959999,43.599998,44.240002,1747600,42.456422
"15",44.23,44.709999,43.73,43.830002,1019000,42.062952
"16",43.860001,44,42.549999,43.66,1893400,41.899804
"17",43.98,44.419998,43.18,43.380001,923200,41.631094
"18",44.310001,44.740002,43.779999,44.310001,1423500,42.5236
"19",44.189999,44.209999,43.330002,43.740002,2220900,41.97658
"20",44.18,44.330002,43.259998,43.889999,1403100,42.120531
"21",43.869999,44.509998,43.790001,44.470001,722500,42.677149
"22",44.450001,44.5,43.419998,43.889999,665200,42.120531
"23",44.470001,45.470001,44.41,45.240002,816600,43.416106
"24",44.970001,45.080002,44.209999,45.07,824500,43.252958
"25",45,45.060001,43.650002,44.470001,1021700,42.677149
"26",44.09,44.16,42.970001,43.240002,1492900,41.496738
"27",43.43,43.580002,42.560001,43.200001,1564800,41.45835
"28",42.799999,44.810001,42.650002,44.799999,1082400,42.993843
"29",45.439999,45.439999,43.860001,44.150002,903800,42.370051
"30",44.799999,45.669998,44.799999,45.169998,896300,43.348925
"31",44.869999,46.290001,44.869999,46.209999,682200,44.346997
"32",46.09,47.419998,46.09,47.380001,709400,45.46983
"33",48.040001,48.040001,46.700001,46.889999,966200,44.999583
"34",46.75,46.799999,45.830002,46,850700,44.145465
"35",46.02,46.169998,44.560001,45.02,1055100,43.204975
"36",44.52,45.549999,44.150002,45.240002,1010300,43.416106
"37",45.779999,47.23,45.779999,46.849998,1147300,44.961195
"38",44.07,44.939999,42.400002,42.560001,4253400,40.844153
"39",42.790001,43.25,40.869999,42.259998,2777500,40.556245
"40",41.450001,41.970001,41.32,41.599998,2001700,39.922854
"41",41.25,41.720001,41.009998,41.619999,1508800,39.942048
"42",41.919998,41.919998,41.330002,41.599998,1088600,39.922854
"43",41.25,41.279999,40.189999,40.599998,1812100,38.96317
"44",40.02,40.259998,39.700001,39.740002,1631500,38.137844
"45",39.310001,39.369999,38.43,38.689999,1993600,37.130173
"46",38.599998,38.889999,38.32,38.32,1510800,36.775091
"47",38.049999,38.299999,37.68,38.25,1669000,36.707914
"48",38.73,39.080002,38.259998,38.610001,2656200,37.0534
"49",38.57,39.560001,38.310001,39.200001,1440300,37.619614
"50",38.830002,38.830002,38,38.470001,1799900,36.919045
"51",38.02,38.91,38.02,38.900002,1653600,37.33171
"52",39.029999,39.25,38.220001,38.310001,1335700,36.765496
"53",37.380001,37.389999,36.419998,37,4303600,35.741549
"54",36.689999,37.73,36.360001,37.599998,2097900,36.32114
"55",37.75,38.130001,37.360001,37.700001,1380900,36.417741
"56",38.009998,38.509998,37.389999,38.48,1792100,37.17121
"57",38.27,38.299999,37.41,37.450001,1595900,36.176244
"58",37.110001,37.48,36.650002,36.759998,1742500,35.50971
"59",37.25,37.73,37.189999,37.66,1564800,36.3791
"60",37.759998,38.700001,37.509998,38.389999,1338600,37.084271
"61",38.650002,39.369999,38.299999,38.549999,1757500,37.238829
"62",38.759998,39.75,38.259998,38.259998,2855500,36.958692
"63",38.259998,38.470001,37.759998,38.25,1662700,36.949033
"64",38.84,38.869999,37.720001,38.110001,975100,36.813796
"65",38.23,38.700001,37.990002,38.459999,1151500,37.15189
"66",38.82,39,38,38.48,1451200,37.17121
"67",38.360001,38.639999,37.689999,37.869999,853600,36.581957
"68",37.740002,37.950001,37.52,37.82,798200,36.533658
"69",37.73,37.900002,37,37.16,1707600,35.896107
"70",36.880001,37.060001,36.549999,36.630001,2008700,35.384134
"71",36.619999,36.860001,36.5,36.630001,2120300,35.384134
"72",37.130001,38.240002,37.130001,37.779999,3795900,36.495018
"73",37.84,37.889999,36.59,36.799999,1895500,35.54835
"74",36.5,36.630001,35.669998,35.700001,1471200,34.485765
"75",36.110001,36.549999,35.919998,36.459999,2809600,35.219914
"76",36.650002,36.650002,36.029999,36.209999,954000,34.978417
"77",36.310001,36.830002,35.610001,36.740002,1730500,35.490393
"78",36.57,36.98,36.369999,36.98,1643200,35.722228
"79",37.279999,37.59,36.66,36.919998,1918900,35.664268
"80",37.279999,37.889999,37.16,37.5,2140800,36.224543
"81",37.5,37.5,36.82,36.889999,1442200,35.635289
"82",37.34,37.84,36.950001,37.630001,1152100,36.350122
"83",37.529999,38.169998,37.34,37.990002,1356700,36.697878
"84",38.209999,38.209999,36.970001,37.099998,1326600,35.838146
"85",37.099998,37.279999,36.450001,36.790001,2541300,35.538692
"86",36.779999,36.849998,36.310001,36.509998,1358100,35.268213
"87",36.330002,36.349998,35.869999,36.009998,1653400,34.785219
"88",36.290001,36.59,36.02,36.509998,1387600,35.268213
"89",36.540001,36.650002,36.18,36.43,1484500,35.190936
"90",36.740002,36.82,36.110001,36.529999,1278100,35.287533
"91",36.529999,36.529999,36.18,36.509998,851800,35.268213
"92",35.84,36.189999,35.400002,35.889999,2367700,34.669302
"93",35.93,36.349998,35.720001,36.189999,1322500,34.959097
"94",36.330002,37.110001,36.09,36.369999,1953200,35.132975
"95",36.470001,36.709999,36.200001,36.700001,881000,35.451753
"96",37.009998,37.470001,36.740002,36.939999,1036200,35.683588
"97",36.700001,37,36.52,36.75,863200,35.500052
"98",36.34,36.439999,35.799999,36.23,1101900,34.997738
"99",36.549999,36.599998,35.959999,36.259998,911900,35.026716
"100",36.240002,36.630001,35.849998,36.509998,987100,35.268213
"101",36.669998,36.860001,35.939999,36.200001,2042200,34.968759
"102",35.650002,39.700001,35.650002,39.290001,5084300,38.217595
"103",39.470001,39.669998,38.080002,38.880001,2015300,37.818786
"104",39.34,41.349998,39.259998,41.34,2723600,40.21164
"105",41.360001,43.490002,41.18,42.389999,3053100,41.23298
"106",42.259998,43.5,42.099998,43.43,2016300,42.244594
"107",43.48,43.48,41.869999,42.119999,1320200,40.970349
"108",42.099998,42.220001,40.82,41.810001,1488400,40.668813
"109",41.310001,41.799999,41.009998,41.630001,1149500,40.493725
"110",41.200001,41.810001,40.540001,40.66,1271500,39.5502
"111",40.810001,40.950001,39.560001,39.610001,1184000,38.52886
"112",39.450001,39.82,38.709999,39.150002,1323200,38.081416
"113",39.080002,39.349998,38.669998,38.939999,719800,37.877146
"114",39.540001,40.209999,39.310001,39.619999,806100,38.538585
"115",39.630001,39.709999,39.169998,39.549999,841200,38.470496
"116",39.32,40.029999,39,40,843600,38.908215
"117",39.369999,39.619999,39.049999,39.200001,677800,38.130051
"118",39.580002,40,39.48,39.900002,542600,38.810946
"119",39.68,39.68,38.700001,38.759998,513200,37.702058
"120",38.490002,39.619999,38.490002,39.459999,889900,38.382953
"121",39.049999,40.459999,38.799999,40.119999,1459100,39.024938
"122",40.950001,42.310001,40.630001,41.939999,1262000,40.795262
"123",42,42.689999,41.639999,42.349998,1546800,41.194071
"124",42.060001,42.299999,41.720001,42,1909700,40.853625
"125",41.950001,42.060001,41.450001,41.669998,910100,40.532631
"126",42.470001,42.700001,42.130001,42.279999,2103500,41.125982
"127",42.41,42.630001,41.669998,42.290001,611100,41.135711
"128",42.43,42.580002,41.880001,42.52,943800,41.359433
"129",42.5,43.48,42.5,43.279999,968400,42.098687
"130",43.439999,45.07,43.400002,44.779999,1560600,43.557745
"131",44.889999,47.57,44.82,47.369999,3244400,46.077052
"132",47.279999,48.259998,46.16,46.389999,2328300,45.123801
"133",46.419998,47.34,46.18,47.330002,986700,46.038147
"134",47.099998,47.330002,45.990002,46.060001,2131100,44.80281
"135",46.09,46.470001,45.279999,45.5,1541900,44.258094
"136",45.549999,45.900002,45.380001,45.509998,1217000,44.267819
"137",45.639999,45.709999,45.029999,45.220001,1164200,43.985738
"138",45.09,45.57,44.689999,44.82,1034500,43.596654
"139",44.709999,44.799999,44.119999,44.43,823800,43.2173
"140",44.639999,44.639999,44.080002,44.330002,634900,43.120031
"141",44.490002,45.330002,44.450001,45.169998,938100,43.9371
"142",45.02,45.150002,44.709999,44.830002,867300,43.606383
"143",44.700001,44.91,44.189999,44.360001,866900,43.149211
"144",44.91,45.220001,44.360001,44.459999,1527200,43.24648
"145",43.41,43.639999,41.779999,42.139999,2475200,40.989803
"146",41.720001,42.119999,40.52,41.259998,3242200,40.133822
"147",41.23,41.369999,40.290001,40.490002,1942300,39.384842
"148",40.5,40.990002,39.950001,40.5,1498600,39.394567
"149",40.330002,40.849998,39.77,40.369999,1508600,39.268115
"150",40.639999,40.970001,40.279999,40.5,1063800,39.394567
"151",40.860001,41.73,40.549999,40.709999,1290000,39.598834
"152",40.77,41.240002,40.369999,40.509998,1099200,39.404293
"153",40.220001,41.09,40.060001,41.060001,1003800,39.939284
"154",41.040001,41.25,40.380001,40.599998,967500,39.491836
"155",40.720001,40.919998,40.189999,40.369999,1084300,39.268115
"156",40.23,41.080002,40.049999,40.650002,1024100,39.540475
"157",40.93,41.220001,40.290001,40.509998,1199900,39.404293
"158",40.43,42.73,40.43,42.02,1312400,40.87308
"159",41.959999,42.419998,41.580002,42.23,1513800,41.077347
"160",42.299999,43.139999,41.860001,43.040001,1545100,41.86524
"161",43.09,43.25,42.540001,43.16,1025700,41.981963
"162",43.25,43.5,41.470001,41.720001,1524900,40.581269
"163",41.950001,42.75,41.540001,42.560001,1081000,41.398342
"164",43.09,43.82,42.810001,43.119999,1523100,41.943054
"165",42.990002,43.32,42.490002,42.849998,1329400,41.680423
"166",41.639999,45.110001,39.939999,43.369999,5535700,42.186231
"167",43.59,43.830002,42.43,42.950001,1604100,41.777696
"168",43.009998,44.639999,43.009998,44.610001,1514400,43.392387
"169",44.779999,45.75,44.360001,44.759998,1516100,43.53829
"170",44.52,44.66,43.900002,44.080002,847100,42.876854
"171",43.93,44.580002,43.810001,44.099998,737500,42.896305
"172",43.849998,44.549999,43.619999,44.470001,1113200,43.256209
"173",44.490002,44.669998,44.209999,44.459999,1092100,43.24648
"174",44.34,44.59,43.73,43.759998,702500,42.565585
"175",43.93,45.459999,43.93,45.419998,894600,44.180276
"176",45.259998,47.18,45.099998,46.98,1536400,45.697698
"177",47.169998,47.169998,46.419998,46.73,1016200,45.454521
"178",45.509998,46.049999,43.959999,44.209999,1457000,43.003303
"179",44.380001,44.380001,42.419998,43.41,1824000,42.465275
"180",43.369999,44.290001,42.73,43.299999,967100,42.357668
"181",43.639999,45.029999,43.459999,44.970001,793300,43.991326
"182",45.139999,45.889999,44.98,45.849998,827800,44.852172
"183",45.919998,45.990002,43.57,43.630001,1294000,42.680488
"184",43.490002,44.849998,43.470001,43.880001,957100,42.925047
"185",44.490002,44.939999,43.759998,44.349998,1233900,43.384816
"186",44.259998,44.529999,43.150002,43.669998,1041300,42.719615
"187",43.799999,44.200001,42.869999,42.93,1141600,41.995721
"188",42.919998,44.470001,42.68,44,858000,43.042435
"189",43.73,44.25,43.34,43.939999,606300,42.983739
"190",43.200001,43.360001,42.259998,42.34,1337400,41.418561
"191",42.169998,43.080002,41.889999,42.139999,1380800,41.222913
"192",41.970001,43.040001,41.75,42.619999,1001000,41.692466
"193",41.150002,43.330002,41,43,915300,42.064198
"194",42.799999,42.880001,41.630001,41.98,1122500,41.066395
"195",42.990002,43.18,42.099998,42.450001,580300,41.526168
"196",43.310001,43.369999,42.639999,43.02,981000,42.083763
"197",43.43,43.799999,43.119999,43.630001,549000,42.680488
"198",43.57,43.720001,42.73,42.919998,892200,41.985937
"199",42.790001,43.200001,42.700001,43.060001,625200,42.122893
"200",43.380001,44.799999,43.290001,44.73,1027300,43.756547
"201",44.75,45.830002,44.68,45.290001,1514800,44.304362
"202",45.34,45.48,44.779999,44.82,775600,43.844589
"203",44.740002,45.189999,44.650002,45.040001,701700,44.059802
"204",45.459999,45.740002,44.91,45.619999,551000,44.627178
"205",45.529999,45.73,45.009998,45.599998,694800,44.607613
"206",46,46.650002,45.799999,46.279999,794700,45.272814
"207",46.32,46.630001,45.639999,45.849998,797500,44.852172
"208",45.619999,46.330002,45.09,46.049999,547000,45.04782
"209",46.419998,46.77,45.799999,46.119999,582900,45.116296
"210",46,46.799999,45.66,45.790001,575800,44.79348
"211",46.18,46.549999,44.790001,45,688900,44.020672
"212",45,45.150002,44.259998,44.560001,969700,43.590249
"213",44.130001,44.43,43.740002,43.950001,917300,42.993524
"214",44.279999,44.490002,43.060001,43.68,1225300,42.729399
"215",43.34,43.779999,42.639999,43.450001,1019800,42.504405
"216",43.610001,44,43.23,43.619999,1004400,42.670704
"217",42.869999,43.040001,42.200001,42.549999,1269600,41.62399
"218",42.580002,42.919998,42.150002,42.32,829200,41.398996
"219",43.099998,43.290001,42.349998,42.759998,1060600,41.829419
"220",43.09,43.759998,42.799999,43.66,760800,42.709834
"221",43.599998,44.040001,43.439999,43.84,755900,42.885917
"222",44.189999,44.25,43.669998,43.98,1102900,43.02287
"223",44.119999,44.360001,43.790001,44.220001,1491600,43.257648
"224",44.040001,44.439999,43.849998,44.34,867400,43.375035
"225",44.43,45.310001,44.41,45.200001,1138500,44.21632
"226",45.419998,45.84,45.200001,45.450001,956200,44.460879
"227",45.380001,45.889999,44.630001,45.119999,1544900,44.138059
"228",44.849998,45.02,43.130001,44.200001,1580100,43.238083
"229",43.459999,43.75,41.27,41.380001,3179900,40.479454
"230",42.040001,42.529999,40.779999,40.919998,1422500,40.029462
"231",41.029999,41.060001,40.32,40.529999,1001600,39.647951
"232",40.779999,41.91,40.540001,41.759998,1451100,40.851182
"233",41.599998,41.599998,40.400002,40.939999,1225700,40.049028
"234",40.869999,41.130001,40,40.580002,903000,39.696865
"235",40.540001,40.77,39.869999,39.98,1229700,39.109921
"236",39.759998,40.98,39.619999,40.32,1246600,39.442522
"237",40.119999,40.700001,39.869999,40.57,1520900,39.687081
"238",40.41,40.84,40.299999,40.700001,901800,39.814253
"239",40.830002,41.099998,40.43,40.619999,718800,39.735992
"240",40.48,40.580002,39.689999,40.259998,1025100,39.383826
