"","X.Open","X.High","X.Low","X.Close","X.Volume","X.Adjusted"
"1",42.77,43.259998,42.220001,43.189999,11524900,41.758553
"2",43.07,44.84,42.830002,44.82,12892200,43.334531
"3",46.169998,46.259998,44.470001,44.560001,12788800,43.08315
"4",44.990002,46,43.98,45.91,10631600,44.388405
"5",45.240002,45.889999,44.68,45.310001,9220500,43.808293
"6",45.419998,45.5,43.5,44.099998,12822900,42.638393
"7",44.299999,44.349998,43,43.41,11058200,41.971263
"8",45,46.25,44.610001,44.970001,16931500,43.479561
"9",45.5,45.52,43.389999,43.59,11462400,42.145297
"10",43.630001,44.57,42.599998,44.060001,13332300,42.599721
"11",43.709999,43.799999,41.900002,42.049999,14014900,40.656337
"12",42.200001,43.610001,41.490002,43.240002,12952400,41.806899
"13",43.32,43.369999,41.32,41.549999,10766400,40.172908
"14",40.18,40.919998,38.700001,39.110001,16318800,37.813778
"15",38.959999,40.09,38.389999,38.549999,11562000,37.272337
"16",38.549999,39.490002,37,38.139999,19390800,36.875926
"17",38.709999,38.709999,36.93,37.66,10126600,36.411835
"18",39.18,39.880001,37.700001,38.220001,12633900,36.953276
"19",38.220001,40.450001,38.02,40.389999,12956400,39.051354
"20",41.299999,41.299999,39.849998,41.09,10947900,39.728155
"21",40.91,43.380001,40.889999,42.880001,13379000,41.45883
"22",42.830002,42.830002,40.860001,41.509998,9855000,40.134233
"23",42.919998,43.09,41.98,42.59,11452800,41.17844
"24",42.509998,43.68,41.560001,43.299999,14356600,41.864908
"25",42.990002,43.060001,41.84,42.919998,10716100,41.497501
"26",42.509998,42.740002,41.200001,41.360001,9223400,39.989207
"27",41.919998,42.049999,40.709999,41.220001,7822800,39.853847
"28",40.43,44.48,40.43,44.290001,17013800,42.822098
"29",45.560001,46.68,44.509998,44.790001,18269000,43.305527
"30",46.049999,47.27,45.549999,46.720001,13138500,45.171561
"31",47.080002,48.939999,46.529999,48.900002,17263600,47.27931
"32",49.029999,49.700001,47.93,48.889999,15187500,47.269639
"33",47.700001,47.990002,45,45.759998,24728400,44.243375
"34",45.23,45.759998,44.02,44.369999,14747200,42.899445
"35",44.869999,45.150002,43,43.77,13941000,42.319332
"36",43.169998,44.889999,42.970001,44.330002,11967700,42.860773
"37",45.5,47.150002,45.150002,46.810001,13220400,45.258578
"38",46.77,47.98,46.619999,47,10593900,45.44228
"39",47.34,48.220001,46.959999,48.080002,11259700,46.486487
"40",47.82,47.959999,47.240002,47.669998,7297000,46.090072
"41",47.080002,48.669998,47.040001,48.5,11981100,46.892565
"42",49.09,49.150002,48.34,48.860001,7052900,47.289386
"43",48.060001,48.200001,47.139999,47.799999,10139300,46.263459
"44",46.259998,46.790001,45.099998,45.32,9336700,43.863179
"45",44.259998,45.669998,44.099998,45.139999,9414800,43.688965
"46",45.220001,46.130001,44.990002,45.099998,8060100,43.65025
"47",45.110001,46.220001,44.799999,45.400002,7281700,43.940609
"48",46.439999,48.189999,46.27,47.32,11463700,45.798889
"49",47.240002,50.59,46.77,49.59,28167800,47.99592
"50",50.59,51.389999,47.66,47.779999,23163800,46.244101
"51",47.700001,47.869999,46.009998,47.060001,14370000,45.547248
"52",47.310001,47.66,45.57,45.630001,10826400,44.163215
"53",44.27,44.990002,43.439999,43.529999,13290700,42.130718
"54",43.189999,43.580002,42.099998,42.82,14193000,41.443542
"55",43.43,43.73,41.860001,42,10084500,40.649902
"56",42.709999,43.91,41.5,43.709999,12497000,42.304932
"57",43.439999,43.810001,41.869999,41.91,10236100,40.562794
"58",41.68,43.650002,41.68,42.490002,12142300,41.124152
"59",44.029999,44.669998,43.5,44.439999,10529600,43.011466
"60",44.650002,45.599998,43.959999,45.299999,9605300,43.843822
"61",46.349998,46.5,45.610001,45.990002,9552400,44.511644
"62",45.849998,48.75,45.799999,48.09,25123200,46.544137
"63",48.369999,49.139999,47.939999,48.09,15552600,46.544137
"64",48.990002,49.060001,46.060001,46.91,16185500,45.402068
"65",46.790001,47.889999,46.049999,47.450001,9691100,45.924711
"66",48.52,48.900002,48,48.310001,9403000,46.757067
"67",47.349998,47.689999,46.529999,46.830002,14828400,45.324642
"68",46.549999,46.720001,45.400002,45.779999,15465100,44.308391
"69",45.52,46.990002,45.5,46.490002,11018800,44.995571
"70",47.009998,47.029999,46,46.200001,8778700,44.714892
"71",45.5,45.66,44.349998,45.439999,14728600,43.979321
"72",45.52,45.599998,44.509998,44.990002,12964300,43.543789
"73",45.459999,46,43.41,43.490002,17191700,42.092007
