"","XL.Open","XL.High","XL.Low","XL.Close","XL.Volume","XL.Adjusted"
"1",16.879999,17.200001,16.77,17.139999,5120600,15.459676
"2",16.790001,17.389999,16.73,17.35,3824200,15.740926
"3",17.610001,17.780001,17.1,17.120001,4829500,15.532257
"4",17.360001,17.9,17.25,17.870001,4097500,16.212701
"5",17.77,17.99,17.65,17.75,4096400,16.103829
"6",17.84,17.99,17.549999,17.98,5260200,16.312498
"7",18,18.25,17.9,17.99,3305400,16.321571
"8",18.26,18.4,17.639999,17.77,2876000,16.121975
"9",17.75,18,17.49,17.5,4278900,15.877015
"10",17.4,17.629999,17.26,17.450001,2880700,15.831652
"11",17.35,17.41,16.879999,16.93,5021400,15.359878
"12",17.09,17.42,16.870001,17.389999,5784700,15.777216
"13",17.440001,17.48,16.940001,17.01,6505500,15.432458
"14",16.709999,16.719999,16.049999,16.17,9941600,14.670362
"15",16.219999,16.34,15.89,16.01,10444600,14.5252
"16",16.129999,16.25,15.59,16.059999,6204800,14.570563
"17",16.040001,16.25,15.76,15.97,4828800,14.48891
"18",16.23,16.629999,15.86,16.08,6837900,14.588708
"19",16.190001,16.93,16.110001,16.91,7358700,15.341732
"20",17.01,17.110001,16.75,17.059999,6016100,15.477821
"21",17.07,17.43,16.98,17.4,4562600,15.786288
"22",17.299999,17.51,17.18,17.450001,5315700,15.831652
"23",17.75,17.82,17.51,17.620001,4765800,15.985886
"24",17.459999,17.59,17.32,17.52,5405500,15.89516
"25",17.639999,17.690001,17.290001,17.629999,6051500,15.994957
"26",17.440001,17.469999,16.76,16.799999,6044000,15.241933
"27",16.870001,17.059999,16.639999,16.91,3658600,15.341732
"28",16.620001,17.459999,16.52,17.43,4457000,15.813507
"29",17.67,17.860001,17.030001,17.07,7151200,15.486893
"30",17.33,17.58,17.200001,17.52,5460900,15.89516
"31",17.440001,17.809999,17.309999,17.77,3785400,16.121975
"32",17.780001,18.17,17.68,18.110001,4749400,16.430442
"33",18.16,18.35,17.860001,17.889999,3316800,16.230845
"34",17.799999,18.01,17.68,17.700001,4257000,16.058467
"35",17.84,18.08,17.450001,17.84,3637300,16.185482
"36",17.6,17.93,17.51,17.73,3034300,16.085683
"37",18.030001,18.25,17.91,18.15,3881500,16.466732
"38",18.09,18.129999,17.77,17.83,4324800,16.17641
"39",18.059999,18.48,17.92,18.370001,9273600,16.66633
"40",18.290001,18.379999,18.09,18.27,3098100,16.575604
"41",18.120001,18.290001,17.75,17.99,4133600,16.321571
"42",18.16,18.299999,17.98,18.27,1967800,16.575604
"43",18.059999,18.9,18.030001,18.76,8679000,17.02016
"44",18.43,18.43,17.969999,18.139999,5937100,16.457659
"45",17.82,18.07,17.52,17.99,4249400,16.321571
"46",17.959999,18.35,17.91,18,3570300,16.330644
"47",17.84,17.969999,17.65,17.84,3364700,16.185482
"48",18,18.309999,17.879999,18.16,3468000,16.475805
"49",18.129999,18.389999,17.950001,18.190001,2415100,16.503023
"50",18.09,18.139999,17.74,17.74,3902100,16.094756
"51",17.799999,17.860001,17.52,17.629999,5107100,15.994957
"52",17.709999,17.75,17.469999,17.51,2839000,15.886087
"53",17.299999,17.65,17.16,17.42,3672000,15.804434
"54",17.309999,17.940001,17.23,17.799999,6087900,16.149191
"55",17.809999,18.08,17.48,17.65,4289600,16.013103
"56",17.790001,18.17,17.5,18.17,2628700,16.484877
"57",18.059999,18.139999,17.68,17.68,2980500,16.040321
"58",17.51,18.139999,17.370001,17.91,4916500,16.24899
"59",18.190001,18.85,18.190001,18.76,4544100,17.02016
"60",18.809999,18.85,18.549999,18.709999,3644900,16.974796
"61",18.969999,19.120001,18.809999,19.1,2334700,17.328628
"62",19.09,19.1,18.709999,18.76,3360200,17.02016
"63",19.02,19.610001,18.889999,19.59,5899700,17.773184
"64",19.68,20.280001,19.68,20.18,8602600,18.308466
"65",20.15,20.35,20.08,20.24,3798200,18.362901
"66",20.549999,20.700001,20.200001,20.290001,5075400,18.499666
"67",20.190001,20.440001,20.049999,20.26,3046300,18.472313
"68",19.98,20.57,19.77,20.42,3315800,18.618195
"69",20.280001,20.43,20.200001,20.34,4342900,18.545254
"70",20.42,21.030001,20.42,20.889999,7648600,19.046723
"71",20.99,21.24,20.83,21.18,4891200,19.311135
"72",21.129999,21.27,20.84,21.01,5887400,19.156135
"73",21.01,21.139999,20.73,20.860001,4311400,19.019371
"74",20.639999,20.940001,20.549999,20.6,4579800,18.782312
"75",20.950001,21.24,20.950001,21.219999,4560200,19.347604
"76",21.16,21.65,21.09,21.43,4982300,19.539075
"77",21.450001,21.58,21.16,21.389999,5271400,19.502604
"78",21.26,21.790001,21.08,21.719999,5973400,19.803486
"79",21.85,22.139999,21.65,21.66,5167300,19.74878
"80",21.66,21.93,21.5,21.549999,4909900,19.648486
"81",21.24,21.76,21.17,21.48,5238400,19.584663
"82",21.67,22.25,21.42,22.16,5932900,20.204662
"83",22.17,22.23,21.700001,21.709999,5325100,19.794368
"84",21.719999,21.969999,21.6,21.85,2564200,19.922016
"85",21.85,22.190001,21.709999,22.08,2286500,20.131721
"86",22.15,22.26,22.01,22.129999,1772300,20.177308
"87",22.02,22.290001,21.790001,22.219999,3681000,20.259367
"88",22.32,22.52,22.15,22.200001,4196900,20.241133
"89",22.16,22.370001,21.809999,22.1,4453400,20.149956
"90",22.290001,22.360001,21.719999,22.040001,5112600,20.095251
"91",22.09,22.309999,22.049999,22.129999,3941500,20.177308
"92",21.82,22.02,21.389999,21.58,4773600,19.675839
"93",21.68,22.07,21.559999,21.9,4433500,19.967603
"94",22.01,22.18,21.559999,21.610001,4003100,19.703193
"95",21.780001,21.98,21.65,21.98,2776800,20.040544
"96",22.08,22.469999,22.059999,22.07,2981000,20.122603
"97",21.950001,22.120001,21.76,21.950001,2669900,20.013192
"98",21.719999,21.85,21.440001,21.74,3322300,19.821721
"99",21.809999,21.93,21.139999,21.299999,3740000,19.420545
"100",21.280001,21.4,20.940001,21.15,5157300,19.283781
"101",21.34,21.559999,20.73,20.92,5430000,19.074076
"102",21.190001,21.190001,20.780001,21.02,4722300,19.165253
"103",21.1,21.25,20.290001,20.51,10288500,18.700253
"104",20.75,21.16,20.41,21.129999,5645600,19.265545
"105",21.09,21.09,20.459999,20.799999,8402100,18.964664
