"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"1",31.030001,31.24,30.65,31.049999,1324600,30.122522
"2",30.67,31.209999,30.48,31.200001,895300,30.268043
"3",31.24,31.76,31.209999,31.27,921400,30.335951
"4",31.549999,31.549999,31.120001,31.43,1586500,30.491172
"5",31.18,31.639999,30.98,31.5,790100,30.559081
"6",31.57,31.610001,31.360001,31.57,882100,30.62699
"7",31.57,31.76,31.309999,31.719999,1220500,30.772509
"8",31.98,32.07,31.32,31.459999,901300,30.520275
"9",31.530001,31.9,31.200001,31.26,793000,30.32625
"10",31.190001,31.299999,30.75,31.059999,927700,30.180496
"11",30.85,31.27,30.719999,30.98,1441000,30.102762
"12",31.01,31.309999,30.799999,31.030001,1432700,30.151347
"13",31.139999,31.34,30.59,31.110001,884400,30.229082
"14",30.83,30.889999,29.959999,30.08,2501600,29.228247
"15",30,30.43,29.91,29.91,1116400,29.063061
"16",29.870001,29.870001,28.860001,29.43,2492100,28.596653
"17",29.48,29.549999,29.139999,29.389999,879200,28.557785
"18",30.049999,30.75,29.43,29.65,1469300,28.810423
"19",29.82,30.51,29.5,30.48,1407300,29.61692
"20",30.629999,30.780001,29.940001,30.18,1195300,29.325416
"21",30.18,30.35,30,30.219999,505400,29.364282
"22",30.02,30.25,29.91,30.17,547300,29.315699
"23",30.34,30.969999,30.34,30.77,668000,29.898709
"24",30.65,30.799999,30.299999,30.41,889400,29.548902
"25",30.389999,30.620001,30.07,30.42,983500,29.558619
"26",30.4,30.4,29.24,29.25,1118400,28.421749
"27",29.309999,29.49,28.76,28.809999,3060800,27.994208
"28",28.440001,29.360001,28.299999,29.299999,1733900,28.470333
"29",29.059999,29.4,28.440001,28.530001,1034900,27.722138
"30",28.59,29.360001,28.59,29.129999,1288000,28.305147
"31",29.110001,29.440001,29.030001,29.25,1028700,28.421749
"32",29.200001,29.85,29.08,29.799999,889100,28.956175
"33",29.889999,30.030001,29.32,29.379999,1350000,28.548067
"34",29.139999,29.51,28.84,29.459999,2285500,28.625802
"35",29.360001,29.68,28.35,29.040001,3490800,28.217697
"36",28.959999,30.059999,28.48,30.02,1986700,29.169946
"37",30.43,30.93,30.42,30.860001,1554100,29.986161
"38",30.629999,31.200001,30.59,31.110001,1132300,30.229082
"39",31.129999,31.75,30.98,31.639999,1134900,30.744073
"40",31.59,31.75,31.32,31.549999,1566800,30.656621
"41",31.33,31.59,30.860001,31.559999,1192400,30.666338
"42",31.68,31.799999,31.389999,31.77,650400,30.870393
"43",31.58,31.889999,31.24,31.620001,1218300,30.724641
"44",31.030001,31.23,30.59,30.889999,1464900,30.01531
"45",30.57,30.84,30.49,30.610001,908000,29.74324
"46",30.459999,30.530001,30.23,30.24,681000,29.383716
"47",30.120001,30.41,29.99,30.23,550600,29.373999
"48",30.530001,31.08,30.34,30.85,605700,29.976444
"49",30.719999,31.16,30.5,30.790001,629700,29.918143
"50",30.690001,30.719999,29.98,30.129999,843000,29.27683
"51",29.889999,29.98,29.450001,29.459999,1888200,28.625802
"52",29.6,29.889999,29.370001,29.4,1077700,28.567502
"53",29.16,29.23,28.559999,28.75,1222600,27.935908
"54",28.5,29.040001,28.34,28.9,1472500,28.08166
"55",29.049999,29.049999,28.1,28.43,1491800,27.624969
"56",28.5,28.969999,28.17,28.860001,1187100,28.042793
"57",28.719999,28.790001,28.120001,28.129999,783700,27.333463
"58",28.110001,28.17,27.76,27.780001,1803700,26.993375
"59",28.08,28.780001,28.059999,28.559999,1080200,27.751287
"60",28.620001,29.370001,28.559999,29.360001,1095000,28.528635
"61",29.68,29.860001,29.549999,29.84,1037300,28.995043
"62",29.639999,29.639999,29.16,29.200001,720200,28.373166
"63",29.26,29.4,29.08,29.219999,590500,28.392598
"64",29.49,29.700001,29.34,29.65,582500,28.810423
"65",29.780001,29.98,29.49,29.870001,635900,29.024194
"66",30,30.33,29.950001,30.08,701900,29.228247
