"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"1",53.849998,54.23,53.630001,54.060001,1952200,52.285038
"2",53.400002,54.23,53.27,54.009998,1625100,52.236676
"3",54.029999,54.580002,53.580002,53.66,1831900,51.898169
"4",53.880001,54.560001,53.799999,54.360001,2614100,52.575187
"5",54.470001,55.349998,53.23,55.16,2250400,53.34892
"6",55.200001,55.220001,54.57,55.009998,1349600,53.203843
"7",55.07,55.290001,54.639999,55.049999,3203300,53.242531
"8",55.68,56.029999,54.77,55,2106800,53.194173
"9",55.110001,55.43,54.529999,54.580002,1735100,52.787965
"10",54.549999,54.549999,53.52,54.18,1631800,52.401097
"11",53.889999,53.889999,53.029999,53.209999,1848800,51.462944
"12",53.360001,53.450001,52.900002,53.27,1813800,51.520975
"13",53.18,54.959999,53.040001,54.57,2643400,52.778291
"14",55.169998,56.470001,54.18,54.599998,3931400,52.807305
"15",54.68,55.09,53.84,54.049999,2680900,52.275364
"16",54.07,54.07,52.73,53.880001,1939400,52.110947
"17",53.93,54.73,53.799999,54.32,1633200,52.536499
"18",54.669998,55.650002,54.610001,55.040001,2160500,53.232861
"19",55.049999,56.310001,54.52,56.220001,1831700,54.374118
"20",56.450001,56.849998,55.75,56.330002,1823900,54.480507
"21",56.080002,56.389999,55.869999,56.220001,1319700,54.374118
"22",56.09,56.200001,55.759998,56.009998,1362500,54.17101
"23",56.380001,57.57,56.380001,56.919998,2103600,55.051131
"24",56.75,57.490002,56.630001,57.490002,1575700,55.60242
"25",57.439999,58.080002,57.209999,57.919998,1648200,56.018298
"26",57.759998,57.91,55.740002,55.91,1549000,54.074295
"27",56.07,56.380001,55.599998,55.990002,955800,54.15167
"28",54.779999,55.259998,53.82,55.150002,2761600,53.339249
"29",52.790001,53.639999,52.150002,52.970001,5164800,51.230826
"30",54.77,55.299999,52.27,52.509998,5840300,50.785926
"31",52.580002,53.380001,52.32,52.939999,3374600,51.201808
"32",53.200001,53.779999,52.860001,53.32,3574800,51.569332
"33",53.619999,54.040001,53.299999,53.869999,3320800,52.101273
"34",53.700001,53.950001,53.119999,53.48,4068000,51.724079
"35",53.790001,53.790001,51.990002,52.16,3837000,50.447419
"36",51.639999,53.200001,51.5,52.990002,2600700,51.250169
"37",53.459999,54.189999,53.41,53.830002,2271900,52.06259
"38",53.790001,54.41,53.779999,54.189999,1946200,52.410767
"39",54.189999,54.950001,54.009998,54.830002,1903800,53.029756
"40",54.509998,54.650002,54.16,54.5,1846100,52.71059
"41",54.080002,54.299999,53.259998,53.98,1589100,52.207662
"42",54.389999,54.490002,53.720001,53.990002,1217100,52.217336
"43",53.610001,54.400002,53.290001,53.900002,2126700,52.130291
"44",53.209999,53.209999,51.889999,52.009998,3295600,50.302343
"45",51.450001,52.32,51.310001,52,2847400,50.292673
"46",51.720001,51.900002,51.380001,51.439999,1454800,49.751058
