Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,30.019995,30.479993,29.770005,30.450006,4699700,21.039684,-34.1934769846
2010-06-11,30.049995,30.780004,30.049995,30.729997,2706500,21.233145,-33.5883825474
2010-06-14,31.140002,31.999995,30.959996,31.460005,5821000,21.737551,-32.0107350386
2010-06-15,31.799999,32.220001,31.549993,32.199994,3576500,22.248852,-30.4115218078
2010-06-16,31.990001,32.779997,31.790002,32.630006,4280800,22.545972,-29.4822096509
2010-06-17,32.800001,32.800001,32.020002,32.470004,3175100,22.435418,-29.8279930926
2010-06-18,32.549998,32.939996,32.400006,32.609999,3728300,22.532149,-29.5254443101
2010-06-21,33.060001,33.369995,32.220001,32.430007,4096000,22.407781,-29.9144342614
2010-06-22,32.410003,32.919993,31.990001,32.020002,2854900,22.124485,-30.8005086314
2010-06-23,32.080003,32.330009,31.479996,31.969995,3223200,22.089932,-30.9085812046
2010-06-24,31.730001,31.920004,30.639995,30.759997,5806500,21.253875,-33.5235446333
2010-06-25,30.919999,31.029994,30.439996,30.689999,5359800,21.205509,-33.6748205884
2010-06-28,30.629999,30.859998,30.290004,30.580005,3104400,21.129507,-33.9125345846
2010-06-29,30.030005,30.190006,28.990005,29.209995,6626200,20.182888,-36.8733064769
2010-06-30,29.160001,29.489998,28.319998,28.429993,5267800,19.643939,-38.5589952816
2010-07-01,28.500006,28.610001,27.44,28.280004,6993500,19.540302,-38.8831441912
2010-07-02,28.359995,28.389998,27.590006,27.790004,4634000,19.201733,-39.942097771
2010-07-06,28.350001,28.570004,27.530002,27.750007,5281900,19.174097,-40.0285358121
2010-07-07,27.790004,28.640001,27.720004,28.570004,4614500,19.740681,-38.2564120941
2010-07-08,28.77,28.950008,28.380002,28.809997,5118100,19.906506,-37.737755698
2010-07-09,28.879995,28.950008,28.449999,28.649998,3316600,19.795953,-38.0835360119
2010-07-12,28.51,28.719996,28.029998,28.199996,5240100,19.485021,-39.0560484229
2010-07-13,28.470006,28.950008,28.419999,28.749996,5721900,19.865048,-37.8674252705
2010-07-14,28.619995,29.250005,28.579998,28.689992,5884500,19.823588,-37.9971010986
2010-07-15,28.619995,28.730006,28.129996,28.400005,5779100,19.623219,-38.6238019183
2010-07-16,28.199996,28.289997,26.970005,27.029995,8874400,18.676599,-41.5845769383
2010-07-19,27.289995,27.709997,27.070006,27.539998,7919500,19.02899,-40.482391827
2010-07-20,27.029995,27.549995,26.739992,27.519995,6096800,19.015168,-40.5256233585
2010-07-21,27.679994,28.199996,27.41,27.579996,6225200,19.056626,-40.3959537859
2010-07-22,27.950003,28.870001,27.950003,28.719996,5102000,19.844319,-37.9322600568
2010-07-23,28.559994,29.410007,28.449999,29.299996,5194100,20.245075,-36.6788021181
2010-07-26,29.220005,29.670007,29.109994,29.640004,2971700,20.480006,-35.9440005755
2010-07-27,29.729994,29.729994,28.809997,28.870001,4670900,19.947966,-37.6080798699
2010-07-28,28.790007,29.269996,28.74,28.779997,4355700,19.885777,-37.8025904842
2010-07-29,28.969999,29.150004,27.780008,28.150002,6163200,19.450477,-39.1640928466
2010-07-30,27.780008,28.169993,27.660003,27.93,5164800,19.298464,-39.6395489885
2010-08-02,28.350001,28.969999,28.199996,28.819994,4052400,19.913413,-37.7161524432
2010-08-03,28.610001,28.730006,27.799998,27.839995,5927800,19.236275,-39.8340596029
2010-08-04,27.860002,28.350001,27.750007,28.289997,3288900,19.547208,-38.8615440641
2010-08-05,28.029998,28.630005,27.96,28.459996,2891500,19.66467,-38.4941542399
2010-08-06,28.180003,28.749996,28.069995,28.730006,4722200,19.851235,-37.9106286524
2010-08-09,28.920008,29.870003,28.870001,29.819996,5157200,20.604373,-35.555013752
2010-08-10,29.440007,29.680001,29.130001,29.459998,4874400,20.355629,-36.3330186764
2010-08-11,28.860004,28.900001,27.980007,28.22,3952400,19.498842,-39.0128200192
2010-08-12,27.649993,27.780008,27.41,27.530002,4552900,19.022083,-40.5039950818
2010-08-13,27.389993,27.850005,27.300005,27.349996,3420900,18.897706,-40.8930131827
2010-08-16,27.110003,27.679994,26.999992,27.159994,4635900,18.766423,-41.3036314107
