Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,37.009998,37.689999,36.990002,37.66,3363700,33.665276,-47.4882832971
2010-06-11,37.470001,37.650002,37.169998,37.639999,3064400,33.647397,-47.5161712901
2010-06-14,37.740002,38.240002,37.740002,37.799999,2597900,33.790426,-47.2930720252
2010-06-15,37.459999,38.560001,37.279999,38.540001,3651300,34.451933,-46.2612412396
2010-06-16,37.779999,38.880001,37.740002,38.689999,3125000,34.58602,-46.0520898708
2010-06-17,38.73,38.849998,38.25,38.490002,3530400,34.407237,-46.3309588825
2010-06-18,38.700001,39.34,38.439999,38.93,4133700,34.800564,-45.7174401936
2010-06-21,39.169998,39.25,38.59,38.810001,3832000,34.693293,-45.8847634724
2010-06-22,38.549999,39.099998,38.220001,38.240002,4349300,34.183755,-46.6795502166
2010-06-23,38.450001,38.630001,37.810001,38.169998,5422500,34.121177,-46.777160532
2010-06-24,38.139999,38.290001,37.369999,37.549999,6791800,33.566944,-47.6416633593
2010-06-25,39.400002,41.130001,39.240002,40.549999,53159900,36.248724,-43.4585735899
2010-06-28,40.360001,40.549999,39.560001,39.720001,8682500,35.506766,-44.6158933249
2010-06-29,39.0,39.23,38.490002,38.650002,6533100,34.550265,-46.1078611774
2010-06-30,39.34,39.450001,38.52,38.650002,5956900,34.550265,-46.1078611774
2010-07-01,38.360001,38.540001,37.77,38.279999,6624400,34.21951,-46.62377891
2010-07-02,38.189999,38.43,37.68,37.939999,3773400,33.915575,-47.0978623132
2010-07-06,38.200001,38.720001,37.990002,38.41,4655500,34.335721,-46.4425108547
2010-07-07,38.400002,39.259998,38.34,39.259998,4391400,35.095558,-45.2573031266
2010-07-08,39.34,39.650002,39.009998,39.34,4044900,35.167073,-45.1457527142
2010-07-09,39.290001,39.52,38.880001,39.419998,3749400,35.238586,-45.0342054215
2010-07-12,39.189999,39.799999,39.009998,39.73,3226500,35.515704,-44.6019516681
2010-07-13,39.779999,40.349998,39.779999,40.25,5391800,35.980546,-43.8768825668
2010-07-14,40.0,40.330002,39.990002,40.099998,2947600,35.846456,-44.0860386151
2010-07-15,39.959999,40.09,39.57,40.02,3112600,35.774944,-44.197584348
2010-07-16,39.700001,39.73,38.900002,39.0,2709900,34.863138,-45.6198361174
2010-07-19,39.119999,39.459999,38.990002,39.169998,3373600,35.015104,-45.3827967556
2010-07-20,38.5,39.0,37.98,38.900002,6895300,34.773747,-45.7592698434
2010-07-21,39.27,39.27,38.389999,38.610001,5012400,34.514507,-46.1636371635
2010-07-22,39.040001,39.889999,39.040001,39.759998,5482100,35.542521,-44.5601220183
2010-07-23,39.59,40.419998,39.380001,40.380001,4811500,36.096758,-43.6956129517
2010-07-26,40.259998,40.619999,40.119999,40.48,2429200,36.186149,-43.5561792258
