Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,67.309998,68.209999,66.230003,67.5,1382100,67.5,-59.849469713
2010-06-11,66.529999,69.43,66.43,69.389999,1128800,69.389999,-58.7252554598
2010-06-14,69.669998,69.82,68.339996,68.459999,984500,68.459999,-59.2784405438
2010-06-15,69.32,70.480003,68.68,70.449997,1381300,70.449997,-58.0947446183
2010-06-16,70.040001,71.540001,69.639999,71.059998,1193000,71.059998,-57.7319021942
2010-06-17,71.029999,71.269997,70.199997,70.900002,972800,70.900002,-57.8270714423
2010-06-18,70.690002,71.07,70.150002,70.5,668700,70.5,-58.0650017003
2010-06-21,71.629997,71.989998,68.720001,69.040001,748400,69.040001,-58.933442205
2010-06-22,69.199997,69.239998,66.449997,66.5,1787200,66.5,-60.4442923839
2010-06-23,66.75,67.360001,66.0,66.970001,1119100,66.970001,-60.1647251338
2010-06-24,66.519997,67.589996,65.330002,65.550003,1255800,65.550003,-61.0093721368
2010-06-25,65.860001,65.860001,63.68,63.900002,2156000,63.900002,-61.9908301387
2010-06-28,63.599998,64.400002,62.16,63.16,2139400,63.16,-62.4310001048
2010-06-29,62.0,62.040001,59.119999,59.599998,3449800,59.599998,-64.5485700029
2010-06-30,59.549999,60.990002,59.41,59.52,1173900,59.52,-64.5961546269
2010-07-01,59.43,60.0,57.849998,59.52,2057300,59.52,-64.5961546269
2010-07-02,59.810001,59.990002,55.68,55.700001,2821100,55.700001,-66.868376635
2010-07-06,56.669998,57.740002,54.259998,54.630001,2032100,54.630001,-67.5048368929
2010-07-07,55.349998,55.950001,53.830002,55.810001,2024000,55.810001,-66.8029461412
2010-07-08,56.709999,58.560001,55.52,56.580002,1603100,56.580002,-66.3449320898
2010-07-09,56.650002,58.259998,56.43,58.200001,1128000,58.200001,-65.3813199577
2010-07-12,56.900002,58.389999,56.0,56.07,1777400,56.07,-66.6482928416
2010-07-13,56.990002,58.990002,56.509998,58.720001,1584000,58.720001,-65.0720121689
2010-07-14,58.32,59.23,57.700001,58.759998,1010900,58.759998,-65.0482210465
2010-07-15,58.950001,59.459999,57.380001,58.810001,1092900,58.810001,-65.0184781285
2010-07-16,58.48,58.48,55.880001,55.880001,962500,55.880001,-66.7613085543
2010-07-19,56.23,57.400002,56.110001,56.849998,949000,56.849998,-66.1843323479
2010-07-20,55.799999,57.200001,55.240002,57.200001,884700,57.200001,-65.9761426287
2010-07-21,57.470001,58.540001,57.169998,57.259998,1431700,57.259998,-65.9404550529
2010-07-22,57.790001,57.939999,55.119999,55.720001,2545800,55.720001,-66.8564801816
2010-07-23,55.720001,56.700001,55.369999,56.66,1189900,56.66,-66.2973474658
2010-07-26,56.880001,58.610001,56.709999,58.580002,1353600,58.580002,-65.155286748
2010-07-27,58.889999,59.0,58.02,58.639999,851600,58.639999,-65.1195991722
2010-07-28,58.599998,59.23,58.02,58.23,1148500,58.23,-65.3634758724
2010-07-29,58.740002,59.040001,57.0,57.57,573800,57.57,-65.7560588352
2010-07-30,56.830002,57.75,56.52,57.48,585600,57.48,-65.8095928756
2010-08-02,58.43,59.23,57.48,59.099998,1093900,59.099998,-64.8459813384
2010-08-03,58.959999,59.43,58.330002,59.029999,932200,59.029999,-64.8876183305
2010-08-04,59.119999,60.93,59.02,60.93,989700,60.93,-63.757454661
2010-08-05,60.630001,61.119999,60.419998,61.119999,958700,61.119999,-63.6444389483
2010-08-06,60.610001,61.669998,60.279999,61.419998,1270300,61.419998,-63.4659927418
2010-08-09,61.66,63.93,61.360001,63.880001,1227200,63.880001,-62.0027271869
2010-08-10,62.880001,62.950001,60.5,61.09,1162600,61.09,-63.6622830336
2010-08-11,60.02,60.02,58.18,58.310001,1280800,58.310001,-65.3158894639
2010-08-12,57.23,58.5,57.0,57.860001,478200,57.860001,-65.5835596658
2010-08-13,57.669998,58.549999,57.669998,58.07,635000,58.07,-65.4586474998
2010-08-16,57.400002,58.27,56.810001,57.07,719700,57.07,-66.0534701707
2010-08-17,57.919998,60.41,57.599998,59.650002,1145100,59.650002,-64.5188264901
2010-08-18,59.66,59.75,58.599998,59.049999,681400,59.049999,-64.8757218771
2010-08-19,58.540001,59.09,57.0,57.240002,817800,57.240002,-65.952349127
2010-08-20,57.040001,57.240002,56.099998,56.59,614000,56.59,-66.3389850527
2010-08-23,57.080002,57.209999,55.970001,56.0,604500,56.0,-66.6899304286
2010-08-24,55.540001,55.77,54.220001,54.240002,1114200,54.240002,-67.7368171397
2010-08-25,53.700001,55.200001,53.150002,54.93,1010000,54.93,-67.3263906865
2010-08-26,55.43,55.830002,54.450001,54.75,619900,54.75,-67.4334587672
2010-08-27,55.330002,57.439999,54.52,57.330002,732100,57.330002,-65.8988150866
2010-08-30,56.91,57.639999,56.549999,56.73,568300,56.73,-66.2557098788
2010-08-31,56.389999,57.130001,55.5,56.189999,896200,56.189999,-66.5769147159
2010-09-01,57.209999,59.459999,56.650002,59.43,1018100,59.43,-64.6496886673
2010-09-02,59.34,60.619999,59.290001,60.59,648200,60.59,-63.9596943691
2010-09-03,61.509998,62.110001,60.630001,61.0,488700,61.0,-63.715817074
2010-09-07,60.650002,60.650002,59.27,59.310001,485600,59.310001,-64.721066793
2010-09-08,59.34,59.810001,58.880001,59.330002,916300,59.330002,-64.7091697448
2010-09-09,60.32,61.459999,59.41,61.299999,827700,61.299999,-63.5373708675
2010-09-10,61.16,61.849998,60.740002,61.759998,421000,61.759998,-63.2637530337
2010-09-13,62.5,63.919998,61.630001,63.900002,1372400,63.900002,-61.9908301387
2010-09-14,63.810001,64.360001,62.68,62.869999,1258100,62.869999,-62.6034992742
2010-09-15,62.919998,64.379997,62.919998,63.759998,1213200,63.759998,-62.0741076919
2010-09-16,63.48,63.57,62.529999,63.040001,665300,63.040001,-62.5023782305
2010-09-17,63.279999,63.84,63.060001,63.299999,668200,63.299999,-62.3477255257
2010-09-20,63.68,64.68,63.07,64.589996,1127500,64.589996,-61.5804060647
2010-09-21,64.650002,64.730003,63.0,63.43,1089100,63.43,-62.2703979837
2010-09-22,63.389999,63.77,62.259998,63.32,664600,63.32,-62.3358284775
2010-09-23,62.919998,63.73,62.049999,62.549999,512400,62.549999,-62.7938425289
2010-09-24,63.759998,65.379997,63.560001,65.349998,816400,65.349998,-61.1283396451
2010-09-27,65.029999,67.389999,64.849998,67.029999,1601400,67.029999,-60.1290369632
2010-09-28,67.0,67.190002,65.970001,66.5,895600,66.5,-60.4442923839
2010-09-29,66.160004,67.0,66.089996,66.32,773500,66.32,-60.5513604647
2010-09-30,66.650002,67.790001,65.230003,65.260002,1235900,65.260002,-61.1818713062
2010-10-01,65.940002,66.599998,65.5,65.709999,745500,65.709999,-60.9142028888
2010-10-04,65.370003,65.75,63.32,63.419998,983000,63.419998,-62.2763474
2010-10-05,64.43,65.239998,63.919998,65.040001,1083400,65.040001,-61.3127328887
2010-10-06,64.43,64.970001,63.869999,64.110001,490600,64.110001,-61.8659179726
2010-10-07,64.400002,64.739998,63.380001,64.080002,550800,64.080002,-61.8837620579
2010-10-08,64.099998,64.760002,63.799999,64.550003,1352300,64.550003,-61.6041948078
2010-10-11,64.559998,65.089996,64.510002,64.760002,357800,64.760002,-61.4792826417
2010-10-12,64.639999,66.290001,64.32,66.169998,849400,66.169998,-60.640585055
2010-10-13,66.559998,68.690002,66.559998,68.25,1296500,68.25,-59.4033527098
2010-10-14,68.220001,69.0,67.860001,68.75,812900,68.75,-59.1059413744
2010-10-15,69.559998,69.949997,67.739998,68.349998,1392500,68.349998,-59.3438716324
2010-10-18,68.190002,68.190002,67.449997,67.900002,1324800,67.900002,-59.611539455
2010-10-19,66.959999,67.43,65.57,65.739998,1180800,65.739998,-60.8963588035
2010-10-20,63.080002,64.389999,62.439999,62.650002,3144100,62.650002,-62.7343584773
2010-10-21,60.099998,63.73,59.990002,63.48,4373400,63.48,-62.2406568501
2010-10-22,63.5,64.459999,62.990002,64.239998,1116100,64.239998,-61.7885928099
2010-10-25,65.610001,66.32,63.990002,64.199997,1041300,64.199997,-61.8123863115
2010-10-26,63.380001,63.790001,62.02,62.150002,1442200,62.150002,-63.0317698128
2010-10-27,61.869999,62.720001,60.369999,60.459999,1720100,60.459999,-64.0370219111
2010-10-28,60.900002,61.189999,59.029999,59.029999,1926900,59.029999,-64.8876183305
2010-10-29,59.009998,60.98,58.580002,60.720001,1185700,60.720001,-63.882366827
2010-11-01,61.029999,61.25,59.970001,60.439999,794800,60.439999,-64.0489183645
2010-11-02,61.16,62.02,60.0,60.849998,827900,60.849998,-63.8050416643
2010-11-03,60.889999,61.919998,60.439999,61.919998,934700,61.919998,-63.1685814064
2010-11-04,62.540001,63.099998,61.950001,63.080002,967000,63.080002,-62.4785847288
2010-11-05,63.150002,63.91,62.73,62.950001,576200,62.950001,-62.5559122709
2010-11-08,62.869999,63.369999,62.169998,62.52,611700,62.52,-62.8116866142
2010-11-09,62.599998,62.84,61.950001,62.07,634500,62.07,-63.0793568161
2010-11-10,62.130001,62.849998,61.990002,62.77,627700,62.77,-62.6629809465
2010-11-11,61.91,63.560001,61.709999,63.18,877500,63.18,-62.4191036514
2010-11-12,62.709999,63.240002,61.290001,62.18,1688300,62.18,-63.0139263223
2010-11-15,62.369999,62.529999,61.880001,61.990002,488900,61.990002,-63.1269414401
2010-11-16,61.509998,61.669998,60.889999,61.59,951600,61.59,-63.3648716981
2010-11-17,61.639999,62.139999,60.91,61.009998,487700,61.009998,-63.7098700369
2010-11-18,61.869999,62.360001,61.259998,61.59,794000,61.59,-63.3648716981
2010-11-19,61.400002,61.810001,60.93,61.720001,788000,61.720001,-63.2875441561
2010-11-22,61.389999,62.709999,61.200001,62.57,643200,62.57,-62.7819454806
2010-11-23,61.720001,62.919998,61.720001,62.599998,536200,62.599998,-62.7641019902
2010-11-24,62.990002,64.449997,62.950001,64.449997,809900,64.449997,-61.6636806438
2010-11-26,63.950001,64.019997,63.279999,63.700001,216500,63.700001,-62.1097952677
2010-11-29,63.130001,63.310001,62.209999,62.77,716300,62.77,-62.6629809465
2010-11-30,62.200001,64.050003,62.200001,63.080002,855600,63.080002,-62.4785847288
2010-12-01,63.779999,66.629997,63.66,66.160004,1675800,66.160004,-60.6465297128
2010-12-02,66.32,67.480003,66.32,67.139999,1029700,67.139999,-60.0636064694
