Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,36.91,37.02,36.330002,36.57,4300600,31.074297,-13.8816062182
2010-06-11,36.290001,36.470001,36.080002,36.470001,3080700,30.989326,-14.1170923513
2010-06-14,36.759998,36.860001,36.419998,36.689999,2654100,31.176263,-13.5990206414
2010-06-15,37.0,37.0,36.709999,37.0,2092500,31.439678,-12.8690000492
2010-06-16,36.740002,37.060001,36.720001,36.990002,2774300,31.431182,-12.892545614
2010-06-17,37.139999,37.5,36.990002,37.490002,2221600,31.856042,-11.7151010919
2010-06-18,37.470001,37.470001,37.049999,37.150002,2165200,31.567137,-12.5157639212
2010-06-21,37.400002,37.5,36.959999,37.110001,2100500,31.533147,-12.6099628086
2010-06-22,37.07,37.240002,36.560001,36.630001,2018600,31.125282,-13.7403078871
2010-06-23,36.73,36.919998,36.48,36.75,3192700,31.227247,-13.4577250817
2010-06-24,36.580002,36.790001,36.380001,36.459999,3020400,30.980827,-14.1406462302
2010-06-25,36.490002,36.52,36.049999,36.110001,2722500,30.683426,-14.9648546243
2010-06-28,36.220001,36.73,36.150002,36.560001,1776400,31.065801,-13.905151783
2010-06-29,36.279999,36.450001,35.860001,36.029999,2487100,30.615447,-15.1532496278
2010-06-30,35.990002,36.07,35.650002,35.830002,3061400,30.445506,-15.6242191225
2010-07-01,35.639999,35.779999,35.259998,35.580002,4618700,30.466912,-15.564895163
2010-07-02,35.619999,35.650002,35.150002,35.310001,2168500,30.235712,-16.2056360506
2010-07-06,35.630001,35.779999,35.400002,35.689999,2386900,30.561101,-15.3038625355
2010-07-07,35.68,36.279999,35.599998,36.279999,2533800,31.066314,-13.9037300699
2010-07-08,36.419998,36.509998,36.200001,36.48,1911000,31.237573,-13.4291079086
2010-07-09,36.529999,36.529999,36.080002,36.299999,1554300,31.08344,-13.8562675766
2010-07-12,36.150002,36.200001,35.91,35.959999,2784200,30.792301,-14.6631216479
2010-07-13,36.0,36.360001,35.900002,36.029999,3165800,30.852241,-14.4970056929
2010-07-14,36.040001,36.040001,35.75,35.880001,2520100,30.723799,-14.8529660782
2010-07-15,35.93,36.119999,35.689999,36.049999,2601800,30.869367,-14.4495431996
2010-07-16,35.98,36.099998,35.75,35.82,2752700,30.67242,-14.9953563294
2010-07-19,35.950001,36.209999,35.950001,36.040001,2540500,30.860806,-14.4732689035
2010-07-20,35.82,36.52,35.790001,36.470001,3912200,31.229012,-13.4528336125
2010-07-21,36.470001,36.490002,35.869999,35.950001,2028200,30.783739,-14.6868501232
2010-07-22,36.209999,36.41,35.990002,36.139999,2172200,30.946434,-14.2359619799
2010-07-23,36.139999,36.310001,35.959999,36.25,2768300,31.040626,-13.9749210384
2010-07-26,36.110001,36.389999,36.049999,36.200001,1811200,30.997812,-14.0935745002
2010-07-27,36.360001,36.759998,36.029999,36.73,2680000,31.451647,-12.8358295143
2010-07-28,36.639999,36.73,36.259998,36.330002,1687400,31.109131,-13.785068294
2010-07-29,36.27,36.27,35.580002,35.77,3600900,30.629606,-15.1140097911
2010-07-30,35.68,36.0,35.400002,35.900002,2299100,30.740925,-14.8055035849
2010-08-02,36.189999,36.299999,35.84,36.049999,2496000,30.869367,-14.4495431996
2010-08-03,35.919998,36.130001,35.759998,35.900002,2708900,30.740925,-14.8055035849
2010-08-04,35.919998,36.459999,35.919998,36.389999,1653900,31.160507,-13.6426863569
2010-08-05,36.279999,36.310001,35.860001,36.290001,2840700,31.074879,-13.8799932805
2010-08-06,36.09,36.5,35.950001,36.18,3106100,30.980686,-14.1410369934
2010-08-09,36.220001,36.470001,36.150002,36.209999,1791200,31.006374,-14.0698460249
2010-08-10,35.959999,36.549999,35.959999,36.419998,2193700,31.186195,-13.5714953884
2010-08-11,36.09,36.279999,35.889999,36.099998,2444200,30.912181,-14.3308897378
2010-08-12,35.799999,36.18,35.77,36.080002,1673600,30.895058,-14.378343917
2010-08-13,35.950001,36.310001,35.900002,36.189999,1031000,30.989248,-14.1173085182
2010-08-16,36.049999,36.32,35.900002,36.27,1520300,31.057753,-13.9274557738
2010-08-17,36.5,37.07,36.27,36.880001,2431600,31.580092,-12.4798608148
2010-08-18,36.959999,37.009998,36.669998,36.91,1521000,31.60578,-12.4086698463
2010-08-19,36.77,36.82,36.18,36.509998,1947800,31.263261,-13.3579169401
2010-08-20,36.349998,36.669998,36.220001,36.639999,1754300,31.37458,-13.0494107339
2010-08-23,36.77,37.099998,36.540001,36.900002,2320900,31.597218,-12.4323983216
2010-08-24,36.639999,37.110001,36.599998,36.91,2703900,31.60578,-12.4086698463
2010-08-25,36.84,37.41,36.689999,37.25,2429500,31.89692,-11.6018130036
2010-08-26,37.27,37.369999,36.799999,36.950001,2043100,31.640032,-12.3137448598
2010-08-27,37.110001,37.560001,37.07,37.470001,2461500,32.085305,-11.0797283492
2010-08-30,37.400002,37.59,36.98,36.98,2850100,31.66572,-12.2425538913
2010-08-31,36.950001,37.450001,36.93,37.259998,3035200,31.905481,-11.5780872997
2010-09-01,37.450001,37.5,36.849998,36.970001,3841600,31.657158,-12.2662823665
2010-09-02,37.060001,37.330002,36.98,37.32,2337000,31.95686,-11.4356970486
2010-09-03,36.029999,36.66,35.82,36.209999,5258600,31.006374,-14.0698460249
2010-09-07,35.619999,35.950001,35.52,35.900002,5298200,30.740925,-14.8055035849
2010-09-08,35.869999,36.049999,35.759998,35.93,3706800,30.766613,-14.7343126164
2010-09-09,36.139999,36.209999,35.939999,35.970001,3653000,30.800865,-14.6393876299
2010-09-10,35.990002,36.02,35.82,35.990002,2815500,30.817992,-14.5919223653
2010-09-13,36.150002,36.169998,35.860001,36.060001,1568700,30.877932,-14.4258064102
2010-09-14,35.32,35.740002,35.32,35.68,3554800,30.55254,-15.3275882394
2010-09-15,35.68,36.16,35.59,36.150002,2320900,30.954998,-14.2122279619
2010-09-16,36.139999,36.310001,35.990002,36.310001,1765400,31.092005,-13.8325307872
2010-09-17,36.400002,36.59,36.18,36.299999,3222800,31.08344,-13.8562675766
2010-09-20,36.310001,36.509998,36.119999,36.5,2228700,31.2547,-13.381642644
2010-09-21,36.419998,36.439999,36.119999,36.279999,1887500,31.066314,-13.9037300699
2010-09-22,36.389999,36.799999,36.380001,36.529999,2341700,31.280387,-13.3104544469
2010-09-23,36.439999,36.459999,36.130001,36.169998,1718800,30.972121,-14.1647737828
2010-09-24,36.099998,36.380001,35.91,36.240002,3668200,31.032065,-13.9986467423
2010-09-27,36.240002,36.389999,36.049999,36.23,1517000,31.0235,-14.0223835317
2010-09-28,36.369999,36.5,36.0,36.450001,2041800,31.211886,-13.5002961058
2010-09-29,36.16,36.360001,35.889999,36.02,2567100,30.843679,-14.5207341681
2010-09-30,36.099998,36.279999,35.560001,35.75,3830500,30.61248,-15.1614722844
2010-10-01,35.91,36.099998,35.720001,36.09,2766500,30.90362,-14.3546154417
2010-10-04,36.09,36.189999,35.799999,35.939999,1897200,30.775174,-14.7105869125
2010-10-05,36.139999,36.240002,35.91,35.950001,2785100,30.783739,-14.6868501232
2010-10-06,36.080002,36.16,35.919998,36.080002,1891200,30.895058,-14.378343917
2010-10-07,35.75,35.889999,35.400002,35.48,2048000,30.614624,-15.1555304658
2010-10-08,35.59,35.75,35.360001,35.669998,2459600,30.778568,-14.7011808807
2010-10-11,35.639999,35.91,35.610001,35.869999,1629700,30.951143,-14.2229115957
2010-10-12,35.75,35.900002,35.59,35.82,2107000,30.908,-14.3424768384
2010-10-13,35.950001,36.689999,35.91,36.599998,4545300,31.581038,-12.4772390982
2010-10-14,36.5,36.66,36.43,36.549999,1762400,31.537895,-12.5968043409
2010-10-15,36.639999,36.849998,36.490002,36.610001,2044600,31.589668,-12.4533221698
2010-10-18,36.490002,36.490002,36.27,36.41,1703300,31.417094,-12.9315886833
2010-10-19,36.150002,36.259998,35.889999,36.02,1880000,31.080575,-13.8642075534
2010-10-20,36.009998,36.34,36.009998,36.25,1291100,31.279035,-13.3142013399
2010-10-21,36.27,36.52,36.110001,36.299999,1612300,31.322177,-13.1946388686
2010-10-22,36.220001,36.470001,36.220001,36.369999,1363300,31.382578,-13.0272453117
2010-10-25,36.5,36.639999,36.259998,36.27,1844100,31.296292,-13.2663757971
2010-10-26,36.240002,36.34,36.09,36.32,2159800,31.339435,-13.1468105544
2010-10-27,36.09,36.139999,35.759998,36.07,1677300,31.123718,-13.7446423107
2010-10-28,36.080002,36.259998,35.790001,35.880001,2967700,30.959774,-14.1989918959
2010-10-29,35.860001,36.27,35.849998,36.25,1361800,31.279035,-13.3142013399
2010-11-01,36.290001,36.490002,36.099998,36.200001,2073600,31.235892,-13.4337665827
2010-11-02,36.349998,36.490002,36.189999,36.41,1870100,31.417094,-12.9315886833
2010-11-03,36.459999,36.529999,36.169998,36.330002,1415700,31.348066,-13.1228908546
2010-11-04,36.549999,36.990002,36.509998,36.66,2124700,31.632811,-12.333756927
2010-11-05,36.59,36.619999,36.360001,36.610001,1501900,31.589668,-12.4533221698
2010-11-08,36.450001,36.5,36.360001,36.389999,1293100,31.399836,-12.9794169975
2010-11-09,36.330002,36.360001,36.009998,36.049999,1430700,31.10646,-13.7924706249
2010-11-10,35.099998,35.860001,34.540001,34.849998,6114700,30.071015,-16.6620724778
2010-11-11,34.650002,34.720001,34.18,34.5,3639700,29.769012,-17.4990347196
2010-11-12,34.389999,34.68,34.25,34.52,2555200,29.78627,-17.4512064054
2010-11-15,34.639999,34.779999,34.52,34.669998,1703400,29.915698,-17.0925134486
2010-11-16,34.560001,34.73,34.389999,34.470001,2601300,29.743127,-17.5707716481
2010-11-17,34.389999,34.59,34.349998,34.439999,2783500,29.717239,-17.6425168907
2010-11-18,34.57,34.759998,34.380001,34.619999,2065200,29.872556,-17.21207592
2010-11-19,34.610001,34.709999,34.360001,34.650002,1992700,29.898444,-17.1403306773
2010-11-22,34.669998,34.880001,34.529999,34.830002,3272200,30.053761,-16.7098897065
2010-11-23,34.48,34.650002,33.93,34.0,4915100,29.337577,-18.6947010035
2010-11-24,33.790001,33.990002,33.439999,33.98,3894700,29.320319,-18.7425293177
2010-11-26,33.830002,34.220001,33.689999,34.139999,1369100,29.458378,-18.3599166611
2010-11-29,33.919998,34.07,33.700001,34.029999,2444600,29.363462,-18.622964075
2010-11-30,33.75,34.09,33.700001,33.900002,3030800,29.251292,-18.9338287176
2010-12-01,34.16,34.279999,33.810001,34.23,3342300,29.536037,-18.14469479
2010-12-02,34.130001,34.25,33.919998,34.060001,2532400,29.389351,-18.551216061
2010-12-03,34.029999,34.18,33.77,34.060001,3075000,29.389351,-18.551216061
2010-12-06,34.060001,34.599998,33.889999,34.07,1964500,29.397978,-18.5273074466
2010-12-07,34.220001,34.240002,33.82,33.900002,2446300,29.251292,-18.9338287176
2010-12-08,33.830002,34.0,33.639999,33.869999,2548100,29.225403,-19.0055767316
2010-12-09,34.009998,34.599998,33.990002,34.490002,5677000,29.760385,-17.5229433339
2010-12-10,34.529999,34.650002,34.25,34.48,2757600,29.751754,-17.5468630337
2010-12-13,34.439999,34.529999,34.279999,34.52,2765400,29.78627,-17.4512064054
2010-12-14,34.43,34.830002,34.43,34.740002,1842900,29.976102,-16.9251115776
2010-12-15,34.619999,34.799999,34.610001,34.779999,1964100,30.010615,-16.8294632634
2010-12-16,34.82,35.169998,34.779999,35.099998,2047800,30.286733,-16.0642379502
2010-12-17,35.139999,35.400002,34.939999,35.389999,2368900,30.536966,-15.3707495655
2010-12-20,35.32,35.369999,34.740002,34.77,2817300,30.001987,-16.8533746491
2010-12-21,34.91,34.970001,34.709999,34.849998,1777400,30.071015,-16.6620724778
2010-12-22,34.560001,34.73,34.130001,34.330002,2098600,29.870893,-17.2166847093
2010-12-23,34.32,34.619999,34.32,34.48,1576300,30.001408,-16.8549792727
2010-12-27,34.48,34.610001,34.43,34.509998,1162500,30.02751,-16.7826409567
2010-12-28,34.52,34.650002,34.419998,34.549999,762000,30.062315,-16.6861834022
2010-12-29,34.52,34.75,34.52,34.650002,1103500,30.149328,-16.4450381304
2010-12-30,34.610001,34.669998,34.490002,34.560001,1105400,30.071018,-16.6620641637
2010-12-31,34.5,34.880001,34.5,34.75,1129700,30.236338,-16.2039011726
2011-01-03,34.860001,34.860001,34.529999,34.689999,1904600,30.18413,-16.34858889
2011-01-04,34.669998,34.790001,34.389999,34.459999,2875500,29.984005,-16.9032094356
2011-01-05,34.450001,34.689999,34.389999,34.57,1588500,30.079718,-16.6379532393
2011-01-06,34.529999,34.650002,34.400002,34.619999,1770500,30.123223,-16.5173847604
2011-01-07,34.549999,34.689999,34.360001,34.48,1936100,30.001408,-16.8549792727
2011-01-10,34.310001,34.709999,34.310001,34.599998,1872100,30.10582,-16.5656149234
2011-01-11,34.599998,34.700001,34.419998,34.549999,1991900,30.062315,-16.6861834022
2011-01-12,34.709999,35.02,34.560001,34.900002,1661600,30.366856,-15.8421874219
2011-01-13,34.720001,35.119999,34.720001,34.919998,1414900,30.384255,-15.7939683444
2011-01-14,34.880001,34.98,34.73,34.950001,1175100,30.410361,-15.721618943
2011-01-18,34.900002,35.150002,34.860001,35.080002,1861000,30.523476,-15.4081353552
2011-01-19,34.900002,35.09,34.740002,34.849998,1559700,30.323348,-15.9627642149
2011-01-20,34.759998,35.5,34.700001,35.25,3010300,30.671393,-14.998202527
2011-01-21,35.450001,35.470001,35.209999,35.32,1734600,30.732301,-14.8294038852
2011-01-24,35.389999,35.43,34.900002,35.060001,2258200,30.506074,-15.4563627467
2011-01-25,35.080002,35.099998,34.82,35.009998,1831300,30.462565,-15.5769423111
2011-01-26,35.099998,35.110001,34.75,35.060001,2748500,30.506074,-15.4563627467
2011-01-27,34.970001,35.040001,34.599998,34.689999,2163700,30.18413,-16.34858889
2011-01-28,34.650002,34.790001,34.41,34.450001,2245100,29.975306,-16.9273175886
2011-01-31,34.41,34.529999,34.080002,34.139999,1986000,29.70557,-17.6748560145
2011-02-01,34.209999,34.369999,34.139999,34.299999,1635500,29.844788,-17.2890313394
