Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,42.580002,43.09,42.580002,43.09,1223500,35.101563,-31.8452086752
2010-06-11,42.82,43.139999,42.52,43.130001,1081800,35.134148,-31.7819401571
2010-06-14,43.349998,43.630001,43.25,43.349998,1407400,35.313361,-31.4339720447
2010-06-15,43.630001,44.099998,43.509998,44.09,1292900,35.916174,-30.2635229048
2010-06-16,43.84,44.52,43.84,44.419998,1349200,36.184993,-29.7415717071
2010-06-17,44.400002,44.830002,44.189999,44.77,1388000,36.470109,-29.1879775129
2010-06-18,44.82,44.93,44.57,44.889999,1374200,36.567861,-28.9981777834
2010-06-21,45.0,45.080002,44.470001,44.689999,1287500,36.404939,-29.3145145492
2010-06-22,44.689999,44.810001,43.709999,43.810001,1757300,35.688084,-30.7063928235
2010-06-23,43.98,44.02,43.450001,43.650002,1689300,35.557746,-30.9594630128
2010-06-24,43.52,44.290001,43.470001,43.759998,1472200,35.647351,-30.7854818691
2010-06-25,43.830002,43.98,43.419998,43.84,1481700,35.712521,-30.6589448328
2010-06-28,44.07,44.279999,43.57,44.139999,967000,35.956904,-30.1844396842
2010-06-29,43.880001,43.900002,43.259998,43.48,1678200,35.419261,-31.2283517878
2010-06-30,43.330002,43.759998,43.0,43.099998,2205600,35.109708,-31.8293939727
2010-07-01,43.099998,43.110001,42.5,42.900002,2239800,34.946788,-32.1457268552
2010-07-02,43.060001,43.419998,42.900002,43.189999,1901100,35.183023,-31.687042234
2010-07-06,43.389999,43.799999,43.200001,43.619999,3046600,35.533306,-31.0069168284
2010-07-07,43.639999,44.77,43.5,44.75,1738100,36.453816,-29.2196127428
2010-07-08,44.849998,45.32,44.720001,45.32,2240100,36.918144,-28.3180523779
2010-07-09,45.18,45.349998,44.900002,45.27,1226000,36.877414,-28.3971355985
2010-07-12,45.189999,45.509998,44.950001,45.400002,1081000,36.983314,-28.1915153416
2010-07-13,45.700001,45.709999,45.209999,45.52,1580100,37.081067,-28.0017136705
2010-07-14,45.419998,45.57,45.150002,45.57,1117900,37.121797,-27.9226304499
2010-07-15,45.459999,45.849998,45.259998,45.740002,1511300,37.260282,-27.6537416749
2010-07-16,45.560001,45.700001,44.970001,45.060001,1853000,36.706347,-28.7292870668
2010-07-19,45.240002,45.849998,45.110001,45.669998,1505500,37.203256,-27.7644659503
2010-07-20,45.27,45.849998,44.98,45.830002,1705600,37.333597,-27.5113899361
2010-07-21,45.790001,45.790001,45.009998,45.27,1872200,36.877414,-28.3971355985
2010-07-22,45.48,46.200001,45.439999,46.02,1765200,37.488372,-27.2108717561
2010-07-23,45.790001,46.299999,45.599998,46.299999,1609800,37.716462,-26.7680018374
2010-07-26,46.380001,46.689999,46.209999,46.68,1314400,38.026015,-26.1669596525
2010-07-27,46.779999,47.189999,46.580002,47.16,2254000,38.417027,-25.407752968
2010-07-28,47.009998,47.099998,46.790001,47.029999,1511700,38.311127,-25.6133732249
2010-07-29,47.16,47.25,46.279999,46.57,1993700,37.936407,-26.3409466212
2010-07-30,46.299999,46.389999,45.900002,46.119999,2041300,37.569832,-27.0527053149
2010-08-02,46.400002,47.150002,46.400002,47.139999,2096800,38.400735,-25.4393862563
2010-08-03,47.040001,47.23,46.73,46.93,1989600,38.229667,-25.7715396661
2010-08-04,47.029999,47.049999,46.610001,46.939999,1820000,38.237812,-25.7557249637
2010-08-05,46.84,47.240002,46.669998,47.209999,1383700,38.457757,-25.3286697474
2010-08-06,47.119999,47.59,46.889999,47.57,2404300,38.751018,-24.7592608508
2010-08-09,47.580002,48.220001,47.580002,47.970001,2490400,39.076863,-24.1265853776
2010-08-10,47.84,48.529999,47.650002,48.360001,2689600,39.39456,-23.5097304319
2010-08-11,47.799999,48.240002,47.599998,47.639999,2562000,38.80804,-24.6485443419
2010-08-12,47.57,48.110001,47.25,47.950001,3291800,39.06057,-24.1582206075
2010-08-13,47.990002,47.990002,47.48,47.549999,3825200,38.734725,-24.7908960806
2010-08-16,46.650002,47.040001,46.23,46.849998,3028600,38.648107,-24.9590775293
2010-08-17,47.060001,47.639999,46.91,47.380001,2842900,39.085323,-24.1101590568
2010-08-18,47.43,47.43,46.669998,46.959999,2185600,38.73885,-24.782886793
2010-08-19,46.869999,46.869999,46.220001,46.5,2115200,38.359381,-25.5196810637
2010-08-20,46.25,46.779999,46.119999,46.700001,2090400,38.524369,-25.1993328583
2010-08-23,46.779999,47.299999,46.709999,46.98,2439500,38.755349,-24.7508515842
2010-08-24,46.779999,47.630001,46.639999,47.310001,2317700,39.027578,-24.2222793753
2010-08-25,47.009998,47.610001,47.009998,47.439999,2027600,39.134817,-24.0140592551
2010-08-26,47.59,47.630001,47.029999,47.150002,1608700,38.895589,-24.4785552213
2010-08-27,47.34,47.900002,47.099998,47.880001,1823800,39.49779,-23.3092943684
2010-08-30,47.700001,47.860001,47.209999,47.25,1054500,38.978081,-24.3183850019
2010-08-31,47.009998,47.689999,46.84,47.529999,2026600,39.209061,-23.8699037277
2010-09-01,47.919998,48.299999,47.580002,48.240002,2246100,39.794766,-22.7326722588
2010-09-02,48.279999,48.279999,47.84,48.25,1581600,39.803014,-22.7166575668
2010-09-03,48.25,48.450001,48.0,48.439999,2160300,39.95975,-22.4123318201
2010-09-07,48.27,48.720001,48.25,48.360001,1666100,39.893757,-22.5404668306
2010-09-08,48.450001,48.470001,47.73,47.779999,2334000,39.415295,-23.4694704127
2010-09-09,48.099998,48.200001,47.860001,47.950001,1680500,39.555535,-23.1971740499
2010-09-10,47.84,47.919998,47.439999,47.689999,1980400,39.34105,-23.6136278818
2010-09-13,47.82,47.830002,47.529999,47.77,1671900,39.407047,-23.4854851047
2010-09-14,47.759998,48.279999,47.52,48.099998,1566400,39.679273,-22.9569187208
2010-09-15,48.139999,48.240002,47.700001,47.849998,1677600,39.47304,-23.3573500942
2010-09-16,47.82,47.860001,47.450001,47.59,1453900,39.258558,-23.7737981012
2010-09-17,47.880001,48.330002,47.689999,47.919998,2821100,39.530785,-23.2452297756
2010-09-20,47.950001,48.740002,47.950001,48.689999,2283800,40.165983,-22.0119004467
2010-09-21,48.630001,48.700001,48.27,48.450001,2424100,39.968001,-22.3963113032
2010-09-22,48.529999,48.939999,48.470001,48.52,1381200,40.025746,-22.2841909846
2010-09-23,48.41,48.610001,48.0,48.09,1580200,39.671025,-22.9729334128
2010-09-24,48.349998,48.889999,48.349998,48.790001,1390000,40.248479,-21.8517224607
2010-09-27,48.689999,48.93,48.529999,48.75,1099900,40.21548,-21.9157948201
2010-09-28,48.150002,48.599998,47.91,48.5,5613800,40.009247,-22.3162261935
2010-09-29,48.5,48.560001,48.290001,48.43,2375700,39.951502,-22.428346512
2010-09-30,48.450001,48.610001,48.110001,48.220001,1989500,39.778267,-22.7647074677
2010-10-01,48.400002,48.439999,47.950001,48.330002,2043600,39.86901,-22.5885167314
2010-10-04,48.139999,48.459999,47.91,48.07,1833100,39.654526,-23.0049686216
2010-10-05,48.400002,48.48,48.189999,48.41,2523500,39.935003,-22.4603817209
2010-10-06,48.380001,48.439999,48.029999,48.189999,2100300,39.753517,-22.8127631934
2010-10-07,48.299999,48.380001,47.939999,48.169998,1740300,39.737018,-22.8447984023
2010-10-08,48.080002,48.32,48.02,48.27,1486400,39.819513,-22.684622358
2010-10-11,48.240002,48.41,48.130001,48.23,985900,39.786515,-22.7486927757
2010-10-12,48.23,48.330002,48.009998,48.220001,1321400,39.778267,-22.7647074677
2010-10-13,48.290001,48.330002,48.139999,48.200001,1518900,39.761768,-22.7967426765
2010-10-14,48.349998,48.529999,48.27,48.450001,1913900,39.968001,-22.3963113032
2010-10-15,48.490002,48.650002,48.400002,48.599998,1884800,40.091739,-22.1560559741
2010-10-18,48.59,49.200001,48.560001,49.09,3924200,40.495958,-21.3712059777
2010-10-19,48.700001,49.290001,48.669998,48.84,1980200,40.289725,-21.771637351
2010-10-20,48.900002,49.34,48.900002,49.110001,1471300,40.512457,-21.3391707688
2010-10-21,49.360001,49.360001,48.639999,48.880001,1513500,40.322723,-21.7075669333
2010-10-22,48.990002,49.130001,48.709999,49.119999,1508400,40.520705,-21.3231560769
2010-10-25,49.25,49.389999,48.900002,49.200001,1768000,40.586701,-21.1950152414
2010-10-26,49.009998,49.470001,48.810001,49.459999,1905200,40.801182,-20.7785691761
2010-10-27,49.200001,49.759998,49.139999,49.740002,2402500,41.032165,-20.330082077
2010-10-28,49.900002,49.959999,49.630001,49.849998,2450500,41.122905,-20.1538971656
2010-10-29,49.889999,49.900002,49.48,49.720001,1661500,41.015666,-20.3621172858
2010-11-01,49.880001,50.139999,49.43,49.66,1618100,40.966169,-20.4582229124
2010-11-02,49.91,50.860001,49.91,50.73,1904900,41.848847,-18.7443751588
2010-11-03,50.75,50.869999,50.209999,50.490002,2006300,41.650865,-19.1287860152
2010-11-04,50.849998,50.990002,50.599998,50.880001,3149400,41.972589,-18.5041120631
2010-11-05,50.91,51.029999,50.610001,51.0,2519600,42.07158,-18.3119066349
2010-11-08,50.93,50.98,50.330002,50.68,2397900,41.807601,-18.8244602685
2010-11-09,50.66,51.02,50.509998,50.610001,2079200,41.749856,-18.936580587
2010-11-10,50.57,50.57,49.919998,50.09,2061800,41.320891,-19.7694785426
2010-11-11,49.68,50.080002,49.66,50.080002,1997800,41.312643,-19.7854932345
2010-11-12,49.91,49.93,49.52,49.740002,2205300,41.032165,-20.330082077
2010-11-15,49.25,49.59,49.099998,49.209999,1763400,41.086435,-20.2247089765
2010-11-16,49.07,49.110001,48.400002,48.66,2153600,40.62723,-21.1163222915
2010-11-17,48.57,48.75,48.41,48.580002,1314900,40.560438,-21.2460086768
2010-11-18,48.91,48.970001,48.57,48.849998,1159000,40.785863,-20.8083132433
2010-11-19,48.880001,48.970001,48.41,48.630001,1173300,40.602183,-21.164954686
2010-11-22,48.700001,48.73,48.27,48.700001,1567200,40.660627,-21.0514771573
2010-11-23,48.380001,48.459999,48.060001,48.240002,2094400,40.276565,-21.7971894056
2010-11-24,48.459999,48.5,48.200001,48.330002,1297900,40.351708,-21.6512883389
2010-11-26,48.220001,48.490002,48.0,48.18,1201600,40.226468,-21.8944600195
2010-11-29,48.0,48.200001,47.509998,48.02,1978500,40.092881,-22.153838615
2010-11-30,47.720001,48.720001,47.720001,48.369999,2269200,40.385102,-21.5864490296
2010-12-01,48.799999,48.889999,48.459999,48.75,1751200,40.702373,-20.9704212248
2010-12-02,48.720001,48.889999,48.450001,48.830002,2077000,40.769168,-20.8407290147
2010-12-03,48.799999,49.060001,48.599998,49.02,3253000,40.927802,-20.5327180247
2010-12-06,49.0,49.07,48.860001,48.889999,1160600,40.819261,-20.7434661674
2010-12-07,49.150002,49.16,48.43,48.57,1807400,40.552087,-21.2622233582
2010-12-08,48.540001,48.740002,48.040001,48.279999,1609400,40.309959,-21.7323500963
2010-12-09,48.389999,48.75,48.23,48.709999,1593600,40.668975,-21.0352683008
2010-12-10,48.799999,48.990002,48.75,48.880001,1114000,40.810913,-20.7596750239
2010-12-13,49.080002,49.450001,48.950001,49.18,1417500,41.061389,-20.2733394293
2010-12-14,49.349998,49.650002,49.330002,49.5,1479900,41.328563,-19.7545822384
2010-12-15,49.509998,49.549999,48.919998,49.009998,1748800,40.919451,-20.5489327062
2010-12-16,49.130001,49.560001,48.77,49.549999,1816400,41.370308,-19.6735282476
2010-12-17,49.48,49.529999,49.139999,49.34,3107500,41.194976,-20.0139608339
2010-12-20,49.5,49.549999,49.200001,49.459999,1304900,41.295165,-19.8194293143
2010-12-21,49.59,49.619999,49.360001,49.490002,960800,41.320215,-19.7707910949
2010-12-22,49.52,49.900002,49.5,49.560001,1112200,41.378659,-19.6573135662
2010-12-23,49.549999,49.689999,49.43,49.599998,618300,41.412054,-19.5924723152
2010-12-27,49.459999,49.810001,49.380001,49.650002,673100,41.453802,-19.5114124995
2010-12-28,49.639999,49.779999,49.48,49.73,707000,41.520594,-19.3817261142
2010-12-29,49.790001,49.799999,49.529999,49.529999,753600,41.35361,-19.705949844
2010-12-30,49.459999,49.68,49.41,49.419998,721800,41.261768,-19.8842744486
2010-12-31,49.380001,49.790001,49.380001,49.57,992500,41.387007,-19.6411047097
2011-01-03,49.759998,49.779999,49.509998,49.549999,1189400,41.370308,-19.6735282476
2011-01-04,49.549999,49.900002,49.23,49.700001,1552700,41.495548,-19.4303565671
2011-01-05,49.68,49.73,49.259998,49.369999,1424400,41.220023,-19.9653284394
2011-01-06,49.349998,49.419998,48.970001,49.32,1291100,41.178277,-20.0463843718
2011-01-07,49.400002,49.540001,49.040001,49.540001,1385200,41.361961,-19.6897351625
2011-01-10,49.290001,49.419998,48.799999,49.23,1691100,41.103134,-20.1922854385
