Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,13.29,13.81,13.15,13.78,2523200,13.78,-11.0830592823
2010-06-11,13.5,13.95,13.5,13.88,1924700,13.88,-10.4377984643
2010-06-14,13.93,14.19,13.77,13.78,1655900,13.78,-11.0830592823
2010-06-15,13.78,14.08,13.75,14.02,2369200,14.02,-9.53443331913
2010-06-16,13.88,14.3,13.85,14.16,2333200,14.16,-8.63106817396
2010-06-17,14.26,14.26,13.45,13.69,3652900,13.69,-11.6637940185
2010-06-18,13.76,13.99,13.5,13.83,5047500,13.83,-10.7604288733
2010-06-21,14.02,14.49,13.93,13.98,2735900,13.98,-9.79253764632
2010-06-22,14.08,14.2,13.72,13.75,1988500,13.75,-11.2766375277
2010-06-23,13.75,13.9,13.46,13.61,3069500,13.61,-12.1800026728
2010-06-24,13.47,13.7,13.09,13.12,2786800,13.12,-15.341780681
2010-06-25,13.16,13.39,13.0,13.03,24530100,13.03,-15.9225154171
2010-06-28,13.13,13.3,13.0,13.0,2805700,13.0,-16.1160936625
2010-06-29,12.88,12.88,11.86,12.03,5428500,12.03,-22.3751235969
2010-06-30,12.05,12.22,11.73,11.82,2866900,11.82,-23.7301713147
2010-07-01,11.84,11.88,11.15,11.72,3325600,11.72,-24.3754321327
2010-07-02,11.84,11.9,11.53,11.61,2039600,11.61,-25.0852190325
2010-07-06,11.8,12.15,11.5,11.65,5112600,11.65,-24.8271147053
2010-07-07,11.66,11.8,11.36,11.7,5026900,11.7,-24.5044842963
2010-07-08,11.77,12.22,11.72,12.0,4267600,12.0,-22.5687018423
2010-07-09,11.95,12.23,11.8,12.2,3055600,12.2,-21.2781802064
2010-07-12,12.12,12.24,11.93,12.14,1364800,12.14,-21.6653366972
2010-07-13,12.29,12.88,12.28,12.8,4109200,12.8,-17.4066152985
2010-07-14,12.78,13.07,12.6,13.05,3765800,13.05,-15.7934632535
2010-07-15,13.01,13.67,12.85,13.58,5044700,13.58,-12.3735809182
2010-07-16,13.51,13.52,12.9,12.96,5088500,12.96,-16.3741979897
2010-07-19,13.05,13.15,12.72,13.04,2639700,13.04,-15.8579893353
2010-07-20,12.76,13.12,12.6,13.06,4242800,13.06,-15.7289371717
2010-07-21,13.15,13.26,12.74,12.78,3854200,12.78,-17.5356674621
2010-07-22,12.89,13.39,12.86,13.35,3348100,13.35,-13.8576807996
2010-07-23,14.75,14.8,14.09,14.36,11223700,14.36,-7.340546538
2010-07-26,14.36,14.57,14.2,14.51,4077600,14.51,-6.37265531102
2010-07-27,14.57,14.69,14.24,14.3,5701600,14.3,-7.72770302878
2010-07-28,14.34,14.62,14.31,14.36,3504700,14.36,-7.340546538
2010-07-29,14.5,14.74,14.35,14.43,3291700,14.43,-6.88886396541
2010-07-30,14.33,14.68,14.32,14.63,3124700,14.63,-5.59834232945
2010-08-02,14.75,15.11,14.7,15.11,3431000,15.11,-2.50109040314
2010-08-03,14.99,15.2,14.77,14.83,2770100,14.83,-4.30782069349
2010-08-04,14.94,15.5,14.88,15.46,3471600,15.46,-0.24267754021
2010-08-05,15.36,15.6,15.05,15.28,3399100,15.28,-1.40414701257
2010-08-06,15.19,15.3,14.74,15.12,3803800,15.12,-2.43656432134
2010-08-09,15.12,15.39,15.11,15.32,2632100,15.32,-1.14604268538
2010-08-10,15.02,15.1,14.71,14.8,4585200,14.8,-4.50139893888
2010-08-11,14.55,14.63,14.02,14.06,3849900,14.06,-9.27632899194
2010-08-12,13.86,14.1,13.81,13.97,2734500,13.97,-9.85706372812
2010-08-13,13.79,14.2,13.78,13.95,1523800,13.95,-9.98611589172
2010-08-16,13.86,13.98,13.73,13.79,1562100,13.79,-11.0185332005
2010-08-17,13.9,14.3,13.86,14.16,3010800,14.16,-8.63106817396
2010-08-18,14.14,14.7,13.91,14.44,3580000,14.44,-6.82433788361
2010-08-19,14.43,14.43,13.9,14.02,2865400,14.02,-9.53443331913
2010-08-20,13.98,13.98,13.48,13.62,3588800,13.62,-12.1154765911
2010-08-23,13.7,13.84,13.45,13.46,2196200,13.46,-13.1478938998
2010-08-24,13.28,13.28,12.8,12.94,5671900,12.94,-16.5032501533
2010-08-25,12.79,13.01,12.69,12.94,2980500,12.94,-16.5032501533
2010-08-26,13.04,13.1,12.57,12.57,3085100,12.57,-18.8907151798
2010-08-27,12.67,12.84,12.35,12.84,4551500,12.84,-17.1485109713
2010-08-30,12.75,12.92,12.46,12.46,2538000,12.46,-19.6005020796
2010-08-31,12.43,12.55,12.24,12.4,4715800,12.4,-19.9876585704
2010-09-01,12.63,13.07,12.5,13.06,3456500,13.06,-15.7289371717
2010-09-02,13.01,13.61,12.89,13.61,3973200,13.61,-12.1800026728
2010-09-03,13.91,14.17,13.85,14.13,3351000,14.13,-8.82464641935
2010-09-07,13.95,14.03,13.85,13.9,2278000,13.9,-10.3087463007
2010-09-08,14.05,14.12,13.75,13.83,1899500,13.83,-10.7604288733
2010-09-09,14.02,14.43,14.01,14.34,2597600,14.34,-7.46959870159
2010-09-10,14.38,14.42,14.13,14.19,2347100,14.19,-8.43748992856
2010-09-13,14.39,14.5,14.31,14.43,1890100,14.43,-6.88886396541
2010-09-14,14.34,14.43,14.14,14.26,1304400,14.26,-7.98580735598
2010-09-15,13.99,14.28,13.9,14.23,1230700,14.23,-8.17938560137
2010-09-16,14.23,14.27,14.0,14.0,1496700,14.0,-9.66348548273
2010-09-17,14.1,14.18,13.93,14.0,2410800,14.0,-9.66348548273
2010-09-20,14.04,14.53,14.0,14.36,2937300,14.36,-7.340546538
2010-09-21,14.45,14.63,14.22,14.32,2540700,14.32,-7.59865086519
2010-09-22,14.5,14.68,14.4,14.6,7653000,14.6,-5.79192057484
2010-09-23,14.49,14.86,14.36,14.55,3661000,14.55,-6.11455098383
2010-09-24,14.79,15.29,14.7,15.27,6695900,15.27,-1.46867309437
2010-09-27,15.31,15.55,15.22,15.32,3612200,15.32,-1.14604268538
2010-09-28,15.35,15.37,14.27,14.79,4575600,14.79,-4.56592502068
2010-09-29,14.75,14.8,14.44,14.51,3783600,14.51,-6.37265531102
2010-09-30,14.64,14.87,14.5,14.57,2626800,14.57,-5.98549882024
2010-10-01,14.67,15.0,14.61,14.89,3670300,14.89,-3.9206642027
2010-10-04,14.78,14.89,14.36,14.46,3251600,14.46,-6.69528572002
2010-10-05,14.62,14.89,14.46,14.84,3324000,14.84,-4.24329461169
2010-10-06,14.79,14.91,14.7,14.82,2825400,14.82,-4.37234677529
2010-10-07,14.86,14.92,14.5,14.59,2056700,14.59,-5.85644665664
2010-10-08,14.6,14.85,14.55,14.8,2748200,14.8,-4.50139893888
2010-10-11,14.86,14.94,14.64,14.81,1948000,14.81,-4.43687285708
2010-10-12,14.66,14.82,14.48,14.77,2325600,14.77,-4.69497718428
2010-10-13,14.87,15.19,14.77,15.06,2778600,15.06,-2.82372081213
2010-10-14,15.01,15.01,14.71,14.83,3359600,14.83,-4.30782069349
2010-10-15,14.93,14.93,14.33,14.67,8296100,14.67,-5.34023800226
2010-10-18,14.65,14.79,14.6,14.79,2288700,14.79,-4.56592502068
2010-10-19,14.66,14.73,14.29,14.49,2978500,14.49,-6.50170747462
2010-10-20,14.51,14.81,14.43,14.75,3423400,14.75,-4.82402934787
2010-10-21,14.62,14.68,14.04,14.14,7266300,14.14,-8.76012033755
2010-10-22,14.13,14.24,13.73,14.04,3903500,14.04,-9.40538115553
2010-10-25,14.15,14.36,14.02,14.02,2688400,14.02,-9.53443331913
2010-10-26,13.9,14.17,13.8,14.12,2809500,14.12,-8.88917250115
2010-10-27,13.97,14.25,13.89,14.23,2146800,14.23,-8.17938560137
2010-10-28,14.26,14.35,14.2,14.24,2268700,14.24,-8.11485951957
2010-10-29,14.21,14.32,14.16,14.3,1640500,14.3,-7.72770302878
2010-11-01,14.32,14.38,14.09,14.19,2808000,14.19,-8.43748992856
