Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,36.700001,37.509998,36.290001,37.5,1102700,35.11316,-15.7158166304
2010-06-11,36.970001,37.950001,36.950001,37.91,1041400,35.497064,-14.7943092773
2010-06-14,38.310001,38.830002,37.77,37.810001,1033200,35.40343,-15.0190644752
2010-06-15,38.139999,39.029999,37.970001,39.0,1142700,36.517687,-12.3444478554
2010-06-16,38.77,39.290001,38.650002,38.900002,875400,36.424053,-12.5692030534
2010-06-17,38.990002,39.09,38.139999,38.689999,965700,36.227417,-13.0412000107
2010-06-18,38.790001,38.959999,38.419998,38.619999,1537900,36.161872,-13.1985315296
2010-06-21,38.959999,39.360001,38.27,38.52,885500,36.068239,-13.4232843272
2010-06-22,38.57,38.880001,37.130001,37.23,1224200,34.860345,-16.322663346
2010-06-23,37.209999,37.630001,36.799999,37.029999,1766400,34.673074,-16.7721809429
2010-06-24,36.810001,37.07,36.189999,36.459999,1598700,34.139354,-18.0533004533
2010-06-25,36.470001,36.759998,36.040001,36.610001,1558800,34.279809,-17.716158055
2010-06-28,36.740002,36.84,36.009998,36.240002,1208200,33.93336,-18.5477599685
2010-06-29,35.740002,35.919998,34.650002,34.919998,1528800,32.697373,-21.5145722676
2010-06-30,34.950001,35.43,34.459999,34.509998,1382500,32.313469,-22.4360796208
2010-07-01,34.470001,34.889999,33.830002,34.529999,2023400,32.332197,-22.3911257008
2010-07-02,34.369999,34.639999,33.720001,33.970001,1486200,31.807843,-23.6497634504
2010-07-06,34.259998,34.610001,33.650002,34.029999,1461700,31.864021,-23.5149160925
2010-07-07,34.029999,34.82,33.98,34.759998,1605700,32.547557,-21.8741844249
2010-07-08,34.669998,35.369999,34.669998,35.369999,1344100,33.118732,-20.5031594748
2010-07-09,35.419998,35.959999,35.310001,35.91,1340200,33.624362,-19.2894660437
2010-07-12,35.900002,36.139999,35.709999,36.099998,1280300,33.802268,-18.8624278071
2010-07-13,36.41,37.360001,36.41,37.16,1703800,34.794801,-16.4799924646
2010-07-14,39.84,40.439999,38.720001,39.639999,4547600,37.116951,-10.9059992264
2010-07-15,39.689999,39.75,38.650002,39.450001,1710300,36.939045,-11.333037463
2010-07-16,39.57,39.57,38.59,38.66,2411700,36.199327,-13.10862609
2010-07-19,38.75,39.299999,38.490002,39.279999,1235200,36.779864,-11.7151289806
2010-07-20,38.630001,39.950001,38.540001,39.93,1570600,37.388493,-10.2542009912
2010-07-21,39.740002,39.84,38.650002,39.23,1900200,36.733047,-11.8275065796
2010-07-22,39.779999,41.0,39.509998,40.66,1883000,38.072029,-8.61346932354
2010-07-23,40.549999,41.5,40.380001,41.380001,1303400,38.746203,-6.99520981517
2010-07-26,41.41,42.400002,41.41,42.360001,1555800,39.663826,-4.79258535197
2010-07-27,42.43,42.790001,41.549999,41.73,1202000,39.073924,-6.2085618217
2010-07-28,41.959999,42.48,41.849998,42.209999,1415400,39.523372,-5.12972534993
2010-07-29,42.299999,42.630001,41.790001,41.990002,1522000,39.317378,-5.62418486509
2010-07-30,42.0,42.759998,41.889999,42.639999,1765400,39.926004,-4.16326407677
2010-08-02,43.0,43.200001,42.25,42.959999,1941600,40.225636,-3.44403976226
2010-08-03,42.740002,42.900002,41.860001,42.700001,1599600,39.982186,-4.02840711744
2010-08-04,42.700001,44.330002,42.619999,44.259998,2375700,41.442891,-0.522190984547
2010-08-05,43.98,44.369999,43.669998,44.369999,2222300,41.54589,-0.274956426253
2010-08-06,43.68,44.290001,43.34,43.889999,2044400,41.096442,-1.35379289802
2010-08-09,44.040001,44.209999,43.810001,44.02,1138300,41.218169,-1.06160441971
2010-08-10,43.59,43.790001,42.5,42.75,3421800,40.029003,-3.91602951848
2010-08-11,42.060001,42.16,40.880001,41.029999,2760400,38.418478,-7.78186741006
2010-08-12,40.240002,41.080002,40.240002,40.919998,1397000,38.315479,-8.02910196835
2010-08-13,40.639999,41.029999,40.41,40.709999,1273000,38.118846,-8.50109172457
2010-08-16,40.43,41.380001,40.130001,41.09,1341400,38.47466,-7.64701045073
