Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,7.78,7.94,7.74,7.82,5719100,5.035401,5.69755616905
2010-06-11,7.78,7.85,7.73,7.85,3948900,5.054718,6.10303722061
2010-06-14,7.83,7.98,7.8,7.94,5314500,5.11267,7.31950136619
2010-06-15,7.94,8.12,7.94,8.11,3205700,5.222135,9.61726930683
2010-06-16,8.07,8.13,7.88,7.92,4369200,5.099792,7.04918066515
2010-06-17,7.95,7.97,7.76,7.94,6422700,5.11267,7.31950136619
2010-06-18,7.94,7.98,7.82,7.83,4897500,5.04184,5.83271651957
2010-06-21,7.91,7.94,7.85,7.86,2752700,5.061157,6.23819757113
2010-06-22,7.9,7.9,7.65,7.69,7769400,4.951692,3.9404296305
2010-06-23,7.69,7.69,7.56,7.57,5236300,4.874423,2.31848443336
2010-06-24,7.62,7.68,7.55,7.6,4641000,4.89374,2.72396548492
2010-06-25,7.65,7.65,7.55,7.55,3564100,4.861544,2.04814274142
2010-06-28,7.56,7.62,7.48,7.48,6159800,4.81647,1.10199929689
2010-06-29,7.47,7.47,7.16,7.2,12481100,4.636175,-2.68255349037
2010-06-30,7.27,7.38,7.07,7.11,12362300,4.578223,-3.89901763595
2010-07-01,7.09,7.72,6.96,7.69,30420300,4.951692,3.9404296305
2010-07-02,7.45,7.5,7.15,7.35,49167100,4.732762,-0.655106250774
2010-07-06,7.25,7.29,6.99,7.03,53027900,4.52671,-4.980321431
2010-07-07,7.05,7.33,7.04,7.17,33608900,4.616857,-3.08805553282
2010-07-08,7.2,7.56,7.15,7.5,32827600,4.829349,1.37234098882
2010-07-09,7.49,7.51,7.25,7.39,31892500,4.758518,-0.114464848691
2010-07-12,7.4,7.44,7.17,7.2,23435700,4.636175,-2.68255349037
2010-07-13,7.25,7.28,7.12,7.19,35019800,4.629736,-2.81771384089
2010-07-14,7.19,7.33,7.13,7.32,22012900,4.713444,-1.06060829323
2010-07-15,7.36,7.44,7.3,7.34,21896300,4.726323,-0.790266601295
2010-07-16,7.32,7.43,7.3,7.39,29381600,4.758518,-0.114464848691
2010-07-19,7.41,7.48,7.26,7.34,20779200,4.726323,-0.790266601295
2010-07-20,7.31,7.51,7.25,7.49,22097900,4.822909,1.23715964741
2010-07-21,7.51,7.51,7.31,7.33,15200600,4.719883,-0.925447942707
2010-07-22,7.39,7.46,7.32,7.34,14303700,4.726323,-0.790266601295
2010-07-23,7.34,7.48,7.3,7.43,14471200,4.784275,0.426197544283
2010-07-26,7.48,7.61,7.39,7.58,14718500,4.880862,2.45364478388
2010-07-27,7.61,7.84,7.58,7.74,24642200,4.983888,4.61625237399
2010-07-28,7.79,7.79,7.68,7.7,12989600,4.958131,4.07558998102
2010-07-29,7.71,7.79,7.64,7.7,11953700,4.958131,4.07558998102
2010-07-30,7.65,7.7,7.58,7.64,12339300,4.919496,3.264606887
2010-08-02,7.71,7.76,7.65,7.71,12183200,4.96457,4.21075033154
2010-08-03,7.68,7.74,7.61,7.67,8317700,4.938814,3.67010892946
2010-08-04,7.67,7.68,7.52,7.62,16367900,4.906618,2.99428618596
2010-08-05,7.64,7.65,7.5,7.56,14546200,4.867983,2.18330309194
2010-08-06,7.56,7.66,7.5,7.65,17618400,4.925936,3.39978822841
2010-08-09,7.64,7.76,7.63,7.73,18591800,4.977449,4.48109202347
2010-08-10,7.73,7.83,7.69,7.8,22033200,5.022523,5.42723546801
2010-08-11,7.74,7.77,7.61,7.64,17234400,4.919496,3.264606887
2010-08-12,7.6,7.67,7.56,7.6,13788900,4.89374,2.72396548492
2010-08-13,7.6,7.65,7.54,7.6,17480200,4.89374,2.72396548492
2010-08-16,7.59,7.62,7.52,7.6,9172500,4.89374,2.72396548492
2010-08-17,7.67,7.69,7.61,7.64,12731400,4.919496,3.264606887
2010-08-18,7.65,7.9,7.64,7.86,20678900,5.061157,6.23819757113
2010-08-19,7.84,7.88,7.77,7.79,12632400,5.016083,5.2920541266
2010-08-20,7.78,7.8,7.65,7.72,11609300,4.971009,4.34591068206
2010-08-23,7.76,7.82,7.69,7.7,9490100,4.958131,4.07558998102
2010-08-24,7.69,7.7,7.6,7.6,9930200,4.89374,2.72396548492
2010-08-25,7.62,7.62,7.52,7.55,10729400,4.861544,2.04814274142
2010-08-26,7.65,7.74,7.61,7.66,14180600,4.932375,3.53494857894
2010-08-27,7.68,7.7,7.62,7.7,9455000,4.958131,4.07558998102
2010-08-30,7.75,7.77,7.69,7.7,8079100,4.958131,4.07558998102
2010-08-31,7.74,7.77,7.68,7.73,15369800,4.977449,4.48109202347
2010-09-01,7.78,7.87,7.75,7.84,11482100,5.048279,5.96787687009
2010-09-02,7.85,7.9,7.83,7.89,9834900,5.080475,6.64369961359
2010-09-03,7.92,7.95,7.86,7.94,9417100,5.11267,7.31950136619
2010-09-07,7.78,7.78,7.65,7.66,10838300,5.051994,6.0458580321
2010-09-08,7.67,7.7,7.51,7.55,16944700,4.979446,4.52301083384
2010-09-09,7.6,7.69,7.58,7.66,10605400,5.051994,6.0458580321
2010-09-10,7.66,7.75,7.63,7.72,13335400,5.091565,6.87648860058
2010-09-13,7.76,7.76,7.64,7.68,12764000,5.065184,6.3227278913
2010-09-14,7.65,7.72,7.65,7.69,11947000,5.07178,6.46118381179
2010-09-15,7.7,7.86,7.67,7.84,15988200,5.170709,8.53779171933
2010-09-16,7.82,7.9,7.82,7.88,14281100,5.19709,9.09155242862
2010-09-17,7.9,8.06,7.88,7.96,20751900,5.249853,10.1990948381
2010-09-20,7.98,8.19,7.98,8.18,16331900,5.394949,13.2447892346
2010-09-21,8.15,8.18,8.05,8.09,11499700,5.335591,11.9988118955
2010-09-22,8.09,8.16,8.03,8.1,10851000,5.342187,12.137267816
2010-09-23,8.08,8.14,8.01,8.05,8357900,5.30921,11.4450511862
2010-09-24,8.0,8.09,7.81,8.07,22717400,5.322401,11.7219420363
2010-09-27,8.05,8.29,7.99,8.24,16155900,5.434521,14.075440794
2010-09-28,8.19,8.23,8.01,8.17,14177700,5.388354,13.106354305
2010-09-29,8.15,8.27,8.1,8.17,8539000,5.388354,13.106354305
2010-09-30,8.25,8.3,8.16,8.17,11151100,5.388354,13.106354305
2010-10-01,8.19,8.24,8.17,8.18,8368700,5.394949,13.2447892346
2010-10-04,8.2,8.22,8.16,8.18,6952800,5.394949,13.2447892346
2010-10-05,8.2,8.43,8.16,8.39,12090200,5.53345,16.1520487015
2010-10-06,8.37,8.43,8.35,8.4,8603800,5.540045,16.2904836311
2010-10-07,8.43,8.49,8.34,8.37,10708000,5.520259,15.8751578514
2010-10-08,8.36,8.4,8.32,8.39,7447200,5.53345,16.1520487015
2010-10-11,8.46,8.6,8.42,8.6,11270300,5.671951,19.0593081684
2010-10-12,8.6,8.66,8.56,8.63,9603400,5.691737,19.4746339481
2010-10-13,8.65,8.7,8.6,8.62,7973500,5.685142,19.3361990185
2010-10-14,8.67,8.88,8.67,8.86,13586000,5.843429,22.6587842651
2010-10-15,8.87,8.91,8.49,8.54,21957100,5.632379,18.2286566091
2010-10-18,8.64,8.67,8.55,8.62,10046600,5.685142,19.3361990185
2010-10-19,8.6,8.74,8.58,8.67,8510400,5.718118,20.0283946574
2010-10-20,8.67,8.84,8.67,8.8,9353600,5.803857,21.8281327057
