Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,21.48,22.08,21.48,22.059999,10554400,19.839781,-33.714092181
2010-06-11,21.66,22.16,21.65,21.99,10661500,19.776827,-33.9244253012
2010-06-14,22.190001,22.24,21.959999,22.030001,7711900,19.812802,-33.8042306511
2010-06-15,22.120001,22.25,21.83,22.18,6686300,19.947705,-33.353511572
2010-06-16,21.93,22.08,21.57,21.67,7255300,19.489033,-34.885962455
2010-06-17,21.700001,21.809999,21.059999,21.219999,8664100,19.084322,-36.2381263745
2010-06-18,21.290001,21.6,21.24,21.24,9608400,19.10231,-36.1780273789
2010-06-21,21.469999,21.65,20.83,20.940001,6333700,18.832504,-37.0794655372
2010-06-22,20.969999,21.309999,20.370001,20.440001,7397900,18.382826,-38.5818669224
2010-06-23,20.25,20.610001,20.07,20.469999,8533900,18.409806,-38.4917251112
2010-06-24,20.360001,20.370001,19.889999,20.1,10535500,18.077045,-39.6034997307
2010-06-25,20.15,20.450001,19.940001,20.200001,9077800,18.166981,-39.3030181172
2010-06-28,20.120001,20.549999,20.08,20.17,7439900,18.14,-39.3931632695
2010-06-29,19.959999,19.959999,19.4,19.549999,12574000,17.582399,-41.2561419226
2010-06-30,19.48,19.98,19.41,19.459999,12260100,17.501457,-41.5265740383
2010-07-01,19.41,19.98,19.27,19.9,11368000,17.897174,-40.2044596165
2010-07-02,19.889999,19.969999,19.450001,19.48,8745400,17.607926,-41.1708546723
2010-07-06,19.76,20.040001,19.1,19.370001,12515600,17.508498,-41.5030496316
2010-07-07,19.389999,19.84,19.02,19.719999,14979100,17.824861,-40.4460617215
2010-07-08,19.17,19.26,17.77,18.219999,31430400,16.469014,-44.976028522
2010-07-09,18.26,18.700001,18.200001,18.530001,12068700,16.749224,-44.0398299707
2010-07-12,18.440001,19.01,18.440001,18.809999,11795200,17.002314,-43.1942409791
2010-07-13,18.969999,19.01,18.620001,18.889999,11354900,17.074626,-42.9526422152
2010-07-14,18.799999,18.84,18.52,18.620001,11400500,16.830575,-43.7680313613
2010-07-15,18.639999,18.84,18.379999,18.790001,10008900,16.984238,-43.2546339879
2010-07-16,18.65,18.709999,18.059999,18.129999,10489400,16.387664,-45.2478237904
2010-07-19,18.120001,18.459999,18.08,18.290001,6440600,16.532289,-44.7646229214
2010-07-20,18.120001,18.559999,18.030001,18.48,9549300,16.704028,-44.1908325392
2010-07-21,18.57,18.65,18.01,18.110001,9093600,16.369587,-45.3082201403
2010-07-22,18.309999,18.5,18.16,18.33,12138500,16.568444,-44.6438268805
2010-07-23,18.290001,18.450001,18.059999,18.41,9571000,16.640755,-44.4022314577
2010-07-26,18.379999,19.040001,18.32,19.040001,9980300,17.210212,-42.4996411917
2010-07-27,19.18,19.219999,18.26,18.290001,9366200,16.532289,-44.7646229214
2010-07-28,18.280001,18.450001,17.950001,17.950001,9811700,16.224963,-45.7914176681
2010-07-29,18.09,18.27,17.75,18.01,11127300,16.279197,-45.6102185952
2010-07-30,17.790001,18.17,17.450001,18.110001,9712300,16.369587,-45.3082201403
2010-08-02,18.49,18.5,18.17,18.450001,8357900,16.676912,-44.2814287346
2010-08-03,18.370001,18.4,17.620001,17.690001,10479100,15.98995,-46.5766103098
2010-08-04,17.77,18.309999,17.77,18.129999,11529200,16.387664,-45.2478237904
2010-08-05,18.4,18.66,18.030001,18.459999,12308600,16.68595,-44.2512322302
