Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,25.559999,26.26,25.43,26.25,4014800,24.709627,-28.5065038376
2010-06-11,25.73,26.42,25.469999,26.360001,2751300,24.813172,-28.206912344
2010-06-14,26.889999,28.129999,26.879999,27.41,8746300,25.801557,-25.3471727289
2010-06-15,27.610001,28.1,27.33,27.879999,17985400,26.243976,-24.0671015616
2010-06-16,27.6,28.209999,27.52,27.74,5149900,26.112192,-24.448398248
2010-06-17,28.049999,28.049999,27.299999,27.719999,3671400,26.093365,-24.5028712699
2010-06-18,27.77,27.93,27.459999,27.809999,2820600,26.178084,-24.2577499048
2010-06-21,28.25,28.68,27.4,27.639999,4042600,26.01806,-24.7207546774
2010-06-22,27.620001,27.9,27.27,27.41,6593200,25.801557,-25.3471727289
2010-06-23,27.42,27.42,26.629999,27.049999,5851600,25.462681,-26.3276581893
2010-06-24,26.73,26.99,26.4,26.51,5334300,24.95437,-27.7983776999
2010-06-25,26.879999,27.26,26.17,27.07,5690300,25.481508,-26.2731851674
2010-06-28,27.120001,27.190001,26.299999,26.370001,4706500,24.822586,-28.1796743863
2010-06-29,25.629999,25.790001,24.42,24.629999,6396900,23.184689,-32.918676836
2010-06-30,24.700001,25.0,24.200001,24.290001,5058000,22.864642,-33.8446834879
2010-07-01,24.1,24.450001,22.99,23.67,6432500,22.281023,-35.533295086
2010-07-02,23.84,24.049999,23.059999,23.379999,4135700,22.00804,-36.3231293098
2010-07-06,24.030001,24.620001,23.23,23.559999,4293600,22.177478,-35.8328865796
2010-07-07,23.57,24.639999,23.49,24.58,3805300,23.147448,-33.026427928
2010-07-08,24.950001,25.190001,24.42,24.93,3082800,23.47705,-32.0727753568
2010-07-09,24.889999,25.629999,24.809999,25.58,2524700,24.089167,-30.3017091893
2010-07-12,25.379999,25.459999,24.809999,25.07,2715000,23.60889,-31.691316643
2010-07-13,25.59,25.879999,25.32,25.49,4521900,24.004412,-30.5469347148
2010-07-14,24.85,24.85,23.77,24.040001,8410700,22.638921,-34.4977724012
2010-07-15,23.99,24.200001,23.370001,23.870001,6686400,22.478829,-34.9609739213
2010-07-16,23.469999,23.65,22.57,22.620001,6468500,21.30168,-38.366873068
2010-07-19,22.85,23.23,22.549999,22.879999,6879900,21.546526,-37.6584489157
2010-07-20,22.469999,23.09,21.950001,23.059999,5448800,21.716035,-37.168000758
2010-07-21,23.309999,23.91,22.99,23.049999,7037400,21.706618,-37.1952473956
2010-07-22,23.52,24.280001,23.35,24.129999,5669400,22.723674,-34.2525526624
2010-07-23,23.93,24.68,23.73,24.610001,5105800,23.175701,-32.9446822283
2010-07-26,24.549999,24.9,24.190001,24.77,5594800,23.326376,-32.5087273459
2010-07-27,25.040001,25.309999,24.49,24.559999,3860100,23.128614,-33.0809212033
2010-07-28,24.379999,24.629999,24.01,24.09,5324300,22.686006,-34.361539213
2010-07-29,25.16,25.950001,24.48,25.76,9639400,24.258677,-29.8112581382
2010-07-30,25.26,26.27,25.08,26.040001,6544600,24.522359,-29.0483349239
2010-08-02,26.629999,26.83,26.23,26.459999,5223400,24.917879,-27.9039587825
2010-08-03,26.25,26.25,25.370001,25.48,5369100,23.994995,-30.5741813525
2010-08-04,25.76,25.77,25.059999,25.32,3888600,23.84432,-31.0101362349
2010-08-05,25.01,25.129999,24.700001,24.98,4096500,23.524136,-31.9365392752
2010-08-06,24.639999,24.799999,24.059999,24.690001,4265700,23.251038,-32.7267062338
2010-08-09,24.889999,25.25,24.67,25.17,3191300,23.703063,-31.4188415864
2010-08-10,24.85,25.040001,24.450001,24.629999,4369100,23.194534,-32.8901918464
2010-08-11,24.02,24.07,22.93,22.950001,7635200,21.612448,-37.4677137721
2010-08-12,22.52,23.190001,22.5,22.83,4620400,21.499441,-37.794682104
2010-08-13,22.780001,23.17,22.57,22.690001,3416900,21.3676,-38.1761437111
2010-08-16,22.51,22.75,22.07,22.25,3730700,20.953244,-39.3750189145
2010-08-17,22.620001,22.940001,22.450001,22.459999,4668400,21.151004,-38.8028308438
2010-08-18,22.49,22.639999,22.190001,22.34,5077000,21.037999,-39.129793389
2010-08-19,22.18,22.25,21.4,21.58,4713200,20.322292,-41.2005812506
2010-08-20,21.280001,21.469999,21.01,21.33,3502200,20.086862,-41.8817616587
2010-08-23,21.290001,21.65,21.049999,21.290001,4315300,20.049194,-41.9907482093
