Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,22.879999,23.27,22.639999,23.27,944300,19.434758,-38.5083498253
2010-06-11,22.9,23.82,22.9,23.75,837100,19.835646,-37.2399386284
2010-06-14,24.040001,24.52,23.799999,23.860001,931200,19.927517,-36.9492584258
2010-06-15,23.940001,24.33,23.85,24.280001,1253500,20.278295,-35.8393954645
2010-06-16,24.15,24.35,23.879999,24.200001,1369300,20.21148,-36.0507983853
2010-06-17,24.25,24.299999,23.66,24.17,1234100,20.186424,-36.1300756672
2010-06-18,24.23,24.5,24.209999,24.34,1019400,20.328406,-35.6808440649
2010-06-21,24.790001,25.040001,24.01,24.18,1601200,20.194776,-36.1036499066
2010-06-22,24.280001,24.49,23.41,23.48,1335800,19.610146,-37.9534215086
2010-06-23,23.370001,23.9,23.059999,23.74,2361600,19.827294,-37.266364389
2010-06-24,23.57,23.74,23.0,23.059999,1394900,19.259368,-39.0632844699
2010-06-25,23.129999,23.280001,22.6,23.16,1936000,19.342887,-38.7990300279
2010-06-28,23.26,23.309999,22.780001,23.17,2191900,19.351239,-38.7726042673
2010-06-29,22.67,23.27,22.35,22.530001,3930100,18.816721,-40.4638213057
2010-06-30,22.469999,22.85,22.129999,22.200001,1974000,18.54111,-41.3358555856
2010-07-01,22.17,22.52,21.549999,22.309999,2136800,18.632979,-41.045181711
2010-07-02,22.41,22.610001,21.860001,22.17,1162100,18.516054,-41.4151328674
2010-07-06,22.700001,22.76,21.92,22.18,1551300,18.524406,-41.3887071068
2010-07-07,22.09,22.68,22.07,22.68,2099300,18.941999,-40.0674412247
2010-07-08,22.889999,23.370001,22.74,23.299999,1778900,19.459812,-38.4290788715
2010-07-09,23.459999,23.84,23.309999,23.68,895500,19.777184,-37.4249126246
2010-07-12,23.6,23.85,23.32,23.459999,986100,19.593442,-38.0062730298
2010-07-13,23.77,24.26,23.709999,24.139999,961100,20.161368,-36.209352949
2010-07-14,24.030001,24.15,23.690001,23.940001,1303100,19.994332,-36.737855505
2010-07-15,23.950001,23.99,23.370001,23.93,925600,19.98598,-36.7642812656
2010-07-16,23.780001,23.809999,23.200001,23.299999,1306800,19.459812,-38.4290788715
2010-07-19,23.33,23.379999,22.790001,23.16,1152100,19.342887,-38.7990300279
2010-07-20,22.73,23.719999,22.73,23.68,2420800,19.777184,-37.4249126246
2010-07-21,23.879999,23.93,22.99,23.17,1926700,19.351239,-38.7726042673
2010-07-22,23.549999,24.040001,23.459999,23.91,1544500,19.969276,-36.8171327868
2010-07-23,23.879999,24.73,23.82,24.639999,1613600,20.578961,-34.8880870669
2010-07-26,24.860001,25.26,24.700001,24.870001,2086000,20.771054,-34.2803040651
2010-07-27,24.950001,25.0,24.559999,24.76,1567900,20.679184,-34.5709811037
2010-07-28,25.35,25.35,24.5,24.67,1167600,20.604017,-34.8088097851
2010-07-29,24.48,24.540001,23.68,23.92,1926000,20.165634,-36.1958553083
2010-07-30,23.709999,24.16,23.6,23.959999,1709100,20.199354,-36.0891650967
2010-08-02,24.120001,24.43,23.99,24.02,2042600,20.249938,-35.9291171232
2010-08-03,23.83,24.049999,23.690001,23.870001,1177800,20.123482,-36.3292244008
2010-08-04,23.98,24.129999,23.85,23.9,1264500,20.148772,-36.2492067421
2010-08-05,23.83,24.02,23.6,23.809999,1490700,20.072898,-36.4892723743
2010-08-06,23.620001,23.860001,23.27,23.700001,983600,19.980164,-36.7826831123
2010-08-09,23.83,23.99,23.5,23.530001,1390500,19.836847,-37.2361386597
2010-08-10,23.24,23.5,23.0,23.24,1170100,19.592363,-38.00968699
2010-08-11,22.9,22.9,21.99,22.040001,1719400,18.58071,-41.210561031
2010-08-12,21.719999,22.18,21.549999,22.040001,1327100,18.58071,-41.210561031
2010-08-13,21.91,22.35,21.870001,21.969999,1422800,18.521695,-41.3972847214
2010-08-16,21.82,22.09,21.76,21.77,918500,18.353087,-41.9307610915
2010-08-17,22.08,22.34,21.959999,22.040001,1414600,18.58071,-41.210561031
2010-08-18,22.040001,22.219999,21.77,22.040001,846300,18.58071,-41.210561031
2010-08-19,21.93,22.049999,21.309999,21.48,934600,18.108604,-42.7043062578
2010-08-20,21.549999,21.93,21.5,21.790001,1423000,18.369949,-41.8774096577
2010-08-23,22.02,22.1,21.26,21.299999,1084000,17.956855,-43.1844406862
2010-08-24,21.129999,21.35,20.91,21.17,2235800,17.84726,-43.531199694
2010-08-25,21.07,21.58,20.809999,21.48,1855400,18.108604,-42.7043062578
2010-08-26,21.58,21.9,21.49,21.49,1844700,18.117034,-42.6776337049
2010-08-27,21.67,21.85,21.129999,21.83,2246200,18.40367,-41.7707162821
2010-08-30,21.690001,21.82,21.49,21.58,1346800,18.192908,-42.4375680728
2010-08-31,21.42,22.030001,21.389999,21.76,1499200,18.344657,-41.9574336444
2010-09-01,22.08,22.73,22.08,22.639999,1613300,19.086536,-39.6101255925
2010-09-02,22.799999,23.23,22.700001,23.16,1407100,19.524919,-38.2230800693
2010-09-03,23.389999,23.66,23.07,23.34,1197400,19.676668,-37.742945641
2010-09-07,23.120001,23.34,22.98,23.059999,1150900,19.440614,-38.4898214184
2010-09-08,23.09,23.43,23.059999,23.34,1211500,19.676668,-37.742945641
2010-09-09,23.49,23.639999,23.24,23.459999,1228000,19.777832,-37.4228623501
2010-09-10,23.450001,23.68,23.34,23.66,1278300,19.946442,-36.8893796519
2010-09-13,23.799999,23.98,23.75,23.92,1078400,20.165634,-36.1958553083
2010-09-14,23.9,24.139999,23.690001,23.860001,916000,20.115051,-36.3559001178
2010-09-15,23.690001,23.870001,23.57,23.77,1367800,20.039177,-36.5959657499
2010-09-16,23.75,24.02,23.700001,23.99,1003100,20.224646,-36.00914111
2010-09-17,24.190001,24.389999,23.91,24.200001,1162000,20.401687,-35.4489826949
2010-09-20,24.219999,24.23,23.49,24.209999,1216300,20.410116,-35.422313306
2010-09-21,24.25,24.450001,24.08,24.280001,1680000,20.46913,-35.2355927796
2010-09-22,24.280001,24.610001,23.99,24.02,945400,20.249938,-35.9291171232
2010-09-23,23.85,23.99,23.52,23.59,696600,19.887429,-37.0760970143
2010-09-24,24.16,24.889999,24.16,24.700001,1070400,20.823209,-34.1152854415
2010-09-27,24.76,24.77,24.42,24.49,695100,20.646169,-34.6754406926
2010-09-28,24.629999,24.709999,24.0,24.67,970800,20.797917,-34.1953094282
2010-09-29,24.530001,24.74,24.32,24.43,1094500,20.595587,-34.835482338
2010-09-30,24.639999,24.75,24.1,24.379999,1566900,20.553433,-34.9688577585
2010-10-01,24.65,24.99,24.530001,24.58,1410700,20.722043,-34.4353750604
2010-10-04,24.48,24.629999,23.74,23.82,1322300,20.081329,-36.4625966574
2010-10-05,24.16,24.74,24.09,24.540001,1455500,20.688322,-34.542068436
2010-10-06,24.610001,24.83,24.540001,24.83,900300,20.932804,-33.7685264337
2010-10-07,25.0,25.0,24.42,24.530001,774900,20.679891,-34.5687441529
2010-10-08,24.6,24.940001,24.48,24.809999,1148500,20.915943,-33.8218747035
2010-10-11,24.790001,24.85,24.57,24.719999,435900,20.840069,-34.0619403357
2010-10-12,24.709999,24.870001,24.379999,24.84,852000,20.941235,-33.7418507168
2010-10-13,24.98,25.540001,24.870001,25.190001,855700,21.236301,-32.808260741
2010-10-14,25.16,25.209999,24.620001,24.860001,911900,20.958096,-33.688502447
2010-10-15,25.219999,25.549999,24.82,25.290001,1206500,21.320606,-32.5415193919
2010-10-18,25.33,25.65,25.219999,25.6,2198400,21.581949,-31.7146291198
2010-10-19,25.219999,25.280001,24.709999,24.870001,1152000,20.966527,-33.6618267301
2010-10-20,25.0,25.549999,24.92,25.33,713200,21.354327,-32.4348260163
2010-10-21,25.49,25.6,24.959999,25.139999,844600,21.194148,-32.9416329975
2010-10-22,25.16,25.299999,25.049999,25.139999,550700,21.194148,-32.9416329975
2010-10-25,25.450001,25.780001,25.41,25.549999,1122900,21.539796,-31.8480013763
