Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,19.139999,19.540001,19.09,19.52,4666600,15.412182,-25.4620951958
2010-06-11,19.32,19.620001,19.23,19.6,2769000,15.475346,-25.1566152696
2010-06-14,19.719999,19.75,19.440001,19.440001,3683600,15.349017,-25.7675799582
2010-06-15,19.67,19.969999,19.49,19.950001,4350800,15.751692,-23.8201236657
2010-06-16,19.860001,19.889999,19.709999,19.83,4323800,15.656944,-24.2783532275
2010-06-17,19.77,20.09,19.77,20.07,4438300,15.846438,-23.3619037765
2010-06-18,20.110001,20.26,20.059999,20.15,3638300,15.909603,-23.0564190141
2010-06-21,20.35,20.5,19.66,19.77,4140500,15.609571,-24.5074631721
2010-06-22,19.75,19.950001,19.450001,19.5,5387100,15.39639,-25.5384700136
2010-06-23,19.49,19.52,19.26,19.4,3908800,15.317434,-25.9203247576
2010-06-24,19.27,19.49,19.129999,19.18,3630300,15.143732,-26.7603993908
2010-06-25,19.280001,19.5,19.120001,19.49,5868000,15.388494,-25.5766574225
2010-06-28,19.440001,19.65,19.32,19.51,3023500,15.404286,-25.5002826047
2010-06-29,19.290001,19.299999,18.799999,18.91,6105100,14.930551,-27.7914062323
2010-06-30,18.91,19.040001,18.690001,18.719999,4693700,14.780534,-28.5169331476
2010-07-01,18.76,18.809999,18.41,18.65,5165500,14.725265,-28.7842305011
2010-07-02,18.74,18.83,18.459999,18.620001,2704200,14.701579,-28.8987830553
2010-07-06,19.18,19.190001,18.559999,18.73,3843200,14.78843,-28.4787457387
2010-07-07,18.83,19.4,18.74,19.370001,4400800,15.293748,-26.0348773117
2010-07-08,19.49,19.73,19.309999,19.68,4067600,15.538511,-24.8511305072
2010-07-09,19.709999,20.09,19.65,19.959999,4131900,15.759586,-23.7819459294
2010-07-12,19.93,19.940001,19.690001,19.809999,2292700,15.641153,-24.3547232091
2010-07-13,19.99,20.0,19.76,19.84,4381000,15.66484,-24.2401658186
2010-07-14,19.52,20.35,19.52,20.110001,8698800,15.878021,-23.2091589771
2010-07-15,20.110001,20.15,19.77,20.1,7786000,15.870126,-23.2473415498
2010-07-16,19.969999,20.02,19.559999,19.59,6663800,15.467451,-25.1947978423
2010-07-19,19.66,19.76,19.5,19.65,3491200,15.514824,-24.9656878976
2010-07-20,19.33,19.809999,19.299999,19.780001,5362700,15.617467,-24.4692757632
2010-07-21,20.01,20.01,19.209999,19.24,4988800,15.191105,-26.5312894462
2010-07-22,19.4,19.67,19.379999,19.65,4121900,15.514824,-24.9656878976
2010-07-23,19.58,19.889999,19.48,19.870001,4193600,15.688527,-24.1256084282
2010-07-26,19.85,20.190001,19.85,20.18,3660400,15.93329,-22.9418616236
2010-07-27,20.299999,20.299999,20.07,20.16,3151300,15.917499,-23.0182316051
2010-07-28,20.059999,20.16,19.780001,19.809999,2610000,15.641153,-24.3547232091
2010-07-29,19.959999,20.040001,19.620001,19.709999,4041200,15.562197,-24.736577953
2010-07-30,19.5,19.780001,19.42,19.639999,2692200,15.506928,-25.0038753066
2010-08-02,19.99,20.030001,19.75,19.98,2882200,15.775378,-23.7055711116
2010-08-03,19.93,19.93,19.58,19.610001,2679600,15.483242,-25.1184278607
2010-08-04,19.700001,19.879999,19.51,19.68,4378600,15.538511,-24.8511305072
2010-08-05,19.57,19.76,19.51,19.75,2438400,15.59378,-24.5838331537
2010-08-06,19.57,19.690001,19.34,19.65,2219700,15.514824,-24.9656878976
2010-08-09,19.780001,19.83,19.65,19.809999,2165000,15.641153,-24.3547232091
2010-08-10,19.629999,19.889999,19.59,19.75,2550900,15.59378,-24.5838331537
2010-08-11,19.540001,19.540001,19.17,19.200001,3069000,15.159523,-26.6840294092
2010-08-12,18.950001,19.24,18.950001,19.190001,3654900,15.151627,-26.7222168182
2010-08-13,19.16,19.379999,19.09,19.18,2089100,15.143732,-26.7603993908
2010-08-16,19.09,19.190001,18.969999,19.08,2686000,15.064776,-27.1422541348
2010-08-17,19.27,19.41,19.16,19.25,4619600,15.199001,-26.4931020373
2010-08-18,19.23,19.74,19.190001,19.709999,7237500,15.562197,-24.736577953
2010-08-19,19.67,19.719999,19.49,19.51,8354300,15.404286,-25.5002826047
2010-08-20,19.42,19.559999,19.299999,19.450001,3525900,15.356913,-25.7293925493
2010-08-23,19.57,19.610001,19.379999,19.379999,2467100,15.301642,-25.9966995754
2010-08-24,19.15,19.459999,19.15,19.280001,2958400,15.222688,-26.3785446468
2010-08-25,19.129999,19.59,19.059999,19.52,3658900,15.412182,-25.4620951958
2010-08-26,19.559999,19.620001,19.34,19.4,3642600,15.317434,-25.9203247576
2010-08-27,19.540001,19.9,19.32,19.9,3362700,15.712213,-24.011055874
2010-08-30,19.809999,19.93,19.719999,19.77,4163800,15.609571,-24.5074631721
2010-08-31,19.76,19.92,19.469999,19.799999,4079400,15.633257,-24.392910618
2010-09-01,19.98,20.360001,19.83,20.34,4493300,16.059619,-22.330896935
2010-09-02,20.389999,20.559999,20.27,20.549999,2815800,16.225426,-21.5290048745
2010-09-03,20.700001,20.75,20.370001,20.74,4072500,16.375442,-20.8034827954
2010-09-07,20.6,20.75,20.450001,20.469999,2928300,16.162261,-21.8344896369
2010-09-08,20.530001,20.790001,20.530001,20.76,2595100,16.391234,-20.7271079776
2010-09-09,20.969999,21.0,20.370001,20.4,4675200,16.106992,-22.1017869904
2010-09-10,20.459999,20.57,20.33,20.35,3783600,16.067515,-22.2927095261
2010-09-13,20.620001,20.700001,20.52,20.68,2744700,16.328069,-21.03259274
2010-09-14,20.59,20.65,20.48,20.52,2764900,16.20174,-21.6435574286
2010-09-15,20.389999,20.75,20.26,20.75,2716000,16.383338,-20.7652953865
2010-09-16,20.540001,21.02,20.27,20.99,4657700,16.572832,-19.8488459355
2010-09-17,21.059999,21.200001,20.98,21.120001,3779600,16.675476,-19.3524289648
2010-09-20,21.139999,21.450001,21.07,21.42,3412200,16.912342,-18.2068744054
2010-09-21,21.450001,21.59,21.280001,21.379999,3885300,16.880759,-18.3596192048
2010-09-22,21.35,21.459999,21.09,21.110001,3753700,16.66758,-19.3906163737
2010-09-23,20.940001,21.09,20.76,20.76,2578600,16.391234,-20.7271079776
2010-09-24,21.0,21.34,21.0,21.34,3101400,16.849178,-18.5123543316
2010-09-27,21.379999,21.379999,21.07,21.08,2888300,16.643892,-19.5051786004
2010-09-28,21.17,21.389999,20.950001,21.35,3546400,16.857074,-18.4741669226
2010-09-29,21.200001,21.209999,20.73,20.799999,4736300,16.422816,-20.5743680145
2010-09-30,20.950001,21.290001,20.82,20.870001,5468600,16.478086,-20.3070658247
2010-10-01,21.07,21.07,20.700001,20.860001,3318500,16.47019,-20.3452532336
2010-10-04,20.799999,20.950001,20.530001,20.610001,2665700,16.272801,-21.2998852573
2010-10-05,20.74,21.200001,20.5,21.15,3173200,16.699161,-19.2378812469
2010-10-06,21.07,21.110001,20.91,21.02,2072700,16.596519,-19.734288545
2010-10-07,21.129999,21.23,20.93,21.030001,2110000,16.604415,-19.6961011361
2010-10-08,21.09,21.190001,20.9,21.120001,1844700,16.675476,-19.3524289648
2010-10-11,21.1,21.17,20.99,21.1,1570800,16.659684,-19.4288037826
2010-10-12,21.02,21.139999,20.860001,21.120001,2665700,16.675476,-19.3524289648
2010-10-13,21.26,21.5,21.07,21.32,2371400,16.833386,-18.5887291494
2010-10-14,21.25,21.5,20.51,20.879999,6543300,16.48598,-20.2688880884
2010-10-15,21.07,21.07,20.440001,20.709999,4590200,16.351755,-20.9180401859
2010-10-18,20.700001,20.700001,20.530001,20.66,3369800,16.312278,-21.1089627216
2010-10-19,20.49,20.610001,20.16,20.309999,4964200,16.035932,-22.4454543255
2010-10-20,20.379999,20.85,20.299999,20.629999,3584200,16.288591,-21.223520112
2010-10-21,20.709999,20.83,20.389999,20.540001,3027100,16.217532,-21.5671826108
2010-10-22,20.870001,20.99,20.65,20.969999,3321500,16.557041,-19.925215917
2010-10-25,21.120001,21.24,20.99,21.01,3161200,16.588624,-19.7724711176
2010-10-26,20.98,21.469999,20.98,21.4,4363100,16.896551,-18.283244387
2010-10-27,21.24,21.4,21.030001,21.360001,4238800,16.864969,-18.43598435
2010-10-28,21.49,21.49,21.120001,21.34,3672500,16.849178,-18.5123543316
2010-10-29,21.23,21.34,21.040001,21.16,16086800,16.707057,-19.199693838
2010-11-01,21.280001,21.5,21.09,21.24,2371100,16.770222,-18.8942090755
2010-11-02,21.41,21.6,21.32,21.41,3037500,16.904447,-18.245056978
2010-11-03,21.459999,21.52,21.190001,21.52,3098100,16.991299,-17.8250148251
2010-11-04,21.68,21.99,21.540001,21.969999,4248600,17.346599,-16.1066781499
