Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,9.35,9.97,9.23,9.77,16889800,9.499232,-31.1248997049
2010-06-11,9.66,9.74,9.31,9.55,13248800,9.285329,-32.6758240932
2010-06-14,9.88,9.88,9.42,9.48,10558500,9.217268,-33.1693069559
2010-06-15,9.64,9.95,9.48,9.93,9522100,9.654798,-29.996953377
2010-06-16,9.77,10.03,9.56,9.75,9285200,9.479786,-31.2658948086
2010-06-17,9.76,9.76,9.32,9.51,7053500,9.246438,-32.9578070499
2010-06-18,9.51,9.58,9.28,9.36,9658500,9.100594,-34.0152630766
2010-06-21,9.47,9.57,9.11,9.15,6761900,8.896414,-35.495689913
2010-06-22,9.12,9.26,8.82,8.86,13807600,8.614451,-37.5400899134
2010-06-23,8.85,9.21,8.65,9.05,11588500,8.799186,-36.20065093
2010-06-24,9.02,9.24,8.89,9.01,8928400,8.760295,-36.4826338867
2010-06-25,8.98,8.98,8.69,8.92,10813000,8.672789,-37.1171046025
2010-06-28,8.9,9.01,8.76,8.8,6421100,8.556115,-37.9630607231
2010-06-29,8.69,8.82,8.34,8.37,10882800,8.138032,-40.9944119478
2010-06-30,8.35,8.53,8.24,8.28,9418500,8.050526,-41.6288826636
2010-07-01,8.24,8.47,8.08,8.39,12772100,8.157478,-40.8534168441
2010-07-02,8.4,8.44,8.09,8.16,8000700,7.933852,-42.4748387842
2010-07-06,8.36,8.45,8.06,8.14,8586700,7.914406,-42.6158338878
2010-07-07,8.15,8.51,8.13,8.5,10026100,8.264429,-40.0779582753
2010-07-08,8.56,8.65,8.1,8.28,17291600,8.050526,-41.6288826636
2010-07-09,8.29,8.62,8.23,8.6,6541600,8.361658,-39.3729900077
2010-07-12,8.58,8.6,8.27,8.47,5931100,8.235261,-40.2894436802
2010-07-13,8.62,8.87,8.56,8.8,8207900,8.556115,-37.9630607231
2010-07-14,8.74,8.74,8.42,8.54,8866000,8.30332,-39.7959753186
2010-07-15,8.55,8.57,8.3,8.53,9391200,8.293597,-39.8664728705
2010-07-16,8.47,8.51,8.03,8.05,7707500,7.8269,-43.2503046036
2010-07-19,8.1,8.21,7.83,7.93,11932200,7.710226,-44.0962607243
2010-07-20,7.81,8.37,7.77,8.3,8127200,8.069972,-41.4878875599
2010-07-21,8.37,8.45,8.0,8.05,8107400,7.8269,-43.2503046036
2010-07-22,8.15,8.49,8.15,8.34,7043300,8.108863,-41.2059046032
2010-07-23,8.34,8.69,8.26,8.66,6538400,8.419994,-38.950019198
2010-07-26,8.73,9.18,8.66,9.07,11284100,8.818631,-36.059663077
2010-07-27,9.2,9.31,8.91,8.94,8367400,8.692234,-36.9761167494
2010-07-28,8.93,9.03,8.51,8.59,5334000,8.351935,-39.4434875595
2010-07-29,8.73,8.88,8.52,8.8,9167900,8.556115,-37.9630607231
