Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,29.6,30.09,29.280001,30.07,3068300,30.07,-41.2634809862
2010-06-11,29.559999,31.370001,29.559999,31.35,4083700,31.35,-38.7632234425
2010-06-14,31.450001,31.76,31.17,31.25,3145300,31.25,-38.9585560631
2010-06-15,31.43,32.080002,31.43,32.0,3102400,32.0,-37.4935614086
2010-06-16,31.9,32.34,31.690001,32.23,3568400,32.23,-37.0442963812
2010-06-17,32.25,32.450001,31.76,32.130001,2547100,32.130001,-37.2396270485
2010-06-18,32.169998,32.32,31.719999,31.92,2253400,31.92,-37.6498275051
2010-06-21,32.25,32.48,31.4,31.58,2066900,31.58,-38.3139584151
2010-06-22,31.709999,31.879999,30.809999,30.860001,3792300,30.860001,-39.7203513301
2010-06-23,31.860001,32.52,30.99,31.360001,4978700,31.360001,-38.7436882271
2010-06-24,31.190001,31.389999,30.629999,30.780001,2922800,30.780001,-39.8766174266
2010-06-25,30.860001,31.309999,30.49,31.07,3056600,31.07,-39.3101547802
2010-06-28,31.1,31.34,30.75,30.99,2182800,30.99,-39.4664208767
2010-06-29,30.24,30.549999,29.16,29.389999,2894300,29.389999,-42.5917447595
2010-06-30,29.35,29.73,28.82,28.940001,2486700,28.940001,-43.4707376456
2010-07-01,28.9,29.389999,28.200001,29.200001,3702600,29.200001,-42.962872832
2010-07-02,29.1,29.200001,28.690001,28.91,2009500,28.91,-43.5293393851
2010-07-06,29.41,29.690001,29.190001,29.440001,3423800,29.440001,-42.4940745426
2010-07-07,29.540001,30.74,29.450001,30.709999,2811900,30.709999,-40.0133541677
2010-07-08,30.91,30.99,30.129999,30.549999,2879100,30.549999,-40.3258863606
2010-07-09,30.6,30.82,30.34,30.639999,1197500,30.639999,-40.1500870021
2010-07-12,30.42,31.040001,30.370001,30.860001,1770100,30.860001,-39.7203513301
2010-07-13,31.120001,31.860001,31.0,31.59,2780400,31.59,-38.2944251531
2010-07-14,31.66,32.23,31.530001,32.220001,2877100,32.220001,-37.06382769
2010-07-15,32.139999,32.599998,31.93,32.470001,4049900,32.470001,-36.5754961385
2010-07-16,32.139999,32.349998,31.530001,31.58,3796000,31.58,-38.3139584151
2010-07-19,31.75,31.969999,31.370001,31.82,2031100,31.82,-37.8451601257
2010-07-20,31.27,32.060001,31.059999,32.029999,2984000,32.029999,-37.4349635758
2010-07-21,32.259998,32.5,31.5,31.610001,3159500,31.610001,-38.2553566756
2010-07-22,31.98,32.450001,31.780001,32.34,2400700,32.34,-36.8294304986
2010-07-23,32.040001,33.209999,31.870001,33.209999,5200800,33.209999,-35.1300386527
2010-07-26,33.169998,33.639999,32.970001,33.220001,2826800,33.220001,-35.110501484
2010-07-27,33.57,33.57,32.290001,32.400002,3265300,32.400002,-36.7122270196
2010-07-28,32.240002,32.599998,31.65,31.799999,2924800,31.799999,-37.8842286031
2010-07-29,32.07,32.23,31.27,32.009998,4094700,32.009998,-37.4740320532
2010-07-30,31.690001,32.310001,31.35,32.150002,3120200,32.150002,-37.2005585711
2010-08-02,32.490002,32.799999,32.369999,32.619999,2156000,32.619999,-36.2825011142
2010-08-03,32.5,32.529999,31.879999,32.040001,2130100,32.040001,-37.415426407
2010-08-04,32.060001,33.990002,32.049999,33.830002,4461800,33.830002,-33.918970545
2010-08-05,33.540001,33.630001,32.970001,33.25,2477900,33.25,-35.0519036511
2010-08-06,32.970001,33.639999,32.57,33.450001,2329000,33.450001,-34.6612364566
2010-08-09,33.630001,33.810001,33.419998,33.490002,1675400,33.490002,-34.583101455
2010-08-10,33.02,33.209999,32.59,33.130001,2427200,33.130001,-35.2863008425
2010-08-11,32.490002,32.490002,31.73,31.950001,2010000,31.950001,-37.5912257656
2010-08-12,31.360001,31.360001,30.629999,30.85,3695500,30.85,-39.7398865455
2010-08-13,30.74,31.459999,30.620001,30.93,1932900,30.93,-39.583620449
2010-08-16,30.68,31.059999,30.290001,31.02,2127200,31.02,-39.4078210905
2010-08-17,31.280001,32.080002,31.200001,31.879999,2413900,31.879999,-37.7279625067
2010-08-18,31.809999,31.9,31.379999,31.790001,1901500,31.790001,-37.9037579585
2010-08-19,31.82,32.099998,31.139999,31.41,2668000,31.41,-38.6460238701
2010-08-20,31.139999,32.720001,31.049999,32.540001,3823000,32.540001,-36.4387633041
2010-08-23,32.689999,33.5,32.560001,32.77,3952400,32.77,-35.98950023
2010-08-24,32.25,33.130001,31.879999,33.009998,4523900,33.009998,-35.5207058472
2010-08-25,32.639999,33.360001,32.549999,33.25,3178000,33.25,-35.0519036511
2010-08-26,33.439999,34.75,33.439999,34.540001,6130100,34.540001,-32.5321108921
2010-08-27,34.740002,35.27,34.240002,35.16,2922800,35.16,-31.3210505977
2010-08-30,35.040001,35.259998,34.52,34.52,1677600,34.52,-32.5711793695
2010-08-31,34.240002,34.900002,34.220001,34.549999,2106200,34.549999,-32.5125815367
2010-09-01,35.040001,36.439999,35.040001,35.650002,3962000,35.650002,-30.3639168501
2010-09-02,35.790001,36.580002,35.68,36.540001,2531200,36.540001,-28.6254584801
2010-09-03,36.720001,37.360001,36.459999,36.98,2350500,36.98,-27.7659969028
2010-09-07,36.59,37.150002,36.490002,36.93,2320500,36.93,-27.8636632131
2010-09-08,37.18,37.529999,36.919998,37.080002,2554100,37.080002,-27.5706603756
2010-09-09,37.509998,37.610001,36.779999,36.98,1229800,36.98,-27.7659969028
2010-09-10,37.060001,37.610001,36.98,37.41,1297400,37.41,-26.9260666343
2010-09-13,37.91,39.080002,37.91,38.950001,3623200,38.950001,-23.9179423237
2010-09-14,38.389999,38.950001,38.029999,38.599998,3278400,38.599998,-24.6016123558
2010-09-15,38.349998,38.790001,38.009998,38.740002,2320600,38.740002,-24.3281388737
2010-09-16,38.98,38.990002,36.950001,37.439999,5825900,37.439999,-26.8674688014
2010-09-17,37.720001,38.459999,37.720001,38.34,3992800,38.34,-25.1094732627
2010-09-20,38.450001,39.48,38.360001,38.98,3925400,38.98,-23.8593444909
2010-09-21,38.959999,39.040001,38.0,38.43,3469500,38.43,-24.9336739042
2010-09-22,38.299999,38.720001,36.66,36.75,5693200,36.75,-28.2152619302
2010-09-23,39.860001,41.470001,39.369999,40.07,13076700,40.07,-21.7302189263
2010-09-24,40.77,41.740002,40.540001,41.259998,4279700,41.259998,-19.4057646479
2010-09-27,41.200001,41.240002,40.34,40.82,2869600,40.82,-20.2652242719
2010-09-28,40.830002,41.330002,40.16,41.27,3112100,41.27,-19.3862274792
2010-09-29,41.220001,41.279999,40.369999,41.029999,3597800,41.029999,-19.8550277219
2010-09-30,41.369999,41.599998,40.5,41.0,3015600,41.0,-19.9136255548
2010-10-01,41.07,41.709999,40.950001,41.27,2793000,41.27,-19.3862274792
2010-10-04,41.040001,41.200001,40.240002,40.619999,2118800,40.619999,-20.6558914664
2010-10-05,40.939999,41.610001,40.889999,41.5,3582300,41.5,-18.9369624518
2010-10-06,41.400002,41.5,37.330002,38.32,10010900,38.32,-25.1485397868
2010-10-07,38.599998,38.75,37.509998,38.169998,5192800,38.169998,-25.4415426244
2010-10-08,37.990002,38.849998,37.950001,38.669998,2371700,38.669998,-24.4648795214
2010-10-11,38.66,39.830002,38.299999,38.41,2993900,38.41,-24.9727404283
2010-10-12,38.080002,39.349998,37.880001,39.150002,2656900,39.150002,-23.5272751292
2010-10-13,39.439999,40.029999,39.169998,39.41,1711300,39.41,-23.0194142223
2010-10-14,39.5,39.68,39.049999,39.669998,1690700,39.669998,-22.5115533154
2010-10-15,39.889999,40.509998,39.560001,40.400002,4113100,40.400002,-21.0856173717
2010-10-18,40.029999,40.279999,39.32,39.82,2521700,39.82,-22.2185504778
2010-10-19,38.380001,39.200001,38.0,38.68,3660400,38.68,-24.4453423527
2010-10-20,38.75,39.220001,38.549999,38.919998,2096000,38.919998,-23.9765479699
2010-10-21,39.130001,39.5,38.740002,39.150002,2129500,39.150002,-23.5272751292
2010-10-22,39.169998,40.68,39.029999,40.66,2880000,40.66,-20.5777564648
2010-10-25,40.720001,41.330002,40.580002,41.080002,1822800,41.080002,-19.7573555517
2010-10-26,40.759998,41.580002,40.169998,41.27,2820200,41.27,-19.3862274792
2010-10-27,41.009998,42.5,41.0,42.459999,3163600,42.459999,-17.0617712474
2010-10-28,42.720001,42.73,41.220001,42.220001,2933600,42.220001,-17.5305656302
2010-10-29,42.240002,42.490002,41.939999,42.259998,1533800,42.259998,-17.4524384419
2010-11-01,42.400002,42.950001,42.119999,42.560001,1598700,42.560001,-16.8664347201
2010-11-02,42.810001,43.470001,42.700001,43.16,1508900,43.16,-15.6944409499
2010-11-03,43.380001,43.389999,42.139999,42.98,2149300,42.98,-16.0460396669
2010-11-04,43.439999,43.59,42.880001,43.43,1622200,43.43,-15.1670428743
2010-11-05,43.32,43.48,42.799999,43.099998,1224400,43.099998,-15.8116444289
2010-11-08,42.970001,43.470001,42.790001,43.009998,2089000,43.009998,-15.9874437874
2010-11-09,43.150002,43.389999,42.73,42.939999,1808500,42.939999,-16.1241746685
2010-11-10,42.900002,43.790001,42.549999,43.68,1298400,43.68,-14.6787113228
2010-11-11,43.27,43.740002,42.57,43.57,1628300,43.57,-14.8935772054
2010-11-12,43.27,43.27,41.799999,41.959999,2041800,41.959999,-18.0384343504
2010-11-15,42.169998,42.509998,41.25,41.310001,1743100,41.310001,-19.3080924776
2010-11-16,41.029999,41.150002,40.470001,40.91,2362200,40.91,-20.0894249133
2010-11-17,40.919998,41.75,40.470001,40.93,2125900,40.93,-20.0503583892
2010-11-18,41.490002,42.220001,41.34,41.759998,1146900,41.759998,-18.4291015449
2010-11-19,41.950001,42.919998,41.740002,41.869999,2202400,41.869999,-18.2142337089
2010-11-22,41.959999,42.73,41.689999,42.669998,1926500,42.669998,-16.6515746975
2010-11-23,42.709999,43.310001,41.939999,42.25,2143700,42.25,-17.4719677973
2010-11-24,42.639999,43.68,42.59,43.310001,2241800,43.310001,-15.4014400656
2010-11-26,42.900002,43.43,42.759998,43.32,887900,43.32,-15.3819087569
2010-11-29,43.09,43.169998,42.25,43.040001,1806700,43.040001,-15.9288381413
2010-11-30,42.59,43.630001,42.389999,43.5,2325000,43.5,-15.0303100398
2010-12-01,44.330002,46.25,44.209999,46.23,3673500,46.23,-9.69772949751
2010-12-02,46.439999,47.07,46.27,46.93,3026400,46.93,-8.33040115332
2010-12-03,46.59,47.639999,46.450001,47.450001,1825000,47.450001,-7.31466957288
2010-12-06,47.27,47.389999,46.709999,46.919998,1364500,46.919998,-8.34993832203
2010-12-07,48.27,49.0,47.169998,47.5,2721200,47.5,-7.21700521591
2010-12-08,48.279999,48.439999,47.549999,47.990002,1821100,47.990002,-6.25987146833
2010-12-09,48.509998,48.509998,47.509998,47.709999,2273200,47.709999,-6.80680866598
2010-12-10,47.889999,48.490002,47.639999,48.27,1994400,48.27,-5.71294403731
2010-12-13,48.419998,48.779999,48.009998,48.450001,1702200,48.450001,-5.3613433669
2010-12-14,48.41,48.509998,47.540001,47.68,2137000,47.68,-6.86540649883
2010-12-15,47.75,48.09,47.169998,47.25,1895400,47.25,-7.70533676741
2010-12-16,47.279999,48.310001,47.049999,48.189999,2546400,48.189999,-5.86921208711
2010-12-17,48.099998,48.5,47.799999,47.830002,4194900,47.830002,-6.57240366128
2010-12-20,48.439999,48.48,47.48,47.919998,3089500,47.919998,-6.39661211605
2010-12-21,48.009998,48.299999,47.5,47.880001,3514300,47.880001,-6.47473930431
2010-12-22,47.150002,47.830002,45.27,46.700001,5794500,46.700001,-8.77966422737
2010-12-23,46.959999,47.200001,46.34,46.509998,1483600,46.509998,-9.15080206648
2010-12-27,46.470001,46.57,45.57,46.119999,1093700,46.119999,-9.91259733349
2010-12-28,46.209999,46.279999,45.669998,46.07,1077800,46.07,-10.0102616905
2010-12-29,46.240002,46.759998,45.950001,46.619999,968800,46.619999,-8.9359342305
2010-12-30,46.389999,46.580002,46.189999,46.25,747300,46.25,-9.65866297339
2010-12-31,46.240002,46.240002,45.5,45.650002,945400,45.650002,-10.8306547903
2011-01-03,46.060001,46.889999,46.049999,46.560001,1707500,46.560001,-9.05312989621
2011-01-04,46.59,46.77,45.98,46.150002,1981400,46.150002,-9.85399168733
2011-01-05,46.02,46.830002,45.75,46.549999,980200,46.549999,-9.07266706492
2011-01-06,46.439999,46.709999,46.02,46.25,1141700,46.25,-9.65866297339
2011-01-07,46.200001,46.349998,45.080002,45.709999,1682300,45.709999,-10.7134610779
2011-01-10,45.34,46.52,44.84,46.5,1397700,46.5,-9.17033142189
2011-01-11,46.619999,46.759998,46.02,46.299999,1025500,46.299999,-9.56099861641
2011-01-12,46.66,46.66,45.939999,46.060001,1296300,46.060001,-10.0297929992
2011-01-13,46.060001,46.119999,45.360001,45.540001,1037800,45.540001,-11.0455226263
2011-01-14,45.57,45.860001,44.939999,45.860001,1303200,45.860001,-10.4204582404
2011-01-18,45.650002,46.18,45.299999,45.73,890800,45.73,-10.6743926005
2011-01-19,45.869999,46.459999,45.209999,45.57,1791500,45.57,-10.9869247935
2011-01-20,45.130001,45.150002,42.950001,43.279999,3275600,43.279999,-15.4600437585
2011-01-21,43.470001,43.75,42.599998,42.759998,2052100,42.759998,-16.4757753389
2011-01-24,42.720001,42.720001,41.939999,42.080002,2729900,42.080002,-17.8040293457
2011-01-25,41.68,41.799999,39.84,40.0,5130900,40.0,-21.8669517608
2011-01-26,41.139999,42.400002,41.130001,42.189999,4528900,42.189999,-17.589169323
2011-01-27,42.16,43.0,41.259998,41.380001,3611100,41.380001,-19.1713596432
2011-01-28,41.43,41.75,40.509998,41.060001,3073700,41.060001,-19.7964240291
2011-01-31,41.099998,41.369999,40.919998,41.32,2784800,41.32,-19.2885611689
2011-02-01,41.299999,42.27,41.189999,41.990002,2432200,41.990002,-17.9798287042
2011-02-02,41.68,42.790001,41.580002,42.580002,2653100,42.580002,-16.8273662427
2011-02-03,42.650002,43.259998,42.279999,43.07,2756100,43.07,-15.8702403084
2011-02-04,43.02,43.73,42.700001,43.57,2164600,43.57,-14.8935772054
2011-02-07,43.59,44.540001,43.490002,44.110001,1629600,44.110001,-13.8387791009
2011-02-08,44.029999,44.889999,43.75,44.459999,2289100,44.459999,-13.1551188354
2011-02-09,44.310001,44.75,44.150002,44.389999,1827100,44.389999,-13.2918516698
2011-02-10,44.029999,45.0,43.84,44.720001,1468200,44.720001,-12.6472501152
2011-02-11,44.439999,45.360001,44.27,44.880001,1466300,44.880001,-12.3347179223
2011-02-14,44.77,45.619999,44.700001,45.560001,1330600,45.560001,-11.0064561022
2011-02-15,45.27,45.549999,45.130001,45.290001,1266400,45.290001,-11.5338541778
2011-02-16,45.52,45.77,45.130001,45.66,1207000,45.66,-10.8111254349
2011-02-17,45.52,45.889999,45.169998,45.580002,1113600,45.580002,-10.9673876247
2011-02-18,45.639999,45.810001,45.200001,45.43,1648000,45.43,-11.2603904623
2011-02-22,44.75,44.810001,42.860001,43.029999,1894800,43.029999,-15.94837531
2011-02-23,42.939999,43.150002,40.560001,40.580002,4959600,40.580002,-20.7340186546
2011-02-24,39.740002,41.130001,39.419998,40.59,6254800,40.59,-20.7144892992
2011-02-25,41.009998,41.669998,40.720001,41.34,2066100,41.34,-19.2494946448
2011-02-28,41.5,41.549999,40.68,41.279999,1858800,41.279999,-19.3666961704
2011-03-01,41.43,41.59,40.119999,40.349998,1738500,40.349998,-21.1832914953
2011-03-02,40.209999,41.02,40.130001,40.709999,1253000,40.709999,-20.4800921078
2011-03-03,41.189999,41.91,40.98,41.860001,1576900,41.860001,-18.2337630643
2011-03-04,41.75,41.98,40.799999,40.959999,1536200,40.959999,-19.9917605564
2011-03-07,41.310001,41.360001,39.810001,40.349998,1514500,40.349998,-21.1832914953
2011-03-08,40.419998,41.599998,40.23,41.299999,2014300,41.299999,-19.3276296463
2011-03-09,41.099998,41.599998,40.779999,41.34,1408400,41.34,-19.2494946448
2011-03-10,40.709999,40.919998,39.959999,40.349998,1451400,40.349998,-21.1832914953
2011-03-11,40.040001,41.169998,39.970001,41.060001,1087400,41.060001,-19.7964240291
2011-03-14,40.59,41.169998,39.93,40.209999,1311200,40.209999,-21.4567552108
2011-03-15,38.84,40.34,38.470001,40.110001,2175800,40.110001,-21.6520839248
2011-03-16,39.880001,40.77,39.490002,39.580002,2122000,39.580002,-22.6873448606
2011-03-17,40.349998,40.349998,39.240002,39.290001,2065100,39.290001,-23.2538114137
2011-03-18,39.939999,40.209999,38.900002,39.110001,2731400,39.110001,-23.6054101308
2011-03-21,39.610001,40.18,39.139999,39.810001,1776200,39.810001,-22.2380817866
2011-03-22,39.84,39.84,39.02,39.560001,1920400,39.560001,-22.7264133381
2011-03-23,39.169998,40.25,38.75,39.970001,2893900,39.970001,-21.9255495936
2011-03-24,45.330002,47.880001,44.759998,47.259998,18029000,47.259998,-7.685807412
2011-03-25,47.290001,47.68,46.139999,46.34,4226400,46.34,-9.48286361485
2011-03-28,46.41,46.82,45.720001,46.09,3540100,46.09,-9.97119516634
2011-03-29,45.889999,47.0,45.790001,46.91,2266700,46.91,-8.36946767744
2011-03-30,47.099998,47.259998,45.529999,46.099998,2573800,46.099998,-9.95166581094
2011-03-31,45.939999,46.049999,45.18,45.389999,2065500,45.389999,-11.3385254639
2011-04-01,45.860001,46.43,45.41,46.310001,2891700,46.310001,-9.5414614477
2011-04-04,46.310001,47.209999,46.27,47.029999,3345400,47.029999,-8.13507048605
2011-04-05,46.799999,46.84,46.110001,46.380001,2589100,46.380001,-9.40472861328
2011-04-06,46.490002,46.59,44.77,45.169998,2722000,45.169998,-11.7682591825
2011-04-07,45.110001,45.84,44.59,45.119999,1662500,45.119999,-11.8659235395
2011-04-08,45.560001,45.57,44.790001,45.200001,1377700,45.200001,-11.7096535363
2011-04-11,45.099998,45.59,44.66,45.040001,1462800,45.040001,-12.0221857293
2011-04-12,44.529999,45.139999,44.209999,44.59,2096200,44.59,-12.9011844753
2011-04-13,45.009998,46.029999,44.959999,45.700001,2199400,45.700001,-10.7329904334
2011-04-14,45.16,45.630001,44.650002,45.490002,2039800,45.490002,-11.1431869833
2011-04-15,45.450001,46.040001,45.110001,45.919998,1821900,45.919998,-10.303264528
2011-04-18,45.279999,45.389999,44.34,45.259998,1690200,45.259998,-11.592459824
2011-04-19,45.18,45.369999,44.549999,45.110001,1421400,45.110001,-11.8854528949
2011-04-20,46.549999,48.150002,46.43,47.709999,3784900,47.709999,-6.80680866598
2011-04-21,48.080002,48.380001,47.27,47.59,1843900,47.59,-7.04120585737
2011-04-25,47.52,47.73,47.02,47.220001,839600,47.220001,-7.76393460026
2011-04-26,47.299999,47.560001,46.189999,46.48,1800000,46.48,-9.20939794601
2011-04-27,46.689999,46.720001,45.73,46.720001,1049700,46.720001,-8.74059770325
2011-04-28,46.52,46.950001,46.259998,46.740002,1012400,46.740002,-8.7015292258
2011-04-29,46.799999,47.549999,46.439999,47.470001,1446000,47.470001,-7.27560304876
2011-05-02,47.66,47.709999,46.439999,47.27,2444100,47.27,-7.66627024329
2011-05-03,47.119999,47.27,46.23,47.0,2505800,47.0,-8.1936683189
2011-05-04,47.0,47.119999,45.310001,45.84,3011900,45.84,-10.4595267178
2011-05-05,45.52,47.349998,44.59,45.599998,2241400,45.599998,-10.9283289139
2011-05-06,46.200001,46.669998,45.380001,45.790001,1763100,45.790001,-10.5571910748
2011-05-09,45.959999,46.200001,45.580002,46.099998,892600,46.099998,-9.95166581094
2011-05-10,46.25,47.040001,46.049999,46.860001,1114700,46.860001,-8.46713203441
2011-05-11,46.869999,47.259998,46.09,46.349998,1598100,46.349998,-9.46333425944
2011-05-12,46.130001,47.549999,45.799999,47.439999,1700000,47.439999,-7.3342067416
2011-05-13,47.349998,47.790001,46.77,46.869999,1458500,46.869999,-8.44760267901
2011-05-16,46.639999,46.689999,45.439999,45.5,1938600,45.5,-11.1236576279
2011-05-17,45.349998,45.400002,44.57,45.200001,1413400,45.200001,-11.7096535363
2011-05-18,45.209999,45.790001,44.830002,45.59,1037600,45.59,-10.9478582693
2011-05-19,45.700001,45.849998,45.080002,45.639999,948600,45.639999,-10.8501939124
2011-05-20,45.619999,46.09,45.209999,45.740002,1443900,45.740002,-10.6548554318
2011-05-23,44.919998,44.919998,43.860001,44.029999,1981400,44.029999,-13.995049104
2011-05-24,44.080002,44.23,42.939999,42.98,2797400,42.98,-16.0460396669
2011-05-25,42.77,43.360001,42.5,43.07,1513300,43.07,-15.8702403084
2011-05-26,43.07,43.529999,42.720001,43.450001,1678500,43.450001,-15.1279743968
2011-05-27,43.610001,43.880001,43.32,43.349998,1148900,43.349998,-15.3233128774
2011-05-31,43.68,43.91,43.18,43.599998,2332200,43.599998,-14.8349813259
2011-06-01,43.490002,44.080002,42.900002,42.91,2860600,42.91,-16.1827725014
2011-06-02,42.860001,43.470001,42.540001,43.029999,1641300,43.029999,-15.94837531
2011-06-03,42.41,42.810001,42.02,42.119999,1759800,42.119999,-17.7259021574
2011-06-06,42.77,42.950001,42.25,42.380001,1880300,42.380001,-17.2180334372
2011-06-07,42.560001,42.98,42.080002,42.470001,1956500,42.470001,-17.0422340787
2011-06-08,42.18,42.59,41.57,41.810001,1924700,41.810001,-18.3314293746
2011-06-09,41.919998,42.59,41.639999,42.490002,1354100,42.490002,-17.0031656012
2011-06-10,42.200001,42.400002,41.439999,41.490002,1609400,41.490002,-18.9564918072
2011-06-13,41.490002,41.959999,41.299999,41.630001,1706400,41.630001,-18.6830280917
2011-06-14,42.119999,42.599998,41.970001,42.259998,1488300,42.259998,-17.4524384419
2011-06-15,41.709999,42.34,41.389999,41.41,1474300,41.41,-19.1127618103
2011-06-16,41.380001,41.529999,40.27,40.939999,2333500,40.939999,-20.0308270805
2011-06-17,41.630001,42.009998,40.990002,41.200001,2705300,41.200001,-19.5229583603
2011-06-20,41.130001,42.209999,41.0,41.950001,2544500,41.950001,-18.0579637058
2011-06-21,42.049999,43.889999,41.990002,43.75,2863800,43.75,-14.5419784883
2011-06-22,43.369999,44.310001,42.799999,43.720001,3583500,43.720001,-14.6005763212
2011-06-23,45.740002,46.48,44.400002,45.27,10098400,45.27,-11.5729226552
2011-06-24,45.310001,45.490002,44.700001,45.029999,2540200,45.029999,-12.041722898
2011-06-27,44.799999,45.830002,44.689999,45.189999,2456400,45.189999,-11.7291907051
2011-06-28,45.299999,45.73,45.009998,45.650002,1798700,45.650002,-10.8306547903
2011-06-29,45.82,45.82,44.869999,45.189999,2359400,45.189999,-11.7291907051
2011-06-30,45.240002,46.07,45.0,45.900002,2024300,45.900002,-10.3423232388
2011-07-01,45.799999,46.470001,45.52,46.400002,1490500,46.400002,-9.36566013584
2011-07-05,46.290001,46.459999,45.790001,46.060001,1879400,46.060001,-10.0297929992
2011-07-06,46.169998,46.580002,45.889999,46.490002,1409400,46.490002,-9.1898607773
2011-07-07,46.91,47.099998,46.52,46.669998,1215900,46.669998,-8.83826987353
2011-07-08,46.150002,46.549999,45.939999,46.509998,1005900,46.509998,-9.15080206648
2011-07-11,45.860001,46.189999,45.09,45.310001,1940200,45.310001,-11.4947876537
2011-07-12,45.389999,45.389999,43.75,43.779999,2014700,43.779999,-14.4833806555
