Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,37.09,37.57,36.540001,37.549999,5543600,34.622393,-34.5479064222
2010-06-11,37.02,37.700001,37.02,37.68,2894600,34.742258,-34.3213069726
2010-06-14,37.91,38.139999,37.009998,37.029999,4692200,34.142934,-35.45430233
2010-06-15,37.189999,38.540001,37.16,38.490002,6124100,35.489107,-32.9094221663
2010-06-16,38.259998,38.529999,37.810001,38.150002,3894500,35.175615,-33.5020648446
2010-06-17,38.23,38.32,37.189999,37.57,4142300,34.640834,-34.5130445321
2010-06-18,37.75,37.799999,36.93,37.200001,7297600,34.299682,-35.1579772099
2010-06-21,37.720001,37.82,37.0,37.169998,5040900,34.272019,-35.2102728807
2010-06-22,37.259998,37.48,36.34,36.41,4624400,33.571274,-36.5350001262
2010-06-23,36.369999,36.57,35.599998,35.810001,7182500,33.018055,-37.5808360324
2010-06-24,35.630001,35.740002,34.779999,34.860001,8866600,32.142121,-39.2367502881
2010-06-25,35.599998,36.34,35.060001,35.830002,11301000,33.036496,-37.5459741424
2010-06-28,36.060001,36.060001,35.139999,35.310001,5215300,32.557037,-38.4523700502
2010-06-29,34.580002,34.889999,33.759998,33.950001,8298300,31.311937,-40.8061762043
2010-06-30,33.75,34.43,33.73,33.82,6132600,31.192038,-41.0328399294
2010-07-01,33.73,33.990002,32.470001,33.279999,8025400,30.693997,-41.9743642815
2010-07-02,33.560001,33.560001,32.470001,32.810001,5083000,30.260521,-42.7938313737
2010-07-06,33.34,33.919998,32.98,33.34,6092800,30.749336,-41.8697483641
2010-07-07,36.07,37.02,35.75,36.630001,17720300,33.78369,-36.1334371289
2010-07-08,36.990002,37.240002,35.580002,36.380001,8912500,33.553116,-36.5693270174
2010-07-09,36.450001,37.240002,36.029999,37.209999,5469200,34.31862,-35.1221757635
2010-07-12,37.200001,37.279999,36.68,37.119999,3267700,34.235613,-35.2790968039
2010-07-13,37.549999,38.48,37.360001,38.34,7417200,35.360815,-33.1519524844
2010-07-14,38.110001,38.290001,37.389999,37.580002,5634700,34.659871,-34.4770559306
2010-07-15,37.549999,37.950001,36.790001,37.84,5182600,34.899667,-34.0237322614
2010-07-16,37.59,37.740002,36.82,36.91,6193300,34.041932,-35.6452421173
2010-07-19,36.900002,37.560001,36.59,37.349998,5213100,34.44774,-34.8780801482
2010-07-20,36.41,39.779999,36.349998,39.529999,11279600,36.458345,-31.0771208497
2010-07-21,39.950001,39.950001,37.720001,37.880001,8479700,34.936559,-33.9539895768
2010-07-22,38.290001,39.169998,38.290001,39.060001,5106000,36.024869,-31.8965879419
2010-07-23,38.939999,40.060001,38.630001,39.790001,4661400,36.698144,-30.6237915092
