Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2010-06-10,34.110001,34.25,33.419998,34.099998,4951300,32.218571,-41.7761535172
2010-06-11,33.599998,34.759998,33.439999,34.349998,4826600,32.454778,-41.3492916273
2010-06-14,34.830002,35.259998,34.330002,34.349998,4904100,32.454778,-41.3492916273
2010-06-15,34.720001,35.580002,34.59,35.529999,4419500,33.569673,-39.3345071937
2010-06-16,35.119999,35.52,34.919998,35.209999,4232400,33.267329,-39.8808886779
2010-06-17,35.290001,35.400002,34.5,35.209999,3621600,33.267329,-39.8808886779
2010-06-18,35.259998,35.41,34.82,35.009998,3507500,33.078363,-40.2223789126
2010-06-21,35.599998,35.619999,33.939999,34.169998,4269300,32.284709,-41.6566321158
2010-06-22,34.049999,34.639999,33.220001,33.279999,5065500,31.443814,-43.176256974
2010-06-23,33.290001,33.75,33.009998,33.419998,4005600,31.576089,-42.9372159782
2010-06-24,33.27,33.27,31.24,31.459999,7817600,29.724231,-46.283804376
2010-06-25,31.67,32.360001,31.32,31.780001,7617300,30.026577,-45.7374192775
2010-06-28,31.83,31.969999,31.4,31.700001,6300900,29.950991,-45.8740146485
2010-06-29,31.049999,31.690001,30.4,30.67,8062700,28.977819,-47.6326841168
2010-06-30,30.469999,30.969999,30.02,30.16,6184400,28.495958,-48.503480059
2010-07-01,30.1,31.379999,29.559999,30.98,7992600,29.270715,-47.1033766022
2010-07-02,31.280001,31.290001,30.059999,30.200001,4556600,28.533752,-48.4351805663
2010-07-06,31.040001,31.25,29.5,29.870001,4856700,28.221959,-48.9986378272
2010-07-07,29.9,31.280001,29.809999,31.280001,5297700,29.554164,-46.5911412501
2010-07-08,31.799999,31.99,31.09,31.559999,4879700,29.818714,-46.1130592586
2010-07-09,31.66,32.5,31.16,31.59,3575600,29.847059,-46.0618355426
2010-07-12,31.549999,32.189999,31.02,31.360001,4502900,29.62975,-46.454545879
2010-07-13,31.9,32.209999,31.219999,32.040001,6059400,30.272232,-45.293483418
2010-07-14,32.380001,33.5,32.330002,32.689999,5990500,30.886367,-44.1836482872
2010-07-15,32.599998,32.849998,32.07,32.73,4479900,30.924161,-44.1153487945
2010-07-16,32.490002,32.540001,31.35,31.450001,4159300,29.714784,-46.3008765384
2010-07-19,31.709999,31.940001,31.16,31.719999,2615700,29.969886,-45.8398685165
2010-07-20,31.02,31.940001,30.52,31.85,4747100,30.092714,-45.6178996832
2010-07-21,32.02,32.139999,29.950001,30.18,8221300,28.514855,-48.4693303127
2010-07-22,29.26,30.5,27.92,28.16,15806100,26.606305,-51.9183697565
2010-07-23,28.389999,28.43,27.120001,28.02,13147300,26.47403,-52.1574107523
2010-07-26,28.1,28.92,27.9,28.82,6794300,27.22989,-50.7914570419
2010-07-27,28.950001,29.15,28.5,28.74,7436500,27.154304,-50.9280524129
2010-07-28,28.59,28.799999,27.700001,27.799999,5734300,26.266167,-52.5330507334
2010-07-29,28.23,28.23,26.83,26.969999,8487500,25.481962,-53.9502281598
2010-07-30,26.540001,26.950001,26.27,26.389999,8127900,24.933962,-54.9405473106
2010-08-02,26.790001,27.5,26.450001,27.15,6293000,25.652031,-53.6428876713
2010-08-03,27.15,27.15,26.559999,26.76,4448400,25.283549,-54.308790557
2010-08-04,26.75,27.27,26.5,27.09,5362200,25.595342,-53.745333296
2010-08-05,26.92,27.4,26.799999,26.860001,3396800,25.378032,-54.1380454396
2010-08-06,26.549999,26.83,26.0,26.190001,6221600,24.744998,-55.282033931
2010-08-09,26.209999,26.4,25.91,26.0,5078500,24.565481,-55.606448389
2010-08-10,25.67,25.700001,24.370001,24.41,10133500,23.063207,-58.3212854546
2010-08-11,24.110001,25.280001,23.52,25.1,15918100,23.715138,-57.1431472169
2010-08-12,24.82,25.950001,24.17,24.24,9348800,22.902587,-58.6115501663
2010-08-13,24.209999,24.700001,24.16,24.459999,4203600,23.110448,-58.2359137995
2010-08-16,24.299999,24.969999,24.07,24.780001,5393100,23.412794,-57.689528701
2010-08-17,24.969999,25.07,24.129999,24.17,6402000,22.836449,-58.7310715678
2010-08-18,24.16,24.639999,24.129999,24.32,4946900,22.978173,-58.4749547953
2010-08-19,24.299999,24.440001,23.799999,24.030001,6308100,22.704174,-58.9701125635
2010-08-20,24.16,24.889999,24.1,24.66,7841400,23.299414,-57.8944235647
2010-08-23,24.809999,24.84,24.24,24.299999,5763700,22.959276,-58.5091045416
2010-08-24,24.0,24.129999,23.67,23.74,5843100,22.430173,-59.4652739461
2010-08-25,23.610001,24.26,23.110001,24.08,4284300,22.751414,-58.8847427155
2010-08-26,24.120001,24.219999,23.52,23.620001,3809500,22.316795,-59.6701651955
2010-08-27,23.82,25.32,23.059999,25.23,9160600,23.837964,-56.9211819978
2010-08-30,25.190001,25.41,24.719999,24.74,8830500,23.375,-57.7578281937
2010-08-31,24.540001,24.629999,24.049999,24.16,6645300,22.827001,-58.7481455373
2010-09-01,24.959999,26.34,24.959999,25.66,6784700,24.24424,-56.1869796195
2010-09-02,25.85,26.08,25.129999,26.07,5350700,24.631618,-55.4869287947
2010-09-03,26.48,26.860001,26.17,26.59,4015900,25.122928,-54.5990570758
2010-09-07,26.57,26.73,25.959999,26.02,3939000,24.584378,-55.5722986427
2010-09-08,25.610001,26.309999,25.059999,26.17,7921100,24.726101,-55.3161836774
2010-09-09,26.389999,26.5,25.85,25.950001,3726500,24.51824,-55.6918200442
2010-09-10,25.98,25.98,25.26,25.65,3671200,24.234791,-56.2040553963
2010-09-13,25.860001,27.059999,25.75,27.040001,5948000,25.548101,-53.8307049512
2010-09-14,26.92,27.370001,26.459999,26.690001,6037500,25.217411,-54.4283119584
2010-09-15,26.690001,27.440001,26.389999,27.280001,6233200,25.774859,-53.420918838
2010-09-16,26.969999,27.27,26.559999,26.92,4222300,25.434721,-54.0355998149
2010-09-17,27.120001,27.190001,26.24,26.530001,5706700,25.066239,-54.7015027005
2010-09-20,26.549999,27.459999,26.41,27.379999,4684600,25.86934,-53.250177335
2010-09-21,27.15,28.200001,26.450001,27.469999,13331300,25.954375,-53.0965061872
2010-09-22,27.35,27.42,26.35,26.68,6490900,25.207963,-54.445385928
2010-09-23,26.41,27.4,26.18,27.17,5831400,25.670928,-53.608737925
2010-09-24,27.6,28.209999,27.360001,28.200001,5755800,26.644099,-51.8500702639
2010-09-27,28.200001,28.200001,27.459999,27.700001,3951600,26.171686,-52.7037922365
2010-09-28,27.799999,27.799999,26.84,27.75,6727300,26.218927,-52.6184205814
2010-09-29,27.6,28.950001,27.6,28.73,7085500,27.144856,-50.9451263825
2010-09-30,28.969999,28.969999,28.030001,28.389999,6300100,26.823615,-51.525657613
2010-10-01,28.52,28.52,28.030001,28.25,4221700,26.69134,-51.7646986088
2010-10-04,28.129999,28.35,27.58,27.969999,3916600,26.426788,-52.2427842146
2010-10-05,28.309999,28.85,27.93,28.780001,4916600,27.192098,-50.8597529202
2010-10-06,28.629999,28.91,27.709999,27.9,7194900,26.36065,-52.362305616
2010-10-07,28.01,28.5,27.41,28.35,6079100,26.785823,-51.5939534914
2010-10-08,28.83,29.299999,28.6,28.9,7276000,27.305476,-50.6548616708
2010-10-11,29.059999,29.49,28.84,29.18,3877100,27.570028,-50.176776065
2010-10-12,29.16,29.790001,28.860001,29.42,4559400,27.796786,-49.7669899519
2010-10-13,29.549999,29.99,29.290001,29.67,3995600,28.032993,-49.340128062
2010-10-14,29.639999,29.99,29.41,29.49,5111900,27.862924,-49.6474685504
2010-10-15,31.889999,32.509998,31.120001,31.889999,14206200,30.130506,-45.5496038048
2010-10-18,32.200001,32.259998,30.65,31.469999,7710300,29.733679,-46.2667304064
2010-10-19,30.82,31.16,30.030001,30.200001,6862800,28.533752,-48.4351805663
2010-10-20,29.190001,31.1,29.190001,30.5,10995400,28.817199,-47.9229488285
2010-10-21,30.360001,30.57,29.559999,30.549999,6876100,28.864439,-47.8375789805
2010-10-22,30.610001,30.629999,30.200001,30.43,3848000,28.751061,-48.0424702299
2010-10-25,30.52,31.25,30.32,30.440001,3542300,28.76051,-48.0253944532
2010-10-26,30.299999,31.24,30.139999,30.950001,3823600,29.242371,-47.154598511
2010-10-27,30.74,31.639999,30.709999,31.59,6353600,29.847059,-46.0618355426
2010-10-28,32.66,32.66,31.299999,31.5,10379000,29.762025,-46.2155048833
2010-10-29,31.41,32.220001,31.040001,32.009998,6151500,30.243885,-45.3447107482
2010-11-01,32.189999,32.799999,32.009998,32.619999,5705400,30.820229,-44.3031696887
2010-11-02,32.939999,33.639999,32.700001,33.009998,4502600,31.188711,-43.637266803
2010-11-03,33.209999,33.599998,32.529999,33.279999,4534700,31.443814,-43.176256974
2010-11-04,33.650002,33.91,33.279999,33.580002,3179500,31.727265,-42.6640180075
2010-11-05,33.82,34.790001,33.73,34.759998,5809200,32.842157,-40.6492389954
2010-11-08,34.529999,34.970001,34.439999,34.790001,3547700,32.870504,-40.5980116651
2010-11-09,34.82,35.07,34.349998,34.57,5461500,32.662641,-40.9736516462
2010-11-10,34.400002,34.490002,33.02,33.52,5981800,31.670574,-42.7664672465
2010-11-11,32.900002,33.27,32.299999,32.990002,4751600,31.169817,-43.6714111279
2010-11-12,32.779999,33.07,32.130001,32.580002,3807000,30.782439,-44.3714619527
2010-11-15,32.950001,32.990002,31.93,32.0,3330600,30.234438,-45.3617829107
2010-11-16,31.790001,32.439999,31.5,31.610001,4108600,29.865956,-46.0276857963
2010-11-17,31.610001,32.0,31.15,31.379999,2972900,29.648645,-46.420399747
2010-11-18,32.080002,32.639999,31.940001,32.310001,5114100,30.527335,-44.8324735889
2010-11-19,32.630001,34.240002,32.630001,33.98,6547900,32.105193,-41.9810447666
2010-11-22,33.849998,33.970001,33.200001,33.709999,3622400,31.85009,-42.4420545957
2010-11-23,33.259998,33.57,32.810001,32.959999,2722800,31.14147,-43.7226384582
2010-11-24,33.27,33.91,33.110001,33.869999,3322300,32.001262,-42.1688638536
2010-11-26,33.599998,34.169998,33.48,33.759998,1726100,31.89733,-42.3566847477
2010-11-29,33.529999,33.84,33.220001,33.720001,3585700,31.85954,-42.4249770118
2010-11-30,33.330002,33.950001,33.130001,33.5,5510400,31.651677,-42.8006169929
2010-12-01,34.0,34.689999,33.900002,34.150002,3279600,32.265816,-41.6907746335
2010-12-02,34.040001,34.869999,34.040001,34.650002,4239500,32.738229,-40.8370526609
2010-12-03,34.43,34.990002,34.400002,34.669998,2462100,32.757122,-40.8029101432
2010-12-06,34.669998,34.740002,34.34,34.450001,1797000,32.549263,-41.1785428956
2010-12-07,35.0,35.470001,34.919998,35.080002,4337600,33.144504,-40.1028520897
2010-12-08,35.099998,35.150002,34.369999,35.02,3269200,33.087813,-40.2053013287
2010-12-09,35.220001,35.23,34.740002,35.080002,1955700,33.144504,-40.1028520897
2010-12-10,35.07,35.84,35.0,35.68,2515000,33.711399,-39.0783868069
2010-12-13,35.869999,35.919998,35.490002,35.509998,2005300,33.550776,-39.36865694
2010-12-14,35.48,35.5,34.470001,34.619999,2608300,32.709882,-40.8882799911
2010-12-15,34.459999,34.549999,33.0,33.209999,5911400,31.377677,-43.2957765683
2010-12-16,33.189999,33.380001,32.740002,33.040001,2850500,31.217058,-43.5860394728
2010-12-17,32.880001,33.07,32.400002,32.970001,4412100,31.15092,-43.7055608743
2010-12-20,32.959999,33.220001,32.400002,33.09,3408300,31.264299,-43.5006678177
2010-12-21,33.32,33.630001,33.25,33.5,2419700,31.651677,-42.8006169929
2010-12-22,33.57,34.0,33.360001,33.799999,2726400,31.935124,-42.288385255
2010-12-23,33.68,34.049999,33.560001,33.830002,1349300,31.963472,-42.2371561177
2010-12-27,33.66,34.040001,33.509998,33.810001,1210100,31.944575,-42.271305864
2010-12-28,33.810001,34.080002,33.650002,33.84,1142500,31.972918,-42.2200857624
2010-12-29,33.860001,34.0,33.459999,33.650002,1215800,31.793403,-42.5444966061
2010-12-30,33.66,33.73,33.41,33.650002,1102600,31.793403,-42.5444966061
2010-12-31,33.639999,33.970001,33.130001,33.900002,1998000,32.029609,-42.1176365234
2011-01-03,34.080002,34.799999,34.080002,34.139999,3063900,32.256365,-41.7078540245
2011-01-04,34.27,34.360001,31.799999,32.990002,12667000,31.169817,-43.6714111279
2011-01-05,32.900002,32.990002,32.130001,32.790001,5814300,30.980851,-44.0129013627
2011-01-06,32.77,33.009998,32.360001,33.009998,3373700,31.188711,-43.637266803
2011-01-07,33.0,33.259998,32.59,33.029999,4529700,31.207608,-43.6031170567
2011-01-10,32.77,33.25,32.599998,32.84,4310500,31.028092,-43.9275297076
2011-01-11,33.080002,33.23,32.529999,32.560001,3778900,30.763542,-44.4056116991
2011-01-12,32.700001,33.189999,32.349998,32.950001,3758400,31.132024,-43.7397088134
2011-01-13,33.009998,33.25,32.52,32.75,3459900,30.943058,-44.0811990482
2011-01-14,32.849998,33.490002,32.57,33.439999,3205700,31.594986,-42.9030662319
2011-01-18,33.41,34.119999,33.23,33.939999,5189200,32.067399,-42.0493442593
2011-01-19,33.700001,34.119999,32.48,32.970001,9947800,31.15092,-43.7055608743
2011-01-20,32.799999,32.810001,31.379999,31.77,7491700,30.017128,-45.7544950542
2011-01-21,32.009998,32.09,31.35,31.51,6116000,29.771473,-46.1984309137
2011-01-24,31.48,32.459999,31.450001,32.450001,4672800,30.65961,-44.5934325932
2011-01-25,32.389999,32.389999,31.780001,32.299999,4427700,30.517885,-44.8495511728
2011-01-26,33.189999,34.080002,32.25,33.73,6932400,31.868987,-42.4079048493
2011-01-27,33.91,34.950001,33.740002,34.75,5918700,32.83271,-40.6663111578
2011-01-28,34.720001,35.119999,33.150002,33.939999,6394300,32.067399,-42.0493442593
2011-01-31,33.98,34.189999,33.330002,34.02,4302800,32.142987,-41.9127452739
2011-02-01,34.299999,34.849998,33.950001,34.48,3807900,32.577606,-41.127322794
2011-02-02,34.279999,36.59,34.200001,36.389999,8093300,34.382224,-37.8661042443
2011-02-03,36.23,36.57,35.580002,35.98,3313300,33.994846,-38.5661550691
2011-02-04,35.939999,36.369999,35.75,36.209999,2468200,34.212155,-38.1734447327
2011-02-07,36.240002,36.790001,36.209999,36.34,2986300,34.334984,-37.9514740922
