Date,Open,High,Low,Close,Volume,Adj Close,percent_from_mean
2013-02-01,31.5,31.74,30.469999,31.01,66789100,30.435823,-13.3295410714
2013-02-04,31.09,31.99,30.76,31.02,7695400,30.445638,-13.3015914229
2013-02-05,31.25,31.98,30.85,31.040001,5013200,30.465268,-13.2456921259
2013-02-06,30.98,31.43,30.75,31.030001,2126100,30.455453,-13.2736417744
2013-02-07,31.0,32.73,31.0,32.0,3800800,31.407492,-10.5625714331
2013-02-08,32.310001,33.48,32.299999,33.049999,2599300,32.438049,-7.62790959917
2013-02-11,33.060001,33.5,32.880001,33.259998,1487200,32.64416,-7.04097837145
2013-02-12,33.400002,34.0,33.150002,33.740002,1637300,33.115276,-5.69940663446
2013-02-13,33.799999,33.799999,33.0,33.549999,1269700,32.928791,-6.23044995579
2013-02-14,33.389999,33.450001,32.77,33.27,2954500,32.653977,-7.01302302766
2013-02-15,33.310001,34.09,33.0,33.98,5415400,33.35083,-5.02863215656
2013-02-19,34.02,34.07,33.57,33.84,1206900,33.213423,-5.41991869249
2013-02-20,33.84,33.880001,32.599998,32.720001,1842900,32.114161,-8.55022806585
2013-02-21,32.5,32.799999,31.860001,32.560001,3242300,31.957124,-8.99741389877
2013-02-22,32.779999,32.93,32.5,32.59,954500,31.986567,-8.91357064859
2013-02-25,32.68,32.689999,32.0,32.07,818900,31.476195,-10.366929589
2013-02-26,32.049999,32.400002,31.99,32.040001,1048700,31.446752,-10.4507728391
2013-02-27,32.0,33.049999,32.0,32.32,1343600,31.721566,-9.66819976726
2013-02-28,32.560001,33.549999,32.560001,33.450001,2991400,32.830644,-6.50993789777
2013-03-01,33.360001,34.700001,33.150002,34.599998,2334000,33.959349,-3.29578527423
2013-03-04,34.799999,34.889999,34.240002,34.349998,865400,33.713978,-3.99451509592
2013-03-05,34.41,34.48,33.75,34.290001,1413400,33.655091,-4.16220444392
2013-03-06,34.34,34.380001,33.849998,33.849998,802000,33.223236,-5.3919747393
2013-03-07,33.950001,34.68,33.560001,34.560001,1320000,33.920092,-3.40757532525
2013-03-08,34.029999,34.689999,33.799999,34.09,1541100,33.458794,-4.7211888708
2013-03-11,33.970001,34.259998,33.25,34.18,1729400,33.547127,-4.46964772968
2013-03-12,34.119999,34.240002,33.599998,33.82,1557600,33.193792,-5.47582083712
2013-03-13,33.900002,34.060001,33.080002,34.0,2240800,33.37046,-4.97273285958
2013-03-14,34.330002,35.419998,34.299999,34.639999,1865200,33.998609,-3.18398668026
2013-03-15,34.700001,34.84,33.310001,33.439999,2692100,32.820827,-6.53789324155
2013-03-18,32.75,32.939999,32.639999,32.84,2372000,32.231938,-8.2148408269
2013-03-19,32.799999,33.419998,32.330002,32.799999,1336200,32.192678,-8.32663942086
2013-03-20,32.900002,33.540001,32.5,33.509998,1944000,32.889531,-6.34224854976
2013-03-21,33.900002,34.0,33.290001,33.470001,514500,32.850275,-6.45403575314
2013-03-22,33.549999,33.75,32.740002,33.119999,763300,32.506753,-7.43226490738
2013-03-25,33.48,33.48,32.25,32.459999,1324600,31.858973,-9.27691323133
2013-03-26,32.73,32.790001,32.0,32.509998,1396500,31.908047,-9.13716783652
2013-03-27,32.380001,32.889999,32.060001,32.740002,1896800,32.133792,-8.49432592122
2013-03-28,32.849998,33.5,32.630001,33.400002,7434900,32.781571,-6.64968044493
2013-04-01,33.419998,33.59,32.43,32.59,1466300,31.986567,-8.91357064859
2013-04-02,32.66,33.130001,32.459999,32.549999,712200,31.947307,-9.02536924255
2013-04-03,32.669998,32.98,32.360001,32.529999,1409700,31.927677,-9.08126853954
2013-04-04,32.41,32.5,31.709999,31.84,1946400,31.250454,-11.0097601137
2013-04-05,31.73,32.07,30.57,31.959999,3963500,31.368231,-10.6743728747
2013-04-08,31.950001,32.98,31.77,32.919998,1965200,32.310455,-7.99125218191
2013-04-09,33.049999,33.59,32.560001,33.439999,2004400,32.820827,-6.53789324155
2013-04-10,33.759998,33.759998,32.98,33.150002,969500,32.5362,-7.34841026662
2013-04-11,33.220001,33.240002,32.869999,33.16,1826600,32.546013,-7.32046631342
2013-04-12,32.970001,33.349998,32.599998,33.23,723500,32.614717,-7.12482162163
2013-04-15,33.07,33.23,32.169998,32.240002,839500,31.64305,-9.8917855646
2013-04-16,32.360001,33.369999,32.290001,33.209999,2271200,32.595087,-7.18072091861
2013-04-17,32.98,33.23,32.169998,32.889999,3140500,32.281012,-8.07509543209
2013-04-18,33.099998,33.099998,32.380001,32.470001,799900,31.86879,-9.24895788754
2013-04-19,32.709999,32.790001,31.809999,32.709999,2159300,32.104345,-8.57818056199
2013-04-22,32.900002,32.900002,32.220001,32.66,922100,32.055271,-8.7179259568
2013-04-23,32.779999,32.959999,31.5,31.700001,2731700,31.113047,-11.4010466496
2013-04-24,31.629999,31.690001,30.42,30.620001,4149300,30.053044,-14.4195602766
2013-04-25,30.93,31.99,30.75,31.549999,1520600,30.965823,-11.8202885293
2013-04-26,31.610001,32.68,31.610001,32.639999,1421800,32.035641,-8.77382525378
