"","stock_data$ADBE.Open","stock_data$ADBE.High","stock_data$ADBE.Low","stock_data$ADBE.Close","stock_data$ADBE.Volume","stock_data$ADBE.Adjusted"
"1",31.34,34,26.32,26.43,186009600,26.43
"2",26.52,29.389999,26.01,28.719999,165260100,28.719999
"3",29.110001,29.76,27.02,27.700001,143073800,27.700001
"4",28.139999,33.68,25.700001,26.15,382402200,26.15
"5",26.309999,30,25.450001,28.15,314480500,28.15
"6",28.290001,29.950001,27.49,27.799999,139285900,27.799999
"7",28.15,31.17,27.51,30.780001,152801100,30.780001
"8",30.83,34.299999,30.790001,33.049999,136593600,33.049999
"9",33.25,35.84,32.720001,34.5,85170400,34.5
"10",34.73,35.66,30.76,33.16,160500000,33.16
"11",33.529999,34.73,32.91,33.549999,117223200,33.549999
"12",33.68,35.990002,32.75,34.630001,86347400,34.630001
"13",34.529999,34.82,29.629999,31.450001,144761000,31.450001
"14",31.33,32.349998,27.629999,27.709999,103737600,27.709999
"15",27.950001,28.040001,22.67,25.24,181807000,25.24
"16",25.35,26.299999,23.200001,24.17,155145100,24.17
"17",23.9,29.719999,22.889999,29.41,144782000,29.41
"18",28.52,30.68,25.719999,27.42,158923700,27.42
"19",26.93,28.93,26.25,28.27,112056500,28.27
"20",28.700001,31.77,28.040001,30.950001,83922700,30.950001
"21",31.200001,33.5,31.09,32.889999,75524800,32.889999
"22",32.860001,34.75,31.9,34.310001,104823600,34.310001
"23",34.139999,34.779999,32.23,33.549999,71857700,33.549999
"24",33.59,34.09,30.76,31.049999,76515800,31.049999
"25",30.370001,33.189999,29.809999,32.369999,103539900,32.369999
"26",31.860001,32.68,29.52,30.879999,72192700,30.879999
"27",31.049999,34.09,30.25,31.27,84028800,31.27
"28",31.24,34.549999,31.01,32.439999,99027100,32.439999
"29",32.580002,34.09,31.33,34.029999,77665800,34.029999
"30",34.080002,34.810001,32.139999,34.610001,65602000,34.610001
"31",34.779999,38.25,34.57,37.68,112566500,37.68
"32",37.919998,38.779999,37.360001,37.830002,74580500,37.830002
"33",38.200001,39.939999,37.66,39.310001,59365200,39.310001
"34",39.299999,43.59,38.959999,43.52,80294900,43.52
"35",43.360001,45.59,43.130001,45.080002,74739100,45.080002
"36",45.139999,47.169998,41.91,42.91,80226300,42.91
"37",42.98,46.439999,42.389999,45.560001,81588800,45.560001
"38",45.23,48.630001,44.880001,47.279999,61205200,47.279999
"39",47.619999,47.849998,44.700001,45.75,51490800,45.75
"40",46.209999,52.959999,45.700001,51.939999,90381400,51.939999
"41",52.099998,55.119999,48.869999,54.220001,93686700,54.220001
"42",54.610001,57.990002,53.099998,56.779999,68113100,56.779999
"43",56.740002,61.09,53.93,59.880001,90737300,59.880001
"44",59.060001,61.98,57.860001,59.189999,67724200,59.189999
"45",59.080002,71.110001,57.32,68.629997,77966000,68.629997
"46",68.059998,70.239998,63.049999,65.739998,93606000,65.739998
"47",65.900002,66.309998,59.619999,61.689999,92738800,61.689999
"48",61.689999,65.82,57.150002,64.540001,62379900,64.540001
"49",64.540001,74.690002,63.490002,72.360001,72609400,72.360001
"50",72.089996,73.989998,69.010002,69.25,49992100,69.25
"51",69.010002,72.57,67.57,71.900002,44969000,71.900002
"52",72.059998,73.580002,65.790001,69.190002,73787200,69.190002
"53",69.129997,70.25,58.509998,70.120003,81825900,70.120003
"54",69.93,74.099998,69.660004,73.68,50942600,73.68
"55",73.639999,77.559998,69.660004,72.699997,78379100,72.699997
"56",72.699997,74.400002,68.980003,70.129997,44937400,70.129997
"57",70.440002,80.300003,69.040001,79.099998,36062100,79.099998
"58",79.139999,79.989998,72.120003,73.940002,62751300,73.940002
"59",73.610001,77.290001,72.779999,76.059998,43561100,76.059998
"60",76.290001,80.739998,73.959999,79.089996,41741300,79.089996
"61",79.5,80.379997,76.949997,79.559998,14243800,79.559998
