"","stock_data$BTU.Open","stock_data$BTU.High","stock_data$BTU.Low","stock_data$BTU.Close","stock_data$BTU.Volume","stock_data$BTU.Adjusted"
"1",38.779999,44.330002,38.52,39.130001,95925400,36.743641
"2",39.389999,45.950001,38.080002,45.150002,96501600,42.396509
"3",45.77,49.25,40.790001,42.790001,90581700,40.239041
"4",43.75,49.939999,43.549999,49.009998,78215900,46.088229
"5",49.66,53.43,48.759998,52.900002,96277900,49.746326
"6",53.380001,59.919998,52.75,58.810001,90190800,55.391332
"7",60,64.589996,59.950001,63.98,69701100,60.260795
"8",64.919998,66.07,57.439999,63.419998,99581400,59.733347
"9",63.720001,66.900002,61.09,65.489998,76152400,61.766301
"10",66.230003,73.730003,60.619999,71.959999,134705900,67.868424
"11",73,73.949997,62,66.82,107032100,63.02068
"12",67.379997,68.300003,56.09,61.360001,128623600,57.951633
"13",61.209999,61.98,52.439999,58.91,123338100,55.637723
"14",59.02,61.849998,56.200001,57.470001,87673200,54.277712
"15",58.41,58.779999,41.200001,48.799999,168515100,46.158585
"16",48.98,49.560001,33.84,33.880001,140784000,32.046167
"17",32.990002,47.810001,30.6,43.369999,140933000,41.022496
"18",41.02,44.650002,32.720001,39.23,129231100,37.17945
"19",39.02,39.740002,31.209999,33.110001,99230300,31.379343
"20",34.740002,38.93,34,34.09,130734600,32.308118
"21",34.540001,38.959999,34.150002,34.880001,99127000,33.129217
"22",35.110001,35.509998,28.18,28.959999,196307400,27.506366
"23",29,31.41,27.110001,31.110001,161387000,29.54845
"24",31.18,31.969999,22.75,23.360001,186375200,22.25277
"25",22.440001,25.77,20.67,24.52,170144700,23.357788
"26",24.41,26.6,18.780001,20.879999,226180700,19.976554
"27",21.07,24.549999,19.91,21.629999,167272800,20.694103
"28",21.299999,26.040001,20.16,22.290001,164512300,21.325547
"29",22.6,29.709999,21.639999,27.9,224721400,26.773454
"30",28.1,29.84,23.799999,25.110001,152045100,24.09611
"31",25.4,28.75,24.34,26.610001,117028000,25.535543
"32",27.610001,27.74,24.139999,25.15,152694700,24.134494
"33",25.370001,25.48,20.93,21.559999,136329200,20.760924
"34",21.26,22.690001,20.07,21.15,145218800,20.36612
"35",21.200001,21.379999,18.219999,20.059999,184181600,19.316518
"36",19.879999,21.85,19.459999,19.67,169574900,19.017511
"37",19.77,20.01,14.35,14.64,166755700,14.154366
"38",14.72,17.85,14.34,16.559999,146632800,16.010675
"39",16.73,18.799999,15.63,17.200001,138422200,16.717817
"40",17.65,19.27,17.030001,17.25,115867700,16.766415
"41",17.18,20.309999,16.780001,19.48,144336400,18.933899
"42",19.58,21.280001,18.01,18.200001,127707300,17.762335
"43",18.24,19.57,18.049999,19.530001,130736500,19.060352
"44",19.459999,19.940001,16.35,17.049999,166495600,16.639988
"45",17.059999,17.65,15.77,17.559999,127021700,17.225983
"46",17.34,17.719999,15.18,16.34,136069300,16.02919
"47",16.4,19.08,16.040001,19.01,196612300,18.648402
"48",18.9,19.629999,16.01,16.16,155757300,15.924575
"49",16.290001,17.209999,15.79,16.35,136858400,16.111807
"50",16.450001,16.65,14.85,15.17,149976700,14.948998
"51",15.12,16.709999,14.99,15.88,116405300,15.734331
"52",15.93,15.94,11.88,12.38,267383500,12.266437
"53",12.31,12.41,9.91,10.43,315857400,10.334325
"54",10.5,11.96,10.03,10.11,252718600,10.098857
"55",10.02,10.04,7.23,7.74,313334800,7.731469
"56",7.75,7.86,5.91,6.23,259413500,6.223134
"57",6.32,8.23,6.26,7.9,202698200,7.894638
"58",7.9,7.9,4.76,4.92,250789500,4.916661
"59",4.96,5.6,4.34,4.73,329437900,4.72679
"60",4.78,4.83,3.35,3.38,241387300,3.38
"61",3.35,3.49,3.03,3.21,115873800,3.21
