"","stock_data$CINF.Open","stock_data$CINF.High","stock_data$CINF.Low","stock_data$CINF.Close","stock_data$CINF.Volume","stock_data$CINF.Adjusted"
"1",27.1,28.49,25.860001,25.870001,17940100,20.911842
"2",25.969999,28.1,25.25,27.549999,23575300,22.269857
"3",27.92,28.219999,26.4,26.67,21894400,21.558516
"4",27.059999,29.389999,26.9,28.82,24755000,23.619903
"5",29.08,30.84,28.68,29.450001,19490800,24.13623
"6",29.639999,31.24,29.35,30.15,21266300,24.709926
"7",30.610001,32.27,30.41,31.690001,22893300,26.302808
"8",32.040001,32.950001,31.43,32.040001,16065600,26.593309
"9",32.209999,34.330002,32.209999,34.049999,16211000,28.261614
"10",34.16,34.16,31.77,32.790001,28105800,27.553896
"11",32.959999,33.549999,31.25,31.68,13645400,26.621147
"12",31.75,31.84,29.549999,30.42,21759300,25.562351
"13",30.280001,30.4,27.799999,29.18,32251900,24.86475
"14",29.23,29.540001,27.139999,27.33,22505400,23.288335
"15",27.68,28.059999,23.65,27.92,46268400,23.791083
"16",27.969999,28.02,25.15,26.33,39102200,22.765886
"17",26.129999,30.469999,24.66,28.940001,39932700,25.022589
"18",27.93,29.690001,27.27,29.65,24930300,25.63648
"19",29.59,30.790001,28.700001,30.459999,35009600,26.695686
"20",31.129999,33.099998,30.059999,32.68,18006200,28.641334
"21",32.950001,36.049999,32.93,35.169998,21794200,30.823613
"22",35.169998,36.02,34.299999,34.509998,35094800,30.592073
"23",34.330002,35.990002,33.060001,35.650002,21233000,31.602651
"24",35.639999,36.549999,34.07,36.080002,16594700,31.983833
"25",35.540001,38.119999,34.82,38.07,27047300,34.123328
"26",38.259998,38.509998,36.5,37.84,23767400,33.917172
"27",37.950001,39.880001,37.099998,38.66,14213100,34.652164
"28",38.740002,40.220001,37.509998,37.869999,18184200,34.294832
"29",38.18,40.700001,36.959999,39.84,14411000,36.078853
"30",39.830002,40.610001,37.869999,40.52,15930300,36.694657
"31",40.639999,40.959999,38.41,39.16,20371600,35.831128
"32",39.91,45.459999,39.599998,42.439999,15685000,38.832304
"33",42.759998,47.25,42.650002,45.009998,13605000,41.183836
"34",44.919998,47.349998,44.400002,47.220001,11993100,43.583548
"35",47.349998,49.34,46.669998,48.91,14944700,45.143398
"36",48.66,50.599998,47.130001,47.34,15270600,43.694306
"37",47.470001,47.470001,44.529999,45.919998,16858400,42.760523
"38",46.240002,50.009998,45.470001,49.009998,16571400,45.637919
"39",49.32,49.98,45.5,45.68,8859600,42.537038
"40",46.259998,47.799999,43.619999,47.16,13899400,44.314956
"41",47.169998,50.779999,46.610001,50.049999,14605800,47.030609
"42",50.119999,53.139999,49.549999,52.41,10020600,49.248237
"43",52.41,53.740002,50.369999,52.369999,11119600,49.617508
"44",52.150002,52.189999,47.52,48.450001,14561700,45.903539
"45",48.549999,48.700001,44.900002,46.880001,14433500,44.416057
"46",46.68,48.700001,46.240002,48.66,12639800,46.535389
"47",47.66,49.73,47,48.720001,17071400,46.592771
"48",48.799999,49.580002,48.02,49.02,9348200,46.879671
"49",49.099998,49.439999,47.669998,48.040001,9444600,46.359688
"50",48.040001,48.689999,45.790001,46.02,13332700,44.410342
"51",45.82,48.810001,45.689999,48.09,10500800,46.407938
"52",48.279999,48.860001,46.799999,47.049999,10844800,45.824017
"53",46.91,50.619999,45.09,50.470001,15180800,49.154904
"54",49.700001,51.889999,49.700001,50.950001,9430900,49.622396
"55",50.75,55.349998,49.68,51.830002,11177300,50.919725
"56",52,52.59,50.119999,50.509998,11618000,49.622904
"57",50.720001,53.169998,50.25,52.759998,9663000,51.833388
"58",52.75,54.919998,51.630001,53.279999,11552600,52.801498
"59",53.290001,54.25,50.389999,50.639999,9082700,50.185208
"60",51.009998,51.66,50.299999,50.580002,8402800,50.125749
"61",50.720001,51.419998,49.900002,51.18,3601700,50.720359
