"","stock_data$COG.Open","stock_data$COG.High","stock_data$COG.Low","stock_data$COG.Close","stock_data$COG.Volume","stock_data$COG.Adjusted"
"1",35.099998,38.720001,31.18,31.32,135245200,7.741386
"2",31.49,34.16,29.700001,30.469999,153171200,7.531291
"3",31.209999,32.990002,27.41,27.84,161105200,6.887836
"4",28.33,30.65,26.620001,30.110001,151660000,7.449452
"5",30.5,32.23,27.809999,28.98,136616400,7.169881
"6",29.5,36.299999,29.5,34.970001,127736400,8.659921
"7",35.740002,38.310001,34.919998,37.849998,119026400,9.373119
"8",38.25,41.860001,36.689999,41.630001,92192400,10.317021
"9",41.889999,47.330002,39.48,45.66,121976800,11.315762
"10",46.18,54.16,42.139999,52.970001,158536000,13.127375
"11",53.639999,57.580002,50.41,56.279999,106458800,13.94768
"12",57.400002,60.130001,51.029999,58.75,141594000,14.568021
"13",58.720001,67.339996,54.549999,66.309998,180530000,16.442646
"14",66.309998,78.940002,62.52,74.080002,150970800,18.369345
"15",75.610001,78.470001,57.799999,75.860001,197870400,18.819326
"16",76.099998,78.650002,60.220001,61.91,212903600,15.358614
"17",61.169998,81.470001,55.540001,77.720001,210975200,19.280755
"18",74.470001,90,72.730003,88.589996,173183200,21.985327
"19",87.57,89.199997,71.18,75.900002,139564800,18.836058
"20",78.110001,83.139999,31.43,31.9,311345200,15.84231
"21",32.150002,38.259998,31.42,34.880001,174833200,17.322251
"22",35.029999,36,29.440001,31.17,160277000,15.479775
"23",31.110001,35.18,28.84,35.139999,155503600,17.451372
"24",35.139999,37,31.32,32.540001,192237000,16.16909
"25",31.879999,41.700001,29.940001,39.400002,211657800,19.577817
"26",39.34,43.799999,37.599998,42.189999,177880400,20.973922
"27",42.490002,44.299999,39.560001,41.41,98304000,20.586161
"28",41.279999,47.25,40.450001,44.900002,91662200,22.321146
"29",45.630001,47.799999,42.139999,46.98,116861800,23.355176
"30",47.080002,49.889999,46.27,47.099998,98238800,23.424578
"31",47.619999,51.18,46.400002,49.740002,81665400,24.73755
"32",50.73,53.619999,46.790001,52.779999,98469000,26.259391
"33",53.07,62.619999,52.360001,61.970001,84029600,30.831651
"34",61.799999,68.980003,61.59,67.610001,86759000,33.637694
"35",66.970001,71.389999,63.259998,68.050003,109524800,33.856607
"36",67.57,74.230003,65.910004,70.360001,81372800,35.016395
"37",70.5,72.949997,65.68,71.019997,69903200,35.344858
"38",71.68,78.07,68.650002,75.82,87992400,37.733698
"39",76.879997,77.790001,36.490002,39.130001,64910400,38.968151
"40",39.77,40.34,35.349998,37.32,113001600,37.165637
"41",37.32,37.599998,34.41,35.32,120621900,35.173909
"42",35.240002,35.369999,31.790001,34.450001,114211200,34.327063
"43",34.57,39.349998,34,38.759998,105021900,38.62168
"44",38.57,40.939999,36.380001,39.98,109387800,39.857063
"45",40.549999,41.779999,34.700001,35,170326300,34.892377
"46",34.880001,35.950001,31.860001,33.880001,159973500,33.775822
"47",34.080002,39.330002,32.169998,39.279999,181049200,39.159215
"48",39.259998,39.459999,35.68,36.240002,120394600,36.148004
"49",36.209999,36.490002,33.599998,34.139999,105236200,34.053333
"50",34.150002,35.41,32.27,32.950001,121386200,32.866355
"51",32.860001,34.779999,32.52,33.540001,85876900,33.475177
"52",33.91,34.220001,30.75,32.689999,116040300,32.626817
"53",32.639999,32.98,27.75,31.1,167638300,31.039892
"54",31.440001,35.240002,29.870001,33.040001,104195400,32.997564
"55",32.779999,33.57,29.040001,29.610001,154452600,29.571969
"56",29.469999,30.389999,26.01,26.5,149170600,26.484562
"57",26.860001,30.01,26.450001,29,134297500,28.983105
"58",29,29.85,26.83,29.530001,117690700,29.512797
"59",29.48,34.240002,29.48,33.82,121540100,33.800297
"60",33.790001,35.639999,33.490002,33.959999,107562300,33.959999
"61",33.91,34.560001,33.470001,33.950001,43437600,33.950001
