"","stock_data$CSC.Open","stock_data$CSC.High","stock_data$CSC.Low","stock_data$CSC.Close","stock_data$CSC.Volume","stock_data$CSC.Adjusted"
"1",48.650002,51.369999,45.080002,45.25,16579400,41.159191
"2",45.220001,47.18,43.419998,45.330002,24274800,41.23196
"3",46.009998,46.630001,39.610001,39.810001,27719600,36.210993
"4",40.470001,46.43,39.959999,46,28310000,41.989552
"5",46.360001,50.009998,45.150002,49.049999,23782900,44.773641
"6",49.290001,49.959999,44.439999,44.630001,22490200,40.738994
"7",45.299999,49.740002,45.259998,49.599998,25228900,45.465365
"8",49.91,54.259998,49.799999,53.290001,21886000,48.847771
"9",53.5,56.610001,47.02,48.130001,47199800,44.117906
"10",48.360001,49.43,45.450001,48.73,22783100,44.858046
"11",49.23,51.299999,48.470001,50.98,20292600,46.929267
"12",51.310001,51.43,36.299999,39.889999,50660400,36.720448
"13",39.630001,40,36.970001,37.959999,45968500,35.126849
"14",38,38.5,34.889999,35.279999,29479200,32.646871
"15",35.549999,35.68,26.309999,30.66,93069000,28.371686
"16",30.65,30.83,25.6,26.85,42501600,25.013247
"17",26.709999,33.119999,26.059999,31.459999,34467300,29.307885
"18",30.440001,33,22.799999,24.43,63664400,22.758794
"19",24.32,26.6,23.43,23.700001,46806500,22.246695
"20",24.290001,26.66,23.27,25.83,34177000,24.246081
"21",26.110001,33.799999,25.77,31.76,57004900,29.812448
"22",31.99,32.84,29.68,29.940001,32350700,28.289742
"23",29.85,30.280001,25.67,28.059999,34758700,26.513364
"24",28.01,28.5,25.5,26.639999,36647600,25.171633
"25",26.139999,26.959999,23.1,24.82,32393200,23.640697
"26",24.92,25.190001,22.190001,24.620001,34871900,23.450201
"27",24.66,33.419998,23.83,32.209999,42822800,30.871315
"28",32.68,34.740002,31.5,32.209999,33309200,30.871315
"29",32.330002,32.59,30.15,30.450001,20355900,29.184464
"30",30.530001,38.68,30.530001,38.060001,35093200,36.478185
"31",38.869999,40.630001,37.610001,40.049999,36539700,38.582121
"32",41.049999,42.779999,40.330002,41.799999,26644100,40.267982
"33",42.07,49.490002,41.830002,48.029999,35952800,46.269645
"34",47.880001,50.59,47.32,49.23,29412900,47.618491
"35",49.23,49.259998,43.580002,46.849998,28662400,45.316398
"36",46.59,50.259998,42.43,44.610001,40327800,43.149725
"37",44.48,46.810001,42.540001,43.77,34353800,42.525722
"38",43.990002,48.209999,43.990002,47.66,21787200,46.305138
"39",48.32,54.799999,48.200001,50.150002,27392300,48.918668
"40",50.919998,53.630001,50.07,51.740002,18296300,50.469629
"41",51.75,53.790001,46.799999,49.259998,24685500,48.050518
"42",49.509998,54.060001,49.25,52.619999,19633700,51.32802
"43",52.619999,56.200001,52.060001,55.880001,18814800,54.705011
"44",55.799999,61.790001,52.919998,60.41,25907200,59.139757
"45",60.150002,64.099998,57.18,63.200001,25700900,61.871093
"46",62.709999,64.089996,60,60.82,23936100,59.730035
"47",61.009998,62.189999,57.459999,59.18,19100900,58.119427
"48",59.110001,64.720001,57.529999,62.889999,24282900,61.762938
"49",62.790001,64.330002,61.900002,63.200001,18834500,62.292335
"50",63.5,65.519997,61.799999,62.389999,18696500,61.493967
"51",62.09,63.02,56.939999,59.790001,21423000,59.158157
"52",59.959999,62,56.189999,61.150002,26250300,60.503785
"53",61.049999,61.93,54.23,60.400002,30156500,59.761711
"54",60.450001,63.889999,56.560001,63.380001,23189700,62.710219
"55",63.299999,66.989998,60.900002,63.049999,21510400,62.607163
"56",63.310001,65.019997,60.419998,60.68,21768700,60.25381
"57",60.32,73.290001,59.799999,70.919998,43962200,70.421886
"58",70.919998,71.160004,64.059998,65.279999,30552500,65.053979
"59",65.199997,66.760002,63.91,64.449997,21898400,64.226851
"60",64.790001,71,63.849998,68.599998,29450000,68.362484
"61",68.769997,69.150002,66.160004,67.480003,7669300,67.480003
