"","stock_data$DFS.Open","stock_data$DFS.High","stock_data$DFS.Low","stock_data$DFS.Close","stock_data$DFS.Volume","stock_data$DFS.Adjusted"
"1",12.74,14.91,12.73,13.98,111900200,13.109048
"2",14.08,15.65,13.33,15.27,119502700,14.339284
"3",15.65,15.78,13.73,14.51,82214900,13.625606
"4",14.73,16.98,14.65,16.68,123472500,15.663344
"5",16.9,17.940001,16.120001,17.65,105245900,16.59457
"6",17.76,19.16,17.629999,18.280001,84967000,17.186899
"7",18.5,19.450001,17.860001,18.530001,102634500,17.440845
"8",18.75,21.24,18.309999,20.59,89261800,19.379761
"9",20.790001,22.040001,20.23,21.75,57473200,20.471579
"10",21.9,24.99,20.959999,24.120001,124713700,22.702276
"11",24.49,25.110001,23.52,24.84,100382400,23.437027
"12",24.98,25.76,22.91,23.84,124856500,22.493507
"13",23.790001,26.950001,22.33,26.75,160957400,25.239149
"14",26.07,27.92,25.02,25.610001,141594000,24.218268
"15",25.77,25.93,20.51,25.16,187916800,23.792721
"16",25,27.32,22.809999,22.940001,170390800,21.693364
"17",21.440001,25.950001,21.440001,23.559999,168383400,22.339885
"18",22.860001,25,22.48,23.82,125500600,22.58642
"19",23.700001,24.85,22.84,24,92671700,22.850404
"20",24.34,28.09,23.75,27.18,122289300,25.878083
"21",27.629999,30.690001,27.41,30.01,88238900,28.572526
"22",30.09,34.43,29.620001,33.34,144293700,31.743019
"23",33.740002,34.25,32.060001,33.900002,86099500,32.372258
"24",33.990002,34.75,31.35,33.110001,100064400,31.617859
"25",32.220001,34.580002,30.48,34.580002,129842700,33.021613
"26",34.68,36.610001,33.790001,35.959999,82583800,34.439012
"27",36.09,39.23,34.759998,38.73,78258800,37.09185
"28",38.630001,40.279999,37,39.73,86586100,38.049554
"29",40.049999,41.02,38.66,41,77107000,39.364444
"30",41.07,41.869999,37.900002,41.610001,94326600,39.950111
"31",41.810001,42.080002,37.360001,38.549999,107837000,37.149081
"32",39.389999,40.630001,37.490002,38.389999,115411300,36.994895
"33",38.66,40.349998,37.240002,38.529999,89400900,37.129807
"34",38.32,45.380001,37.889999,44.84,106754600,43.210501
"35",44.720001,45.610001,42.119999,43.740002,114425400,42.150477
"36",43.68,49.709999,43.669998,47.41,87827600,45.885272
"37",47.75,49.380001,45.080002,47.639999,74434300,46.107875
"38",48.009998,51.700001,47.68,49.509998,72037500,47.917734
"39",49.959999,51.18,46.93,47.25,50706100,45.910708
"40",47.77,53.360001,47.490002,50.540001,59242400,49.107454
"41",50.549999,54.450001,48.400002,51.880001,75833400,50.409472
"42",51.869999,53.700001,50.220001,53.299999,57705300,51.987569
"43",53.490002,56.200001,51.25,55.950001,53240200,54.572319
"44",55.790001,56,51.779999,53.650002,74232700,52.328953
"45",53.66,57.93,51.630001,57.380001,60184900,56.182325
"46",56.959999,60,56.310001,58.189999,63006400,56.975416
"47",58.34,59.740002,54.349998,55.900002,69425300,54.733217
"48",55.759998,59.240002,55.32,59.130001,42966100,58.143216
"49",59.130001,62.619999,59.060001,61.98,45905700,60.945652
"50",62.360001,64.440002,61.040001,61.060001,53803400,60.041007
"51",60.790001,63.16,59,62.369999,41665800,61.573564
"52",62.84,65.980003,62.209999,64.389999,44858500,63.56777
"53",64.260002,65.529999,60.41,63.779999,65628700,62.965559
"54",63.950001,66.75,63.439999,65.550003,44286000,64.957505
"55",65.540001,66.720001,60.150002,65.489998,59654800,64.898043
"56",65.93,66.019997,54.02,54.380001,104412200,53.888468
"57",54.41,61.5,54.09,60.98,86903900,60.692165
"58",60.98,61.23,56.040001,56.349998,78009400,56.084018
"59",56.189999,59.900002,56.169998,57.970001,78050500,57.696374
"60",58.209999,60.57,57.700001,58.27,52079300,58.27
"61",58.34,59.060001,57.599998,58.740002,18562200,58.740002
