"","stock_data$DTV.Open","stock_data$DTV.High","stock_data$DTV.Low","stock_data$DTV.Close","stock_data$DTV.Volume","stock_data$DTV.Adjusted"
"1",38.349998,39.490002,33.869999,33.919998,227686500,33.919998
"2",34.049999,38.470001,33.25,37.16,173996600,37.16
"3",37.849998,39.889999,36.950001,37.900002,166614600,37.900002
"4",38.389999,42.610001,38.009998,41.630001,169969000,41.630001
"5",41.630001,43.66,41.310001,43.450001,126525000,43.450001
"6",43.59,44.610001,40.889999,41.529999,154965100,41.529999
"7",41.950001,42.150002,39.119999,39.93,197849900,39.93
"8",40.200001,43.040001,40.200001,42.389999,126584900,42.389999
"9",42.599998,46.900002,42.34,45.970001,104629800,45.970001
"10",46.099998,47.400002,43.669998,46.799999,138531500,46.799999
"11",47.200001,48.689999,45.52,48.59,100435800,48.59
"12",48.810001,50.799999,47.619999,50.259998,119312900,50.259998
"13",50.200001,51.23,46.310001,50.82,120302800,50.82
"14",51.110001,53.400002,50.43,50.68,98709300,50.68
"15",51.02,51.25,40.720001,43.970001,188377000,43.970001
"16",44.099998,45.369999,40.220001,42.27,159437700,42.27
"17",41.93,48.599998,39.82,45.459999,135391300,45.459999
"18",44.209999,48.16,44.040001,47.220001,129111000,47.220001
"19",47.259998,48.5,41.450001,42.759998,133526000,42.759998
"20",43.599998,45.369999,41.919998,45.009998,128405400,45.009998
"21",45.25,47.689999,44.349998,46.32,118337400,46.32
"22",46.380001,49.990002,45.689999,49.34,122643300,49.34
"23",49.220001,50,46.950001,49.279999,95110600,49.279999
"24",49.299999,50.349998,44.41,44.450001,109779200,44.450001
"25",43.919998,48.830002,42.869999,48.82,129198200,48.82
"26",49,50.32,46.59,49.66,87008600,49.66
"27",50,52.98,48.009998,52.09,96211400,52.09
"28",51.779999,55.169998,51.77,52.439999,86357400,52.439999
"29",52.560001,54.080002,49.66,51.139999,83259200,51.139999
"30",51.369999,51.73,48,49.700001,97536700,49.700001
"31",49.919998,52,49.049999,50.16,88393000,50.16
"32",50.959999,53.959999,49.82,51.139999,83315600,51.139999
"33",51.549999,53.439999,47.709999,48.169998,120126900,48.169998
"34",48.220001,57.639999,48,56.59,139787300,56.59
"35",56.66,57.779999,53.5,56.560001,95340500,56.560001
"36",56.540001,65.809998,56.18,61.189999,84336900,61.189999
"37",61.290001,63.77,58.459999,61.639999,83552000,61.639999
"38",62.25,67.849998,61.599998,63.279999,61153000,63.279999
"39",60.130001,63.540001,57.049999,58.18,95126800,58.18
"40",58.91,63.990002,57.919998,59.779999,83711300,59.779999
"41",59.869999,63.419998,57.400002,62.490002,66016900,62.490002
"42",62.860001,66.620003,61.639999,66.110001,69164900,66.110001
"43",66.129997,69.150002,64.620003,69.059998,78213200,69.059998
"44",68.839996,73.440002,67.800003,69.43,85743100,69.43
"45",68.589996,78.050003,67.809998,77.599998,85293700,77.599998
"46",77.239998,80.769997,72.279999,76.419998,107736100,76.419998
"47",76.660004,79.459999,73.540001,77.599998,58856000,77.599998
"48",81.989998,89.459999,77.5,82.440002,194708500,82.440002
"49",82.360001,85.529999,82.139999,85.010002,78704500,85.010002
"50",85.449997,88.25,84.550003,86.050003,51678000,86.050003
"51",86.120003,86.510002,83.139999,86.449997,54616000,86.449997
"52",86.339996,87.940002,86.019997,86.519997,56680800,86.519997
"53",86.230003,88,82.040001,86.790001,71628300,86.790001
"54",87,88.080002,86.330002,87.709999,44858800,87.709999
"55",87.980003,87.980003,82.360001,86.699997,53046700,86.699997
"56",86.75,87,83.910004,85.279999,55396600,85.279999
"57",85.43,88.879997,84.970001,88.599998,44056000,88.599998
"58",88.650002,88.989998,84.57,85.099998,49917100,85.099998
"59",85.029999,91.790001,84.809998,90.709999,49490300,90.709999
"60",90.790001,92.449997,87.800003,91.040001,57899600,91.040001
"61",91.489998,92.650002,90.540001,92.07,19787700,92.07
