"","stock_data$ED.Open","stock_data$ED.High","stock_data$ED.Low","stock_data$ED.Close","stock_data$ED.Volume","stock_data$ED.Adjusted"
"1",42.580002,45.080002,42.52,43.099998,21655800,35.109708
"2",43.099998,47.25,42.5,46.119999,37108400,37.569832
"3",46.400002,48.529999,46.119999,47.529999,50114500,39.209061
"4",47.919998,48.939999,47.439999,48.220001,42978100,39.778267
"5",48.400002,49.959999,47.91,49.720001,39937400,41.015666
"6",49.880001,51.029999,47.509998,48.369999,39913300,40.385102
"7",48.799999,49.900002,48.040001,49.57,31780500,41.387007
"8",49.759998,50.869999,48.799999,49.91,30737500,41.67088
"9",50.139999,50.299999,48.549999,49.98,41513100,42.235133
"10",49.959999,50.900002,48.849998,50.720001,35295100,42.860464
"11",50.98,52.139999,49.799999,52.119999,23542300,44.043519
"12",52.130001,54.360001,52.119999,53.060001,37503300,45.340527
"13",53,53.310001,51.669998,53.240002,35851100,45.49434
"14",53.27,54.130001,52.330002,52.599998,29101500,44.947448
"15",53.150002,56.959999,49.18,56.209999,86960200,48.574674
"16",56.439999,58.790001,54.630001,57.02,56204700,49.274648
"17",56.75,59.889999,54.720001,57.869999,48844200,50.009187
"18",57.150002,59.73,56.07,59.419998,36118800,51.870479
"19",59.310001,62.740002,58.259998,62.029999,33741200,54.14887
"20",62.099998,62.259998,57.59,58.959999,45207800,51.468925
"21",59.09,59.509998,57.459999,58.099998,37890000,51.242486
"22",58.049999,59.5,56.990002,58.419998,33593900,51.524716
"23",58.259998,59.5,57.009998,59.450001,33500500,52.433148
"24",59.360001,60.650002,58.349998,60.360001,27322100,53.779744
"25",59.970001,63.639999,59.970001,62.189999,38147300,55.410242
"26",62.240002,65.349998,61.59,64.5,25630100,57.468414
"27",64.699997,65.980003,60.41,60.619999,28271800,54.527907
"28",60.639999,61.09,59.009998,59.889999,27593600,53.871269
"29",59.959999,60.830002,59.009998,60.380001,26605400,54.312028
"30",60.439999,60.470001,53.630001,55.790001,39799000,50.727262
"31",55.799999,57.560001,54.509998,55.540001,35306700,50.499949
"32",56.200001,57.060001,54.950001,56.880001,35279900,51.718349
"33",57.110001,59.200001,56.259998,59,30164900,54.229537
"34",58.950001,61.130001,58.330002,61.029999,26676300,56.095399
"35",60.93,63.810001,60.439999,63.650002,27528900,58.503561
"36",63.610001,64.029999,56.849998,57.07,45384400,52.984834
"37",57.009998,58.950001,55.419998,58.310001,45847900,54.136075
"38",58.52,60.709999,56.560001,59.900002,32624200,55.61226
"39",60.139999,60.849998,55.639999,56.23,42099900,52.742886
"40",56.509998,57.330002,54.509998,55.139999,36076200,51.720483
"41",55.18,59.240002,54.32,58.220001,52195400,54.609478
"42",58.43,59.200001,55,55.209999,43483300,52.335868
"43",55.209999,55.869999,54.169998,55.279999,38910300,52.402224
"44",55.150002,55.150002,52.849998,54.41,48235500,51.577515
"45",54.450001,56.68,53,56.049999,42112300,53.759098
"46",55.740002,56,52.23,53.650002,59659100,51.457194
"47",53.57,58.57,52.869999,58.029999,50276800,55.65817
"48",58.099998,58.369999,53.610001,55.009998,51367000,52.761605
"49",55,57.84,54.119999,57.740002,39058600,55.380026
"50",57.75,57.849998,55.279999,56.09,40380400,53.797464
"51",55.919998,57.900002,54.580002,57.889999,41726100,56.145541
"52",57.880001,58.119999,55.799999,56.66,33295900,54.952606
"53",56.869999,64,56.400002,63.360001,70325800,61.450709
"54",63.330002,64.730003,61.450001,63.150002,44625000,61.863225
"55",62.93,68.919998,62.619999,66.010002,47722300,64.664949
"56",66.099998,72.25,65.360001,69.279999,44305300,67.868315
"57",69.279999,69.690002,62.369999,63.139999,53363100,62.472339
"58",63.060001,63.07,58.650002,61,59516000,60.354969
"59",60.970001,63.029999,59.91,61.549999,35880300,60.899152
"60",61.52,62.540001,60.029999,61.84,43202200,61.84
"61",61.869999,62.18,57.369999,57.75,26498100,57.75
