"","stock_data$EFX.Open","stock_data$EFX.High","stock_data$EFX.Low","stock_data$EFX.Close","stock_data$EFX.Volume","stock_data$EFX.Adjusted"
"1",29.25,30.74,27.98,28.059999,14507600,26.048431
"2",27.91,31.620001,27.639999,31.34,17801600,29.093295
"3",31.690001,32.290001,28.950001,29.469999,17752300,27.393718
"4",29.719999,31.690001,29.52,31.200001,13424700,29.001834
"5",31.440001,33.25,30.530001,33.130001,12237300,30.795858
"6",33.599998,35.119999,33.43,34.610001,14062000,32.320142
"7",35.110001,36.130001,34.799999,35.599998,13232200,33.24464
"8",35.77,37.130001,35.450001,35.720001,10005500,33.356703
"9",35.889999,37,34.48,35.75,10419800,33.532847
"10",35.810001,38.880001,35.130001,38.849998,16442000,36.440589
"11",39,39.900002,36.560001,37.529999,16554000,35.202453
"12",37.689999,39.360001,36.400002,37.790001,15356700,35.60057
"13",37.580002,37.799999,33.439999,34.720001,23486600,32.708436
"14",34.73,35.75,32.990002,34.360001,18209500,32.369293
"15",34.650002,34.830002,28.59,32.330002,29852800,30.624885
"16",32.259998,32.740002,29.469999,30.74,16683100,29.118742
"17",30.48,35.91,29.07,35.150002,18082000,33.296156
"18",34,37.209999,33.380001,37.150002,17198300,35.352936
"19",37.009998,39.259998,36.75,38.740002,17533900,36.866023
"20",39.389999,40.099998,37.889999,38.970001,11626300,37.084897
"21",39.32,43.52,39.07,42.040001,15231400,40.176029
"22",42.139999,44.599998,41.330002,44.259998,18297700,42.297596
"23",44.189999,47.240002,42.5,45.82,14164900,43.78843
"24",45.950001,46.5,44.110001,45.169998,21790700,43.340611
"25",44.630001,48.029999,43.009998,46.599998,23303100,44.712696
"26",46.779999,49.490002,45.48,46.84,19712800,44.942978
"27",47.189999,47.209999,45.150002,45.779999,16467400,44.096309
"28",45.759998,48.150002,45.549999,46.580002,11717300,44.866889
"29",46.740002,51.360001,46.619999,50.040001,18510800,48.199637
"30",50,51.860001,49.369999,51.240002,17463100,49.532935
"31",52.66,55.52,52.66,54.119999,17695700,52.316985
"32",54.98,59.299999,54.07,58.700001,14255100,56.744403
"33",59.240002,59.830002,52.790001,55.119999,23425300,53.494583
"34",54.790001,57.68,54.77,57.59,17315000,55.891747
"35",57.459999,62,55.869999,61.200001,18313600,59.395293
"36",60.990002,63.91,60.59,60.900002,15419700,59.312353
"37",61,61.540001,57.540001,58.93,11497100,57.393709
"38",58.950001,63.889999,58.740002,63.23,12266400,61.581609
"39",63.68,65.650002,58.919998,59.09,12688000,57.752436
"40",59.630001,62.939999,58.75,59.849998,12752900,58.495231
"41",59.68,66.220001,58.860001,64.669998,19312400,63.206124
"42",64.699997,68.290001,63.459999,67.330002,9707000,66.022905
"43",67.470001,69.639999,66.019997,69.089996,10781300,67.748732
"44",68.949997,71.620003,66.970001,70.059998,11891700,68.699902
"45",70.010002,71.93,67.800003,70.059998,15041100,68.947057
"46",69.669998,72.900002,67.919998,68.029999,13212900,66.949306
"47",68.220001,70.830002,64.75,70.809998,14687600,69.685143
"48",70.809998,71.760002,69.160004,70.790001,10910900,69.91711
"49",71.019997,73.389999,69.669998,72.540001,8283500,71.645531
"50",72.830002,77.739998,72,76.089996,11194200,75.151753
"51",76.019997,79.370003,74.110001,78.760002,7793600,78.038224
"52",78.93,79.940002,73.800003,74.739998,10926200,74.05506
"53",74.639999,76.68,69.040001,75.739998,13893200,75.045896
"54",75.809998,80,75.360001,79.550003,8304400,79.073454
"55",79.43,82.629997,78.339996,80.870003,11857000,80.385546
"56",81.370003,86.309998,79.620003,84.459999,10740000,83.954036
"57",84.410004,94.349998,82.870003,93.370003,15565200,92.810664
"58",93.449997,94.900002,90.709999,93,12731000,92.730893
"59",93.139999,99.290001,91.610001,96.93,10181900,96.649521
"60",97.660004,100.93,97.339996,100.330002,11083900,100.330002
"61",100.349998,100.480003,96.849998,98.82,3930100,98.82
