"","stock_data$FII.Open","stock_data$FII.High","stock_data$FII.Low","stock_data$FII.Close","stock_data$FII.Volume","stock_data$FII.Adjusted"
"1",21.18,22.950001,20.67,20.709999,22116600,15.817096
"2",20.67,22.15,20.26,21.219999,29234700,16.206604
"3",21.49,21.85,20.01,20.85,30105300,16.10601
"4",21.08,23.540001,20.99,22.76,20063200,17.581428
"5",22.92,25.16,22.76,24.91,21655200,19.242239
"6",25.1,25.559999,23.52,23.709999,24299100,18.494032
"7",24.02,27.02,24.01,26.17,21979400,20.412857
"8",26.42,28.57,25.879999,27.08,24176100,21.122665
"9",27.139999,27.950001,26.5,27.559999,15709000,21.691247
"10",27.610001,28.23,24.93,26.75,21366800,21.053733
"11",26.99,27.110001,25.450001,25.780001,15011300,20.29029
"12",25.870001,26.959999,24.780001,25.629999,19806600,20.360171
"13",25.5,25.530001,23.43,23.84,20698000,18.938217
"14",23.940001,24.540001,21.030001,21.370001,23666600,16.976079
"15",21.799999,21.799999,16.059999,17.709999,56540000,14.23308
"16",17.790001,19.809999,16.01,17.530001,38918400,14.08842
"17",17.629999,22.389999,16.16,19.540001,34268000,15.703807
"18",18.75,19.709999,15.05,15.87,44593300,12.912594
"19",15.82,16.25,14.36,15.15,41458100,12.326768
"20",15.61,19.280001,15.45,17.08,46857200,13.897109
"21",17.190001,21.5,17.18,20.49,35070700,16.885845
"22",20.530001,23.889999,19.33,22.41,32274800,18.46812
"23",22.440001,23.17,20.030001,22.08,22041800,18.196166
"24",22.120001,23.23,19.08,20.09,21358900,16.736163
"25",19.09,23.059999,18.540001,21.85,21908800,18.202348
"26",21.889999,22.309999,19.32,20.110001,19358400,16.752824
"27",20.209999,22.139999,19.51,21.219999,26571300,17.887862
"28",21.190001,22.129999,19.889999,20.690001,17086300,17.441088
"29",20.85,23.48,20.280001,23.24,18305400,19.590666
"30",23.219999,23.35,18.280001,19.85,22781600,18.16842
"31",19.85,20.83,19.450001,20.23,37584700,18.516228
"32",20.700001,23.860001,20.68,23.66,34418300,21.655658
"33",23.83,25.32,22.98,23.219999,31175000,21.469982
"34",23.129999,24.889999,22.82,23.67,20409600,21.886068
"35",23.709999,24.41,21.92,22.959999,17483200,21.229578
"36",22.889999,28.17,22.209999,27.67,19945900,25.852853
"37",27.73,29.08,25.719999,27.41,17535200,25.609928
"38",27.440001,30.870001,27.35,29.030001,17501900,27.12354
"39",29.4,29.9,27.1,27.16,10139100,25.596017
"40",27.549999,28.530001,26.709999,27.16,11397800,25.596017
"41",27.07,28.98,25.85,27.120001,12489000,25.558321
"42",27.110001,28.709999,26.58,27.290001,15977100,25.95773
"43",27.280001,28.9,25.5,28.799999,21954100,27.394012
"44",28.799999,29.99,26.6,26.889999,14616100,25.577256
"45",26.84,27.860001,25.629999,27.4,9949400,26.308508
"46",27.01,31.200001,26.77,30.540001,17926700,29.323426
"47",30.67,31.48,27.98,28.540001,18221500,27.403097
"48",28.559999,28.790001,26.82,28.27,10618700,27.388127
"49",28.35,30.950001,27.99,30.92,13630700,29.95546
"50",31,31.440001,28.200001,28.219999,11029000,27.339685
"51",28.049999,31.190001,27.799999,30.690001,7981200,29.993999
"52",30.860001,31.5,29.110001,29.360001,11471100,28.694162
"53",29.32,31.5,26.99,31.27,16214000,30.560846
"54",31.379999,31.809999,30.32,31.440001,7157500,30.974868
"55",31.27,33.959999,30.780001,32.93,10716200,32.442824
"56",33.150002,33.290001,30.26,31.610001,10373100,31.142353
"57",31.73,35.599998,31.33,32.93,9492900,32.691238
"58",33.060001,34.759998,32.23,33.889999,14945900,33.644276
"59",33.959999,35,33.23,34.400002,10058700,34.150581
"60",34.73,35.169998,33.400002,34.799999,7165800,34.799999
"61",34.98,35.75,33.98,34.610001,5073500,34.610001
