"","stock_data$GME.Open","stock_data$GME.High","stock_data$GME.Low","stock_data$GME.Close","stock_data$GME.Volume","stock_data$GME.Adjusted"
"1",21.35,22.17,17.959999,18.790001,103127200,16.707011
"2",18.68,21.01,18.24,20.049999,80463300,17.827331
"3",20.23,21.49,17.700001,17.93,79411600,15.942347
"4",18.16,20.200001,18.059999,19.709999,63058600,17.525022
"5",19.950001,20.59,17.93,19.65,78850400,17.471673
"6",19.74,22.129999,19.16,19.92,84034300,17.711743
"7",20.219999,23,19.9,22.879999,64276500,20.343607
"8",23.07,23.23,20.110001,21.07,81436400,18.734258
"9",21.139999,21.18,19.190001,19.950001,84658400,17.738418
"10",19.950001,22.780001,19.42,22.52,94092400,20.023517
"11",22.68,26.940001,22.469999,25.68,119277200,22.833211
"12",26.16,28.66,24.549999,27.98,89401800,24.87824
"13",27.92,28.02,25.65,26.67,67526500,23.713463
"14",26.709999,27.799999,23.01,23.58,82272800,20.966009
"15",23.809999,24.049999,18.34,23.93,117255700,21.277209
"16",23.84,25.08,21.57,23.1,65597900,20.53922
"17",23,26.66,22.16,25.57,78771400,22.735404
"18",24.9,25.889999,21.459999,23.120001,85591700,20.557003
"19",23.1,24.75,22.639999,24.129999,51209300,21.455037
"20",24.43,25.280001,22.65,23.360001,70002400,20.770398
"21",23.440001,25.860001,22.540001,22.780001,70872800,20.388771
"22",22.889999,25.77,21.82,21.84,90649100,19.547443
"23",21.74,22.790001,20.940001,22.76,61816700,20.37087
"24",22.76,23.08,18.129999,19.18,88640900,17.302693
"25",18.77,19.780001,17.1,18.360001,74843800,16.562953
"26",18.440001,18.690001,15.47,16.02,46284500,14.451989
"27",16.040001,19.59,15.32,19.08,96753100,17.44321
"28",19.85,23.790001,19.83,21,63370000,19.198502
"29",21.42,24.49,21.049999,22.83,55791800,20.871514
"30",22.84,28,21.41,26.25,78022100,24.221824
"31",26.450001,28.35,23.92,25.09,55171400,23.151451
"32",25.58,25.870001,22.299999,23.200001,81362200,21.40748
"33",24.290001,27.01,23.459999,25.059999,66812300,23.123768
"34",24.639999,28.67,23.360001,27.969999,50780100,26.09529
"35",28,35.419998,27.93,34.900002,77720700,32.560804
"36",34.950001,39.869999,30.940001,33.16,88798600,31.193493
"37",33.18,42.84,33.16,42.029999,89493000,39.537469
"38",42,49.52,41.66,49.060001,45527200,46.150568
"39",49.52,56.080002,47.040001,50.209999,58152400,47.494106
"40",50.77,53.279999,48.650002,49.650002,36175100,46.964399
"41",49.59,56,47.73,54.82,37844800,51.854749
"42",55.09,57.740002,46.66,48.25,68025000,45.640125
"43",48.5,51.549999,44.869999,49.259998,69471300,46.862585
"44",49.150002,50,34.700001,35.07,129150400,33.363193
"45",34.970001,39,33.099998,37.310001,73240100,35.494177
"46",37.049999,41.57,35.27,41.099998,79060200,39.437759
"47",41.049999,45.48,38.970001,39.68,70854200,38.075191
"48",39.880001,40.490002,35.099998,37.849998,61350500,36.319202
"49",37.68,40.990002,35.889999,40.470001,49287100,39.174792
"50",40.509998,46.59,40.279999,41.970001,62979600,40.626786
"51",41.990002,44.5,39.400002,42.200001,53760200,41.16409
"52",42.290001,45.450001,41.189999,41.200001,42676400,40.188638
"53",41.119999,43.889999,35.82,42.759998,59585200,41.710341
"54",42.759998,44.84,36.880001,37.810001,73727800,37.161391
"55",37.619999,37.669998,31.809999,33.799999,89119500,33.220179
"56",34.060001,39.299999,31.690001,35.25,71065900,34.645305
"57",35.110001,38.209999,34.52,36.970001,27127800,36.335801
"58",36.970001,42.669998,36.970001,37.959999,44143600,37.650402
"59",37.860001,41.299999,37.330002,38.540001,29720900,38.225673
"60",38.630001,44.490002,38.459999,43.41,34185400,43.055953
"61",43.740002,44.459999,42.41,42.849998,15497000,42.849998
