"","stock_data$IVZ.Open","stock_data$IVZ.High","stock_data$IVZ.Low","stock_data$IVZ.Close","stock_data$IVZ.Volume","stock_data$IVZ.Adjusted"
"1",17.9,19.84,16.799999,16.83,69012900,14.838864
"2",17.01,20.1,16.370001,19.540001,76390100,17.228248
"3",19.959999,20.15,17.209999,18.139999,61267700,16.086964
"4",18.459999,22.030001,18.32,21.23,74548900,18.827247
"5",21.49,23.370001,20.870001,23,89485300,20.396923
"6",23.18,24.379999,21.02,21.74,102028300,19.3778
"7",22,24.34,21.99,24.059999,72491900,21.445716
"8",24.24,25.610001,23.639999,24.74,116907200,22.05183
"9",24.9,27.5,24.66,26.84,83606600,24.020013
"10",26.790001,27.280001,23.870001,25.559999,86706900,22.874497
"11",25.84,26.059999,23.969999,24.870001,72760700,22.256994
"12",25.059999,25.459999,23.58,24.67,99385000,22.190282
"13",24.549999,24.57,21.92,23.4,92812100,21.047936
"14",23.35,24.040001,21.290001,22.18,87557400,19.950565
"15",22.530001,22.610001,15.75,18.299999,160473000,16.574713
"16",18.34,18.67,15.4,15.51,148217100,14.04775
"17",15.39,21.33,14.52,20.07,154471700,18.177842
"18",18.959999,20.58,17.709999,20.25,106584600,18.452845
"19",20.07,21.049999,18.549999,20.09,77569600,18.307045
"20",20.66,23.309999,19.92,22.57,83603900,20.566948
"21",22.83,25.200001,22.709999,24.77,78498300,22.684667
"22",24.559999,26.940001,23.76,26.67,81834100,24.42471
"23",26.57,26.9,23.549999,24.84,85244700,22.748774
"24",24.82,25.469999,20.74,21.75,120823500,20.073324
"25",21.059999,23.120001,20.59,22.6,104635500,20.857799
"26",22.620001,23.01,20.49,22.129999,106364700,20.42403
"27",22.299999,24.23,20.799999,23.68,74808100,22.012957
"28",23.620001,26.25,23.530001,24.99,57647600,23.230734
"29",25.209999,26.09,23.870001,24.32,66841700,22.607901
"30",24.309999,25.290001,22.940001,24.99,68454000,23.404359
"31",25.110001,26.370001,24.4,26.09,61547900,24.434564
"32",26.66,28.49,26.52,27.25,79138900,25.52096
"33",27.18,28.01,25.459999,26.790001,90372300,25.248876
"34",26.93,29.23,26.24,28.959999,72521300,27.294043
"35",28.950001,31.969999,27.860001,31.74,83346000,29.914121
"36",31.75,35.02,31.4,33.740002,91489600,32.007939
"37",33.75,34.66,31.09,31.799999,84079100,30.167528
"38",32.139999,33.240002,31.18,32.189999,78743900,30.537507
"39",32.57,33.360001,30.139999,30.360001,62898000,29.005141
"40",30.92,33.02,30.09,31.9,62318100,30.476415
"41",32.009998,34.73,31.5,33.75,122827500,32.243856
"42",33.91,35.259998,32.25,34.849998,73356700,33.516108
"43",34.860001,36.790001,33.939999,36.400002,64230900,35.006785
"44",36.259998,36.880001,32.689999,33.25,70498000,31.97735
"45",33.060001,34.84,31.73,34.299999,76760200,33.204595
"46",33.720001,37.18,33.200001,37,80022000,35.818368
"47",36.709999,37.869999,34,35.209999,69555500,34.085533
"48",35.75,36.900002,34.310001,36.700001,58778300,35.776119
"49",36.830002,38.41,36.439999,37.75,52821500,36.799685
"50",37.990002,38.860001,37.360001,37.630001,41464900,36.682707
"51",38.07,41.139999,37.32,40.84,54440800,40.065542
"52",40.799999,41.439999,39.360001,39.48,54648800,38.731332
"53",39.450001,40.57,34.400002,40.470001,77497900,39.70256
"54",40.419998,41.48,39.18,40.360001,41387600,39.839419
"55",40.25,41.509998,38.049999,39.52,55158900,39.010254
"56",39.720001,39.82,35.419998,36.73,78828500,36.25624
"57",36.830002,40.73,36.490002,40.27,52914700,40.003639
"58",40.27,41.98,39.439999,39.689999,62845400,39.427474
"59",39.68,42,39.34,41.419998,48696400,41.14603
"60",41.75,42.049999,39.759998,39.830002,47358300,39.830002
"61",40,40.25,38.959999,39.119999,23094800,39.119999
