"","stock_data$JBL.Open","stock_data$JBL.High","stock_data$JBL.Low","stock_data$JBL.Close","stock_data$JBL.Volume","stock_data$JBL.Adjusted"
"1",12.85,15.21,12.47,13.3,89068400,12.2776
"2",13.32,15.9,12.67,14.51,80965600,13.394585
"3",14.91,15.06,10.17,10.25,88935600,9.515866
"4",10.43,14.74,10.39,14.41,114119300,13.377915
"5",14.63,15.37,13.91,15.34,82087200,14.241306
"6",15.52,15.78,13.67,15.11,72075200,14.091999
"7",15.44,20.379999,15.3,20.09,89935500,18.736484
"8",20.27,21.780001,19.52,20.209999,78633700,18.848398
"9",20.459999,23.09,19.26,21.43,61756700,20.051888
"10",21.6,22.110001,18.459999,20.43,107535100,19.116195
"11",20.73,21,18.52,19.84,80382600,18.564137
"12",20.08,21.92,19.34,21.58,75151800,20.257953
"13",21.5,21.51,17.83,20.200001,88161900,18.962496
"14",20.25,21.49,18.15,18.309999,67344400,17.188281
"15",18.639999,18.67,13.94,16.85,117267900,15.893876
"16",16.93,19.299999,14.93,17.790001,106368100,16.780538
"17",17.76,21.49,16.620001,20.559999,107343400,19.393358
"18",19.780001,21.34,18.18,20.27,78767400,19.197262
"19",20.280001,21.389999,18.790001,19.66,62365300,18.619544
"20",20.059999,23.74,19.91,22.66,56463700,21.460776
"21",22.93,26.5,22.83,25.83,54498200,24.541045
"22",25.959999,27.4,24.32,25.120001,70610000,23.866475
"23",25.129999,25.66,21.709999,23.450001,59982400,22.279811
"24",23.41,23.780001,18.73,19.129999,72320600,18.248049
"25",18.690001,21.02,17.67,20.33,75503400,19.392726
"26",20.33,22.290001,18.299999,21.700001,54878200,20.699566
"27",21.77,23.950001,20.790001,22.780001,48324900,21.806729
"28",22.65,22.91,18.6,18.719999,73913800,17.92019
"29",18.9,18.91,16.82,17.34,84984700,16.599151
"30",17.41,19.190001,16.959999,19,59849100,18.272238
"31",19.129999,20.290001,17.09,19.290001,80302900,18.551131
"32",19.84,20.190001,18.82,18.91,53000200,18.185685
"33",19.18,19.92,18.379999,18.73,48527900,18.08595
"34",18.6,19.58,18.15,18.48,65488900,17.844547
"35",18.5,18.610001,16.389999,17.799999,50254900,17.187929
"36",17.76,20.469999,17.469999,20.059999,40485900,19.450926
"37",20.049999,20.610001,18.799999,20.379999,48028500,19.761209
"38",20.4,23.17,20.26,22.99,31858500,22.291963
"39",22.67,24.09,22.370001,22.82,33173300,22.201471
"40",23.02,24.32,21.15,21.68,59666600,21.092371
"41",21.73,22.83,20.530001,20.860001,55623100,20.294597
"42",20.959999,21.030001,19.16,20.27,47694100,19.796694
"43",20.23,20.85,15.3,17.440001,115069100,17.032774
"44",17.299999,18.83,16.41,17.969999,85566700,17.550398
"45",17.93,19.48,17.24,18.51,51341600,18.155543
"46",18.190001,19.049999,17.34,18,61391900,17.655309
"47",18.02,18.940001,17.059999,17.26,51816200,16.92948
"48",17.219999,18.99,17.190001,18.82,29196700,18.541195
"49",18.780001,21.290001,18.540001,20.9,41176100,20.590382
"50",20.99,21.299999,19.950001,19.959999,40013200,19.664307
"51",19.82,21.74,19.57,21.58,25355800,21.345223
"52",21.629999,21.870001,20.049999,20.17,46234800,19.950563
"53",20.049999,20.98,18.030001,20.950001,69044900,20.722077
"54",20.9,21.42,20.32,20.75,74944100,20.602329
"55",20.549999,22.440001,19.450001,21.83,49134000,21.674643
"56",21.860001,22,20.24,20.610001,43613800,20.463326
"57",20.719999,22.620001,20.370001,21.969999,25590900,21.894888
"58",21.969999,23.780001,21.120001,23.379999,42035800,23.300068
"59",23.18,24.110001,22.389999,22.52,33961200,22.443009
"60",22.42,24.950001,22.309999,24.57,26277800,24.57
"61",24.559999,24.6,23.459999,24,12432900,24
