"","stock_data$JNPR.Open","stock_data$JNPR.High","stock_data$JNPR.Low","stock_data$JNPR.Close","stock_data$JNPR.Volume","stock_data$JNPR.Adjusted"
"1",24.26,26.09,22.74,22.82,118015100,22.444129
"2",22.85,29,22.25,27.780001,194188800,27.322434
"3",27.98,29,25,27.200001,123993400,26.751987
"4",27.52,31.48,27.52,30.35,121336100,29.850103
"5",30.6,32.84,30.059999,32.389999,172933100,31.856501
"6",32.580002,36,31.74,34.02,145976100,33.459654
"7",34.529999,37.950001,33.950001,36.919998,90374800,36.311886
"8",37.240002,38.73,34.200001,37.119999,125325100,36.508592
"9",37.32,44.619999,37.040001,44,148547500,43.275272
"10",44.27,45.009998,38.849998,42.080002,164858500,41.386898
"11",42.27,42.27,36.48,38.330002,146470700,37.698665
"12",38.27,40.369999,36.049999,36.610001,142245600,36.006994
"13",36.5,36.869999,29.030001,31.5,252691400,30.981161
"14",31.540001,33.110001,23.139999,23.389999,252736000,23.004741
"15",23.43,23.65,19.629999,20.93,273607200,20.58526
"16",20.98,22.200001,17.209999,17.26,233407300,16.975709
"17",17.110001,25.610001,16.67,24.469999,269758900,24.066952
"18",23.459999,25.35,20.129999,22.709999,177346100,22.335941
"19",22.57,23.709999,18.049999,20.41,187511500,20.073825
"20",20.9,24.209999,19.67,20.93,251736000,20.58526
"21",20.99,25.040001,20.99,22.76,200553500,22.385118
"22",22.450001,23.059999,20.389999,22.879999,193520400,22.503141
"23",22.76,22.889999,19.530001,21.43,224939400,21.077025
"24",21.35,21.889999,16.860001,17.200001,205596900,16.916698
"25",16.75,17.52,15.31,16.309999,186165800,16.041356
"26",16.24,17.99,14.01,17.530001,184092600,17.241263
"27",17.52,19.58,16.18,17.440001,224089400,17.152745
"28",17.370001,20,17.1,17.110001,123452400,16.82818
"29",17.209999,19.219999,15.77,16.57,182999800,16.297074
"30",16.559999,18.530001,16.030001,17.98,162068900,17.683849
"31",18.1,20.67,17.83,19.67,141675100,19.346014
"32",20.129999,22.85,19.549999,22.379999,153142100,22.011376
"33",22.32,22.98,20.120001,20.68,103631800,20.339378
"34",20.59,21.27,18.469999,18.540001,147055000,18.234627
"35",18.59,19.049999,15.62,16.549999,183973800,16.277403
"36",16.49,18.18,16.23,17.73,149762900,17.437967
"37",17.690001,19.620001,17.219999,19.309999,147078400,18.991943
"38",19.4,22.110001,19.02,21.67,110262900,21.313072
"39",21.76,22.25,18.709999,18.9,104596900,18.588696
"40",19.110001,21.790001,19.110001,19.860001,102196700,19.532885
"41",20.110001,21.4,18.52,18.639999,149906200,18.332978
"42",18.68,20.719999,18.360001,20.27,159875200,19.936131
"43",20.27,22.709999,20.110001,22.57,160753500,22.198247
"44",22.57,28.75,22.280001,26.610001,259592500,26.171705
"45",26.389999,28.389999,26.18,26.74,169825300,26.299563
"46",26.530001,26.799999,25.09,25.76,152120200,25.335705
"47",25.860001,26.879999,23.809999,24.690001,174167800,24.283329
"48",24.74,25.700001,24.25,24.459999,131723900,24.057116
"49",24.5,25.35,23.969999,24.540001,128554600,24.1358
"50",24.639999,25.190001,21.969999,23.540001,169028800,23.152271
"51",23.41,24.209999,22.9,23.190001,109115300,22.906644
"52",23.209999,23.76,21.9,22.15,101439900,21.879351
"53",22.1,22.209999,18.41,21.07,203519100,20.812548
"54",21.049999,22.290001,20.129999,22.16,116848300,21.988275
"55",22.09,23.1,21.030001,22.32,106315900,22.147035
"56",22.459999,23.59,21.24,22.73,102835400,22.553858
"57",22.73,24.6,22.15,23.91,82254500,23.823526
"58",23.91,24.49,22.129999,22.58,108599000,22.498336
"59",22.5,26.93,22.209999,26.43,137741000,26.334413
"60",26.700001,28.26,26.51,27.799999,93331300,27.799999
"61",27.33,27.74,26.65,27.68,32635900,27.68
