"","stock_data$KRFT.Open","stock_data$KRFT.High","stock_data$KRFT.Low","stock_data$KRFT.Close","stock_data$KRFT.Volume","stock_data$KRFT.Adjusted"
"1",44,47.299999,43.060001,44.630001,23307200,39.939642
"2",45.57,48,42,45.459999,163249100,40.682412
"3",45.380001,46.369999,43.25,45.240002,69760800,40.485535
"4",45.259998,46.650002,44.080002,45.470001,64371800,41.152193
"5",46.490002,47.59,45.150002,46.220001,60113000,41.830973
"6",46.619999,48.91,46.16,48.48,61600500,43.876363
"7",48.25,52.290001,47.810001,51.529999,105438400,47.564832
"8",51.380001,52.509998,49.790001,51.490002,62029500,47.527913
"9",51.189999,57.84,50.040001,55.130001,74714100,50.887819
"10",55.139999,56.740002,52.799999,55.869999,75087600,52.046708
"11",55.75,58.759998,54.639999,56.580002,45614300,52.708124
"12",57.080002,57.75,51.200001,51.77,60579800,48.22728
"13",52.490002,55.650002,52.009998,52.48,63267800,48.888693
"14",52.459999,55.93,51.720001,54.380001,71912400,51.164825
"15",54.509998,55.139999,51.84,53.119999,62259900,49.97932
"16",53.360001,54.919998,52.299999,53.91,56071100,51.221058
"17",53.799999,55.200001,51.990002,52.349998,65289400,49.738866
"18",52.860001,55.75,50.540001,55.27,70605400,52.513224
"19",54.880001,56.560001,54.48,56.099998,47760900,53.301823
"20",56.16,57.970001,55.470001,56.860001,60496200,54.522247
"21",56.900002,59.560001,55.709999,59.459999,44492000,57.015348
"22",59.23,60.599998,58.299999,59.950001,52192400,57.485204
"23",60.060001,61.099998,53.34,53.59,60282700,51.835317
"24",53.599998,58.919998,53.330002,58.900002,53495200,56.971454
"25",58.869999,59,55.82,56.400002,50318900,54.553311
"26",56.419998,57.66,53.630001,56.349998,76532900,55.045179
"27",56.330002,60.240002,56.27,60.169998,45476700,58.776724
"28",60.060001,64.470001,58.669998,62.66,64553800,62.274248
"29",62.73,67.449997,61.599998,65.339996,65816400,64.937746
"30",65.650002,67.739998,63.290001,64.059998,59733200,63.665627
"31",64.150002,90.610001,60.279999,87.120003,245304400,86.583669
"32",86.5,91.32,83.980003,84.75,124268200,84.75
"33",84.870003,86.639999,83.400002,84.449997,64678100,84.449997
"34",84.540001,84.769997,82.849998,84.339996,21586200,84.339996
