"","stock_data$KSS.Open","stock_data$KSS.High","stock_data$KSS.Low","stock_data$KSS.Close","stock_data$KSS.Volume","stock_data$KSS.Adjusted"
"1",51.029999,53.68,47.34,47.5,65133800,42.318444
"2",47.310001,49.66,45.290001,47.689999,94335900,42.487717
"3",48.290001,49.41,44.07,46.939999,121162800,41.819531
"4",47.330002,53.439999,47.32,52.68,78691600,46.933382
"5",53.220001,54.220001,51,51.220001,80217500,45.632648
"6",51.450001,58,48.990002,56.419998,131234500,50.265401
"7",57.040001,57.240002,52.900002,54.34,98252000,48.412301
"8",54.610001,54.779999,50.610001,50.779999,97957600,45.240643
"9",51.110001,54.779999,50.450001,53.889999,70123700,48.011388
"10",53.91,55.919998,52.220001,53.040001,93137500,47.473572
"11",53.150002,55.41,51.849998,52.709999,77854500,47.178203
"12",53.41,56.75,51.52,53.240002,92413600,47.652584
"13",53.029999,53.200001,49.09,50.009998,94489200,44.983505
"14",50.150002,57.389999,49.990002,54.709999,66990500,49.21111
"15",55.209999,55.209999,42.98,46.34,128208100,41.682378
"16",45.990002,50.84,42.139999,49.099998,116860300,44.409568
"17",49.119999,55.450001,47.040001,53.009998,101531600,47.946053
"18",51.630001,56.66,51.43,53.799999,76905100,48.660586
"19",50.599998,51.790001,48.02,49.349998,87029500,44.857709
"20",49.73,49.959999,45.200001,45.990002,85867200,41.80357
"21",46.299999,52.68,45.470001,49.68,88616800,45.157671
"22",49.189999,51.5,47.400002,50.029999,74621300,45.778479
"23",50.82,52.240002,48.740002,50.130001,79611600,45.869983
"24",49.959999,51.700001,45.799999,45.82,112085700,41.926243
"25",44.84,45.52,42.720001,45.490002,85586600,41.924417
"26",45.700001,50.290001,44.02,49.720001,70230200,45.822862
"27",50,53.740002,49.310001,52.200001,71014700,48.401989
"28",52.220001,54.16,50.470001,51.220001,50249300,47.493293
"29",51.34,53.93,50.060001,53.279999,70725900,49.403407
"30",54.73,55.25,44.18,44.650002,83881300,41.401319
"31",44.470001,45.209999,42.040001,42.98,70734800,40.140505
"32",43.450001,46.349998,41.349998,46.290001,71765800,43.231829
"33",46.419998,48.240002,44.57,46.099998,58758600,43.054379
"34",46,49.34,45.759998,46.130001,49214700,43.408006
"35",46.110001,49.299999,45.330002,47.060001,46048700,44.28313
"36",46.98,52.939999,46.549999,51.41,70372000,48.376447
"37",51.389999,53.209999,49.389999,50.509998,45033100,47.85188
"38",50.860001,54.029999,50.77,52.98,37231600,50.191895
"39",53.400002,54.52,49.57,51.310001,56128500,48.609782
"40",51.700001,53.32,50.5,51.75,45003200,49.35636
"41",51.619999,57.490002,50.599998,56.799999,57589600,54.172777
"42",56.919998,59,53.029999,55.279999,69697300,52.723082
"43",55.110001,56.889999,53.619999,56.75,47052800,54.473643
"44",56.759998,57.529999,49.799999,50.630001,68078100,48.59913
"45",50.630001,57.330002,48.68,56.189999,58290500,53.936104
"46",55.599998,57.25,54.099998,56.799999,55162800,54.907822
"47",56.91,58.200001,53.110001,54.790001,47754700,52.964783
"48",54.889999,56.23,51.830002,54.439999,56605400,52.62644
"49",54.66,54.810001,51.880001,52.68,42100200,51.294164
"50",52.709999,54.200001,50.900002,53.540001,52791500,52.131541
"51",53.349998,59.900002,53.07,58.790001,59648700,57.243431
"52",58.990002,63.540001,58.470001,61.029999,63432400,59.813612
"53",60.889999,61.900002,53.860001,54.220001,80931500,53.139345
"54",54.279999,59.880001,54.009998,59.619999,47959500,58.431715
"55",59.389999,62.02,55.869999,61.040001,61806700,60.235118
"56",61.150002,62.200001,58,59.720001,47452300,58.932524
"57",59.990002,74.660004,59.610001,73.800003,79633100,72.826865
"58",73.400002,79.300003,72.900002,78.25,57988600,77.694771
"59",77.860001,79.599998,70.900002,71.650002,55221000,71.141604
"60",71.589996,75.239998,64.169998,65.489998,92557700,65.025309
"61",65.489998,66.18,61.700001,62.459999,21333200,62.459999
