"","stock_data$NVDA.Open","stock_data$NVDA.High","stock_data$NVDA.Low","stock_data$NVDA.Close","stock_data$NVDA.Volume","stock_data$NVDA.Adjusted"
"1",11.13,12.59,10.21,10.21,225404000,9.670933
"2",10.24,11.48,8.92,9.19,480914200,8.704787
"3",9.35,10.25,8.65,9.33,485321400,8.837395
"4",9.47,12.36,9.34,11.68,438329100,11.063321
"5",11.85,12.24,10.38,12.02,395079600,11.38537
"6",12.1,13.84,11.94,13.61,363482500,12.89142
"7",13.88,15.42,13.86,15.4,280103400,14.586912
"8",15.52,25.049999,15.42,23.92,818422100,22.657074
"9",24.129999,26.17,21.780001,22.66,600644100,21.463599
"10",22.700001,22.99,17.01,18.459999,689939500,17.48535
"11",18.700001,20.440001,16.83,20,383051800,18.944042
"12",20.42,20.52,17.120001,20.040001,429062900,18.981931
"13",19.950001,19.98,14.86,15.94,398844600,15.098401
"14",15.94,16.280001,13.59,13.83,363791400,13.099805
"15",14.15,15.38,11.65,13.31,564297600,12.60726
"16",13.49,16.1,12.38,12.51,502118500,11.849498
"17",12.35,15.89,11.47,14.8,371284100,14.018591
"18",14.26,15.67,13.5,15.63,404150800,14.804769
"19",15.5,16.049999,13.11,13.86,243558500,13.128221
"20",14.3,15.24,13.5,14.77,289916700,13.990175
"21",14.94,16.9,14.73,15.15,326957400,14.350111
"22",15.21,15.6,14.24,15.4,258131100,14.586912
"23",15.36,15.49,12.75,13,238773100,12.313627
"24",12.93,13.68,11.83,12.43,284250300,11.773722
"25",12.17,13.85,11.63,13.82,288234200,13.090333
"26",13.89,13.9,12.16,13.54,212496800,12.825116
"27",13.62,15.22,13.1,14.03,247928100,13.289245
"28",13.8,14.09,12.95,13.34,218736200,12.635676
"29",13.4,13.8,11.83,11.98,203394300,11.347481
"30",12.04,13.08,11.15,11.97,249640300,11.411158
"31",12.12,12.81,11.7,12.26,200933500,11.687619
"32",12.56,13.19,11.91,12.26,229540300,11.687619
"33",12.36,12.85,12.05,12.66,247542000,12.142986
"34",12.57,13,12.32,12.83,165342700,12.306044
"35",12.8,13.77,12.04,13.77,234651900,13.207656
"36",13.77,14.98,13.52,14.47,207288500,13.949569
"37",14.49,15.48,13.83,14.04,232392700,13.535034
"38",14.14,14.78,13.96,14.44,130749800,13.920647
"39",14.49,15.4,13.11,14.75,196426600,14.291193
"40",14.79,16.1,14.67,15.56,120498300,15.075998
"41",15.58,16.01,15,15.19,144315300,14.717506
"42",15.27,16.32,14.52,15.6,165736900,15.196611
"43",15.54,16.1,14.9,16.02,154199400,15.605751
"44",15.92,16.440001,15.33,15.7,135526300,15.294025
"45",15.81,19.049999,15.32,18.379999,193064200,17.985569
"46",17.969999,18.969999,17.559999,17.91,180449700,17.525656
"47",18.48,19.459999,17.879999,18.469999,173425200,18.073638
"48",18.75,19.129999,17.709999,19,140315000,18.677897
"49",19.059999,19.73,18.23,18.540001,131928300,18.225696
"50",18.52,19.6,17.42,17.5,156725900,17.203326
"51",17.5,19.49,17.34,19.450001,151996300,19.20485
"52",19.5,20.15,18.219999,18.450001,137809700,18.217454
"53",18.48,19.549999,16.77,19.540001,165180300,19.293715
"54",19.99,21.09,19.379999,20.969999,116076300,20.793317
"55",20.879999,21.25,19.1,20.049999,106402900,19.881068
"56",20.129999,20.75,19.08,19.200001,103500500,19.038232
"57",19.32,22.5,18.940001,22.059999,104807300,21.958359
"58",22,23.610001,20.459999,20.93,182761100,20.833567
"59",21.01,22.84,20.65,22.200001,141841300,22.097716
"60",22.379999,22.879999,20.379999,22.129999,176979100,22.129999
"61",22.27,22.6,21.35,21.469999,65134400,21.469999
