"","stock_data$PG.Open","stock_data$PG.High","stock_data$PG.Low","stock_data$PG.Close","stock_data$PG.Volume","stock_data$PG.Adjusted"
"1",61.970001,62.290001,59.57,59.98,244325900,51.244297
"2",59.84,63.360001,58.919998,61.16,255144100,52.661377
"3",61.950001,62.09,59.169998,59.669998,268340400,51.378422
"4",59.900002,62,59.529999,59.970001,215064600,51.636738
"5",60.09,63.98,59.68,63.57,260747300,55.157285
"6",63.880001,65,61.02,61.07,202727700,52.98813
"7",61.57,65.379997,61.5,64.330002,196591300,55.81671
"8",64.389999,66.949997,63.009998,63.130001,233997500,55.181582
"9",63.43,64.970001,62.299999,63.049999,201096800,55.111653
"10",63.43,63.650002,59.700001,61.599998,243731400,53.844215
"11",61.880001,65.099998,61.470001,64.900002,192430200,57.199193
"12",65.239998,67.720001,64.860001,67,208058900,59.050013
"13",66.959999,66.989998,62.360001,63.57,213601700,56.027005
"14",63.470001,65.139999,61.490002,61.490002,206299700,54.637779
"15",62.16,63.950001,57.560001,63.68,345536600,56.583732
"16",63.619999,64.699997,60.299999,63.18,234702600,56.139451
"17",63.689999,66.300003,61.779999,63.990002,205920800,57.32275
"18",63.369999,64.589996,61,64.57,176927600,57.842317
"19",64.580002,66.980003,63.869999,66.709999,181383300,59.759346
"20",66.300003,67,62.700001,63.040001,286695300,56.92275
"21",63.419998,67.769997,62.560001,67.620003,235104300,61.058319
"22",67.440002,67.949997,66.199997,67.209999,176509200,60.688101
"23",67.43,67.919998,63.290001,63.639999,260484800,57.950622
"24",63.34,64.809998,61.98,62.290001,230071300,56.721312
"25",61.759998,63.669998,59.07,61.25,253133100,55.774287
"26",61.040001,65.75,60.779999,64.540001,326914900,59.27996
"27",64.870003,67.449997,63.240002,67.190002,205192800,61.713986
"28",67.220001,69.970001,67.010002,69.360001,192197500,63.707128
"29",69.330002,70.830002,67.260002,69.239998,196136900,64.119152
"30",69.160004,69.889999,65.830002,69.830002,165939000,64.66552
"31",69.839996,70.989998,66.830002,67.889999,181564600,62.868996
"32",68.650002,75.480003,68.349998,75.160004,222560700,70.165621
"33",75.300003,77.769997,74.949997,76.18,191904000,71.117839
"34",75.699997,77.82,75.559998,77.059998,154532700,71.939361
"35",76.849998,82.540001,76.349998,76.769997,227545000,72.195182
"36",76.830002,82.349998,76.720001,76.760002,217685100,72.185783
"37",76.870003,79.470001,75.099998,76.989998,197044800,72.402073
"38",77.019997,81.639999,77,80.300003,173226400,76.080481
"39",81.620003,82.400002,73.610001,77.889999,145746000,73.797115
"40",78.269997,80.529999,75.349998,75.589996,148988500,71.61797
"41",75.519997,82.620003,75.199997,80.75,187970900,77.104991
"42",80.68,85.82,80.639999,84.220001,151274200,80.418358
"43",84.040001,84.940002,80.480003,81.410004,162155800,77.735202
"44",81.330002,81.699997,75.260002,76.620003,223479100,73.714878
"45",76.690002,79.75,75.400002,78.660004,179529200,75.677531
"46",78.260002,80.830002,77.349998,80.599998,187701800,77.543969
"47",80.599998,82.980003,79.379997,82.550003,190028500,80.054562
"48",82.389999,82.800003,79.540001,80.790001,133914500,78.347764
"49",80.660004,80.669998,78.43,78.589996,157871600,76.214264
"50",78.870003,81.910004,77.290001,77.32,163843000,75.581656
"51",79.25,83.830002,78.660004,83.110001,156922800,81.241484
"52",83.209999,85.400002,82.709999,83.739998,149281200,81.857317
"53",84.019997,87.360001,81.57,87.269997,221888300,85.962243
"54",86.660004,90.559998,86.199997,90.43,136839200,89.074894
"55",90.169998,93.889999,88.379997,91.089996,141970700,89.725
"56",90.839996,91.790001,84.25,84.290001,170691800,83.617428
"57",84.580002,86.779999,83.68,85.129997,151845800,84.450722
"58",85.129997,85.440002,80.809998,81.940002,201716100,81.286181
"59",82.440002,84.199997,79.07,79.510002,169776700,79.510002
"60",79.760002,81.209999,78.190002,78.389999,134721700,78.389999
"61",78.650002,79.790001,77.099998,79.540001,69596300,79.540001
