"","stock_data$PNC.Open","stock_data$PNC.High","stock_data$PNC.Low","stock_data$PNC.Close","stock_data$PNC.Volume","stock_data$PNC.Adjusted"
"1",58.84,63.810001,56.299999,56.5,57446800,50.468213
"2",56.5,62.990002,54.529999,59.389999,92871700,53.135542
"3",60.209999,61,49.43,50.990002,101237600,45.620161
"4",51.880001,57.380001,50.75,51.91,104390900,46.443273
"5",52.560001,55,50.689999,53.900002,100267000,48.314778
"6",54.080002,59,52.52,53.849998,93105500,48.269956
"7",54.619999,61.790001,54.25,60.720001,97188900,54.428076
"8",61.290001,64.339996,59.759998,60,88829300,53.869965
"9",60.32,65.190002,60.130001,61.700001,62826900,55.396281
"10",61.84,63.75,59.669998,62.990002,87246300,56.554487
"11",63.689999,64.370003,60.380001,62.34,68567100,56.285893
"12",62.790001,64.25,60.34,62.419998,65081100,56.358122
"13",62.240002,62.32,55.560001,59.610001,109458500,53.821016
"14",59.779999,61.209999,53.759998,54.290001,98477100,49.315202
"15",54.900002,55.07,42.700001,50.139999,178489000,45.545481
"16",50.049999,52.23,44.200001,48.189999,118099900,43.774166
"17",47.779999,56.779999,44.740002,53.709999,148063300,49.124424
"18",51.330002,54.700001,48.799999,54.209999,82891300,49.581736
"19",53.919998,58.700001,52.619999,57.669998,68305800,52.746332
"20",58.93,62.869999,57.790001,58.919998,88013600,54.1973
"21",59.619999,62.299999,58.259998,59.52,59189900,54.749209
"22",59.700001,64.790001,56.880001,64.489998,79387800,59.32084
"23",64.239998,67.470001,61.25,66.32,76271400,61.391424
"24",66.459999,67.889999,60.59,61.419998,64404200,56.855567
"25",60.200001,61.110001,55.599998,61.110001,70943500,56.568607
"26",61.66,62.310001,56.759998,59.099998,71395100,55.073004
"27",59.200001,63.049999,57.799999,62.16,46446900,57.924501
"28",62.029999,67.040001,61.799999,63.099998,56641200,58.800449
"29",63.470001,65.730003,57.52,58.200001,84703400,54.570407
"30",58.16,59.75,53.360001,56.139999,81507000,52.638875
"31",56.380001,59.880001,54.34,58.310001,77547300,54.673547
"32",59.509998,62.389999,58.959999,61.799999,72613800,58.327493
"33",62.220001,64.889999,60.369999,62.389999,60719700,58.884342
"34",62.02,66.93,61.52,66.5,51052800,62.763404
"35",66.410004,69.650002,63.689999,67.879997,73633700,64.487409
"36",67.800003,73.230003,67.029999,71.639999,57528500,68.059489
"37",71.75,74.190002,69.150002,72.919998,54440900,69.275514
"38",73.230003,77.910004,72.580002,76.050003,57300000,72.677804
"39",76.800003,77.93,71.970001,72.269997,36478300,69.06541
"40",73.050003,75.540001,71.480003,72.449997,38587600,69.237429
"41",72.400002,75.860001,70.629997,73.529999,48386800,70.708538
"42",73.620003,77.849998,72.849998,76.949997,39254100,73.997305
"43",76.849998,78.360001,73.919998,77.580002,42327600,74.603136
"44",76.059998,84.43,76.059998,79.879997,56372700,77.246367
"45",79.879997,83.529999,78.029999,81.779999,38946800,79.083726
"46",80.82,87.800003,80.25,87,46019000,84.131625
"47",87.18,88.029999,79.800003,84.040001,50686700,81.74651
"48",83.959999,85.879997,81.650002,85.269997,37251900,82.942939
"49",85.510002,89.849998,84.709999,89.050003,34540300,86.619787
"50",89.440002,90,82.550003,82.559998,54994100,80.750123
"51",82.540001,85.620003,80.43,84.75,40128100,82.892116
"52",84.75,88.800003,84.360001,85.580002,40760900,83.703923
"53",85.580002,86.639999,76.690002,86.389999,61760700,84.987541
"54",86.709999,88.849998,86.120003,87.470001,33227400,86.05001
"55",87.370003,93.449997,86.080002,91.230003,56171000,89.748972
"56",91.839996,92.099998,81.839996,84.540001,67719800,83.633499
"57",85.010002,92.68,84.290001,91.959999,41774100,90.973934
"58",91.959999,96.709999,91.519997,93.239998,62139600,92.240208
"59",93.32,93.910004,90.419998,91.730003,56293800,91.244207
"60",92.330002,96.059998,91.68,95.690002,40133400,95.183235
"61",96.139999,99.610001,93.889999,99.18,22233000,98.65475
