"","stock_data$ROP.Open","stock_data$ROP.High","stock_data$ROP.Low","stock_data$ROP.Close","stock_data$ROP.Volume","stock_data$ROP.Adjusted"
"1",57.130001,61.470001,55.419998,55.959999,8061100,54.297244
"2",55.900002,65.769997,54.209999,62.5,13326700,60.748253
"3",63.290001,64,56.959999,58.080002,10970200,56.452138
"4",58.900002,66.370003,58.849998,65.18,11263100,63.353138
"5",65.739998,72.910004,64.669998,69.43,11370900,67.58017
"6",69.900002,73.489998,69.18,72.410004,9903400,70.480777
"7",73.730003,78.620003,73.300003,76.43,12884400,74.393668
"8",77.120003,79.900002,72.370003,77.690002,12899900,75.729796
"9",78.339996,85.360001,77.419998,84.129997,11595300,82.007303
"10",84.730003,87.68,80.470001,86.459999,13812500,84.278516
"11",86.690002,88.760002,82.449997,86.489998,11548500,84.413759
"12",86.919998,87.279999,79.790001,83.470001,10383400,81.466259
"13",83.099998,83.800003,77.849998,83.300003,12065300,81.300342
"14",83.470001,87.959999,80.459999,81.629997,11600800,79.775419
"15",82.43,82.650002,65.629997,76.949997,18792500,75.201745
"16",76.949997,77.849998,66.760002,68.910004,15698700,67.344415
"17",68.5,83.330002,64.900002,81.099998,14953100,79.382187
"18",78.650002,87.080002,77.980003,85.190002,10595700,83.385559
"19",84.860001,88.919998,81.160004,86.870003,10084800,85.029974
"20",88.690002,96,86.68,93.389999,9017500,91.555099
"21",93.629997,96.910004,90.980003,91.519997,12203600,89.721838
"22",91.690002,101.059998,91.309998,99.160004,13331200,97.211736
"23",99.18,102.970001,95.050003,101.900002,11359200,100.04286
"24",102,103.5,95.309998,101.220001,10728500,99.375253
"25",100.129997,103.470001,94.339996,98.580002,9827900,96.783368
"26",97.199997,108.889999,92.529999,99.449997,12095300,97.777626
"27",99.699997,106.75,99.470001,102.790001,9651300,101.061464
"28",102.709999,111.400002,101.209999,109.889999,8446500,108.042067
"29",110.190002,111.660004,105.459999,109.169998,9001600,107.470561
"30",109.160004,113.25,102.849998,111.529999,9489700,109.793824
"31",110.980003,113.419998,108.029999,111.480003,9414800,109.907642
"32",113.360001,120.669998,113.190002,117.449997,9615100,115.793432
"33",118.580002,125.360001,117.279999,124.610001,7591400,122.852448
"34",124.209999,127.419998,122.620003,127.309998,8016400,125.514363
"35",127.269997,127.309998,118.389999,119.650002,11090900,118.121137
"36",118.970001,126.580002,118.010002,124.220001,11898300,122.632742
"37",124.379997,126.199997,119.099998,124.220001,10665500,122.632742
"38",124.360001,132.720001,123.889999,125.959999,8104500,124.51043
"39",126.75,128.380005,122.970001,123.699997,8738500,122.276437
"40",125.129997,135.690002,123.910004,132.869995,6704700,131.340905
"41",133.210007,134.179993,123.18,126.809998,9750900,125.512459
"42",127.089996,130.309998,123.459999,129.699997,9414400,128.372887
"43",129.460007,139.910004,126.050003,138.679993,9444800,137.260998
"44",138.529999,142.529999,134.880005,137.240005,8699100,136.032993
"45",136.860001,138.059998,130.729996,135.619995,10154200,134.42723
"46",134.520004,139.779999,132.149994,133.509995,12728400,132.335787
"47",134.190002,139.940002,126.75,138.949997,11476100,137.934699
"48",138.910004,143.070007,136.449997,141.679993,8132900,140.644746
"49",141.539993,151.449997,140.259995,146.009995,8641400,144.943109
"50",146.039993,150.779999,142,144.070007,9619300,143.214478
"51",143.440002,151.740005,142.419998,150.559998,5768400,149.665928
"52",150.949997,151.5,144.800003,146.289993,6153100,145.421281
"53",146.279999,159.190002,137.339996,158.300003,11024100,157.579486
"54",158.199997,160.600006,155.089996,157.820007,6385700,157.101675
"55",157.059998,160.880005,148.149994,156.350006,7399100,155.638365
"56",156.660004,161.850006,144.619995,154.339996,10425800,153.894148
"57",154.789993,169.639999,153.990005,167.570007,7717300,167.085941
"58",167.570007,174.190002,165.070007,172,8110200,171.503137
"59",171.410004,176.410004,165.949997,168.169998,9984600,167.92978
"60",168.529999,178,166.770004,174.960007,7455800,174.710089
"61",175.580002,177.369995,173.009995,177.039993,1764900,176.787105
