"","stock_data$RRD.Open","stock_data$RRD.High","stock_data$RRD.Low","stock_data$RRD.Close","stock_data$RRD.Volume","stock_data$RRD.Adjusted"
"1",17.629999,18.620001,16.27,16.370001,31991500,11.59736
"2",16.540001,17.5,15.72,16.870001,50337200,11.951586
"3",17.16,18.1,14.87,15.13,51224800,10.881286
"4",15.44,17.719999,15.35,16.959999,42467900,12.197396
"5",17.190001,18.700001,16.709999,18.450001,36422500,13.268985
"6",18.58,19.059999,15.71,15.76,42217500,11.498823
"7",16.07,17.85,16.030001,17.469999,35751800,12.746474
"8",17.690001,18.309999,17.450001,17.719999,52411800,13.115734
"9",17.91,19.450001,17.85,18.620001,31027600,13.781884
"10",18.75,19.049999,17.32,18.92,53146100,14.003933
"11",19.1,19.690001,18.549999,18.860001,31597700,14.15217
"12",18.98,21.34,18.82,21.34,51224300,16.013113
"13",21.32,21.32,18.77,19.610001,57297800,14.714955
"14",19.66,20.6,18.59,18.809999,49137300,14.11465
"15",19.09,19.17,13.16,15.25,114904900,11.609606
"16",15.31,15.39,13.24,14.12,63807800,10.749353
"17",14,16.700001,12.9,16.299999,70026600,12.408956
"18",15.59,16.75,13.48,15.02,67180300,11.6159
"19",14.9,15.16,13.7,14.43,45137600,11.159616
"20",14.92,15.22,11.25,11.36,108116700,8.976701
"21",11.53,14.33,11.37,13.82,106210100,10.920599
"22",13.88,14.04,12.31,12.39,63362100,9.79061
"23",12.34,12.87,11.26,12.51,48525600,10.094735
"24",12.51,12.96,9.95,10.76,53722600,8.682602
"25",10.54,12.16,10.18,11.77,44802600,9.497604
"26",11.73,13.3,11.46,12.12,47629600,9.780031
"27",12.21,13.27,10.97,10.98,60585400,9.037602
"28",11.05,12.04,10.5,10.6,44191900,8.724826
"29",10.62,11.17,9.86,10.02,50042900,8.24743
"30",10.16,10.23,8.72,9.4,56074200,7.945139
"31",9.57,9.6,8.3,8.99,121221100,7.598596
"32",9.13,10.08,8.65,9.2,62439300,7.983244
"33",9.25,10.64,8.98,10.44,54216800,9.059246
"34",10.4,12.08,10.27,12.05,43968600,10.456314
"35",12.01,13.03,10.93,12.31,55746100,10.928142
"36",12.34,13.32,11.94,13.27,31721600,11.780378
"37",13.33,14.35,12.27,14.01,30597700,12.437309
"38",14.24,19.190001,14,18.99,56164100,16.858279
"39",18.66,19.41,16.59,16.68,53949300,15.010861
"40",16.950001,17.18,15.34,15.78,38984000,14.200922
"41",15.8,18.67,15.63,18.57,48429700,16.711731
"42",18.559999,18.98,16.32,18.5,45110500,16.911079
"43",18.450001,20.889999,18.110001,20.280001,56125100,18.5382
"44",20.17,20.639999,17.85,18.469999,34263800,17.106825
"45",18.379999,21.200001,16.620001,19.129999,53937200,17.718113
"46",18.92,19.299999,17.290001,17.9,41633500,16.578894
"47",17.940001,18.440001,16.76,17.6,33178100,16.301036
"48",18,18,14.67,15.84,54411300,14.909335
"49",16.66,16.969999,15.5,16.959999,44936600,15.96353
"50",16.969999,17.549999,15.73,17.360001,42985800,16.34003
"51",17.379999,17.67,16.610001,17.67,35950100,16.889212
"52",17.73,18.02,16.200001,16.459999,31650800,15.732678
"53",16.450001,17.66,14.32,17.450001,44721000,16.678934
"54",17.5,17.76,16.469999,16.84,26985300,16.344695
"55",16.74,17.209999,14.93,16.809999,28486300,16.315576
"56",16.889999,16.950001,15.55,16.469999,23010100,15.985576
"57",16.57,19.66,16.209999,19.07,39832400,18.799355
"58",19.01,19.91,18.200001,19.190001,46130400,18.917653
"59",19.15,20.219999,18.57,18.620001,26546900,18.355743
"60",18.76,19.559999,17.66,19.18,34568200,19.18
"61",19.33,19.59,18.870001,19.290001,14276200,19.290001
