"","stock_data$TE.Open","stock_data$TE.High","stock_data$TE.Low","stock_data$TE.Close","stock_data$TE.Volume","stock_data$TE.Adjusted"
"1",15.35,16.440001,15,15.07,27161400,11.820959
"2",15.07,17.040001,14.78,16.34,38735400,12.817151
"3",16.52,17.65,15.96,16.879999,57666800,13.402538
"4",17.09,17.559999,16.870001,17.32,38350200,13.751893
"5",17.440001,18.110001,17.07,17.59,31563500,13.966271
"6",17.709999,17.780001,16.58,16.75,38509900,13.456685
"7",16.940001,18.02,16.83,17.799999,31916200,14.300238
"8",17.969999,18.52,17.83,18.41,42076000,14.790303
"9",18.48,18.77,17.59,18.110001,39978300,14.71794
"10",18.200001,18.82,17.469999,18.76,35829900,15.246192
"11",18.870001,19.290001,18.35,19.27,29318400,15.660668
"12",19.32,19.66,18.51,19.200001,38922800,15.77892
"13",18.950001,19.18,18.200001,18.889999,33452100,15.524155
"14",18.9,19.379999,18.309999,18.530001,29018700,15.228301
"15",18.780001,18.780001,15.82,18.299999,65389700,15.238325
"16",18.280001,18.65,16.75,17.129999,57509800,14.264071
"17",17.09,18.969999,16.15,18.57,48799500,15.463153
"18",18.190001,19.219999,17.379999,18.780001,37316400,15.815209
"19",18.77,19.299999,17.959999,19.139999,27924500,16.118375
"20",19.41,19.41,17.860001,18.049999,34609600,15.200452
"21",18.18,18.34,17.5,17.950001,38985300,15.301716
"22",17.969999,18.110001,17.35,17.549999,34515500,14.960729
"23",17.540001,18.059999,16.9,18.02,38456600,15.361388
"24",17.98,18.17,17.18,17.4,34182200,15.018482
"25",17.17,18.33,17.1,18.059999,33775600,15.588148
"26",18.110001,18.450001,17.6,18.190001,31974100,15.700356
"27",18.25,18.639999,17.32,17.360001,39447000,15.168634
"28",17.35,17.82,17.26,17.74,38649100,15.500666
"29",17.76,18.139999,17.4,17.870001,31130500,15.614257
"30",17.83,18,16.120001,16.809999,43727800,14.875277
"31",16.860001,17.08,16.43,16.76,35354100,14.831033
"32",16.950001,17.809999,16.780001,17.77,29731600,15.724788
"33",17.83,17.870001,16.709999,17.25,52983100,15.462996
"34",17.209999,17.85,17.16,17.82,27064800,15.973947
"35",17.799999,19.15,17.65,19.129999,42271800,17.148238
"36",19.07,19.219999,17.209999,17.610001,52725500,15.970626
"37",17.59,17.66,16.4,17.190001,39431100,15.589725
"38",17.200001,17.9,16.459999,17.67,34564200,16.02504
"39",17.66,17.99,16.459999,16.530001,49085500,15.177603
"40",16.639999,17.1,16.15,16.540001,50009300,15.186785
"41",16.559999,17.719999,16.4,17.17,42401000,15.765241
"42",17.16,17.75,16.799999,17.040001,47259000,15.845767
"43",17.059999,17.57,16.67,17.24,48734200,16.031749
"44",17.23,17.309999,16.200001,16.379999,67392800,15.232021
"45",16.360001,16.98,16.120001,16.780001,39408200,15.814207
"46",16.719999,17.23,16.200001,17.15,39980900,16.162911
"47",17.08,18.450001,16.93,17.959999,49114600,16.92629
"48",18.01,18.110001,16.9,17.27,43044900,16.478649
"49",17.26,18.530001,17.110001,18.48,36406600,17.633203
"50",18.360001,18.48,17.42,17.459999,69750700,16.659941
"51",17.41,18.1,16.91,18.1,37910800,17.492034
"52",18.07,18.139999,16.98,17.379999,41920600,16.796217
"53",17.389999,19.870001,17.35,19.610001,64199800,18.951314
"54",19.610001,20.17,19.120001,19.83,45031500,19.379249
"55",19.780001,21.290001,18.889999,20.49,55116500,20.024246
"56",20.549999,22.02,20.07,21.33,45151700,20.845153
"57",21.379999,21.969999,19.389999,19.629999,51962300,19.393683
"58",19.540001,20.15,18.549999,19.4,41876800,19.166452
"59",19.379999,19.940001,18.77,18.950001,32318200,18.721871
"60",18.959999,19.27,18.139999,18.85,48070300,18.85
"61",18.860001,18.969999,17.75,17.870001,13768200,17.870001
