"","stock_data$TEL.Open","stock_data$TEL.High","stock_data$TEL.Low","stock_data$TEL.Close","stock_data$TEL.Volume","stock_data$TEL.Adjusted"
"1",27.9,29.690001,24.950001,25.379999,44595600,23.078657
"2",25.299999,27.540001,23.85,27,63533900,24.551764
"3",27.309999,28.58,24.35,24.52,55639100,22.296639
"4",24.98,29.959999,24.9,29.219999,48819300,26.740924
"5",29.620001,31.99,29.219999,31.68,39772100,28.992214
"6",31.93,33.950001,29.969999,30.42,35554000,27.839115
"7",31.110001,35.740002,30.9,35.400002,38582900,32.553964
"8",35.529999,37.25,34.029999,36.23,52253000,33.317233
"9",36.669998,38.59,34.91,36.040001,47572400,33.14251
"10",36.23,37.150002,32.290001,34.82,62316100,32.160612
"11",35,36,33.119999,35.849998,68014100,33.111944
"12",35.869999,38.060001,35.130001,36.830002,50235400,34.187801
"13",36.610001,37.130001,33.27,36.759998,44768400,34.12282
"14",36.73,38.52,33.959999,34.43,50766900,31.959977
"15",34.889999,34.939999,27.43,30.620001,76853300,28.588988
"16",30.76,31.110001,26.67,28.139999,50400600,26.273485
"17",27.85,37.200001,26.58,35.549999,184145300,33.191982
"18",34.080002,35.880001,30.1,31.709999,61998800,29.780277
"19",31.48,33.23,29.690001,30.809999,53101200,28.935047
"20",31.629999,36.970001,29.389999,34.099998,54196000,32.024832
"21",34.299999,37.029999,34.23,36.549999,33190800,34.497749
"22",36.580002,37.689999,34.48,36.75,39050100,34.68652
"23",36.740002,37.200001,33.889999,36.459999,41934400,34.412802
"24",36.34,36.93,30.610001,31.42,39141000,29.84908
"25",30.799999,33.34,30.18,31.91,37059600,30.314581
"26",32.07,33.93,30.41,33.009998,33671300,31.359583
"27",33.18,36.189999,31.83,35.169998,35955100,33.613153
"28",35.25,37.490002,33.330002,34.009998,30358400,32.504502
"29",34.18,34.630001,31.870001,32.18,31377300,30.755511
"30",32.369999,35.630001,31.74,35.189999,42786900,33.837105
"31",35.41,38,34.98,37.119999,32622000,35.692905
"32",37.849998,39.869999,36.689999,38.880001,36893000,37.385243
"33",39.099998,41.450001,38.830002,40.130001,31781300,38.791867
"34",39.959999,42.599998,39.560001,41.93,29526200,40.531845
"35",41.939999,43.619999,38.75,43.549999,37591000,42.097825
"36",43.27,46.459999,42.68,44.389999,35361700,43.147569
"37",44.549999,46.889999,43.880001,45.540001,31028900,44.265383
"38",45.799999,51.459999,45.77,51.040001,39211700,49.611444
"39",51.48,51.630001,48.290001,49,32521900,47.874355
"40",49.650002,54.189999,49.25,51.779999,34886500,50.590491
"41",51.779999,55.810001,49.220001,51.490002,36960400,50.307156
"42",51.549999,53.439999,50.849998,52.720001,37448400,51.753202
"43",52.639999,55.110001,51.650002,55.110001,33880900,54.099372
"44",54.889999,61.139999,54.16,56.509998,46924800,55.473696
"45",56.59,59.049999,54.169998,58.580002,34684300,57.755894
"46",57.990002,60.73,56.919998,60.209999,32777800,59.362961
"47",60.560001,62.16,57.799999,58.98,38976400,58.150265
"48",59.080002,59.849998,56.279999,59.459999,26241300,58.91663
"49",59.52,62.630001,59,61.84,30678600,61.274881
"50",62.150002,65.010002,60.700001,61.889999,44492000,61.324423
"51",61.860001,63.240002,60.630001,62.68,30710000,62.394553
"52",62.810001,64.040001,54.549999,55.290001,42026500,55.038208
"53",55.290001,61.43,51.029999,61.130001,66707600,60.851613
"54",61.09,64.370003,60.650002,64.199997,31666300,64.199997
"55",63.790001,65.209999,60.43,63.25,27635800,63.25
"56",63.720001,69.959999,60.540001,66.389999,36795400,66.389999
"57",66.129997,72.730003,64.769997,72.129997,31404300,72.129997
"58",72.129997,73.730003,69.639999,71.620003,33609400,71.620003
"59",71.690002,71.699997,66.190002,66.550003,35434600,66.550003
"60",66.940002,71.040001,66.809998,69,28809800,69
"61",69.040001,69.839996,67.639999,68.959999,10123800,68.959999
