Date,Open,High,Low,Close,Volume,Adj Close
2010-06-10,75.800003,78.470001,75.349998,78.190002,2181700,65.704464
2010-06-11,77.160004,79.099998,77.139999,79.019997,1541000,66.401923
2010-06-14,79.809998,80.519997,78.449997,79.260002,1852500,66.603604
2010-06-15,79.75,81.230003,79.040001,81.080002,1655900,68.132982
2010-06-16,80.489998,81.120003,79.870003,80.449997,1384700,67.603578
2010-06-17,80.599998,80.790001,79.540001,79.970001,1635000,67.200229
2010-06-18,80.25,80.419998,79.660004,80.089996,1613900,67.301063
2010-06-21,81.080002,81.800003,79.220001,79.389999,1286700,66.712843
2010-06-22,79.720001,79.769997,76.269997,76.360001,1758200,64.16668
2010-06-23,76.5,77.510002,75.419998,76.529999,1348900,64.309533
2010-06-24,76.050003,76.360001,74.120003,74.239998,1656200,62.385204
2010-06-25,74.779999,76.989998,74.370003,76.739998,1671100,64.485999
2010-06-28,76.209999,76.440002,74.489998,74.650002,1242200,63.141137
2010-06-29,73.599998,73.93,71.82,72.339996,2258700,61.187267
2010-06-30,72.059998,73.489998,71.07,71.339996,1630200,60.341438
2010-07-01,71.559998,71.93,69.839996,71.25,1592600,60.265317
2010-07-02,71.599998,71.849998,69.5,69.699997,1242000,58.954279
2010-07-06,71.269997,72.080002,68.470001,69.080002,2404800,58.42987
2010-07-07,69.419998,72.839996,69.080002,72.769997,2130000,61.550974
2010-07-08,73.699997,74.370003,72.330002,73.849998,1553400,62.464471
2010-07-09,73.889999,75.290001,73.68,75.230003,1261600,63.631719
2010-07-12,75.169998,75.75,74.150002,75.510002,866800,63.86855
2010-07-13,76.529999,77.660004,76.07,77.379997,1355700,65.450246
2010-07-14,76.580002,77.620003,75.93,77.010002,964000,65.137294
2010-07-15,77.150002,77.5,75.349998,77.309998,953700,65.391039
2010-07-16,76.410004,76.949997,74.029999,74.709999,1791200,63.191885
2010-07-19,74.75,76.68,73.93,76.25,1497700,64.494462
2010-07-20,75.0,78.040001,74.68,77.970001,1828300,65.949289
2010-07-21,78.370003,78.5,75.739998,76.080002,1351800,64.350673
2010-07-22,77.129997,79.779999,76.529999,79.139999,1709800,66.938907
2010-07-23,78.839996,80.099998,77.620003,79.970001,1399400,67.640947
2010-07-26,80.139999,81.860001,79.459999,81.75,1161900,69.146522
2010-07-27,82.0,82.5,80.370003,81.629997,1371200,69.04502
2010-07-28,81.260002,82.559998,80.860001,81.540001,1227700,68.968898
2010-07-29,82.18,82.18,80.269997,81.099998,1557100,68.596731
2010-07-30,80.139999,82.360001,79.940002,81.900002,1631400,69.273397
2010-08-02,83.760002,85.660004,82.989998,85.080002,2529600,71.963134
2010-08-03,84.720001,84.720001,83.18,84.110001,1732800,71.142679
2010-08-04,84.25,85.919998,84.0,85.650002,1650600,72.445256
2010-08-05,84.989998,85.699997,84.480003,84.889999,1201900,71.802424
2010-08-06,84.459999,84.889999,83.260002,84.730003,890100,71.667095
2010-08-09,85.040001,86.080002,84.449997,85.870003,959800,72.631339
2010-08-10,85.349998,85.610001,83.790001,84.589996,1115200,71.548673
2010-08-11,83.199997,84.160004,82.339996,82.860001,1387600,70.085392
2010-08-12,81.449997,82.860001,81.279999,81.32,1300400,68.782815
2010-08-13,81.099998,82.0,80.989998,81.019997,1280800,68.529064
2010-08-16,80.57,81.610001,80.0,81.040001,976800,68.545984
2010-08-17,81.779999,84.379997,81.370003,83.650002,1426900,70.753598
2010-08-18,83.779999,84.0,82.720001,83.169998,1149000,70.347597
2010-08-19,82.739998,82.830002,80.529999,81.239998,1522800,68.715147
2010-08-20,80.529999,81.449997,80.279999,81.230003,815300,68.706693
2010-08-23,81.57,82.360001,81.419998,81.529999,1024400,68.960438
2010-08-24,80.980003,80.980003,79.639999,79.940002,1524200,67.615573
2010-08-25,79.440002,81.730003,79.209999,81.389999,950700,68.842023
2010-08-26,81.879997,82.059998,80.480003,80.650002,1288000,68.216111
2010-08-27,81.339996,82.209999,79.379997,81.720001,1343700,69.121148
2010-08-30,81.279999,82.169998,81.029999,81.059998,879900,68.562897
2010-08-31,81.0,81.93,80.419998,81.400002,1189500,68.850483
2010-09-01,82.800003,84.790001,82.190002,84.470001,1622800,71.447178
2010-09-02,84.650002,86.540001,84.610001,86.419998,1922200,73.096541
2010-09-03,87.540001,88.370003,86.669998,87.849998,1508900,74.306077
2010-09-07,87.089996,87.57,86.449997,86.519997,992300,73.181123
2010-09-08,85.889999,87.040001,85.860001,86.800003,1094200,73.417961
2010-09-09,88.150002,88.160004,84.970001,85.099998,1458400,71.980047
2010-09-10,85.410004,86.099998,84.709999,85.199997,1251500,72.064629
