"","% change","variation","adjusted","ticker"
"1",0,0,0.06374,"LSI"
"2",-1.44336366488862,0,0.06282,"LSI"
"3",1.46450175103471,0,0.06374,"LSI"
"4",1.45905240037653,0,0.06467,"LSI"
"5",0,0,0.06467,"LSI"
"6",-1.43807020256688,0,0.06374,"LSI"
"7",0,0,0.06374,"LSI"
"8",1.45905240037653,0,0.06467,"LSI"
"9",2.84521416421833,0,0.06651,"LSI"
"10",-1.38325063900166,0,0.06559,"LSI"
"11",0,0,0.06559,"LSI"
"12",-2.82055191340142,0,0.06374,"LSI"
"13",1.45905240037653,0,0.06467,"LSI"
"14",0,0,0.06467,"LSI"
"15",-1.43807020256688,0,0.06374,"LSI"
"16",-1.44336366488862,0,0.06282,"LSI"
"17",4.40942375039795,0,0.06559,"LSI"
"18",0,0,0.06559,"LSI"
"19",-1.40265284342124,0,0.06467,"LSI"
"20",2.84521416421833,0,0.06651,"LSI"
"21",-2.7665012780033,0,0.06467,"LSI"
"22",-1.43807020256688,0,0.06374,"LSI"
"23",-1.44336366488862,0,0.06282,"LSI"
"24",2.94492199936327,0,0.06467,"LSI"
"25",0,0,0.06467,"LSI"
"26",-1.43807020256688,0,0.06374,"LSI"
"27",2.90241606526512,0,0.06559,"LSI"
"28",0,0,0.06559,"LSI"
"29",-1.40265284342124,0,0.06467,"LSI"
"30",0,0,0.06467,"LSI"
"31",0,0,0.06467,"LSI"
"32",-1.43807020256688,0,0.06374,"LSI"
"33",-1.44336366488862,0,0.06282,"LSI"
"34",0,0,0.06282,"LSI"
"35",2.94492199936327,0,0.06467,"LSI"
"36",0,0,0.06467,"LSI"
"37",1.42260708210915,0,0.06559,"LSI"
"38",0,0,0.06559,"LSI"
"39",0,0,0.06559,"LSI"
"40",-1.40265284342124,0,0.06467,"LSI"
"41",-1.43807020256688,0,0.06374,"LSI"
"42",-2.88672732977723,0,0.0619,"LSI"
"43",0,0,0.0619,"LSI"
"44",4.47495961227788,0,0.06467,"LSI"
"45",0,0,0.06467,"LSI"
"46",5.70589144889438,0,0.06836,"LSI"
"47",-4.05207723815098,0,0.06559,"LSI"
"48",1.40265284342126,0,0.06651,"LSI"
"49",0,0,0.06651,"LSI"
"50",-1.38325063900166,0,0.06559,"LSI"
"51",-1.40265284342124,0,0.06467,"LSI"
"52",0,0,0.06467,"LSI"
"53",1.42260708210915,0,0.06559,"LSI"
"54",0,0,0.06559,"LSI"
"55",0,0,0.06559,"LSI"
"56",0,0,0.06559,"LSI"
"57",4.2232047568227,0,0.06836,"LSI"
"58",4.05207723815096,0,0.07113,"LSI"
"59",0,0,0.07113,"LSI"
"60",0,0,0.07113,"LSI"
"61",-1.29340643891467,0,0.07021,"LSI"
"62",1.31035465033472,0,0.07113,"LSI"
"63",0,0,0.07113,"LSI"
"64",2.60087164346971,0,0.07298,"LSI"
"65",-1.26061934776652,0,0.07206,"LSI"
"66",6.4113238967527,0,0.07668,"LSI"
"67",-3.62545644235786,0,0.0739,"LSI"
"68",3.7618403247632,0,0.07668,"LSI"
"69",1.19979134063642,0,0.0776,"LSI"
"70",0,0,0.0776,"LSI"
"71",0,0,0.0776,"LSI"
"72",-2.38402061855671,0,0.07575,"LSI"
"73",-1.21452145214522,0,0.07483,"LSI"
"74",0,0,0.07483,"LSI"
"75",4.93117733529335,0,0.07852,"LSI"
"76",0,0,0.07852,"LSI"
"77",-1.1716760061131,0,0.0776,"LSI"
"78",0,0,0.0776,"LSI"
"79",0,-0.001,0.0776,"LSI"
"80",-4.76804123711341,0,0.0739,"LSI"
"81",-2.48985115020297,0.001,0.07206,"LSI"
"82",0,0,0.07206,"LSI"
"83",0,0,0.07206,"LSI"
"84",0,0,0.07206,"LSI"
