"","% change","variation","adjusted","ticker"
"1",0,-0.46,7.32,"AMD"
"2",2.3224043715847,0.140000000000001,7.49,"AMD"
"3",-25.1001335113485,-2.02,5.61,"AMD"
"4",26.7379679144385,1.36,7.11,"AMD"
"5",3.23488045007032,0.14,7.34,"AMD"
"6",-0.681198910081741,-0.19,7.29,"AMD"
"7",12.2085048010974,0.77,8.18,"AMD"
"8",-4.27872860635696,-0.609999999999999,7.83,"AMD"
"9",17.6245210727969,1.11,9.21,"AMD"
"10",-6.62323561346364,-0.67,8.6,"AMD"
"11",5.81395348837209,0.49,9.1,"AMD"
"12",-4.61538461538461,-0.48,8.68,"AMD"
"13",-19.4700460829493,-1.66,6.99,"AMD"
"14",5.0071530758226,0.35,7.34,"AMD"
"15",-6.94822888283379,-0.71,6.83,"AMD"
"16",-25.6222547584187,-1.75,5.08,"AMD"
"17",14.7637795275591,0.8,5.83,"AMD"
"18",-2.40137221269296,0.130000000000001,5.69,"AMD"
"19",-5.09666080843585,-0.21,5.4,"AMD"
"20",24.2592592592592,1.18,6.71,"AMD"
"21",9.53800298062593,0.52,7.35,"AMD"
"22",9.1156462585034,0.55,8.02,"AMD"
"23",-8.2294264339152,-0.669999999999999,7.36,"AMD"
"24",-17.3913043478261,-1.26,6.08,"AMD"
"25",-5.75657894736842,-0.17,5.73,"AMD"
"26",-29.1448516579407,-1.69,4.06,"AMD"
"27",-8.37438423645319,-0.37,3.72,"AMD"
"28",-9.40860215053764,-0.32,3.37,"AMD"
"29",-39.1691394658754,-1.34,2.05,"AMD"
"30",7.31707317073172,0.13,2.2,"AMD"
"31",9.09090909090908,0.12,2.4,"AMD"
"32",8.33333333333334,0.0500000000000003,2.6,"AMD"
"33",-4.23076923076923,-0.14,2.49,"AMD"
"34",2.40963855421685,0.0499999999999998,2.55,"AMD"
"35",10.5882352941176,0.28,2.82,"AMD"
"36",41.8439716312057,1.19,4,"AMD"
"37",2,0.0600000000000005,4.08,"AMD"
"38",-7.59803921568628,-0.34,3.77,"AMD"
"39",-13.262599469496,-0.54,3.27,"AMD"
"40",16.5137614678899,0.49,3.81,"AMD"
"41",-12.3359580052493,-0.48,3.34,"AMD"
"42",8.98203592814372,0.27,3.64,"AMD"
"43",6.31868131868132,0.22,3.87,"AMD"
"44",-11.3695090439276,-0.42,3.43,"AMD"
"45",8.16326530612244,0.28,3.71,"AMD"
"46",8.08625336927223,0.35,4.01,"AMD"
"47",1.99501246882793,0.0499999999999998,4.09,"AMD"
"48",-2.20048899755501,-0.13,4,"AMD"
"49",4.75000000000001,0.16,4.19,"AMD"
"50",-6.68257756563246,-0.3,3.91,"AMD"
"51",6.64961636828644,0.26,4.17,"AMD"
"52",-18.2254196642686,-0.75,3.41,"AMD"
"53",-17.8885630498534,-0.59,2.8,"AMD"
"54",-0.35714285714285,-0.02,2.79,"AMD"
"55",-4.30107526881721,-0.1,2.67,"AMD"
"56",-3.74531835205993,-0.1,2.57,"AMD"
"57",21.011673151751,0.42,3.11,"AMD"
"58",-13.8263665594855,-0.45,2.68,"AMD"
"59",-15.6716417910448,-0.4,2.26,"AMD"
"60",0.88495575221239,0.02,2.28,"AMD"
"61",1.75438596491228,0.0299999999999998,2.32,"AMD"
