"","stock_data$AA.Open","stock_data$AA.High","stock_data$AA.Low","stock_data$AA.Close","stock_data$AA.Volume","stock_data$AA.Adjusted"
"1",11.02,12.12,10.01,10.06,409166000,9.542857
"2",10.1,11.42,9.81,11.17,554468400,10.595796
"3",11.35,11.78,9.92,10.22,466716800,9.719857
"4",10.41,12.25,10.32,12.11,537690500,11.517364
"5",12.24,13.49,11.81,13.14,630992400,12.496958
"6",13.19,14.17,12.86,13.13,458375400,12.515806
"7",13.35,15.63,13.31,15.39,459696100,14.670088
"8",15.82,16.719999,15.6,16.57,842177500,15.79489
"9",16.66,17.68,15.96,16.85,497829000,16.089662
"10",16.93,17.75,15.42,17.66,506128000,16.863111
"11",17.799999,18.469999,15.88,17,566788600,16.232893
"12",17.27,17.959999,15.83,16.809999,562090800,16.079758
"13",16.629999,16.67,14.56,15.86,432222000,15.171027
"14",15.99,16.6,14.5,14.73,432887300,14.090115
"15",15.08,15.15,11.11,12.8,713075300,12.269953
"16",12.68,12.88,9.56,9.57,583672400,9.173707
"17",9.41,11.66,8.45,10.76,973092500,10.31443
"18",10.22,11.02,8.87,10.02,618005100,9.63286
"19",9.93,10.11,8.5,8.65,572098600,8.315791
"20",8.94,10.74,8.89,10.16,643254700,9.76745
"21",10.27,10.92,10.03,10.17,457196800,9.806019
"22",10.25,10.75,9.45,10.02,544455700,9.661388
"23",9.93,10.24,9.31,9.73,547154300,9.381766
"24",9.74,10.01,8.31,8.55,494247900,8.271117
"25",8.39,9,8.21,8.75,423164300,8.464593
"26",8.74,9.06,7.97,8.47,493890600,8.193726
"27",8.49,8.98,8.1,8.56,327963000,8.310225
"28",8.56,9.93,8.4,8.86,389111900,8.60147
"29",8.94,9.34,8.56,8.57,395999500,8.348888
"30",8.62,8.82,7.98,8.41,312285800,8.193016
"31",8.45,8.91,8.35,8.68,299768400,8.456051
"32",8.88,9.33,8.77,8.84,411659200,8.611922
"33",8.89,9.37,8.35,8.52,379997300,8.328125
"34",8.45,8.7,8.3,8.52,288646700,8.328125
"35",8.51,8.54,7.9,8.5,473966200,8.308575
"36",8.45,8.88,8.32,8.5,345124700,8.336772
"37",8.53,8.59,7.71,7.82,365645200,7.66983
"38",7.83,8.25,7.63,7.95,326914400,7.797334
"39",8,8.29,7.68,7.7,442211600,7.580886
"40",7.79,8.68,7.7,8.12,466779000,7.994389
"41",8.1,9.64,7.82,9.27,760570200,9.1266
"42",9.31,9.97,8.78,9.61,497903400,9.490452
"43",9.62,10.77,9.29,10.63,406070400,10.497763
"44",10.53,12.32,9.82,11.51,845811100,11.366816
"45",11.52,12.16,10.83,11.74,398355100,11.624412
"46",11.55,12.97,11.46,12.87,527236500,12.743286
"47",12.95,13.7,12.34,13.47,547136000,13.337379
"48",13.45,13.95,13.02,13.61,280905100,13.50642
"49",13.77,15.18,13.54,14.89,252704100,14.776679
"50",14.93,17.219999,14.56,16.389999,461219100,16.265262
"51",16.26,16.74,15.6,16.610001,235296200,16.513724
"52",16.639999,17.360001,15.53,16.09,393055400,15.996737
"53",16.129999,16.76,13.71,16.76,598293500,16.662854
"54",16.780001,17.75,16.15,17.290001,247909100,17.22098
"55",17.4,17.450001,14.41,15.79,370984800,15.726967
"56",15.87,16.530001,14.54,15.65,431447200,15.587525
"57",15.82,17.1,14.7,14.79,367788300,14.757613
"58",14.79,15.32,12.65,12.92,645512500,12.891708
"59",12.91,13.8,12.79,13.42,590765000,13.390614
"60",13.5,14.29,12.44,12.5,352968300,12.5
"61",12.54,12.8,12.14,12.17,127413900,12.17
