"","stock_data$AMAT.Open","stock_data$AMAT.High","stock_data$AMAT.Low","stock_data$AMAT.Close","stock_data$AMAT.Volume","stock_data$AMAT.Adjusted"
"1",12.36,13.54,12,12.02,317515100,10.642723
"2",12.01,12.78,11.61,11.8,466018400,10.44793
"3",12,12.15,10.27,10.37,477900200,9.240106
"4",10.51,11.85,10.47,11.68,480137900,10.407371
"5",11.79,12.38,11.36,12.35,353313200,11.00437
"6",12.36,13.08,12.17,12.43,303049000,11.137876
"7",12.66,14.2,12.62,14.05,220837900,12.589474
"8",14.13,16.25,13.68,15.69,382199200,14.058992
"9",15.8,16.67,15.45,16.43,348822100,14.786276
"10",16.549999,16.93,14.25,15.62,427772100,14.057311
"11",15.81,15.97,14.41,15.69,334918300,14.120308
"12",15.34,15.9,13.36,13.78,414965500,12.474557
"13",13.74,13.75,12.26,13.01,390380700,11.777503
"14",13.01,13.52,12.18,12.32,339597800,11.152869
"15",12.5,12.6,10.62,11.32,458443000,10.322268
"16",11.38,11.79,10.19,10.36,397471800,9.446881
"17",10.27,12.62,9.7,12.32,326696500,11.234129
"18",12.01,12.8,10.16,10.78,320724700,9.900391
"19",10.73,11.34,10.12,10.71,325931000,9.836103
"20",10.93,12.64,10.61,12.28,322806600,11.277996
"21",12.44,13.94,12.21,12.25,309853800,11.320161
"22",12.3,13,11.92,12.45,314374000,11.504979
"23",12.45,12.55,11.46,11.99,224944000,11.079896
"24",12.01,12.06,10.26,10.33,314706000,9.627179
"25",10.19,11.7,9.97,11.45,318802600,10.670977
"26",11.44,11.49,10.22,10.89,242132900,10.149078
"27",10.94,12.05,10.72,11.69,270173400,10.977184
"28",11.65,12.07,10.98,11.17,265820900,10.488892
"29",11.18,11.32,10.54,10.6,262444000,9.953649
"30",10.63,11.51,9.95,10.73,284046800,10.165862
"31",10.78,11.5,10.63,11.44,218798000,10.838533
"32",11.64,13.04,11.39,12.91,287139500,12.231247
"33",12.93,13.99,12.87,13.71,286648000,13.073898
"34",13.58,13.87,12.8,13.48,228901000,12.854569
"35",13.48,14.51,12.65,14.51,280123700,13.836781
"36",14.5,15.43,14.32,15.2,301323100,14.592638
"37",15.21,16.09,14.62,14.92,318028400,14.323827
"38",15.06,16.780001,14.67,16.32,234327100,15.667885
"39",16.450001,16.639999,14.85,15.01,257270700,14.503501
"40",15.2,17.940001,14.99,17.530001,323565000,16.938467
"41",17.58,18.18,17.15,17.860001,267327900,17.257331
"42",17.85,17.99,16.75,17.299999,202817100,16.815491
"43",17.27,17.700001,16.41,17.68,220091800,17.18485
"44",17.690001,18.08,16.4,16.82,211240000,16.348934
"45",16.6,19.41,16.549999,18.959999,307887300,18.527184
"46",18.700001,20.809999,18.549999,20.42,304552300,19.953856
"47",20.370001,21.16,18.27,19.059999,295655700,18.624902
"48",19.110001,20.639999,18.48,20.190001,310582900,19.827654
"49",19.99,23.219999,19.969999,22.549999,297899500,22.145298
"50",22.690001,23.459999,20.809999,20.959999,299409100,20.583833
"51",20.940001,23.16,20.48,23.110001,235196500,22.798409
"52",22.889999,23.059999,21.389999,21.610001,216504600,21.318633
"53",21.66,22.35,18.629999,22.09,412999800,21.792161
"54",22.190001,24.15,21.91,24.049999,208611900,23.831747
"55",24.040001,25.709999,23.120001,24.92,277425400,24.693853
"56",24.99,25.16,22.790001,22.84,277570300,22.632729
"57",22.92,25.57,22.290001,25.049999,292339900,24.925927
"58",24.940001,25.639999,21.799999,22.559999,356468700,22.448261
"59",22.530001,22.709999,19.629999,19.790001,639079300,19.691982
"60",19.93,20.6,19.17,20.129999,425557200,20.129999
"61",20.030001,20.59,19.709999,20.040001,109078000,20.040001
