"","stock_data$AON.Open","stock_data$AON.High","stock_data$AON.Low","stock_data$AON.Close","stock_data$AON.Volume","stock_data$AON.Adjusted"
"1",38.380001,40.040001,37.060001,37.119999,27040700,35.070878
"2",37.009998,38.389999,35.099998,37.669998,121863200,35.73678
"3",38.080002,38.77,35.959999,36.240002,67384600,34.380171
"4",36.560001,40.080002,36.369999,39.110001,51682500,37.102882
"5",39.389999,40.98,38.720001,39.75,66664100,37.848948
"6",40.009998,41.939999,39.560001,40.119999,47176900,38.201251
"7",40.490002,46.240002,40.490002,46.009998,49329800,43.80956
"8",46.259998,46.330002,43.310001,45.740002,49024100,43.69524
"9",45.889999,53.049999,45.59,52.639999,49750500,50.28678
"10",52.84,53.169998,49.360001,52.959999,53444900,50.592474
"11",53.200001,54.580002,51.259998,52.169998,36646500,49.83779
"12",53.450001,53.450001,50.950001,52.150002,41007700,49.818687
"13",51.970001,52.490002,48.66,51.299999,42924000,49.006683
"14",51.369999,52.169998,47.709999,48.119999,34886100,46.107357
"15",48.619999,48.759998,41.759998,46.73,71231500,44.775495
"16",46.810001,47.279999,39.68,41.98,59943800,40.224166
"17",41.630001,51.110001,39.900002,46.619999,74838700,44.802023
"18",45.27,48.48,43.369999,45.970001,52744000,44.177372
"19",45.759998,47.23,44.360001,46.799999,41272000,44.975004
"20",47.5,48.639999,45.580002,48.43,37618400,46.686915
"21",48.849998,49.509998,46.259998,46.810001,64812100,45.125223
"22",46.810001,49.299999,46.740002,49.060001,38622400,47.294241
"23",49.009998,51.98,47.23,51.799999,41631000,50.087898
"24",51.700001,52.610001,45.639999,46.5,62630000,44.963075
"25",45.84,47.68,45.040001,46.779999,38571100,45.233819
"26",46.950001,49.950001,45.869999,49.200001,30523800,47.726732
"27",49.529999,53.349998,48.470001,51.959999,35960700,50.404084
"28",51.830002,53.25,51.419998,52.290001,23723900,50.724204
"29",52.639999,54.599998,51.779999,53.950001,27827300,52.48853
"30",53.939999,57.919998,53.580002,56.799999,43182700,55.261324
"31",56.91,57.25,55,55.610001,29930600,54.103561
"32",56.25,58.43,55.98,57.740002,30237600,56.330323
"33",58.560001,61.869999,54.650002,61.09,52773900,59.598534
"34",60.799999,61.84,58.66,61.5,56317200,59.998524
"35",61.349998,63.07,58.48,60.349998,34416600,59.051755
"36",60.380001,67.260002,60.209999,63.669998,42281600,62.300335
"37",63.689999,65.760002,62.189999,64.349998,28066400,62.965707
"38",64.870003,68.279999,64.199997,67.5,23173200,66.222135
"39",67.870003,69.589996,66.080002,66.379997,34026200,65.123336
"40",67.169998,76.300003,65.910004,74.440002,35389400,73.030754
"41",74.629997,80.419998,70.720001,79.089996,56513200,77.763445
"42",79.379997,82.550003,77.790001,81.639999,29341700,80.270677
"43",81.550003,84.330002,81.019997,83.889999,26831500,82.482939
"44",83.360001,84.629997,77.849998,80.459999,31366000,79.284882
"45",80.190002,87.269997,76.489998,85.599998,37802200,84.349812
"46",84.860001,87.449997,82.120003,84.279999,28488500,83.049091
"47",84.580002,86.290001,78.599998,84.879997,27617200,83.889256
"48",84.660004,90.059998,84.150002,89.940002,31524600,88.890199
"49",90.110001,91.07,89.139999,90.089996,26259900,89.038443
"50",90.190002,91.279999,84.32,84.360001,25888300,83.618012
"51",84.239998,87.720001,83.059998,87.160004,27927800,86.393388
"52",87.389999,88.610001,86.080002,87.669998,25073700,86.898897
"53",87.489998,88.010002,78.260002,86,43946700,85.501589
"54",86.190002,92.699997,85.879997,92.489998,21281400,91.953974
"55",92.279999,98.099998,91.839996,94.830002,37087200,94.280417
"56",95.489998,96.300003,89.349998,90.050003,23788600,89.774511
"57",90.360001,107.080002,89.650002,100.360001,26057200,100.052966
"58",100.32,101,95.290001,96.120003,23736300,95.82594
"59",95.839996,99.029999,95.32,96.230003,21568500,96.230003
"60",96.879997,103.400002,96.669998,101.220001,30391800,101.220001
"61",101.470001,102.599998,100.089996,102.389999,6578000,102.389999
