"","stock_data$C.Open","stock_data$C.High","stock_data$C.Low","stock_data$C.Close","stock_data$C.Volume","stock_data$C.Adjusted"
"1",3.95,4.07,3.71,3.76,829945500,37.415401
"2",3.83,4.3,3.62,4.1,1046497300,40.79871
"3",4.19,4.2,3.63,3.71,837883000,36.917856
"4",3.75,4.02,3.74,3.91,826897300,38.908037
"5",3.98,4.3,3.91,4.17,1200036800,41.495275
"6",4.18,4.52,4.1,4.2,907835800,41.793801
"7",4.28,4.85,4.26,4.73,1342660300,47.06778
"8",4.78,5.15,4.72,4.82,1270130700,47.963363
"9",4.86,4.96,4.57,4.68,824191800,46.570235
"10",4.7,4.7,4.34,4.42,995498000,43.983001
"11",4.46,4.69,4.35,4.59,804427200,45.674655
"12",4.6,45.119999,4.46,41.150002,786764100,40.958085
"13",40.990002,42,36.759998,41.639999,987412900,41.445798
"14",41.529999,43.060001,36.919998,38.34,699641800,38.171162
"15",39.34,39.380001,25.4,31.049999,1452518000,30.913264
"16",30.93,31.049999,23.190001,25.620001,974459500,25.507178
"17",25.16,34.400002,21.4,31.59,1441669000,31.450887
"18",28.92,31.549999,23.299999,27.48,1136346100,27.368161
"19",27.08,30.139999,24.4,26.309999,1083220500,26.202923
"20",27.129999,32.09,27.129999,30.719999,1086439300,30.594975
"21",31.27,34.740002,31.07,33.32,875468600,33.194898
"22",33.52,38.400002,31.77,36.549999,1041152100,36.41277
"23",36.400002,37.139999,32.459999,33.040001,751046900,32.91595
"24",32.919998,33.91,25.75,26.51,950183400,26.418546
"25",25.860001,29.309999,24.610001,27.41,921308500,27.315441
"26",27.469999,27.93,24.91,27.129999,724402800,27.036406
"27",27.299999,31.120001,26,29.709999,678726000,29.618566
"28",29.530001,35.25,29.530001,32.720001,734461200,32.619305
"29",33,38.720001,32.700001,37.389999,939135800,37.274931
"30",37.57,38.5,34.040001,34.57,748903500,34.472829
"31",34.959999,40.18,34.07,39.560001,764120200,39.448805
"32",40.91,43.34,40.700001,42.16,770342700,42.051519
"33",42.48,44.709999,40.279999,41.970001,537126400,41.862009
"34",41.560001,47.919998,41.02,44.240002,706105900,44.126169
"35",44.32,47.68,41.599998,46.66,627585000,46.53994
"36",46.48,53.560001,45.490002,51.990002,626878700,51.867535
"37",52.060001,52.619999,45.060001,47.970001,728729300,47.857004
"38",48.5,53.299999,46.700001,52.139999,570461800,52.01718
"39",52.84,53.200001,47.639999,48.330002,470388900,48.225407
"40",49.369999,52.880001,47.830002,48.509998,469357000,48.405014
"41",48.849998,51.57,47.599998,48.779999,548937600,48.684187
"42",48.869999,53.68,48.23,52.919998,427626200,52.816055
"43",52.959999,53.41,50.27,52.110001,402157100,52.007649
"44",52.029999,55.279999,47.290001,47.43,674576100,47.346687
"45",47.84,50.150002,46.189999,48.630001,506390800,48.54458
"46",47.799999,51,46.790001,47.599998,663022400,47.516387
"47",47.720001,48.619999,45.18,47.91,525272400,47.825844
"48",47.810001,48.349998,46.080002,47.57,316654200,47.496356
"49",47.599998,49.59,46.919998,47.099998,342891400,47.027082
"50",47.419998,50.59,46.549999,48.91,386137000,48.844051
"51",48.59,52.389999,47.650002,51.650002,290310100,51.580358
"52",51.779999,54.130001,51.119999,51.82,340562900,51.750127
"53",51.68,53.900002,48.110001,53.529999,503346100,53.467976
"54",53.419998,54.52,52.630001,53.970001,224567200,53.907469
"55",53.799999,56.950001,51.110001,54.110001,394687900,54.047306
"56",54.360001,54.689999,46.599998,46.950001,498226600,46.905559
"57",47.200001,52.869999,46.900002,52.419998,342341300,52.370378
"58",52.419998,54.720001,50.470001,51.52,462033200,51.471233
"59",51.369999,54.459999,50.98,53.32,348740700,53.269528
"60",53.639999,55.369999,52.349998,54.080002,294426800,54.080002
"61",54.68,57.209999,54.130001,57.02,153209300,57.02
