"","stock_data$CSX.Open","stock_data$CSX.High","stock_data$CSX.Low","stock_data$CSX.Close","stock_data$CSX.Volume","stock_data$CSX.Adjusted"
"1",50.199989,56.639997,49.419989,49.629988,168690300,14.843879
"2",49.850012,54.339993,47.00001,52.71999,374139600,15.76807
"3",53.769991,54.639988,46.509991,49.889997,204853800,14.995913
"4",50.619987,56.799992,50.529991,55.320002,192693600,16.628061
"5",55.599993,62.139988,53.949989,61.449989,240734100,18.47061
"6",61.610012,64.5,59.960009,60.810001,362667300,18.355344
"7",61.860003,64.800001,61.779991,64.610012,153930900,19.502368
"8",65.109987,71.46999,64.74999,70.599993,250112100,21.310428
"9",71.280001,75,69.069992,74.660007,170181000,22.618138
"10",74.810011,80.420008,71.919989,78.600002,252773400,23.811754
"11",79.26,79.899988,72.099993,78.689999,236320500,23.839018
"12",79.409998,79.490009,73.430008,79.299992,193554300,24.13715
"13",79.139997,79.350002,24.08,26.219999,226435500,23.94235
"14",26.360001,27.059999,23.75,24.57,152691200,22.435681
"15",24.83,24.959999,19.940001,21.940001,316768100,20.146851
"16",21.84,22.190001,17.690001,18.67,263299600,17.144106
"17",18.57,23.139999,17.83,22.209999,215348400,20.394782
"18",21.040001,22.6,19.99,21.709999,170077800,20.055983
"19",21.639999,22.290001,19.870001,21.059999,168444100,19.455505
"20",21.610001,23.709999,21.549999,22.549999,235700000,20.831986
"21",22.84,23.309999,21,21.01,230671800,19.517445
"22",21.129999,22.540001,19.99,21.52,288502500,19.991215
"23",21.34,23.02,20.969999,22.290001,215942800,20.706515
"24",22.35,23,20.41,20.889999,152939100,19.533941
"25",20.469999,22.91,19.879999,22.360001,171136600,20.908518
"26",22.309999,23.200001,21.49,22.940001,155309700,21.450868
"27",23.110001,23.49,22.120001,22.459999,118696500,21.132357
"28",22.15,23.290001,20.65,20.75,163657000,19.523438
"29",20.799999,21.76,20.440001,20.469999,195364000,19.259989
"30",20.49,21.08,18.879999,19.76,203635600,18.722953
"31",19.860001,20.309999,19.360001,19.73,179038500,18.694527
"32",20.110001,22.67,20.01,22.030001,216482800,20.873819
"33",22.24,23.1,21.450001,22.940001,152525500,21.873881
"34",22.860001,24.67,22.620001,24.629999,163072900,23.485338
"35",24.639999,24.690001,23.26,24.59,156218000,23.447198
"36",24.549999,26.360001,24.030001,25.209999,130459700,24.181752
"37",25.299999,25.440001,22.4,23.190001,171391500,22.244143
"38",23.33,25.790001,22.889999,24.809999,143356300,23.798067
"39",25.049999,26.68,24.459999,24.610001,146019400,23.749816
"40",24.92,26.9,24.68,25.74,112643500,24.840319
"41",25.75,26.85,25.040001,26.059999,153182600,25.149134
"42",26.09,27.530001,26.059999,27.27,100925500,26.461706
"43",27.27,28.799999,27.02,28.77,106749600,27.917245
"44",28.610001,29.25,25.889999,26.91,166170900,26.112376
"45",26.93,27.969999,25.84,27.709999,116725300,27.037164
"46",27.52,29.450001,27.35,28.969999,120637300,28.266569
"47",29.07,29.27,27.139999,28.219999,136886800,27.53478
"48",28.190001,29.75,27.58,29.4,121418400,28.84283
"49",29.459999,31.129999,28.940001,30.809999,136073000,30.226108
"50",31,31.59,29.879999,29.92,128967900,29.352975
"51",29.879999,30.99,29.07,30.91,107710000,30.482409
"52",30.98,32.66,30.91,32.060001,112639400,31.616502
"53",31.860001,35.950001,29.75,35.630001,252158700,35.137117
"54",35.740002,37.990002,34.389999,36.490002,125114500,36.137863
"55",35.950001,37.529999,34.34,36.23,148510200,35.88037
"56",36.110001,36.450001,33.009998,33.299999,163233600,32.978645
"57",33.470001,36.950001,33.209999,34.310001,118623700,34.132433
"58",34.310001,35.349998,32.709999,33.119999,166115100,32.948589
"59",33.200001,37.540001,31.870001,36.09,267261300,35.90322
"60",36.419998,37.669998,33.990002,34.080002,187682700,34.080002
"61",34.23,34.560001,33.639999,33.970001,50389900,33.970001
