"","stock_data$DE.Open","stock_data$DE.High","stock_data$DE.Low","stock_data$DE.Close","stock_data$DE.Volume","stock_data$DE.Adjusted"
"1",56.84,61.43,54.900002,55.68,73450000,49.662941
"2",55.98,67.089996,53.689999,66.68,90413800,59.474225
"3",67.879997,69.470001,60.450001,63.27,103495300,56.432727
"4",64.690002,73.699997,64.470001,69.779999,88252100,62.499277
"5",69.150002,78.889999,67.669998,76.800003,91116400,68.786827
"6",77.459999,79.660004,74.059998,74.699997,80007700,66.905932
"7",75.889999,84.849998,75.230003,83.050003,71878800,74.697667
"8",83.93,91.889999,81.800003,90.900002,73538500,81.758192
"9",91.830002,97.360001,86.230003,90.150002,95014100,81.083619
"10",90.75,96.980003,84.269997,96.889999,104501100,87.473917
"11",97.599998,99.800003,90.650002,97.5,72172400,88.024635
"12",98.220001,98.300003,82.25,86.080002,113382700,77.714469
"13",85.5,85.889999,77.809998,82.449997,114546500,74.817404
"14",82.199997,87.120003,77.790001,78.510002,104200100,71.242144
"15",81.110001,82.559998,66.059998,80.82,159622800,73.338299
"16",80.730003,82.220001,64.559998,64.57,110012000,58.940405
"17",63.900002,78.989998,59.919998,75.900002,117317100,69.28259
"18",72.620003,79.300003,70.519997,79.25,99813300,72.340516
"19",78.650002,79.699997,73.230003,77.349998,72194200,70.977159
"20",79.120003,88.889999,78.839996,86.150002,78903000,79.052133
"21",87.269997,89.699997,82.190002,82.93,77347100,76.097426
"22",83,83.839996,78.690002,80.900002,86141300,74.651421
"23",80.620003,83.25,75.919998,82.360001,74423400,75.998652
"24",83.220001,83.919998,71.860001,73.870003,84418200,68.164408
"25",71.68,80.879997,69.510002,80.870003,76495600,75.078162
"26",81,82.459999,72.849998,76.82,78360800,71.318216
"27",77.629997,80.790001,73.139999,75.110001,117881700,69.730686
"28",74.980003,83.449997,73.620003,82.470001,72488100,76.997356
"29",83.110001,87.129997,79.75,85.440002,62671100,79.77027
"30",85.629997,87.5,82.059998,84.050003,69160900,78.47251
"31",84.18,87.209999,82.949997,86.419998,48798800,81.116505
"32",87.970001,95.599998,87.199997,94.059998,55661000,88.287646
"33",94.870003,95.110001,85.43,87.830002,62970000,82.439978
"34",87.730003,92.5,85.150002,85.980003,60209800,81.180052
"35",86.190002,90,81.580002,89.300003,60285000,84.314708
"36",88.809998,93.879997,85.650002,87.110001,78949900,82.246966
"37",87.510002,88.790001,79.5,81.25,64875500,77.191582
"38",81.879997,85.5,80.510002,83.07,62853700,78.920673
"39",83.739998,85.68,80.5,83.639999,84384600,79.462201
"40",84.309998,85.339996,81.190002,81.389999,57833700,77.793337
"41",81.25,84.75,81.190002,81.839996,63189300,78.223449
"42",81.839996,85.489998,80.760002,84.239998,70198900,80.517393
"43",84.260002,91.580002,82.199997,91.330002,70307700,87.785423
"44",90.949997,91.300003,85.290001,85.959999,61385500,82.623834
"45",85.790001,88.059998,83.410004,85.93,60327200,82.594999
"46",85.629997,90.980003,85.300003,90.800003,64842800,87.782832
"47",90.980003,94.589996,90.620003,93.339996,57738900,90.238424
"48",93.150002,94.889999,89.260002,91.169998,51553600,88.140533
"49",91.290001,93.779999,89.769997,90.550003,47384000,88.123843
"50",90.809998,91.5,84.529999,85.110001,72332000,82.829597
"51",85.220001,87.389999,83.190002,84.089996,74860400,81.836923
"52",84.010002,84.580002,81.550003,81.989998,80789300,80.37329
"53",81.809998,86.139999,78.879997,85.540001,102538400,83.853293
"54",85.5,89.279999,83.800003,86.620003,66272600,84.911999
"55",87.949997,91.379997,86.389999,88.470001,59905000,87.306011
"56",88.470001,89.720001,84.290001,85.190002,58651200,84.069167
"57",85.529999,92.779999,84.849998,90.599998,51411500,89.407984
"58",90.599998,92.400002,86.910004,87.690002,60430800,87.130277
"59",87.760002,91,87.389999,90.519997,47599300,89.942207
"60",91,94.879997,88.129997,93.68,63385600,93.082041
"61",93.82,93.839996,91.239998,92.940002,17358500,92.346766
