"","stock_data$DNR.Open","stock_data$DNR.High","stock_data$DNR.Low","stock_data$DNR.Close","stock_data$DNR.Volume","stock_data$DNR.Adjusted"
"1",16.25,17.91,14.58,14.64,75131500,14.157121
"2",14.65,15.99,14.02,15.84,83611100,15.317541
"3",16.17,17.280001,14.25,14.74,78386200,14.253822
"4",15.01,16.34,14.76,15.89,68835100,15.365892
"5",16.18,18.440001,16.02,17.02,65471100,16.458621
"6",17.200001,19.83,16.870001,18.18,68805200,17.58036
"7",18.559999,20,18.450001,19.09,63833600,18.460344
"8",19.389999,20.360001,18.049999,20.35,79111800,19.678785
"9",20.52,24.690001,20.370001,24.23,89036000,23.430808
"10",24.389999,24.950001,21.68,24.4,92008100,23.595201
"11",24.59,26.030001,21.469999,22.57,97409600,21.825561
"12",22.75,22.799999,19.58,21.959999,113035200,21.235681
"13",21.950001,22.18,18.450001,20,99320000,19.340329
"14",20,21.09,18.58,19.32,74024500,18.682758
"15",19.76,19.82,13.78,15.95,147613500,15.423912
"16",16.110001,16.290001,11.35,11.5,126072200,11.120689
"17",11.6,17.08,10.2,15.7,168939100,15.182158
"18",14.84,17.58,14.17,16.9,134333000,16.342578
"19",16.809999,17.23,14.21,15.1,87880600,14.601949
"20",15.64,19.27,15.64,18.860001,133726900,18.237931
"21",18.870001,21.370001,18.33,19.91,121342100,19.253298
"22",20.23,20.5,17.65,18.23,100105300,17.62871
"23",18.15,19.129999,17.280001,19.040001,83010000,18.411994
"24",19.1,19.68,14.51,15.12,142135700,14.621289
"25",14.77,15.8,13.13,15.11,140996900,14.611618
"26",15.03,15.92,13.31,15.12,158412200,14.621289
"27",15.38,16.32,14.45,15.49,118714800,14.979085
"28",15.48,17.870001,15.18,16.16,134297800,15.626986
"29",16.4,16.969999,15.05,15.33,112534600,14.824362
"30",15.37,15.98,14.24,15.43,141726800,14.921064
"31",15.54,16.450001,15.15,16.200001,81595100,15.665667
"32",16.59,18.889999,16.07,18.629999,95210400,18.015516
"33",18.780001,19.139999,17.540001,18.120001,82598600,17.522339
"34",17.959999,19.09,17.309999,18.65,77971300,18.034857
"35",18.65,18.700001,16.42,17.889999,111054100,17.299924
"36",17.719999,19.65,17.23,18.35,107830600,17.744752
"37",18.5,18.860001,16.559999,17.32,78784300,16.748725
"38",17.459999,18.67,17.190001,17.5,112380500,16.922788
"39",17.780001,18.75,16.700001,17.290001,101755800,16.719715
"40",17.5,18.559999,17.110001,18.41,92195300,17.802773
"41",18.35,19.5,17.73,18.99,101999200,18.363642
"42",19,19.610001,16.469999,16.68,133665800,16.129835
"43",16.719999,16.889999,15.62,16.43,97811100,15.888081
"44",16.309999,16.82,15.8,16.07,122920900,15.539954
"45",16.07,16.58,15.56,16.360001,117642500,15.883126
"46",16.34,16.74,15.84,16.4,95842000,15.921959
"47",16.459999,17.49,16.33,16.82,92490300,16.329717
"48",16.82,17.549999,16.51,16.889999,73389900,16.459141
"49",16.879999,18.59,16.610001,18.459999,75946200,17.989091
"50",18.459999,18.540001,16.940001,16.950001,75338000,16.517612
"51",16.889999,17.309999,16.09,17.219999,73530000,16.843438
"52",17.110001,17.15,14.92,15.03,92659100,14.701328
"53",15.06,15.1,11.41,12.4,181214400,12.12884
"54",12.48,12.73,8.14,8.26,210642400,8.131488
"55",8.27,8.43,6.04,8.13,337369700,8.00351
"56",8.06,8.12,6.25,6.9,234166600,6.792647
"57",7.12,9.39,7.06,8.4,309207100,8.327407
"58",8.4,8.69,6.89,7.29,316549200,7.227
"59",7.36,9.53,7.31,8.81,257652500,8.733865
"60",8.73,8.95,7.03,7.37,210467700,7.37
"61",7.34,7.48,6.67,6.92,88263400,6.92
